D,complex_real,error_prob,hierarchical,proj
64.0,0.0,0.16099999845027924,0.0,countsketch_scatter
128.0,0.0,0.0860000029206276,0.0,countsketch_scatter
192.0,0.0,0.05000000074505806,0.0,countsketch_scatter
256.0,0.0,0.0430000014603138,0.0,countsketch_scatter
320.0,0.0,0.028999999165534973,0.0,countsketch_scatter
384.0,0.0,0.02800000086426735,0.0,countsketch_scatter
448.0,0.0,0.03400000184774399,0.0,countsketch_scatter
512.0,0.0,0.02500000037252903,0.0,countsketch_scatter
576.0,0.0,0.014000000432133675,0.0,countsketch_scatter
640.0,0.0,0.012000000104308128,0.0,countsketch_scatter
704.0,0.0,0.020999999716877937,0.0,countsketch_scatter
768.0,0.0,0.009999999776482582,0.0,countsketch_scatter
832.0,0.0,0.008999999612569809,0.0,countsketch_scatter
896.0,0.0,0.01600000075995922,0.0,countsketch_scatter
960.0,0.0,0.00800000037997961,0.0,countsketch_scatter
1024.0,0.0,0.00800000037997961,0.0,countsketch_scatter
1088.0,0.0,0.008999999612569809,0.0,countsketch_scatter
1152.0,0.0,0.00800000037997961,0.0,countsketch_scatter
1216.0,0.0,0.014000000432133675,0.0,countsketch_scatter
1280.0,0.0,0.004999999888241291,0.0,countsketch_scatter
1344.0,0.0,0.010999999940395355,0.0,countsketch_scatter
1408.0,0.0,0.014000000432133675,0.0,countsketch_scatter
1472.0,0.0,0.00800000037997961,0.0,countsketch_scatter
1536.0,0.0,0.007000000216066837,0.0,countsketch_scatter
1600.0,0.0,0.010999999940395355,0.0,countsketch_scatter
1664.0,0.0,0.004999999888241291,0.0,countsketch_scatter
1728.0,0.0,0.004999999888241291,0.0,countsketch_scatter
1792.0,0.0,0.008999999612569809,0.0,countsketch_scatter
1856.0,0.0,0.009999999776482582,0.0,countsketch_scatter
64.0,0.0,0.5419999957084656,0.0,rademacher
128.0,0.0,0.3499999940395355,0.0,rademacher
192.0,0.0,0.22100000083446503,0.0,rademacher
256.0,0.0,0.14300000667572021,0.0,rademacher
320.0,0.0,0.10000000149011612,0.0,rademacher
