proj,complex_real,hierarchical,D,error_prob
countsketch_scatter,0.0,0.0,64.0,0.15860000252723694
countsketch_scatter,0.0,0.0,128.0,0.0835999995470047
countsketch_scatter,0.0,0.0,192.0,0.0551999993622303
countsketch_scatter,0.0,0.0,256.0,0.043033331632614136
countsketch_scatter,0.0,0.0,320.0,0.0348999984562397
countsketch_scatter,0.0,0.0,384.0,0.027566665783524513
countsketch_scatter,0.0,0.0,448.0,0.02446666732430458
countsketch_scatter,0.0,0.0,512.0,0.02213333360850811
countsketch_scatter,0.0,0.0,576.0,0.018833333626389503
countsketch_scatter,0.0,0.0,640.0,0.01796666719019413
countsketch_scatter,0.0,0.0,704.0,0.014600000344216824
countsketch_scatter,0.0,0.0,768.0,0.014633333310484886
countsketch_scatter,0.0,0.0,832.0,0.013199999928474426
countsketch_scatter,0.0,0.0,896.0,0.012433333322405815
countsketch_scatter,0.0,0.0,960.0,0.011866666376590729
countsketch_scatter,0.0,0.0,1024.0,0.010599999688565731
countsketch_scatter,0.0,0.0,1088.0,0.010166666470468044
countsketch_scatter,0.0,0.0,1152.0,0.009266667068004608
countsketch_scatter,0.0,0.0,1216.0,0.009133333340287209
countsketch_scatter,0.0,0.0,1280.0,0.009399999864399433
countsketch_scatter,0.0,0.0,1344.0,0.007666666526347399
countsketch_scatter,0.0,0.0,1408.0,0.007199999876320362
countsketch_scatter,0.0,0.0,1472.0,0.00713333347812295
countsketch_scatter,0.0,0.0,1536.0,0.006666666828095913
countsketch_scatter,0.0,0.0,1600.0,0.007333333138376474
countsketch_scatter,0.0,0.0,1664.0,0.006966666784137487
countsketch_scatter,0.0,0.0,1728.0,0.006399999838322401
countsketch_scatter,0.0,0.0,1792.0,0.006066666450351477
countsketch_scatter,0.0,0.0,1856.0,0.0055333334021270275
rademacher,0.0,0.0,64.0,0.5706999897956848
rademacher,0.0,0.0,128.0,0.33090001344680786
rademacher,0.0,0.0,192.0,0.21896666288375854
rademacher,0.0,0.0,256.0,0.1517000049352646
rademacher,0.0,0.0,320.0,0.10760000348091125
rademacher,0.0,0.0,384.0,0.06823333352804184
rademacher,0.0,0.0,448.0,0.04596666619181633
rademacher,0.0,0.0,512.0,0.03680000081658363
