D,complex_real,error_prob,error_std,hierarchical,p,proj
64.0,0.0,0.219733327627182,0.0,0.0,2.0,countsketch_scatter
128.0,0.0,0.10490000247955322,0.0,0.0,2.0,countsketch_scatter
192.0,0.0,0.0700666680932045,0.0,0.0,2.0,countsketch_scatter
256.0,0.0,0.04573333263397217,0.0,0.0,2.0,countsketch_scatter
320.0,0.0,0.038066666573286057,0.0,0.0,2.0,countsketch_scatter
384.0,0.0,0.03373333439230919,0.0,0.0,2.0,countsketch_scatter
448.0,0.0,0.026499999687075615,0.0,0.0,2.0,countsketch_scatter
512.0,0.0,0.024266665801405907,0.0,0.0,2.0,countsketch_scatter
576.0,0.0,0.022099999710917473,0.0,0.0,2.0,countsketch_scatter
640.0,0.0,0.01863333396613598,0.0,0.0,2.0,countsketch_scatter
704.0,0.0,0.01899999938905239,0.0,0.0,2.0,countsketch_scatter
768.0,0.0,0.015966666862368584,0.0,0.0,2.0,countsketch_scatter
832.0,0.0,0.014666666276752949,0.0,0.0,2.0,countsketch_scatter
896.0,0.0,0.013033333234488964,0.0,0.0,2.0,countsketch_scatter
960.0,0.0,0.01263333298265934,0.0,0.0,2.0,countsketch_scatter
1024.0,0.0,0.011800000444054604,0.0,0.0,2.0,countsketch_scatter
1088.0,0.0,0.011233333498239517,0.0,0.0,2.0,countsketch_scatter
1152.0,0.0,0.010633333586156368,0.0,0.0,2.0,countsketch_scatter
1216.0,0.0,0.010433332994580269,0.0,0.0,2.0,countsketch_scatter
1280.0,0.0,0.009466666728258133,0.0,0.0,2.0,countsketch_scatter
1344.0,0.0,0.009333333000540733,0.0,0.0,2.0,countsketch_scatter
1408.0,0.0,0.009399999864399433,0.0,0.0,2.0,countsketch_scatter
1472.0,0.0,0.008200000040233135,0.0,0.0,2.0,countsketch_scatter
1536.0,0.0,0.00800000037997961,0.0,0.0,2.0,countsketch_scatter
1600.0,0.0,0.007300000172108412,0.0,0.0,2.0,countsketch_scatter
1664.0,0.0,0.0071000000461936,0.0,0.0,2.0,countsketch_scatter
1728.0,0.0,0.007333333138376474,0.0,0.0,2.0,countsketch_scatter
1792.0,0.0,0.006233333144336939,0.0,0.0,2.0,countsketch_scatter
1856.0,0.0,0.006266666576266289,0.0,0.0,2.0,countsketch_scatter
64.0,0.0,0.4548666775226593,0.0,0.0,2.0,gaussian
128.0,0.0,0.3008333444595337,0.0,0.0,2.0,gaussian
