D,complex_real,error_prob,error_std,hierarchical,p,proj
256.0,0.0,0.06830113863945007,0.05353775028430061,0.0,1.0,gaussian
256.0,0.0,0.13143316519260406,0.10261129896263711,0.0,2.0,gaussian
256.0,0.0,0.25520982438325884,0.23468264836282401,0.0,3.0,gaussian
256.0,0.0,0.3917816502451897,0.45316878535502897,0.0,4.0,gaussian
256.0,0.0,0.5590842493772507,0.961800857424066,0.0,5.0,gaussian
256.0,0.0,0.7368158526420593,1.8873869665708947,0.0,6.0,gaussian
256.0,0.0,0.9520947118997574,2.7568814991728234,0.0,7.0,gaussian
256.0,0.0,1.0353468247652053,2.7662209217947202,0.0,8.0,gaussian
256.0,0.0,1.1582347858548165,3.3246607647777804,0.0,9.0,gaussian
256.0,0.0,1.5203742728233338,7.793347845829243,0.0,10.0,gaussian
256.0,1.0,0.0683011435866356,0.05353775896744398,0.0,1.0,gaussian
256.0,1.0,0.11789608657360078,0.0905176320467605,0.0,2.0,gaussian
256.0,1.0,0.17821316301822662,0.14326294807817128,0.0,3.0,gaussian
256.0,1.0,0.2526068703532219,0.2389729233029902,0.0,4.0,gaussian
256.0,1.0,0.3386278889775276,0.3861832091210804,0.0,5.0,gaussian
256.0,1.0,0.4160228468775749,0.45547902047219935,0.0,6.0,gaussian
256.0,1.0,0.47564766347408294,0.5161991624604938,0.0,7.0,gaussian
256.0,1.0,0.5427224473953247,0.5773821005479163,0.0,8.0,gaussian
256.0,1.0,0.6304512153863907,0.7188287162822767,0.0,9.0,gaussian
256.0,1.0,0.7772036955952645,1.249597603150339,0.0,10.0,gaussian
256.0,0.0,0.0693154296875,0.053467092559958046,0.0,1.0,rademacher
256.0,0.0,0.14285525512695313,0.11317313516411681,0.0,2.0,rademacher
256.0,0.0,0.2447540922164917,0.21323916305536472,0.0,3.0,rademacher
256.0,0.0,0.3994949536323547,0.5153191000691747,0.0,4.0,rademacher
256.0,0.0,0.5554899179339409,1.1223346514893862,0.0,5.0,rademacher
256.0,0.0,0.8467977874875069,2.5698377038438136,0.0,6.0,rademacher
256.0,0.0,0.9239615567922592,2.5786890776691056,0.0,7.0,rademacher
256.0,0.0,1.3233881615996361,5.902498729320206,0.0,8.0,rademacher
256.0,0.0,1.2800160773396492,6.11856648364394,0.0,9.0,rademacher
256.0,0.0,1.8340048157572746,18.676441196105124,0.0,10.0,rademacher
256.0,1.0,0.07167260974645615,0.05333121980844065,0.0,1.0,rademacher
256.0,1.0,0.11757816344499589,0.09363807801232177,0.0,2.0,rademacher
256.0,1.0,0.188761010825634,0.15639414844336755,0.0,3.0,rademacher
256.0,1.0,0.2556219086050987,0.217217976608913,0.0,4.0,rademacher
256.0,1.0,0.3317040990591049,0.33541916828676754,0.0,5.0,rademacher
256.0,1.0,0.430792532324791,0.499873717502433,0.0,6.0,rademacher
256.0,1.0,0.5340725168585777,0.8085355559872556,0.0,7.0,rademacher
256.0,1.0,0.6488620250225067,1.2071374031880713,0.0,8.0,rademacher
256.0,1.0,0.7226651864647865,1.623053767926099,0.0,9.0,rademacher
256.0,1.0,0.7785531666278839,1.588397522506595,0.0,10.0,rademacher
