name,p,proj,full_cov,complex_weights,complex_real,ahle,tree,mae,mse,abs_err_std,abs_sq_err_std
Gaussian,1,gaussian,False,False,False,False,False,0.04281964898109436,0.0028764125891029835,0.032293833792209625,0.004060185514390469
Gaussian,2,gaussian,False,False,False,False,False,0.06624280661344528,0.007165215909481049,0.0526982881128788,0.011635515838861465
Gaussian,3,gaussian,False,False,False,False,False,0.08855931460857391,0.014466635882854462,0.08138728141784668,0.037470605224370956
Gaussian,4,gaussian,False,False,False,False,False,0.11281401664018631,0.03073238581418991,0.13418421149253845,0.21359995007514954
Gaussian,5,gaussian,False,False,False,False,False,0.12712576985359192,0.05215787515044212,0.18972861766815186,0.5765750408172607
Gaussian,6,gaussian,False,False,False,False,False,0.14194512367248535,0.13127806782722473,0.33336129784584045,5.067038536071777
Gaussian,7,gaussian,False,False,False,False,False,0.1466551274061203,0.32579439878463745,0.5516221523284912,27.417055130004883
Gaussian,8,gaussian,False,False,False,False,False,0.14415983855724335,0.864329993724823,0.9184491038322449,185.3365936279297
Gaussian,9,gaussian,False,False,False,False,False,0.13339950144290924,1.720302939414978,1.304802417755127,630.7349243164062
Complex Gaussian,1,gaussian,False,True,False,False,False,0.03850457817316055,0.0019443066557869315,0.021487314254045486,0.0021240415517240763
Complex Gaussian,2,gaussian,False,True,False,False,False,0.05378878116607666,0.0038225557655096054,0.03048480674624443,0.004449764732271433
Complex Gaussian,3,gaussian,False,True,False,False,False,0.06665346771478653,0.00602407893165946,0.03976677358150482,0.008043518289923668
Complex Gaussian,4,gaussian,False,True,False,False,False,0.08080272376537323,0.009591935202479362,0.05534308776259422,0.018455294892191887
Complex Gaussian,5,gaussian,False,True,False,False,False,0.09397105872631073,0.015191988088190556,0.07975860685110092,0.0628480538725853
Complex Gaussian,6,gaussian,False,True,False,False,False,0.10706023126840591,0.02362987957894802,0.11030863970518112,0.15153327584266663
Complex Gaussian,7,gaussian,False,True,False,False,False,0.11681994050741196,0.03627162426710129,0.15041524171829224,0.35672134160995483
Complex Gaussian,8,gaussian,False,True,False,False,False,0.12130554765462875,0.04880201816558838,0.18462669849395752,0.9877505302429199
Complex Gaussian,9,gaussian,False,True,False,False,False,0.12810423970222473,0.11439874768257141,0.3130306005477905,9.187475204467773
Rademacher,1,rademacher,False,False,False,False,False,0.03952290490269661,0.002426311606541276,0.02939816750586033,0.0033462310675531626
Rademacher,2,rademacher,False,False,False,False,False,0.05872463434934616,0.005540919490158558,0.04574209079146385,0.0085658123716712
Rademacher,3,rademacher,False,False,False,False,False,0.07818174362182617,0.010451297275722027,0.06587045639753342,0.01967894285917282
Rademacher,4,rademacher,False,False,False,False,False,0.09784303605556488,0.01942608132958412,0.09926142543554306,0.07011350989341736
Rademacher,5,rademacher,False,False,False,False,False,0.1129390224814415,0.03180577978491783,0.13802382349967957,0.185995414853096
Rademacher,6,rademacher,False,False,False,False,False,0.1276238113641739,0.06451533734798431,0.21960772573947906,1.0291155576705933
Rademacher,7,rademacher,False,False,False,False,False,0.1322358250617981,0.11100754141807556,0.3058125674724579,2.828615188598633
Rademacher,8,rademacher,False,False,False,False,False,0.12940892577171326,0.2217530608177185,0.4527765214443207,24.534326553344727
Rademacher,9,rademacher,False,False,False,False,False,0.12457381188869476,0.25217404961586,0.4864726662635803,11.334587097167969
Complex Rademacher,1,rademacher,False,True,False,False,False,0.03628728538751602,0.0017133632209151983,0.019914735108613968,0.0018301935633644462
Complex Rademacher,2,rademacher,False,True,False,False,False,0.0489664301276207,0.0031294594518840313,0.027050862088799477,0.0034981584176421165
Complex Rademacher,3,rademacher,False,True,False,False,False,0.060045015066862106,0.004768791142851114,0.0341084860265255,0.005687245167791843
Complex Rademacher,4,rademacher,False,True,False,False,False,0.07114806026220322,0.006960752420127392,0.04357415810227394,0.009879461489617825
Complex Rademacher,5,rademacher,False,True,False,False,False,0.080681711435318,0.009581474587321281,0.05542507767677307,0.018296992406249046
Complex Rademacher,6,rademacher,False,True,False,False,False,0.09136462211608887,0.013942628167569637,0.07480067014694214,0.04331927374005318
Complex Rademacher,7,rademacher,False,True,False,False,False,0.10163696110248566,0.02010704018175602,0.09887860715389252,0.10004889219999313
Complex Rademacher,8,rademacher,False,True,False,False,False,0.10725776851177216,0.027244707569479942,0.12546111643314362,0.23742792010307312
