name,p,proj,full_cov,complex_weights,complex_real,ahle,tree,mae,mse,abs_err_std,abs_sq_err_std
Gaussian,1,gaussian,False,False,False,False,False,0.02946420945227146,0.0013779826695099473,0.02257971465587616,0.0020266061183065176
Gaussian,2,gaussian,False,False,False,False,False,0.0448695532977581,0.0032145334407687187,0.034659165889024734,0.004812940955162048
Gaussian,3,gaussian,False,False,False,False,False,0.06021977216005325,0.006179600488394499,0.05052902176976204,0.012789234519004822
Gaussian,4,gaussian,False,False,False,False,False,0.07636192440986633,0.012585451826453209,0.08218465745449066,0.093027763068676
Gaussian,5,gaussian,False,False,False,False,False,0.0890250951051712,0.04053562507033348,0.1805829405784607,3.033278226852417
Gaussian,6,gaussian,False,False,False,False,False,0.09715710580348969,0.07955858111381531,0.26480019092559814,4.656118392944336
Gaussian,7,gaussian,False,False,False,False,False,0.09469010680913925,0.08099350333213806,0.2683791518211365,3.771780490875244
Gaussian,8,gaussian,False,False,False,False,False,0.08776544034481049,0.11057784408330917,0.32074159383773804,7.879456043243408
Gaussian,9,gaussian,False,False,False,False,False,0.08203453570604324,0.19181445240974426,0.4302150309085846,17.203208923339844
Complex Gaussian,1,gaussian,False,True,False,False,False,0.020856069400906563,0.0006847711047157645,0.015804925933480263,0.0009751259349286556
Complex Gaussian,2,gaussian,False,True,False,False,False,0.02712653949856758,0.0011727865785360336,0.02090306580066681,0.0017417669296264648
Complex Gaussian,3,gaussian,False,True,False,False,False,0.03203777223825455,0.0016663559945300221,0.02529698610305786,0.002670805435627699
Complex Gaussian,4,gaussian,False,True,False,False,False,0.03712964057922363,0.0023532710038125515,0.031219569966197014,0.005039702169597149
Complex Gaussian,5,gaussian,False,True,False,False,False,0.04214928299188614,0.0033511328510940075,0.039680883288383484,0.01169329509139061
Complex Gaussian,6,gaussian,False,True,False,False,False,0.04604726657271385,0.00453810952603817,0.049170736223459244,0.026776298880577087
Complex Gaussian,7,gaussian,False,True,False,False,False,0.04944555461406708,0.005924279801547527,0.0589866116642952,0.042020250111818314
Complex Gaussian,8,gaussian,False,True,False,False,False,0.051201947033405304,0.008345234207808971,0.07565448433160782,0.1481560319662094
Complex Gaussian,9,gaussian,False,True,False,False,False,0.05471710115671158,0.013559119775891304,0.10278701037168503,0.33616483211517334
Rademacher,1,rademacher,False,False,False,False,False,0.02910519205033779,0.0013276345562189817,0.021920830011367798,0.0018724279943853617
Rademacher,2,rademacher,False,False,False,False,False,0.042854730039834976,0.0029175980016589165,0.03287964314222336,0.004319087602198124
Rademacher,3,rademacher,False,False,False,False,False,0.059044647961854935,0.005949723068624735,0.0496332086622715,0.012780195102095604
Rademacher,4,rademacher,False,False,False,False,False,0.07224290817975998,0.01030559092760086,0.07132011651992798,0.041194356977939606
Rademacher,5,rademacher,False,False,False,False,False,0.08510722219944,0.02077675610780716,0.11633369326591492,0.2735855281352997
Rademacher,6,rademacher,False,False,False,False,False,0.09187939018011093,0.03799626603722572,0.17191414535045624,0.9422568082809448
Rademacher,7,rademacher,False,False,False,False,False,0.09402447193861008,0.07653585821390152,0.26018327474594116,3.108384847640991
Rademacher,8,rademacher,False,False,False,False,False,0.08694963902235031,0.11372081190347672,0.3258230686187744,10.339750289916992
Rademacher,9,rademacher,False,False,False,False,False,0.09041062742471695,1.1744061708450317,1.0799227952957153,321.333740234375
Complex Rademacher,1,rademacher,False,True,False,False,False,0.02062402293086052,0.0006722258403897285,0.015712281689047813,0.0009589014225639403
Complex Rademacher,2,rademacher,False,True,False,False,False,0.02609754353761673,0.001078544883057475,0.019936488941311836,0.0015619436744600534
Complex Rademacher,3,rademacher,False,True,False,False,False,0.0312377717345953,0.0015808659372851253,0.0245981328189373,0.0025275840889662504
Complex Rademacher,4,rademacher,False,True,False,False,False,0.03573601320385933,0.002141751116141677,0.02940560318529606,0.004095897078514099
Complex Rademacher,5,rademacher,False,True,False,False,False,0.04004877060651779,0.002904395340010524,0.036062344908714294,0.008998047560453415
Complex Rademacher,6,rademacher,False,True,False,False,False,0.04459112510085106,0.004119482357054949,0.04616400972008705,0.026269959285855293
Complex Rademacher,7,rademacher,False,True,False,False,False,0.048146802932024,0.005604979116469622,0.05733121186494827,0.05337860807776451
Complex Rademacher,8,rademacher,False,True,False,False,False,0.05172989144921303,0.008434494026005268,0.07588490098714828,0.12383296340703964
