name,p,proj,full_cov,complex_weights,complex_real,ahle,tree,mae,mse,abs_err_std,abs_sq_err_std
Gaussian,1,gaussian,False,False,False,False,False,0.0505068264901638,0.003960251808166504,0.037540823221206665,0.0054320720955729485
Gaussian,2,gaussian,False,False,False,False,False,0.10076753050088882,0.01623264141380787,0.07796507328748703,0.022721119225025177
Gaussian,3,gaussian,False,False,False,False,False,0.16676250100135803,0.04828996956348419,0.1431092619895935,0.102241151034832
Gaussian,4,gaussian,False,False,False,False,False,0.2716716229915619,0.1381179690361023,0.25359922647476196,0.4576130211353302
Gaussian,5,gaussian,False,False,False,False,False,0.3869825303554535,0.30404913425445557,0.39280247688293457,1.153525471687317
Gaussian,6,gaussian,False,False,False,False,False,0.5388364791870117,0.8336246609687805,0.7370756268501282,5.767292499542236
Gaussian,7,gaussian,False,False,False,False,False,0.6761720180511475,1.800788402557373,1.1591295003890991,16.72572898864746
Gaussian,8,gaussian,False,False,False,False,False,0.8200780153274536,2.42789888381958,1.3249047994613647,14.757834434509277
Gaussian,9,gaussian,False,False,False,False,False,0.9463132619857788,6.536845684051514,2.3751509189605713,76.06158447265625
Complex Gaussian,1,gaussian,False,True,False,False,False,0.0350753478705883,0.0018997036386281252,0.025873234495520592,0.002547187265008688
Complex Gaussian,2,gaussian,False,True,False,False,False,0.06195859611034393,0.006128096487373114,0.04784591495990753,0.00876065343618393
Complex Gaussian,3,gaussian,False,True,False,False,False,0.09324470162391663,0.013879917562007904,0.0720093622803688,0.020811911672353745
Complex Gaussian,4,gaussian,False,True,False,False,False,0.1332283914089203,0.029862424358725548,0.11005739867687225,0.05572584643959999
Complex Gaussian,5,gaussian,False,True,False,False,False,0.1875525563955307,0.0665893629193306,0.1772383153438568,0.20398154854774475
Complex Gaussian,6,gaussian,False,True,False,False,False,0.23719380795955658,0.10779415816068649,0.22700947523117065,0.29219499230384827
Complex Gaussian,7,gaussian,False,True,False,False,False,0.3070997893810272,0.22174400091171265,0.35697880387306213,0.855145275592804
Complex Gaussian,8,gaussian,False,True,False,False,False,0.3757454752922058,0.40934300422668457,0.5178403258323669,2.9034006595611572
Complex Gaussian,9,gaussian,False,True,False,False,False,0.43510523438453674,0.6596931219100952,0.6858403086662292,5.608731269836426
Rademacher,1,rademacher,False,False,False,False,False,0.04812734201550484,0.003443230642005801,0.033570677042007446,0.0044653145596385
Rademacher,2,rademacher,False,False,False,False,False,0.09386531263589859,0.013903941959142685,0.07136701792478561,0.02124243602156639
Rademacher,3,rademacher,False,False,False,False,False,0.15807250142097473,0.04078932851552963,0.1257076859474182,0.06821724772453308
Rademacher,4,rademacher,False,False,False,False,False,0.24625085294246674,0.11459586024284363,0.2322852462530136,0.3515107035636902
Rademacher,5,rademacher,False,False,False,False,False,0.348678320646286,0.2397458404302597,0.3437577486038208,0.7584541440010071
Rademacher,6,rademacher,False,False,False,False,False,0.49740397930145264,0.677340567111969,0.6556907296180725,4.683908462524414
Rademacher,7,rademacher,False,False,False,False,False,0.6505022048950195,1.5101431608200073,1.042588710784912,10.116922378540039
Rademacher,8,rademacher,False,False,False,False,False,0.7754578590393066,3.242258310317993,1.625092625617981,40.81120300292969
Rademacher,9,rademacher,False,False,False,False,False,0.9000899195671082,4.259364604949951,1.857203722000122,41.59062576293945
Complex Rademacher,1,rademacher,False,True,False,False,False,0.03268438205122948,0.0016543905949220061,0.024209966883063316,0.0022221782710403204
Complex Rademacher,2,rademacher,False,True,False,False,False,0.05478265881538391,0.004855226259678602,0.04305912181735039,0.00730501813814044
Complex Rademacher,3,rademacher,False,True,False,False,False,0.08457046747207642,0.01122463122010231,0.06381592154502869,0.01692255400121212
Complex Rademacher,4,rademacher,False,True,False,False,False,0.11957498639822006,0.02352052554488182,0.09603310376405716,0.04350631311535835
Complex Rademacher,5,rademacher,False,True,False,False,False,0.16068075597286224,0.04337043687701225,0.1324845254421234,0.09148261696100235
Complex Rademacher,6,rademacher,False,True,False,False,False,0.21323977410793304,0.08053242415189743,0.18724651634693146,0.19813556969165802
Complex Rademacher,7,rademacher,False,True,False,False,False,0.2684985399246216,0.1571122705936432,0.29158341884613037,0.6554941534996033
Complex Rademacher,8,rademacher,False,True,False,False,False,0.336300253868103,0.2847060263156891,0.41425633430480957,1.8433712720870972
Complex Rademacher,9,rademacher,False,True,False,False,False,0.41007643938064575,0.3907538652420044,0.4717959761619568,1.6686971187591553
Ahle et al. Tree Rademacher,1,rademacher,False,False,False,True,True,0.048610154539346695,0.0036047969479113817,0.035239897668361664,0.005149515345692635
Ahle et al. Tree Rademacher,2,rademacher,False,False,False,True,True,0.09823831170797348,0.01571417786180973,0.07786795496940613,0.026692543178796768
Ahle et al. Tree Rademacher,3,rademacher,False,False,False,True,True,0.15330654382705688,0.03660156950354576,0.11444948613643646,0.052285026758909225
Ahle et al. Tree Rademacher,4,rademacher,False,False,False,True,True,0.16403521597385406,0.04207627475261688,0.1231614276766777,0.06933813542127609
