name,p,proj,full_cov,complex_weights,complex_real,ahle,tree,mae,mse,abs_err_std,abs_sq_err_std
Gaussian,1,gaussian,False,False,False,False,False,0.036858320236206055,0.0021427529864013195,0.028003891929984093,0.00307660736143589
Gaussian,2,gaussian,False,False,False,False,False,0.04160620644688606,0.002868032781407237,0.03371880203485489,0.004955041687935591
Gaussian,3,gaussian,False,False,False,False,False,0.04450010880827904,0.00378657435066998,0.04250078648328781,0.011563419364392757
Gaussian,4,gaussian,False,False,False,False,False,0.045037973672151566,0.0053323060274124146,0.057479482144117355,0.051414620131254196
Gaussian,5,gaussian,False,False,False,False,False,0.042577531188726425,0.007682831026613712,0.07661586999893188,0.185247004032135
Gaussian,6,gaussian,False,False,False,False,False,0.0383327342569828,0.013563927263021469,0.1099751815199852,1.021254539489746
Gaussian,7,gaussian,False,False,False,False,False,0.03264257684350014,0.01835556887090206,0.13149163126945496,2.196542978286743
Gaussian,8,gaussian,False,False,False,False,False,0.02723602019250393,0.03529864177107811,0.18589478731155396,4.974309921264648
Gaussian,9,gaussian,False,False,False,False,False,0.021663663908839226,0.03539334982633591,0.18687985837459564,5.778872489929199
Complex Gaussian,1,gaussian,False,True,False,False,False,0.03925009444355965,0.0019690245389938354,0.020699160173535347,0.0019982983358204365
Complex Gaussian,2,gaussian,False,True,False,False,False,0.04248799383640289,0.0023335986770689487,0.02298630028963089,0.002517715562134981
Complex Gaussian,3,gaussian,False,True,False,False,False,0.04475053399801254,0.0026781579945236444,0.02599131315946579,0.0034739268012344837
Complex Gaussian,4,gaussian,False,True,False,False,False,0.04641581326723099,0.0030952123925089836,0.030672231689095497,0.006246407050639391
Complex Gaussian,5,gaussian,False,True,False,False,False,0.04719982668757439,0.003611357416957617,0.037195898592472076,0.01398681290447712
Complex Gaussian,6,gaussian,False,True,False,False,False,0.04716574773192406,0.00435128016397357,0.04611587896943092,0.04158187285065651
Complex Gaussian,7,gaussian,False,True,False,False,False,0.04629343003034592,0.0052615017630159855,0.055842842906713486,0.07234250009059906
Complex Gaussian,8,gaussian,False,True,False,False,False,0.04454270750284195,0.0062056612223386765,0.06497394293546677,0.13158607482910156
Complex Gaussian,9,gaussian,False,True,False,False,False,0.042534079402685165,0.011055338196456432,0.09615716338157654,1.4475131034851074
Rademacher,1,rademacher,False,False,False,False,False,0.0330948643386364,0.0017305329674854875,0.025204431265592575,0.0024863355793058872
Rademacher,2,rademacher,False,False,False,False,False,0.03450946882367134,0.0019643122795969248,0.027810249477624893,0.003278617514297366
Rademacher,3,rademacher,False,False,False,False,False,0.03479045256972313,0.00219930661842227,0.031447283923625946,0.005144423805177212
Rademacher,4,rademacher,False,False,False,False,False,0.03440292924642563,0.0026158527471125126,0.03784564509987831,0.012084008194506168
Rademacher,5,rademacher,False,False,False,False,False,0.03271734341979027,0.0033527871128171682,0.04777410253882408,0.0470755361020565
Rademacher,6,rademacher,False,False,False,False,False,0.02984619140625,0.004599697422236204,0.06090078502893448,0.1647644340991974
Rademacher,7,rademacher,False,False,False,False,False,0.025951234623789787,0.005356577690690756,0.06843329221010208,0.2175786942243576
Rademacher,8,rademacher,False,False,False,False,False,0.022352593019604683,0.01464730966836214,0.11894403398036957,3.3587496280670166
Rademacher,9,rademacher,False,False,False,False,False,0.018429763615131378,0.010863786563277245,0.10258723795413971,1.052327275276184
