D,alpha,bias,comp,dataset,degree,dist_est_time,dummy_error,dummy_mnll,est_len,feature_dist,hier,k_mean_error,k_mean_rel_error,k_mse,k_rel_frob_error,kernel_len,kernel_var,method,pred_time,proj,seed,test_error,test_kl,test_label_var,test_mean_mse,test_mnll,test_var_mse
8.0,0.01,0.0,0.0,Cod_rna,4.0,0.00017833709716796875,0.3333333432674408,0.6365143060684204,1.0,None,0.0,1.907490849494934,0.9352508783340454,6.61501932144165,0.38673135638237,3.344078540802002,10.819548606872559,rff,0.6688690185546875,gaussian,0.0,0.31659653782844543,611706.625,0.25,8.043554306030273,0.6309342980384827,0.016199417412281036
8.0,0.01,0.0,1.0,Cod_rna,4.0,0.0002028942108154297,0.3333333432674408,0.6365143060684204,1.0,None,0.0,1.4684714078903198,0.6386793851852417,3.8661961555480957,0.29565533995628357,3.344078540802002,10.819548606872559,rff,0.9706995487213135,gaussian,0.0,0.3185809552669525,561620.9375,0.25,7.663901329040527,0.5808663368225098,0.01616101898252964
8.0,0.01,0.0,0.0,Cod_rna,4.0,0.00019216537475585938,0.3333333432674408,0.6365143060684204,1.0,None,0.0,1.5504851341247559,0.8418156504631042,4.455475330352783,0.31738826632499695,3.344078540802002,10.819548606872559,rff,0.8432438373565674,srht,0.0,0.2395579069852829,487341.375,0.25,6.385195732116699,0.5652562975883484,0.016201460734009743
8.0,0.01,0.0,1.0,Cod_rna,4.0,0.0001785755157470703,0.3333333432674408,0.6365143060684204,1.0,None,0.0,0.5273871421813965,0.4834580719470978,0.9360809326171875,0.14547906816005707,3.344078540802002,10.819548606872559,rff,0.9450266361236572,srht,0.0,0.2322571873664856,460974.84375,0.25,5.934937477111816,0.49962177872657776,0.016242189332842827
8.0,0.01,1.0,0.0,Cod_rna,4.0,0.0001723766326904297,0.3333333432674408,0.6365143060684204,1.0,None,0.0,2.8444557189941406,0.48454490303993225,14.633108139038086,0.5751910209655762,3.344078540802002,10.819548606872559,n_sketch,0.9614503383636475,rademacher,0.0,0.21146321296691895,283978.09375,0.25,3.984687328338623,0.449822336435318,0.0163307823240757
8.0,0.01,1.0,1.0,Cod_rna,4.0,0.00014972686767578125,0.3333333432674408,0.6365143060684204,1.0,None,0.0,1.9049420356750488,0.44456687569618225,5.868422508239746,0.3642541170120239,3.344078540802002,10.819548606872559,n_sketch,0.9529552459716797,rademacher,0.0,0.2894701063632965,525445.4375,0.25,7.059971809387207,0.5618082284927368,0.016279995441436768
8.0,0.01,1.0,0.0,Cod_rna,4.0,0.00023818016052246094,0.3333333432674408,0.6365143060684204,1.0,None,0.0,1.6610932350158691,0.384551078081131,4.227863788604736,0.30917495489120483,3.344078540802002,10.819548606872559,n_sketch,0.9610207080841064,srht,0.0,0.34194841980934143,641054.375,0.25,8.085421562194824,0.6433492302894592,0.01625289022922516
8.0,0.01,1.0,1.0,Cod_rna,4.0,0.00016498565673828125,0.3333333432674408,0.6365143060684204,1.0,None,0.0,1.2039738893508911,0.25638630986213684,2.5110762119293213,0.23827239871025085,3.344078540802002,10.819548606872559,n_sketch,0.9647221565246582,srht,0.0,0.18475280702114105,273354.625,0.25,4.075586795806885,0.3824706971645355,0.01631942018866539
8.0,0.01,1.0,0.0,Cod_rna,4.0,0.00023508071899414062,0.3333333432674408,0.6365143060684204,1.0,None,0.0,2.1121535301208496,0.5172994136810303,7.384887218475342,0.4086163640022278,3.344078540802002,10.819548606872559,n_sketch,0.9995219707489014,countsketch_scatter,0.0,0.16849461197853088,246414.3125,0.25,3.6422669887542725,0.38372719287872314,0.016351498663425446
8.0,0.01,0.0,0.0,Cod_rna,10.0,0.5161139965057373,0.3333333432674408,0.6365143060684204,1.0,"[5, 2]",0.0,1.3432949781417847,0.33601322770118713,3.1559672355651855,0.2671222686767578,3.344078540802002,10.819548606872559,maclaurin,0.9578320980072021,rademacher,0.0,0.09600651264190674,119508.5078125,0.25,1.8299884796142578,0.22751165926456451,0.016412923112511635
8.0,0.01,0.0,1.0,Cod_rna,10.0,0.5068390369415283,0.3333333432674408,0.6365143060684204,1.0,"[5, 2]",0.0,0.8120434284210205,0.26655057072639465,1.3173892498016357,0.17258413136005402,3.344078540802002,10.819548606872559,maclaurin,0.9238011837005615,rademacher,0.0,0.21436434984207153,380488.5,0.25,5.338093280792236,0.44267889857292175,0.01637869141995907
8.0,0.01,0.0,0.0,Cod_rna,10.0,0.5592777729034424,0.3333333432674408,0.6365143060684204,1.0,"[5, 2]",0.0,0.9407444000244141,0.32442912459373474,1.6871057748794556,0.1953057199716568,3.344078540802002,10.819548606872559,maclaurin,0.9593453407287598,srht,0.0,0.13704223930835724,181834.65625,0.25,2.7440402507781982,0.30713239312171936,0.016376188024878502
8.0,0.01,0.0,1.0,Cod_rna,10.0,0.5436291694641113,0.3333333432674408,0.6365143060684204,1.0,"[5, 2]",0.0,0.6202397346496582,0.14914867281913757,0.7062990069389343,0.12636829912662506,3.344078540802002,10.819548606872559,maclaurin,0.9587357044219971,srht,0.0,0.13084600865840912,166141.65625,0.25,2.634366512298584,0.2947006821632385,0.01636517234146595
8.0,0.01,0.0,0.0,Cod_rna,10.0,0.4964025020599365,0.3333333432674408,0.6365143060684204,1.0,"[5, 2]",0.0,1.3712514638900757,0.32045426964759827,3.2276089191436768,0.27013710141181946,3.344078540802002,10.819548606872559,maclaurin,0.9812896251678467,countsketch_scatter,0.0,0.32262709736824036,568873.0,0.25,7.63297176361084,0.6105813384056091,0.016417091712355614
16.0,0.01,0.0,0.0,Cod_rna,4.0,0.00013399124145507812,0.3333333432674408,0.6365143060684204,1.0,None,0.0,1.0822519063949585,0.5280764102935791,2.174422025680542,0.22172555327415466,3.344078540802002,10.819548606872559,rff,0.9604401588439941,gaussian,0.0,0.15090367197990417,175204.171875,0.25,3.276991367340088,0.3635445237159729,0.015378063544631004
16.0,0.01,0.0,1.0,Cod_rna,4.0,0.0001728534698486328,0.3333333432674408,0.6365143060684204,1.0,None,0.0,0.9139776229858398,0.3597017526626587,1.4158989191055298,0.1789204329252243,3.344078540802002,10.819548606872559,rff,0.9762120246887207,gaussian,0.0,0.1183210238814354,149086.15625,0.25,2.5194311141967773,0.2616671919822693,0.015368123538792133
16.0,0.01,0.0,0.0,Cod_rna,4.0,0.00014853477478027344,0.3333333432674408,0.6365143060684204,1.0,None,0.0,0.5125048756599426,0.4761422276496887,0.8519273400306702,0.13878582417964935,3.344078540802002,10.819548606872559,rff,0.9589383602142334,srht,0.0,0.1385369896888733,147545.765625,0.25,2.8366355895996094,0.3456517457962036,0.015635212883353233
16.0,0.01,0.0,1.0,Cod_rna,4.0,0.000179290771484375,0.3333333432674408,0.6365143060684204,1.0,None,0.0,0.37930434942245483,0.35514238476753235,0.49414610862731934,0.10569915175437927,3.344078540802002,10.819548606872559,rff,0.955902099609375,srht,0.0,0.08085282146930695,102524.0859375,0.25,1.8105992078781128,0.21006493270397186,0.015570205636322498
16.0,0.01,1.0,0.0,Cod_rna,4.0,0.00023174285888671875,0.3333333432674408,0.6365143060684204,1.0,None,0.0,1.4731590747833252,0.30168214440345764,3.8187661170959473,0.29383623600006104,3.344078540802002,10.819548606872559,n_sketch,0.8262481689453125,rademacher,0.0,0.07369936257600784,70753.2421875,0.25,1.3489038944244385,0.18520380556583405,0.015844082459807396
16.0,0.01,1.0,1.0,Cod_rna,4.0,0.00017952919006347656,0.3333333432674408,0.6365143060684204,1.0,None,0.0,1.8441003561019897,0.3287314474582672,6.593622207641602,0.38610535860061646,3.344078540802002,10.819548606872559,n_sketch,0.9600672721862793,rademacher,0.0,0.09736136347055435,119049.40625,0.25,2.0578038692474365,0.23115764558315277,0.015919281169772148
16.0,0.01,1.0,0.0,Cod_rna,4.0,0.00014710426330566406,0.3333333432674408,0.6365143060684204,1.0,None,0.0,1.1021416187286377,0.21768951416015625,3.7986528873443604,0.29306140542030334,3.344078540802002,10.819548606872559,n_sketch,0.8979558944702148,srht,0.0,0.12293781340122223,119258.171875,0.25,2.1332147121429443,0.27269262075424194,0.015928667038679123
16.0,0.01,1.0,1.0,Cod_rna,4.0,0.00016880035400390625,0.3333333432674408,0.6365143060684204,1.0,None,0.0,0.5410006642341614,0.15548624098300934,0.5558100938796997,0.11210036277770996,3.344078540802002,10.819548606872559,n_sketch,0.9558653831481934,srht,0.0,0.13917391002178192,171369.75,0.25,2.9154093265533447,0.30465948581695557,0.015891913324594498
16.0,0.01,1.0,0.0,Cod_rna,4.0,0.00016355514526367188,0.3333333432674408,0.6365143060684204,1.0,None,0.0,2.0443053245544434,0.39422738552093506,7.153231143951416,0.40215635299682617,3.344078540802002,10.819548606872559,n_sketch,1.0079798698425293,countsketch_scatter,0.0,0.09817132353782654,94076.4140625,0.25,1.7634265422821045,0.2344079613685608,0.0159341748803854
