D,alpha,bias,comp,dataset,degree,dist_est_time,dummy_error,dummy_mnll,est_len,feature_dist,hier,k_mean_error,k_mean_rel_error,k_mse,k_rel_frob_error,kernel_len,kernel_var,method,pred_time,proj,seed,test_error,test_kl,test_label_var,test_mean_mse,test_mnll,test_var_mse
8.0,8.0,0.0,0.0,Energy,4.0,9.417533874511719e-05,81.05929565429688,7.248990058898926,1.0,None,0.0,14.740327835083008,0.2777109742164612,358.6815490722656,0.2890435457229614,3.894352436065674,99.08369445800781,rff,0.028375625610351562,gaussian,0.0,15.88554573059082,605.4344482421875,82.12870025634766,7.115740776062012,5.892192363739014,0.27785125374794006
8.0,8.0,0.0,1.0,Energy,4.0,0.00014925003051757812,81.05929565429688,7.248990058898926,1.0,None,0.0,8.317191123962402,0.1661091148853302,144.48336791992188,0.18344998359680176,3.894352436065674,99.08369445800781,rff,0.08964753150939941,gaussian,0.0,12.553054809570312,425.2628173828125,82.12870025634766,4.473728179931641,5.479379177093506,0.25323721766471863
8.0,8.0,0.0,0.0,Energy,4.0,0.00011229515075683594,81.05929565429688,7.248990058898926,1.0,None,0.0,11.870474815368652,0.23140712082386017,245.44476318359375,0.23910333216190338,3.894352436065674,99.08369445800781,rff,0.0428769588470459,srht,0.0,30.203195571899414,2087.65625,82.12870025634766,20.459705352783203,7.6703643798828125,0.25715017318725586
8.0,8.0,0.0,1.0,Energy,4.0,0.00010323524475097656,81.05929565429688,7.248990058898926,1.0,None,0.0,2.9946465492248535,0.0708320364356041,27.019174575805664,0.07933133840560913,3.894352436065674,99.08369445800781,rff,0.07329177856445312,srht,0.0,12.749954223632812,510.55682373046875,82.12870025634766,5.5178070068359375,5.504956245422363,0.25827136635780334
8.0,8.0,1.0,0.0,Energy,4.0,0.00014352798461914062,81.05929565429688,7.248990058898926,1.0,None,0.0,19.82415771484375,0.30856239795684814,614.4823608398438,0.37832361459732056,3.894352436065674,99.08369445800781,n_sketch,0.04048442840576172,rademacher,0.0,13.911027908325195,467.73748779296875,82.12870025634766,5.897243976593018,5.650537967681885,0.2725257873535156
8.0,8.0,1.0,1.0,Energy,4.0,0.00014209747314453125,81.05929565429688,7.248990058898926,1.0,None,0.0,13.48612117767334,0.2263031154870987,266.37603759765625,0.2490900158882141,3.894352436065674,99.08369445800781,n_sketch,0.0807638168334961,rademacher,0.0,11.529376029968262,382.38177490234375,82.12870025634766,4.008416652679443,5.35185432434082,0.2604163587093353
8.0,8.0,1.0,0.0,Energy,4.0,0.00013399124145507812,81.05929565429688,7.248990058898926,1.0,None,0.0,13.738984107971191,0.21358610689640045,384.02069091796875,0.29907912015914917,3.894352436065674,99.08369445800781,n_sketch,0.041700124740600586,srht,0.0,19.117595672607422,611.6314697265625,82.12870025634766,7.746582984924316,6.28982400894165,0.27885159850120544
8.0,8.0,1.0,1.0,Energy,4.0,0.00010204315185546875,81.05929565429688,7.248990058898926,1.0,None,0.0,14.934934616088867,0.25724759697914124,435.1653137207031,0.3183727562427521,3.894352436065674,99.08369445800781,n_sketch,0.08425021171569824,srht,0.0,12.81078815460205,381.16961669921875,82.12870025634766,3.9014945030212402,5.512879371643066,0.27678442001342773
8.0,8.0,1.0,0.0,Energy,4.0,0.0001327991485595703,81.05929565429688,7.248990058898926,1.0,None,0.0,15.915326118469238,0.26337122917175293,371.0511779785156,0.2939853370189667,3.894352436065674,99.08369445800781,n_sketch,0.054389238357543945,countsketch_scatter,0.0,14.394150733947754,798.4069213867188,82.12870025634766,10.40647029876709,5.705796241760254,0.2736737132072449
8.0,8.0,0.0,0.0,Energy,10.0,0.04003596305847168,81.05929565429688,7.248990058898926,1.0,"[5, 2]",0.0,7.8966217041015625,0.13834412395954132,105.89698028564453,0.15705455839633942,3.894352436065674,99.08369445800781,maclaurin,0.044823408126831055,rademacher,0.0,17.68221092224121,752.1290283203125,82.12870025634766,7.182851791381836,6.117180824279785,0.2780073881149292
8.0,8.0,0.0,1.0,Energy,10.0,0.031349897384643555,81.05929565429688,7.248990058898926,1.0,"[5, 2]",0.0,7.942001819610596,0.150399848818779,106.48644256591797,0.1574910581111908,3.894352436065674,99.08369445800781,maclaurin,0.07855653762817383,rademacher,0.0,11.186844825744629,318.8251953125,82.12870025634766,3.28330397605896,5.308895587921143,0.2687651216983795
