D,bias,comp,comp_real,dataset,degree,feature_dist,feature_time,full_cov,hier,kernel_len,kernel_var,method,noise_var,pred_time,proj,seed,test_error,test_kl,test_label_var,test_mean_mse,test_mnll,test_var_mse
16.0,0.0,0.0,0.0,Naval,0.0,None,0.0,0.0,0.0,3.523322105407715,0.00013617258809972554,rff,3.0517578125e-05,0.0,gaussian,0.0,0.008642992936074734,165285.046875,0.0001789805683074519,2.9490467568393797e-05,-6.1138410568237305,4.044734365553316e-15
16.0,0.0,0.0,0.0,Naval,0.0,None,0.0,0.0,0.0,3.523322105407715,0.00013617258809972554,rff,3.0517578125e-05,0.0,srht,0.0,0.0034958990290760994,47610.234375,0.0001789805683074519,6.506160389108118e-06,-8.158060073852539,2.3583915056995435e-15
16.0,0.0,0.0,0.0,Naval,0.0,"[7, 8]",0.0,0.0,0.0,3.523322105407715,0.00013617258809972554,maclaurin,3.0517578125e-05,0.0,rademacher,0.0,0.007442165166139603,136521.28125,0.0001789805683074519,1.8337139408686198e-05,-6.745411396026611,3.5185941328939136e-15
16.0,0.0,0.0,0.0,Naval,0.0,"[7, 8]",0.0,0.0,0.0,3.523322105407715,0.00013617258809972554,maclaurin,3.0517578125e-05,0.0,srht,0.0,0.007138954009860754,84235.3125,0.0001789805683074519,1.2086916285625193e-05,-6.890241622924805,3.742518515687139e-15
16.0,0.0,0.0,0.0,Naval,0.0,"[8, 5, 2]",0.0,0.0,0.0,3.523322105407715,0.00013617258809972554,maclaurin,3.0517578125e-05,0.0,countsketch_scatter,0.0,0.004739089403301477,73950.8984375,0.0001789805683074519,1.076241551345447e-05,-7.823147296905518,3.5094228836575177e-15
32.0,0.0,0.0,0.0,Naval,0.0,None,0.0,0.0,0.0,3.523322105407715,0.00013617258809972554,rff,3.0517578125e-05,0.0,gaussian,0.0,0.005723685026168823,18398.953125,0.0001789805683074519,2.68324629359995e-06,-7.486085414886475,3.5339637574800797e-15
32.0,0.0,0.0,0.0,Naval,0.0,None,0.0,0.0,0.0,3.523322105407715,0.00013617258809972554,rff,3.0517578125e-05,0.0,srht,0.0,0.004056788515299559,27702.046875,0.0001789805683074519,3.7169170354900416e-06,-8.019515991210938,3.0568334864235214e-15
32.0,0.0,0.0,0.0,Naval,0.0,"[15, 16]",0.0,0.0,0.0,3.523322105407715,0.00013617258809972554,maclaurin,3.0517578125e-05,0.0,rademacher,0.0,0.005023142322897911,45160.8359375,0.0001789805683074519,5.985884854453616e-06,-7.732398986816406,2.9609811205298566e-15
32.0,0.0,0.0,0.0,Naval,0.0,"[15, 16]",0.0,0.0,0.0,3.523322105407715,0.00013617258809972554,maclaurin,3.0517578125e-05,0.0,srht,0.0,0.004197371192276478,41318.65625,0.0001789805683074519,5.674216026818613e-06,-7.9815239906311035,2.7934428740024027e-15
32.0,0.0,0.0,0.0,Naval,0.0,"[15, 8, 4, 2, 2]",0.0,0.0,0.0,3.523322105407715,0.00013617258809972554,maclaurin,3.0517578125e-05,0.0,countsketch_scatter,0.0,0.005969356745481491,43703.1328125,0.0001789805683074519,5.958051588095259e-06,-7.391927719116211,3.021975539545165e-15
48.0,0.0,0.0,0.0,Naval,0.0,None,0.0,0.0,0.0,3.523322105407715,0.00013617258809972554,rff,3.0517578125e-05,0.0,gaussian,0.0,0.005558663513511419,15235.103515625,0.0001789805683074519,2.239699142592144e-06,-7.546989440917969,3.1348564440521936e-15
48.0,0.0,0.0,0.0,Naval,0.0,None,0.0,0.0,0.0,3.523322105407715,0.00013617258809972554,rff,3.0517578125e-05,0.0,srht,0.0,0.0037589622661471367,25458.119140625,0.0001789805683074519,3.465246436462621e-06,-8.095598220825195,2.3769245865854676e-15
48.0,0.0,0.0,0.0,Naval,0.0,"[23, 24]",0.0,0.0,0.0,3.523322105407715,0.00013617258809972554,maclaurin,3.0517578125e-05,0.0,rademacher,0.0,0.005125673022121191,36895.890625,0.0001789805683074519,4.935660854243906e-06,-7.698390960693359,3.0323332701824275e-15
48.0,0.0,0.0,0.0,Naval,0.0,"[16, 16, 15]",0.0,0.0,0.0,3.523322105407715,0.00013617258809972554,maclaurin,3.0517578125e-05,0.0,srht,0.0,0.004125701729208231,23947.353515625,0.0001789805683074519,3.333703944008448e-06,-8.00101375579834,2.5170085894682783e-15
