D,alpha,bias,comp,dataset,degree,dist_est_time,dummy_error,dummy_mnll,est_len,feature_dist,hier,k_mean_error,k_mean_rel_error,k_mse,k_rel_frob_error,kernel_len,kernel_var,method,pred_time,proj,seed,test_error,test_kl,test_label_var,test_mean_mse,test_mnll,test_var_mse
4.0,16.0,0.0,0.0,Powerplant,4.0,0.00016379356384277344,284.76513671875,4.244927883148193,1.0,None,0.0,85.24095153808594,0.7473700642585754,12025.671875,0.5911241173744202,2.491020917892456,292.0162048339844,rff,0.0388340950012207,gaussian,0.0,182.84730529785156,631873.3125,283.9101867675781,170.4872589111328,8.01705265045166,0.14919590950012207
4.0,16.0,0.0,1.0,Powerplant,4.0,0.00012803077697753906,284.76513671875,4.244927883148193,1.0,None,0.0,53.866119384765625,0.4688280522823334,5210.04345703125,0.38908520340919495,2.491020917892456,292.0162048339844,rff,0.0345458984375,gaussian,0.0,79.21269226074219,202780.875,283.9101867675781,63.57190704345703,4.779571056365967,0.14872705936431885
4.0,16.0,0.0,0.0,Powerplant,4.0,0.0001728534698486328,284.76513671875,4.244927883148193,1.0,None,0.0,53.77617645263672,0.6025135517120361,5496.265625,0.3996298015117645,2.491020917892456,292.0162048339844,rff,0.027895450592041016,srht,0.0,23.424076080322266,29220.65234375,283.9101867675781,9.472821235656738,3.037111759185791,0.14781640470027924
4.0,16.0,0.0,1.0,Powerplant,4.0,0.00016641616821289062,284.76513671875,4.244927883148193,1.0,None,0.0,19.26226806640625,0.29496216773986816,1236.6656494140625,0.18956151604652405,2.491020917892456,292.0162048339844,rff,0.043508052825927734,srht,0.0,43.87290573120117,79999.234375,283.9101867675781,29.006610870361328,3.6757771968841553,0.14909018576145172
4.0,16.0,1.0,0.0,Powerplant,4.0,0.00017690658569335938,284.76513671875,4.244927883148193,1.0,None,0.0,57.348445892333984,0.32778841257095337,5915.90234375,0.4146049916744232,2.491020917892456,292.0162048339844,n_sketch,0.027899742126464844,rademacher,0.0,135.90689086914062,443573.4375,283.9101867675781,127.06893157958984,6.551109313964844,0.15056967735290527
4.0,16.0,1.0,1.0,Powerplant,4.0,0.0001671314239501953,284.76513671875,4.244927883148193,1.0,None,0.0,51.51679992675781,0.3653368651866913,3972.156494140625,0.3397325575351715,2.491020917892456,292.0162048339844,n_sketch,0.0537266731262207,rademacher,0.0,78.3306655883789,198298.53125,283.9101867675781,61.943634033203125,4.752219200134277,0.14946691691875458
4.0,16.0,1.0,0.0,Powerplant,4.0,0.0001609325408935547,284.76513671875,4.244927883148193,1.0,None,0.0,50.70021438598633,0.2928779125213623,4918.40869140625,0.37803876399993896,2.491020917892456,292.0162048339844,n_sketch,0.030933141708374023,srht,0.0,97.2783203125,300915.28125,283.9101867675781,81.89301300048828,5.344106674194336,0.15026038885116577
4.0,16.0,1.0,1.0,Powerplant,4.0,0.00012731552124023438,284.76513671875,4.244927883148193,1.0,None,0.0,65.2950210571289,0.4048911929130554,6456.7587890625,0.4331430196762085,2.491020917892456,292.0162048339844,n_sketch,0.056284427642822266,srht,0.0,58.824432373046875,126866.953125,283.9101867675781,43.29889678955078,4.1428680419921875,0.1496088057756424
4.0,16.0,1.0,0.0,Powerplant,4.0,0.0001678466796875,284.76513671875,4.244927883148193,1.0,None,0.0,64.53045654296875,0.36637231707572937,7152.318359375,0.45587673783302307,2.491020917892456,292.0162048339844,n_sketch,0.050690650939941406,countsketch_scatter,0.0,164.62086486816406,525582.8125,283.9101867675781,146.3999786376953,7.447912693023682,0.14818693697452545
4.0,16.0,0.0,0.0,Powerplant,10.0,0.5102329254150391,284.76513671875,4.244927883148193,1.0,"[2, 1]",0.0,72.30648803710938,0.5587108731269836,8511.943359375,0.49732282757759094,2.491020917892456,292.0162048339844,maclaurin,0.08592057228088379,rademacher,0.0,45.5838623046875,96898.078125,283.9101867675781,29.77254295349121,3.729332685470581,0.14995834231376648
4.0,16.0,0.0,1.0,Powerplant,10.0,0.5081140995025635,284.76513671875,4.244927883148193,1.0,"[2, 1]",0.0,26.531692504882812,0.2353978306055069,1217.2752685546875,0.18806950747966766,2.491020917892456,292.0162048339844,maclaurin,0.09924936294555664,rademacher,0.0,44.90406799316406,86643.71875,283.9101867675781,28.99903106689453,3.708010673522949,0.14840209484100342
4.0,16.0,0.0,0.0,Powerplant,10.0,0.5606098175048828,284.76513671875,4.244927883148193,1.0,"[2, 1]",0.0,39.12464904785156,0.3861555755138397,2650.460693359375,0.27751386165618896,2.491020917892456,292.0162048339844,maclaurin,0.08041238784790039,srht,0.0,53.575496673583984,127655.7109375,283.9101867675781,40.363277435302734,3.9789764881134033,0.1500488668680191
4.0,16.0,0.0,1.0,Powerplant,10.0,0.5405418872833252,284.76513671875,4.244927883148193,1.0,"[2, 1]",0.0,42.16474151611328,0.3346613049507141,3330.622314453125,0.31109046936035156,2.491020917892456,292.0162048339844,maclaurin,0.11009621620178223,srht,0.0,53.21466827392578,123219.1171875,283.9101867675781,39.7299919128418,3.9676880836486816,0.15016794204711914
4.0,16.0,0.0,0.0,Powerplant,10.0,0.4896984100341797,284.76513671875,4.244927883148193,1.0,"[2, 1]",0.0,42.808509826660156,0.30232536792755127,3301.07568359375,0.30970752239227295,2.491020917892456,292.0162048339844,maclaurin,0.09689903259277344,countsketch_scatter,0.0,70.7806396484375,172459.609375,283.9101867675781,52.19330978393555,4.516403675079346,0.1492803543806076
8.0,16.0,0.0,0.0,Powerplant,4.0,0.00010943412780761719,284.76513671875,4.244927883148193,1.0,None,0.0,29.968957901000977,0.2843041718006134,1621.6302490234375,0.2170700579881668,2.491020917892456,292.0162048339844,rff,0.023725032806396484,gaussian,0.0,27.925479888916016,28076.736328125,283.9101867675781,11.97158432006836,3.1773416996002197,0.13298135995864868
8.0,16.0,0.0,1.0,Powerplant,4.0,0.00010514259338378906,284.76513671875,4.244927883148193,1.0,None,0.0,26.869171142578125,0.22558847069740295,1391.3773193359375,0.20106962323188782,2.491020917892456,292.0162048339844,rff,0.04246020317077637,gaussian,0.0,21.613447189331055,16543.689453125,283.9101867675781,6.6318769454956055,2.9803626537323,0.13906173408031464
8.0,16.0,0.0,0.0,Powerplant,4.0,0.0001373291015625,284.76513671875,4.244927883148193,1.0,None,0.0,16.57150650024414,0.24508333206176758,865.0039672851562,0.15853789448738098,2.491020917892456,292.0162048339844,rff,0.028947830200195312,srht,0.0,29.841552734375,41515.3984375,283.9101867675781,15.546991348266602,3.2372851371765137,0.13933902978897095
8.0,16.0,0.0,1.0,Powerplant,4.0,0.0001583099365234375,284.76513671875,4.244927883148193,1.0,None,0.0,13.349716186523438,0.16182395815849304,468.9210510253906,0.11672768741846085,2.491020917892456,292.0162048339844,rff,0.05057501792907715,srht,0.0,21.498207092285156,17695.0390625,283.9101867675781,5.760237216949463,2.976849317550659,0.13773296773433685
8.0,16.0,1.0,0.0,Powerplant,4.0,0.0002510547637939453,284.76513671875,4.244927883148193,1.0,None,0.0,64.8353500366211,0.3695510923862457,8105.28564453125,0.48529762029647827,2.491020917892456,292.0162048339844,n_sketch,0.028799057006835938,rademacher,0.0,99.69231414794922,240337.078125,283.9101867675781,80.3402099609375,5.415924072265625,0.13708482682704926
8.0,16.0,1.0,1.0,Powerplant,4.0,0.00015664100646972656,284.76513671875,4.244927883148193,1.0,None,0.0,36.03883361816406,0.2543962597846985,2200.0419921875,0.25283634662628174,2.491020917892456,292.0162048339844,n_sketch,0.05526995658874512,rademacher,0.0,36.8031005859375,68346.734375,283.9101867675781,23.366304397583008,3.4545795917510986,0.1407928466796875
8.0,16.0,1.0,0.0,Powerplant,4.0,0.00017404556274414062,284.76513671875,4.244927883148193,1.0,None,0.0,36.891727447509766,0.21978573501110077,3014.27392578125,0.29594796895980835,2.491020917892456,292.0162048339844,n_sketch,0.030920743942260742,srht,0.0,30.6771240234375,50195.6953125,283.9101867675781,16.662805557250977,3.2635228633880615,0.14004382491111755
8.0,16.0,1.0,1.0,Powerplant,4.0,0.0001556873321533203,284.76513671875,4.244927883148193,1.0,None,0.0,25.39438247680664,0.18442219495773315,1121.1478271484375,0.18049095571041107,2.491020917892456,292.0162048339844,n_sketch,0.06025552749633789,srht,0.0,36.734561920166016,64293.88671875,283.9101867675781,20.022558212280273,3.4525604248046875,0.14029331505298615
8.0,16.0,1.0,0.0,Powerplant,4.0,0.00015974044799804688,284.76513671875,4.244927883148193,1.0,None,0.0,60.183982849121094,0.39855363965034485,5414.41943359375,0.39664316177368164,2.491020917892456,292.0162048339844,n_sketch,0.04157137870788574,countsketch_scatter,0.0,62.39973449707031,166882.890625,283.9101867675781,48.72531509399414,4.253905296325684,0.14000187814235687
