D,alpha,bias,comp,dataset,degree,dist_est_time,dummy_error,dummy_mnll,est_len,feature_dist,hier,k_mean_error,k_mean_rel_error,k_mse,k_rel_frob_error,kernel_len,kernel_var,method,pred_time,proj,seed,test_error,test_kl,test_label_var,test_mean_mse,test_mnll,test_var_mse
8.0,0.03125,0.0,0.0,kin8nm,4.0,0.00014281272888183594,0.06535600870847702,0.05611284822225571,1.0,None,0.0,0.013777563348412514,0.35833582282066345,0.00032144898432306945,0.41353654861450195,3.9150164127349854,0.06994851678609848,rff,0.03668475151062012,gaussian,0.0,0.046299148350954056,15056.3291015625,0.06533454358577728,0.022306421771645546,-0.07341893762350082,7.380094189102238e-07
8.0,0.03125,0.0,1.0,kin8nm,4.0,0.00014495849609375,0.06535600870847702,0.05611284822225571,1.0,None,0.0,0.007808580528944731,0.20448221266269684,9.981203766074032e-05,0.23043547570705414,3.9150164127349854,0.06994851678609848,rff,0.034166574478149414,gaussian,0.0,0.04173192381858826,11414.3251953125,0.06533454358577728,0.016981951892375946,-0.14642463624477386,7.36611411866761e-07
8.0,0.03125,0.0,0.0,kin8nm,4.0,0.00012755393981933594,0.06535600870847702,0.05611284822225571,1.0,None,0.0,0.009387372061610222,0.24760107696056366,0.0001403203496010974,0.2732236087322235,3.9150164127349854,0.06994851678609848,rff,0.028688669204711914,srht,0.0,0.058242421597242355,23260.34765625,0.06533454358577728,0.032946813851594925,0.11753804236650467,7.380434681181214e-07
8.0,0.03125,0.0,1.0,kin8nm,4.0,0.00012636184692382812,0.06535600870847702,0.05611284822225571,1.0,None,0.0,0.002174555789679289,0.061979129910469055,8.944168257585261e-06,0.06898073852062225,3.9150164127349854,0.06994851678609848,rff,0.049251556396484375,srht,0.0,0.03751949593424797,8861.5107421875,0.06533454358577728,0.012754805386066437,-0.21374176442623138,7.400453796435613e-07
8.0,0.03125,1.0,0.0,kin8nm,4.0,0.00011968612670898438,0.06535600870847702,0.05611284822225571,1.0,None,0.0,0.010251947678625584,0.23790669441223145,0.00018387642921879888,0.312766969203949,3.9150164127349854,0.06994851678609848,n_sketch,0.028083086013793945,rademacher,0.0,0.04356018081307411,11767.45703125,0.06533454358577728,0.01821676269173622,-0.11725959926843643,7.401068842227687e-07
8.0,0.03125,1.0,1.0,kin8nm,4.0,0.00013184547424316406,0.06535600870847702,0.05611284822225571,1.0,None,0.0,0.008548920042812824,0.20749741792678833,0.00011953111970797181,0.25217288732528687,3.9150164127349854,0.06994851678609848,n_sketch,0.05199766159057617,rademacher,0.0,0.038917332887649536,10581.126953125,0.06533454358577728,0.014318658970296383,-0.1914089173078537,7.365269425463339e-07
8.0,0.03125,1.0,0.0,kin8nm,4.0,0.0001285076141357422,0.06535600870847702,0.05611284822225571,1.0,None,0.0,0.01333092711865902,0.3105390965938568,0.000329559639794752,0.41872113943099976,3.9150164127349854,0.06994851678609848,n_sketch,0.0296323299407959,srht,0.0,0.04762045666575432,15739.7919921875,0.06533454358577728,0.022940969094634056,-0.05219513550400734,7.432182655975339e-07
8.0,0.03125,1.0,1.0,kin8nm,4.0,0.00012803077697753906,0.06535600870847702,0.05611284822225571,1.0,None,0.0,0.00968359224498272,0.2279522716999054,0.0001705591712379828,0.30122801661491394,3.9150164127349854,0.06994851678609848,n_sketch,0.0617671012878418,srht,0.0,0.043487418442964554,11904.4326171875,0.06533454358577728,0.018192214891314507,-0.11831729859113693,7.413847811221785e-07
8.0,0.03125,1.0,0.0,kin8nm,4.0,0.00011730194091796875,0.06535600870847702,0.05611284822225571,1.0,None,0.0,0.01287045143544674,0.30370059609413147,0.00027617652085609734,0.3833109736442566,3.9150164127349854,0.06994851678609848,n_sketch,0.03797411918640137,countsketch_scatter,0.0,0.04055219516158104,11408.10546875,0.06533454358577728,0.01686740666627884,-0.16527406871318817,7.380129432021931e-07
8.0,0.03125,0.0,0.0,kin8nm,10.0,0.5126922130584717,0.06535600870847702,0.05611284822225571,1.0,"[5, 2]",0.0,0.00825798511505127,0.20633211731910706,0.00011931763583561406,0.2519475817680359,3.9150164127349854,0.06994851678609848,maclaurin,0.08268404006958008,rademacher,0.0,0.04041763022542,10559.83203125,0.06533454358577728,0.015040304511785507,-0.16738846898078918,7.424345085382811e-07
