D,bias,comp,dataset,degree,feature_dist,hier,k_mean_error,k_mse,k_rel_frob_error,kernel_len,kernel_var,method,noise_var,pred_time,proj,seed,test_error,test_kl,test_label_var,test_mean_mse,test_mnll,test_var_mse
80.0,0.0,0.0,Boston,0.0,None,0.0,5.36958646774292,47.225181579589844,0.12961138784885406,4.658846378326416,84.10760498046875,rff,0.000244140625,0.008012533187866211,gaussian,0.0,13.43513011932373,,75.76026916503906,92.6540756225586,21223.814453125,
80.0,0.0,0.0,Boston,0.0,None,0.0,3.5498220920562744,22.692249298095703,0.08984525501728058,4.658846378326416,84.10760498046875,rff,0.00048828125,0.004833221435546875,gaussian,0.0,10.235435485839844,112054.71875,75.76026916503906,52.99843978881836,8038.77294921875,0.06864278018474579
80.0,0.0,0.0,Boston,0.0,None,0.0,4.5000152587890625,36.18616485595703,0.11345604807138443,4.658846378326416,84.10760498046875,rff,0.0009765625,0.004317522048950195,gaussian,0.0,10.104681015014648,55588.73828125,75.76026916503906,34.16569900512695,3724.079833984375,0.07224544137716293
80.0,0.0,0.0,Boston,0.0,None,0.0,4.380637168884277,33.138023376464844,0.10857245326042175,4.658846378326416,84.10760498046875,rff,0.001953125,0.005101919174194336,gaussian,0.0,12.73348331451416,33627.59375,75.76026916503906,33.255496978759766,2498.18994140625,0.07758725434541702
80.0,0.0,0.0,Boston,0.0,None,0.0,3.6259124279022217,23.601558685302734,0.09162768721580505,4.658846378326416,84.10760498046875,rff,0.00390625,0.006583690643310547,gaussian,0.0,13.597530364990234,30091.9140625,75.76026916503906,38.793190002441406,1291.8641357421875,0.08530520647764206
80.0,0.0,0.0,Boston,0.0,None,0.0,4.853311538696289,38.72462463378906,0.11736807227134705,4.658846378326416,84.10760498046875,rff,0.0078125,0.005445241928100586,gaussian,0.0,12.60128116607666,16079.6083984375,75.76026916503906,19.792888641357422,588.4301147460938,0.09638386219739914
80.0,0.0,0.0,Boston,0.0,None,0.0,4.5316162109375,39.22419738769531,0.11812271177768707,4.658846378326416,84.10760498046875,rff,0.015625,0.014972686767578125,gaussian,0.0,12.736382484436035,7943.84423828125,75.76026916503906,14.7597074508667,293.0309143066406,0.11280931532382965
80.0,0.0,0.0,Boston,0.0,None,0.0,3.617565155029297,22.354732513427734,0.08917459100484848,4.658846378326416,84.10760498046875,rff,0.03125,0.014841794967651367,gaussian,0.0,12.02097225189209,6407.955078125,75.76026916503906,11.027942657470703,141.48501586914062,0.13492707908153534
80.0,0.0,0.0,Boston,0.0,None,0.0,4.344059944152832,35.89679718017578,0.1130015030503273,4.658846378326416,84.10760498046875,rff,0.0625,0.011257410049438477,gaussian,0.0,8.887627601623535,3144.10791015625,75.76026916503906,12.470815658569336,53.1071891784668,0.16597649455070496
80.0,0.0,0.0,Boston,0.0,None,0.0,4.738649845123291,37.990394592285156,0.11625008285045624,4.658846378326416,84.10760498046875,rff,0.125,0.005087137222290039,gaussian,0.0,11.829497337341309,1596.5726318359375,75.76026916503906,9.58088207244873,35.2784538269043,0.2132217437028885
80.0,0.0,0.0,Boston,0.0,None,0.0,5.220245361328125,50.73587417602539,0.13434267044067383,4.658846378326416,84.10760498046875,rff,0.25,0.011949777603149414,gaussian,0.0,17.598217010498047,1402.728271484375,75.76026916503906,11.098034858703613,25.843433380126953,0.2868625521659851
80.0,0.0,0.0,Boston,0.0,None,0.0,5.065151214599609,43.67833709716797,0.12464918196201324,4.658846378326416,84.10760498046875,rff,0.5,0.0071184635162353516,gaussian,0.0,8.823801040649414,226.25839233398438,75.76026916503906,3.2583653926849365,7.294129848480225,0.34905239939689636
80.0,0.0,0.0,Boston,0.0,None,0.0,4.332045555114746,32.894935607910156,0.10817350447177887,4.658846378326416,84.10760498046875,rff,1.0,0.01925969123840332,gaussian,0.0,13.501949310302734,315.7200622558594,75.76026916503906,6.737502574920654,6.192698001861572,0.4698657691478729
80.0,0.0,0.0,Boston,0.0,None,0.0,3.4281816482543945,20.553007125854492,0.08550550043582916,4.658846378326416,84.10760498046875,rff,2.0,0.01293039321899414,gaussian,0.0,13.23509693145752,114.07682800292969,75.76026916503906,4.212286949157715,3.986377477645874,0.6465900540351868
80.0,0.0,0.0,Boston,0.0,None,0.0,4.098543643951416,28.738107681274414,0.10110799223184586,4.658846378326416,84.10760498046875,rff,4.0,0.008759737014770508,gaussian,0.0,13.590420722961426,64.11310577392578,75.76026916503906,3.112872362136841,3.042930841445923,0.5309184193611145
