feature_time_ms,mean,method,metric_time_ms,n,std,D,complex_real,full_cov,proj
129992.20077000064,-2.1474361419677733e-05,block-mmd,120.52337900058774,100.0,0.0013999174962092153,,,,
129992.20077000064,-4.39763069152832e-05,block-mmd,308.9255939994473,1000.0,0.00011053019178137431,,,,
129992.20077000064,-9.12189483642578e-06,block-mmd,4674.842025999169,5000.0,2.117993483808385e-05,,,,
129992.20077000064,-1.07574462890625e-05,block-mmd,16868.139975000304,10000.0,7.574230678704438e-06,,,,
129992.20077000064,-1.0516643524169922e-05,block-mmd,26782.539469000767,15000.0,5.499453615396889e-06,,,,
129992.20077000064,-9.720325469970704e-06,block-mmd,38682.15997200059,20000.0,3.6758013843649615e-06,,,,
129992.20077000064,-9.85428212534778e-06,rf,3246.3376480009174,,7.752205281417458e-06,64.0,0.0,0.0,countsketch_scatter
129992.20077000064,-9.960744487726992e-06,rf,3375.134326999614,,5.809122738658971e-06,128.0,0.0,0.0,countsketch_scatter
129992.20077000064,-9.538135017832517e-06,rf,3702.6824559998204,,4.4413883840442276e-06,256.0,0.0,0.0,countsketch_scatter
129992.20077000064,-1.015628290504278e-05,rf,4222.914400001173,,2.352069779490105e-06,512.0,0.0,0.0,countsketch_scatter
129992.20077000064,-9.86038103807818e-06,rf,5411.463905998971,,2.20052026577994e-06,1024.0,0.0,0.0,countsketch_scatter
129992.20077000064,-9.684015297306559e-06,rf,7823.977889000162,,1.4656706599418547e-06,2048.0,0.0,0.0,countsketch_scatter
129992.20077000064,-9.809772495001923e-06,rf,13172.401507999894,,1.098018536750895e-06,4096.0,0.0,0.0,countsketch_scatter
129992.20077000064,-9.85967422447942e-06,rf,21930.373675000737,,8.090463782949832e-07,6144.0,0.0,0.0,countsketch_scatter
129992.20077000064,-9.876419353251897e-06,rf,23879.433363001226,,6.98109688115736e-07,8192.0,0.0,0.0,countsketch_scatter
129992.20077000064,-1.065292822534092e-05,rf,3249.939611998343,,8.3115573196204e-06,64.0,0.0,1.0,srht
129992.20077000064,-1.0272633543806364e-05,rf,3384.2899209994357,,6.1854086706009195e-06,128.0,0.0,1.0,srht
129992.20077000064,-9.719301988626583e-06,rf,3717.1472560003167,,3.879817461156949e-06,256.0,0.0,1.0,srht
129992.20077000064,-1.0247905634268584e-05,rf,4216.503712999838,,3.1871952820162933e-06,512.0,0.0,1.0,srht
129992.20077000064,-9.88961785784781e-06,rf,4915.431970999634,,1.9800651467405553e-06,1024.0,0.0,1.0,srht
129992.20077000064,-9.51713078936045e-06,rf,6495.360339000399,,1.2177245762202845e-06,2048.0,0.0,1.0,srht
129992.20077000064,-9.66784489305983e-06,rf,9383.597177999036,,8.946044919843463e-07,4096.0,0.0,1.0,srht
129992.20077000064,-9.691603566204243e-06,rf,12229.11883300003,,9.350572793016842e-07,6144.0,0.0,1.0,srht
129992.20077000064,-9.813833298641938e-06,rf,14989.061108000897,,7.603673095855773e-07,8192.0,0.0,1.0,srht
129992.20077000064,-9.800123826471108e-06,rf,17781.098014000236,,6.314624438709358e-07,10240.0,0.0,1.0,srht
129992.20077000064,-1.0803666675367473e-05,rf,8507.253589001266,,8.970104919077675e-06,64.0,1.0,1.0,srht
129992.20077000064,-1.0888070829180308e-05,rf,8693.218526999772,,5.413571872205233e-06,128.0,1.0,1.0,srht
129992.20077000064,-1.0248823591081368e-05,rf,8998.362658998303,,3.99943660309487e-06,256.0,1.0,1.0,srht
129992.20077000064,-1.0076732466521853e-05,rf,9557.482279000396,,2.485736807878506e-06,512.0,1.0,1.0,srht
129992.20077000064,-9.694720062936036e-06,rf,10601.821755999481,,1.8354632073254274e-06,1024.0,1.0,1.0,srht
129992.20077000064,-9.873723218407626e-06,rf,12469.062791000397,,1.4369042660199404e-06,2048.0,1.0,1.0,srht
129992.20077000064,-9.713458184199552e-06,rf,15503.78451600045,,8.679233851250157e-07,4096.0,1.0,1.0,srht
129992.20077000064,-9.742864999768842e-06,rf,18357.618781999918,,7.537788293763119e-07,6144.0,1.0,1.0,srht
129992.20077000064,-9.870600449617406e-06,rf,21403.511332999187,,6.43091924690237e-07,8192.0,1.0,1.0,srht
129992.20077000064,-9.834182353505305e-06,rf,24447.445035000783,,5.985679462725574e-07,10240.0,1.0,1.0,srht
