dataset,kernel,method,degree,bias,proj,comp,comp_real,full_cov,ahle,tree,kernel_var,kernel_len,k_frob_error,k_rel_frob_error,D,E,feature_dist,noise_var,feature_time,maclaurin_time,seed
Energy,polynomial,maclaurin,3,0.5,rademacher,False,False,False,False,False,97.77330780029297,1.4142135381698608,1335.5550537109375,0.4780031442642212,40,0,"[17, 22]",0.001,0.0004439353942871094,0.034993886947631836,0
Energy,polynomial,maclaurin,3,0.5,rademacher,False,False,False,False,False,96.0682373046875,1.4142135381698608,942.7186889648438,0.3212313950061798,40,0,"[17, 22]",0.001,0.0010068416595458984,0.03391528129577637,1
Energy,polynomial,maclaurin,3,0.5,rademacher,False,False,False,False,False,95.73117065429688,1.4142135381698608,1137.81787109375,0.36425313353538513,40,0,"[17, 22]",0.001,0.0011630058288574219,0.0450749397277832,2
Energy,polynomial,maclaurin,3,0.5,rademacher,False,False,False,False,False,95.06824493408203,1.4142135381698608,1029.289794921875,0.3054201304912567,40,0,"[17, 22]",0.001,0.001064300537109375,0.03971385955810547,3
Energy,polynomial,maclaurin,3,0.5,rademacher,False,False,False,False,False,94.7755355834961,1.4142135381698608,1501.51416015625,0.3999648988246918,40,0,"[17, 22]",0.001,0.0005998611450195312,0.05038309097290039,4
Energy,polynomial,maclaurin,3,0.5,rademacher,False,False,False,False,False,95.78710174560547,1.4142135381698608,1587.800048828125,0.39311742782592773,40,0,"[17, 22]",0.001,0.0007350444793701172,0.061723947525024414,5
Energy,polynomial,maclaurin,3,0.5,rademacher,False,False,False,False,False,95.39865112304688,1.4142135381698608,1199.608154296875,0.28415486216545105,40,0,"[17, 22]",0.001,0.0005538463592529297,0.05148172378540039,6
Energy,polynomial,maclaurin,3,0.5,rademacher,False,False,False,False,False,95.82131958007812,1.4142135381698608,1969.5213623046875,0.45130887627601624,40,0,"[17, 22]",0.001,0.0006010532379150391,0.05607128143310547,7
Energy,polynomial,maclaurin,3,0.5,rademacher,False,False,False,False,False,94.94180297851562,1.4142135381698608,1962.9862060546875,0.418261855840683,40,0,"[17, 22]",0.001,0.000701904296875,0.05762314796447754,8
Energy,polynomial,maclaurin,3,0.5,rademacher,False,False,False,False,False,95.03597259521484,1.4142135381698608,2066.409912109375,0.4171886444091797,40,0,"[17, 22]",0.001,0.0008399486541748047,0.07245707511901855,9
Energy,polynomial,maclaurin,3,0.5,rademacher,False,False,False,False,False,94.62322235107422,1.4142135381698608,2623.603271484375,0.5099079012870789,40,0,"[17, 22]",0.001,0.0014081001281738281,0.07061004638671875,10
Energy,polynomial,maclaurin,3,0.5,rademacher,False,False,False,False,False,94.87894439697266,1.4142135381698608,1755.8736572265625,0.33054834604263306,40,0,"[17, 22]",0.001,0.0011320114135742188,0.07555580139160156,11
Energy,polynomial,maclaurin,3,0.5,rademacher,False,False,False,False,False,95.50570678710938,1.4142135381698608,2179.081787109375,0.3720121383666992,40,0,"[17, 22]",0.001,0.003985881805419922,0.07748985290527344,12
Energy,polynomial,maclaurin,3,0.5,rademacher,False,False,False,False,False,94.64181518554688,1.4142135381698608,2265.01708984375,0.3773924708366394,40,0,"[17, 22]",0.001,0.0009458065032958984,0.09842181205749512,13
Energy,polynomial,maclaurin,3,0.5,rademacher,False,False,False,False,False,94.9537124633789,1.4142135381698608,2332.2705078125,0.37396323680877686,40,0,"[17, 22]",0.001,0.0007967948913574219,0.0972907543182373,14
Energy,polynomial,maclaurin,3,0.5,rademacher,False,False,False,False,False,94.4978256225586,1.4142135381698608,2598.205078125,0.403586745262146,40,0,"[17, 22]",0.001,0.0011289119720458984,0.10874390602111816,15
Energy,polynomial,maclaurin,3,0.5,rademacher,False,False,False,False,False,94.0489730834961,1.4142135381698608,2934.518310546875,0.44436579942703247,40,0,"[17, 22]",0.001,0.001065969467163086,0.11177301406860352,16
Energy,polynomial,maclaurin,3,0.5,rademacher,False,False,False,False,False,94.94176483154297,1.4142135381698608,2634.68359375,0.37591034173965454,40,0,"[17, 22]",0.001,0.0011966228485107422,0.11471223831176758,17
Energy,polynomial,maclaurin,3,0.5,rademacher,False,False,False,False,False,94.2376937866211,1.4142135381698608,2837.004638671875,0.39624691009521484,40,0,"[17, 22]",0.001,0.0010349750518798828,0.1328120231628418,18
Energy,polynomial,maclaurin,3,0.5,rademacher,False,False,False,False,False,94.42769622802734,1.4142135381698608,2145.85498046875,0.28970080614089966,40,0,"[17, 22]",0.001,0.0010302066802978516,0.13767194747924805,19
Energy,polynomial,maclaurin,7,0.5,rademacher,False,False,False,False,False,93.94969177246094,1.4142135381698608,3049.276611328125,0.6384731531143188,40,0,"[3, 11, 25]",0.001,0.0018131732940673828,0.37145090103149414,0
Energy,polynomial,maclaurin,7,0.5,rademacher,False,False,False,False,False,94.31974029541016,1.4142135381698608,3454.697998046875,0.6487710475921631,40,0,"[3, 11, 25]",0.001,0.0009648799896240234,0.3913998603820801,1
Energy,polynomial,maclaurin,7,0.5,rademacher,False,False,False,False,False,94.45777893066406,1.4142135381698608,3329.676513671875,0.6329882144927979,40,0,"[3, 11, 25]",0.001,0.0029213428497314453,0.41286611557006836,2
Energy,polynomial,maclaurin,7,0.5,rademacher,False,False,False,False,False,94.46786499023438,1.4142135381698608,3808.475830078125,0.7015900611877441,40,0,"[3, 11, 25]",0.001,0.0009510517120361328,0.43352389335632324,3
Energy,polynomial,maclaurin,7,0.5,rademacher,False,False,False,False,False,94.59015655517578,1.4142135381698608,4013.514892578125,0.7326186895370483,40,0,"[3, 11, 25]",0.001,0.0015950202941894531,0.4606037139892578,4
Energy,polynomial,maclaurin,7,0.5,rademacher,False,False,False,False,False,93.38162231445312,1.4142135381698608,4194.01025390625,0.7338255643844604,40,0,"[3, 11, 25]",0.001,0.0015721321105957031,0.49390101432800293,5
Energy,polynomial,maclaurin,7,0.5,rademacher,False,False,False,False,False,94.84307861328125,1.4142135381698608,3360.110595703125,0.5692474246025085,40,0,"[3, 11, 25]",0.001,0.0009441375732421875,0.5202889442443848,6
Energy,polynomial,maclaurin,7,0.5,rademacher,False,False,False,False,False,94.64551544189453,1.4142135381698608,4131.3623046875,0.6786835193634033,40,0,"[3, 11, 25]",0.001,0.0009911060333251953,0.5637891292572021,7
Energy,polynomial,maclaurin,7,0.5,rademacher,False,False,False,False,False,93.0362319946289,1.4142135381698608,4214.07763671875,0.7159960865974426,40,0,"[3, 11, 25]",0.001,0.0013947486877441406,0.5692071914672852,8
