dataset,kernel,method,degree,bias,proj,comp,comp_real,full_cov,ahle,tree,kernel_var,kernel_len,k_frob_error,k_rel_frob_error,D,E,feature_dist,noise_var,feature_time,maclaurin_time,seed
FashionMNIST,polynomial,maclaurin,3,0.5,rademacher,False,False,False,False,False,9.030295372009277,1.4142135381698608,613.140380859375,0.061810411512851715,5120,0,"[1980, 2272, 867]",0.001,1.554642915725708,1.7350420951843262,0
FashionMNIST,polynomial,maclaurin,3,0.5,rademacher,True,False,False,False,False,9.030295372009277,1.4142135381698608,573.0752563476562,0.0577714629471302,5120,0,"[2068, 2251, 800]",0.001,5.892215013504028,1.6374931335449219,0
FashionMNIST,polynomial,maclaurin,3,0.5,srht,True,False,False,False,False,9.030295372009277,1.4142135381698608,359.8699951171875,0.03627833351492882,5120,0,"[1024, 2974, 1121]",0.001,6.317589998245239,1.7992730140686035,0
FashionMNIST,polynomial,maclaurin,3,0.5,srht,True,False,False,False,False,9.030295372009277,1.4142135381698608,367.1590576171875,0.03701314330101013,5120,0,"[1024, 2974, 1121]",0.001,6.4667041301727295,1.844285011291504,0
FashionMNIST,polynomial,maclaurin,3,0.5,rademacher,False,False,False,False,False,9.030295372009277,1.4142135381698608,652.2398071289062,0.0658414363861084,5120,0,"[1980, 2272, 867]",0.001,1.5537149906158447,1.6658949851989746,1
FashionMNIST,polynomial,maclaurin,3,0.5,rademacher,True,False,False,False,False,9.030295372009277,1.4142135381698608,582.31689453125,0.058782950043678284,5120,0,"[2068, 2251, 800]",0.001,5.954315900802612,1.676865816116333,1
FashionMNIST,polynomial,maclaurin,3,0.5,srht,True,False,False,False,False,9.030295372009277,1.4142135381698608,361.7442626953125,0.03651687875390053,5120,0,"[1024, 2974, 1121]",0.001,6.326911926269531,1.812635898590088,1
FashionMNIST,polynomial,maclaurin,3,0.5,srht,True,False,False,False,False,9.030295372009277,1.4142135381698608,366.09552001953125,0.036956124007701874,5120,0,"[1024, 2974, 1121]",0.001,6.3436150550842285,1.8191380500793457,1
FashionMNIST,polynomial,maclaurin,3,0.5,rademacher,False,False,False,False,False,9.030295372009277,1.4142135381698608,598.0418090820312,0.05961179360747337,5120,0,"[1976, 2273, 870]",0.001,1.5716228485107422,1.6840569972991943,2
FashionMNIST,polynomial,maclaurin,3,0.5,rademacher,True,False,False,False,False,9.030295372009277,1.4142135381698608,574.2769165039062,0.057242948561906815,5120,0,"[2066, 2252, 801]",0.001,5.956344127655029,1.6909468173980713,2
