dataset,kernel,method,degree,bias,proj,comp,comp_real,full_cov,ahle,tree,kernel_var,kernel_len,k_frob_error,k_rel_frob_error,D,E,feature_dist,noise_var,feature_time,maclaurin_time,seed
Mocap,gaussian,maclaurin,0,0,rademacher,False,False,False,False,False,16.048513412475586,8.039451599121094,182.6844940185547,0.0366586335003376,320,0,"[244, 75]",0.001,0.11243700981140137,0.5920231342315674,0
Mocap,gaussian,maclaurin,0,0,rademacher,True,False,False,False,False,16.048513412475586,8.039451599121094,157.13780212402344,0.031532272696495056,320,0,"[246, 73]",0.001,0.27501678466796875,0.563934326171875,0
Mocap,gaussian,maclaurin,0,0,srht,False,False,False,False,False,16.048513412475586,8.039451599121094,46.61735534667969,0.00935453549027443,320,0,"[64, 255]",0.001,0.5430550575256348,0.6559031009674072,0
Mocap,gaussian,maclaurin,0,0,srht,True,False,False,False,False,16.048513412475586,8.039451599121094,46.176204681396484,0.009266011416912079,320,0,"[64, 255]",0.001,1.0568299293518066,0.610421895980835,0
Mocap,gaussian,maclaurin,0,0,rademacher,False,False,False,False,False,16.04905891418457,8.093361854553223,185.59803771972656,0.03660916909575462,320,0,"[246, 73]",0.001,0.11943721771240234,1.7187352180480957,1
Mocap,gaussian,maclaurin,0,0,rademacher,True,False,False,False,False,16.04905891418457,8.093361854553223,166.484619140625,0.03283905237913132,320,0,"[247, 72]",0.001,0.3009800910949707,1.822679042816162,1
Mocap,gaussian,maclaurin,0,0,srht,False,False,False,False,False,16.04905891418457,8.093361854553223,40.425472259521484,0.007973914965987206,320,0,"[64, 255]",0.001,0.5745208263397217,1.757443904876709,1
Mocap,gaussian,maclaurin,0,0,srht,True,False,False,False,False,16.04905891418457,8.093361854553223,40.24409484863281,0.007938138209283352,320,0,"[64, 255]",0.001,1.1884229183197021,1.77012300491333,1
Mocap,gaussian,maclaurin,0,0,rademacher,False,False,False,False,False,16.048574447631836,8.203337669372559,177.91827392578125,0.034983810037374496,320,0,"[245, 74]",0.001,0.12201285362243652,0.5053679943084717,2
Mocap,gaussian,maclaurin,0,0,rademacher,True,False,False,False,False,16.048574447631836,8.203337669372559,164.40171813964844,0.032326068729162216,320,0,"[247, 72]",0.001,0.325206995010376,0.5073480606079102,2
