dataset,kernel,method,degree,bias,proj,comp,comp_real,full_cov,ahle,tree,kernel_var,kernel_len,k_frob_error,k_rel_frob_error,D,E,feature_dist,noise_var,feature_time,maclaurin_time,seed
Naval,polynomial,maclaurin,3,0.5,rademacher,False,False,False,False,False,0.00013617258809972554,1.4142135381698608,0.02758955769240856,0.2703898251056671,80,0,"[28, 51]",0.001,0.005819082260131836,0.6583809852600098,0
Naval,polynomial,maclaurin,3,0.5,rademacher,False,False,False,False,False,0.00013598077930510044,1.4142135381698608,0.044312138110399246,0.39448896050453186,80,0,"[28, 51]",0.001,0.006326913833618164,0.6639950275421143,1
Naval,polynomial,maclaurin,3,0.5,rademacher,False,False,False,False,False,0.00013640511315315962,1.4142135381698608,0.044295534491539,0.3622261881828308,80,0,"[28, 51]",0.001,0.005112886428833008,0.6490433216094971,2
Naval,polynomial,maclaurin,3,0.5,rademacher,False,False,False,False,False,0.0001358682638965547,1.4142135381698608,0.051980432122945786,0.39270520210266113,80,0,"[28, 51]",0.001,0.005154132843017578,0.6635949611663818,3
Naval,polynomial,maclaurin,3,0.5,rademacher,False,False,False,False,False,0.00013736997789237648,1.4142135381698608,0.024820629507303238,0.1726924329996109,80,0,"[28, 51]",0.001,0.007681608200073242,0.657588005065918,4
Naval,polynomial,maclaurin,3,0.5,rademacher,False,False,False,False,False,0.000136934409965761,1.4142135381698608,0.022136742249131203,0.14303703606128693,80,0,"[28, 51]",0.001,0.03580188751220703,0.6477348804473877,5
Naval,polynomial,maclaurin,3,0.5,rademacher,False,False,False,False,False,0.00013667465827893466,1.4142135381698608,0.030866142362356186,0.18776370584964752,80,0,"[28, 51]",0.001,0.010907888412475586,0.647291898727417,6
Naval,polynomial,maclaurin,3,0.5,rademacher,False,False,False,False,False,0.0001362888579024002,1.4142135381698608,0.029191769659519196,0.1685284525156021,80,0,"[28, 51]",0.001,0.009964942932128906,0.668079137802124,7
Naval,polynomial,maclaurin,3,0.5,rademacher,False,False,False,False,False,0.00013681745622307062,1.4142135381698608,0.04839658364653587,0.2607285678386688,80,0,"[28, 51]",0.001,0.008887052536010742,0.7083888053894043,8
Naval,polynomial,maclaurin,3,0.5,rademacher,False,False,False,False,False,0.00013626416330225766,1.4142135381698608,0.0775357261300087,0.3997291326522827,80,0,"[28, 51]",0.001,0.010542154312133789,0.7336452007293701,9
Naval,polynomial,maclaurin,3,0.5,rademacher,False,False,False,False,False,0.00013669680629391223,1.4142135381698608,0.05333292484283447,0.2598349452018738,80,0,"[28, 51]",0.001,0.009451866149902344,0.70147705078125,10
Naval,polynomial,maclaurin,3,0.5,rademacher,False,False,False,False,False,0.00013645780563820153,1.4142135381698608,0.07318533957004547,0.34040719270706177,80,0,"[28, 51]",0.001,0.01120901107788086,0.6820328235626221,11
