dataset,kernel,method,degree,bias,proj,comp,comp_real,full_cov,ahle,tree,kernel_var,kernel_len,k_frob_error,k_rel_frob_error,D,E,feature_dist,noise_var,feature_time,maclaurin_time,seed
Naval,gaussian,maclaurin,0,0,rademacher,False,False,False,False,False,0.00013617258809972554,3.540736675262451,0.009058989584445953,0.2049015462398529,80,0,"[27, 27, 25]",0.001,0.006996870040893555,0.45177388191223145,0
Naval,gaussian,maclaurin,0,0,rademacher,True,False,False,False,False,0.00013617258809972554,3.540736675262451,0.004148378502577543,0.09383046627044678,80,0,"[25, 23, 17, 14]",0.001,0.021559953689575195,0.4385669231414795,0
Naval,gaussian,maclaurin,0,0,srht,False,False,False,False,False,0.00013617258809972554,3.540736675262451,0.006632104981690645,0.15000884234905243,80,0,"[16, 30, 33]",0.001,0.13651490211486816,0.48452186584472656,0
Naval,gaussian,maclaurin,0,0,srht,True,False,False,False,False,0.00013617258809972554,3.540736675262451,0.005109492689371109,0.11556950956583023,80,0,"[16, 16, 16, 16, 15]",0.001,0.30539894104003906,0.5192859172821045,0
Naval,gaussian,maclaurin,0,0,rademacher,False,False,False,False,False,0.00013598077930510044,3.6442573070526123,0.00637383759021759,0.14366933703422546,80,0,"[26, 27, 26]",0.001,0.00458216667175293,0.4476809501647949,1
Naval,gaussian,maclaurin,0,0,rademacher,True,False,False,False,False,0.00013598077930510044,3.6442573070526123,0.003577173687517643,0.08063119649887085,80,0,"[24, 22, 18, 15]",0.001,0.0216519832611084,0.4907951354980469,1
Naval,gaussian,maclaurin,0,0,srht,False,False,False,False,False,0.00013598077930510044,3.6442573070526123,0.007355858571827412,0.16580455005168915,80,0,"[16, 29, 34]",0.001,0.14986705780029297,0.49454379081726074,1
Naval,gaussian,maclaurin,0,0,srht,True,False,False,False,False,0.00013598077930510044,3.6442573070526123,0.0028882354963570833,0.06510220468044281,80,0,"[16, 16, 16, 16, 15]",0.001,0.3326742649078369,0.46005916595458984,1
Naval,gaussian,maclaurin,0,0,rademacher,False,False,False,False,False,0.00013640511315315962,3.489107847213745,0.007326413877308369,0.1680360734462738,80,0,"[27, 27, 25]",0.001,0.0043621063232421875,0.45021486282348633,2
Naval,gaussian,maclaurin,0,0,rademacher,True,False,False,False,False,0.00013640511315315962,3.489107847213745,0.006445626262575388,0.1478346288204193,80,0,"[26, 22, 17, 14]",0.001,0.026310205459594727,0.45491600036621094,2
