dataset,kernel,method,degree,bias,proj,comp,comp_real,full_cov,ahle,tree,kernel_var,kernel_len,k_frob_error,k_rel_frob_error,D,E,feature_dist,noise_var,feature_time,maclaurin_time,seed
Powerplant,polynomial,maclaurin,3,0.5,rademacher,False,False,False,False,False,292.0162048339844,1.4142135381698608,49716.51171875,0.43290773034095764,20,0,"[8, 11]",0.001,0.0020689964294433594,0.648716926574707,0
Powerplant,polynomial,maclaurin,3,0.5,rademacher,False,False,False,False,False,292.1457214355469,1.4142135381698608,52157.1328125,0.4166085720062256,20,0,"[8, 11]",0.001,0.0015721321105957031,0.6491649150848389,1
Powerplant,polynomial,maclaurin,3,0.5,rademacher,False,False,False,False,False,289.9059753417969,1.4142135381698608,71901.03125,0.5275354385375977,20,0,"[8, 11]",0.001,0.0018138885498046875,0.6521692276000977,2
Powerplant,polynomial,maclaurin,3,0.5,rademacher,False,False,False,False,False,291.7864074707031,1.4142135381698608,52814.67578125,0.35846346616744995,20,0,"[8, 11]",0.001,0.0018830299377441406,0.6574180126190186,3
Powerplant,polynomial,maclaurin,3,0.5,rademacher,False,False,False,False,False,292.1767883300781,1.4142135381698608,60163.86328125,0.37099942564964294,20,0,"[8, 11]",0.001,0.0038290023803710938,0.6375391483306885,4
Powerplant,polynomial,maclaurin,3,0.5,rademacher,False,False,False,False,False,291.7087707519531,1.4142135381698608,60578.0078125,0.3487747609615326,20,0,"[8, 11]",0.001,0.002057313919067383,0.6422569751739502,5
Powerplant,polynomial,maclaurin,3,0.5,rademacher,False,False,False,False,False,291.4675598144531,1.4142135381698608,91781.6015625,0.49705323576927185,20,0,"[8, 11]",0.001,0.0028901100158691406,0.6591222286224365,6
Powerplant,polynomial,maclaurin,3,0.5,rademacher,False,False,False,False,False,292.6131896972656,1.4142135381698608,77222.59375,0.3978141248226166,20,0,"[8, 11]",0.001,0.0023391246795654297,0.6459007263183594,7
Powerplant,polynomial,maclaurin,3,0.5,rademacher,False,False,False,False,False,291.2942810058594,1.4142135381698608,67036.4375,0.32712358236312866,20,0,"[8, 11]",0.001,0.010626077651977539,0.6541750431060791,8
Powerplant,polynomial,maclaurin,3,0.5,rademacher,False,False,False,False,False,292.952880859375,1.4142135381698608,87673.203125,0.4018632769584656,20,0,"[8, 11]",0.001,0.00707697868347168,0.6539120674133301,9
Powerplant,polynomial,maclaurin,3,0.5,rademacher,False,False,False,False,False,292.9580383300781,1.4142135381698608,87165.5234375,0.3797261118888855,20,0,"[8, 11]",0.001,0.0026769638061523438,0.6383500099182129,10
Powerplant,polynomial,maclaurin,3,0.5,rademacher,False,False,False,False,False,292.51513671875,1.4142135381698608,86857.140625,0.3596697747707367,20,0,"[8, 11]",0.001,0.0025708675384521484,0.6451151371002197,11
Powerplant,polynomial,maclaurin,3,0.5,rademacher,False,False,False,False,False,293.5156555175781,1.4142135381698608,111402.6953125,0.4412926137447357,20,0,"[8, 11]",0.001,0.0036611557006835938,0.6366016864776611,12
Powerplant,polynomial,maclaurin,3,0.5,rademacher,False,False,False,False,False,293.4063720703125,1.4142135381698608,110972.03125,0.4204658269882202,20,0,"[8, 11]",0.001,0.003113985061645508,0.6593420505523682,13
Powerplant,polynomial,maclaurin,3,0.5,rademacher,False,False,False,False,False,292.4949035644531,1.4142135381698608,124513.9453125,0.44987979531288147,20,0,"[8, 11]",0.001,0.0028319358825683594,0.6376450061798096,14
Powerplant,polynomial,maclaurin,3,0.5,rademacher,False,False,False,False,False,293.3287353515625,1.4142135381698608,109772.25,0.3839314877986908,20,0,"[8, 11]",0.001,0.003350973129272461,0.6384081840515137,15
Powerplant,polynomial,maclaurin,3,0.5,rademacher,False,False,False,False,False,293.4707336425781,1.4142135381698608,116698.703125,0.39143913984298706,20,0,"[8, 11]",0.001,0.009164094924926758,0.6437840461730957,16
Powerplant,polynomial,maclaurin,3,0.5,rademacher,False,False,False,False,False,293.3293151855469,1.4142135381698608,234865.09375,0.7596893310546875,20,0,"[8, 11]",0.001,0.005766868591308594,0.6571288108825684,17
Powerplant,polynomial,maclaurin,3,0.5,rademacher,False,False,False,False,False,293.45660400390625,1.4142135381698608,134042.890625,0.4180648922920227,20,0,"[8, 11]",0.001,0.004161834716796875,0.6663167476654053,18
Powerplant,polynomial,maclaurin,3,0.5,rademacher,False,False,False,False,False,293.7318420410156,1.4142135381698608,132632.0625,0.39857208728790283,20,0,"[8, 11]",0.001,0.0034601688385009766,0.6542198657989502,19
Powerplant,polynomial,maclaurin,7,0.5,rademacher,False,False,False,False,False,293.8059387207031,1.4142135381698608,167633.484375,0.6838110685348511,20,0,"[1, 6, 12]",0.001,0.005725860595703125,1.6503541469573975,0
Powerplant,polynomial,maclaurin,7,0.5,rademacher,False,False,False,False,False,293.7175598144531,1.4142135381698608,163733.96875,0.6539582014083862,20,0,"[1, 6, 12]",0.001,0.004312992095947266,1.7056121826171875,1
Powerplant,polynomial,maclaurin,7,0.5,rademacher,False,False,False,False,False,293.3327941894531,1.4142135381698608,182776.015625,0.7023064494132996,20,0,"[1, 6, 12]",0.001,0.00422215461730957,1.687696933746338,2
Powerplant,polynomial,maclaurin,7,0.5,rademacher,False,False,False,False,False,293.5218200683594,1.4142135381698608,185057.015625,0.6922985911369324,20,0,"[1, 6, 12]",0.001,0.004734992980957031,1.6579530239105225,3
Powerplant,polynomial,maclaurin,7,0.5,rademacher,False,False,False,False,False,293.7873229980469,1.4142135381698608,170938.046875,0.6196309328079224,20,0,"[1, 6, 12]",0.001,0.004477977752685547,1.6472010612487793,4
Powerplant,polynomial,maclaurin,7,0.5,rademacher,False,False,False,False,False,293.3322448730469,1.4142135381698608,191891.578125,0.6749624013900757,20,0,"[1, 6, 12]",0.001,0.01055288314819336,1.676854133605957,5
Powerplant,polynomial,maclaurin,7,0.5,rademacher,False,False,False,False,False,293.28204345703125,1.4142135381698608,201742.90625,0.6895295977592468,20,0,"[1, 6, 12]",0.001,0.005251169204711914,1.6577670574188232,6
Powerplant,polynomial,maclaurin,7,0.5,rademacher,False,False,False,False,False,292.9182434082031,1.4142135381698608,196585.609375,0.6512801051139832,20,0,"[1, 6, 12]",0.001,0.009631156921386719,1.6814489364624023,7
Powerplant,polynomial,maclaurin,7,0.5,rademacher,False,False,False,False,False,293.837890625,1.4142135381698608,269873.15625,0.8725420236587524,20,0,"[1, 6, 12]",0.001,0.004985809326171875,1.7232069969177246,8
Powerplant,polynomial,maclaurin,7,0.5,rademacher,False,False,False,False,False,293.8328552246094,1.4142135381698608,243893.3125,0.7609516978263855,20,0,"[1, 6, 12]",0.001,0.011560916900634766,1.6972291469573975,9
Powerplant,polynomial,maclaurin,7,0.5,rademacher,False,False,False,False,False,293.3382568359375,1.4142135381698608,220310.25,0.665913462638855,20,0,"[1, 6, 12]",0.001,0.005839824676513672,1.6806001663208008,10
Powerplant,polynomial,maclaurin,7,0.5,rademacher,False,False,False,False,False,293.35223388671875,1.4142135381698608,235258.015625,0.7055478692054749,20,0,"[1, 6, 12]",0.001,0.005671024322509766,1.8022279739379883,11
Powerplant,polynomial,maclaurin,7,0.5,rademacher,False,False,False,False,False,293.4879455566406,1.4142135381698608,266419.25,0.7694252133369446,20,0,"[1, 6, 12]",0.001,0.005312919616699219,1.6773009300231934,12
Powerplant,polynomial,maclaurin,7,0.5,rademacher,False,False,False,False,False,293.1385803222656,1.4142135381698608,251284.828125,0.7159794569015503,20,0,"[1, 6, 12]",0.001,0.007013082504272461,1.6616079807281494,13
Powerplant,polynomial,maclaurin,7,0.5,rademacher,False,False,False,False,False,293.9669494628906,1.4142135381698608,257318.109375,0.7185482978820801,20,0,"[1, 6, 12]",0.001,0.008831024169921875,1.6409788131713867,14
Powerplant,polynomial,maclaurin,7,0.5,rademacher,False,False,False,False,False,294.1771545410156,1.4142135381698608,242796.875,0.6639705300331116,20,0,"[1, 6, 12]",0.001,0.005486249923706055,1.6727149486541748,15
