dataset,kernel,method,degree,bias,proj,comp,comp_real,full_cov,ahle,tree,kernel_var,kernel_len,k_frob_error,k_rel_frob_error,D,E,feature_dist,noise_var,feature_time,maclaurin_time,seed
Protein,polynomial,maclaurin,3,0.5,rademacher,False,False,False,False,False,37.44749450683594,1.4142135381698608,18342.4453125,0.2403818666934967,80,0,"[32, 47]",0.001,0.022342920303344727,0.7199079990386963,0
Protein,polynomial,maclaurin,3,0.5,rademacher,False,False,False,False,False,37.35319900512695,1.4142135381698608,27796.583984375,0.33913904428482056,80,0,"[32, 47]",0.001,0.02161717414855957,0.7050261497497559,1
Protein,polynomial,maclaurin,3,0.5,rademacher,False,False,False,False,False,37.42280960083008,1.4142135381698608,27933.287109375,0.3386761546134949,80,0,"[32, 47]",0.001,0.019928693771362305,0.7016630172729492,2
Protein,polynomial,maclaurin,3,0.5,rademacher,False,False,False,False,False,37.36720275878906,1.4142135381698608,14884.509765625,0.18128816783428192,80,0,"[32, 47]",0.001,0.023669958114624023,0.7196340560913086,3
Protein,polynomial,maclaurin,3,0.5,rademacher,False,False,False,False,False,37.386566162109375,1.4142135381698608,25204.818359375,0.3077761232852936,80,0,"[32, 47]",0.001,0.04981493949890137,0.6888129711151123,4
Protein,polynomial,maclaurin,3,0.5,rademacher,False,False,False,False,False,37.397369384765625,1.4142135381698608,18396.060546875,0.22305485606193542,80,0,"[32, 47]",0.001,0.021884918212890625,0.6744351387023926,5
Protein,polynomial,maclaurin,3,0.5,rademacher,False,False,False,False,False,37.350555419921875,1.4142135381698608,13489.451171875,0.16546297073364258,80,0,"[32, 47]",0.001,0.024291038513183594,0.6780989170074463,6
Protein,polynomial,maclaurin,3,0.5,rademacher,False,False,False,False,False,37.34685134887695,1.4142135381698608,60897.76953125,0.7350713610649109,80,0,"[32, 47]",0.001,0.037628889083862305,0.6897051334381104,7
Protein,polynomial,maclaurin,3,0.5,rademacher,False,False,False,False,False,37.319522857666016,1.4142135381698608,19034.2890625,0.23499709367752075,80,0,"[32, 47]",0.001,0.03176307678222656,0.6912722587585449,8
Protein,polynomial,maclaurin,3,0.5,rademacher,False,False,False,False,False,37.345699310302734,1.4142135381698608,19965.76953125,0.2435387521982193,80,0,"[32, 47]",0.001,0.04691290855407715,0.6619231700897217,9
Protein,polynomial,maclaurin,3,0.5,rademacher,False,False,False,False,False,37.316436767578125,1.4142135381698608,21376.724609375,0.26086193323135376,80,0,"[32, 47]",0.001,0.03707695007324219,0.7058680057525635,10
Protein,polynomial,maclaurin,3,0.5,rademacher,False,False,False,False,False,37.33143997192383,1.4142135381698608,18872.04296875,0.23005448281764984,80,0,"[32, 47]",0.001,0.03988003730773926,0.6826608180999756,11
Protein,polynomial,maclaurin,3,0.5,rademacher,False,False,False,False,False,37.311153411865234,1.4142135381698608,20643.572265625,0.2495880275964737,80,0,"[32, 47]",0.001,0.03465604782104492,0.7292101383209229,12
Protein,polynomial,maclaurin,3,0.5,rademacher,False,False,False,False,False,37.31538772583008,1.4142135381698608,21695.486328125,0.2630152404308319,80,0,"[32, 47]",0.001,0.03854227066040039,0.6731729507446289,13
Protein,polynomial,maclaurin,3,0.5,rademacher,False,False,False,False,False,37.34992980957031,1.4142135381698608,16621.189453125,0.20387043058872223,80,0,"[32, 47]",0.001,0.0406038761138916,0.6936886310577393,14
Protein,polynomial,maclaurin,3,0.5,rademacher,False,False,False,False,False,37.30766677856445,1.4142135381698608,18181.8671875,0.2207702398300171,80,0,"[32, 47]",0.001,0.03846621513366699,0.6689789295196533,15
Protein,polynomial,maclaurin,3,0.5,rademacher,False,False,False,False,False,37.29315948486328,1.4142135381698608,38779.4921875,0.4723035395145416,80,0,"[32, 47]",0.001,0.05014300346374512,0.6705951690673828,16
Protein,polynomial,maclaurin,3,0.5,rademacher,False,False,False,False,False,37.32765579223633,1.4142135381698608,27418.638671875,0.3345388174057007,80,0,"[32, 47]",0.001,0.043081045150756836,0.6592299938201904,17
Protein,polynomial,maclaurin,3,0.5,rademacher,False,False,False,False,False,37.310707092285156,1.4142135381698608,35564.1328125,0.43225353956222534,80,0,"[32, 47]",0.001,0.042919158935546875,0.6622781753540039,18
