dataset,kernel,method,degree,bias,proj,comp,comp_real,full_cov,ahle,tree,kernel_var,kernel_len,k_frob_error,k_rel_frob_error,D,E,feature_dist,noise_var,feature_time,maclaurin_time,seed
Yacht,polynomial,maclaurin,3,0.5,rademacher,False,False,False,False,False,224.4189453125,1.4142135381698608,1015.3806762695312,0.42970243096351624,40,0,"[18, 21]",0.001,0.0003840923309326172,0.0158541202545166,0
Yacht,polynomial,maclaurin,3,0.5,rademacher,False,False,False,False,False,235.3112030029297,1.4142135381698608,1131.532470703125,0.4058718979358673,40,0,"[18, 21]",0.001,0.0012860298156738281,0.017686843872070312,1
Yacht,polynomial,maclaurin,3,0.5,rademacher,False,False,False,False,False,262.26025390625,1.4142135381698608,1243.814453125,0.373015433549881,40,0,"[18, 21]",0.001,0.0003840923309326172,0.013823986053466797,2
Yacht,polynomial,maclaurin,3,0.5,rademacher,False,False,False,False,False,284.1886291503906,1.4142135381698608,1590.9842529296875,0.4142635464668274,40,0,"[18, 21]",0.001,0.00037407875061035156,0.011706113815307617,3
Yacht,polynomial,maclaurin,3,0.5,rademacher,False,False,False,False,False,280.0113220214844,1.4142135381698608,1223.9989013671875,0.2888644337654114,40,0,"[18, 21]",0.001,0.00039696693420410156,0.01652812957763672,4
Yacht,polynomial,maclaurin,3,0.5,rademacher,False,False,False,False,False,295.86907958984375,1.4142135381698608,1771.3145751953125,0.3848005533218384,40,0,"[18, 21]",0.001,0.0003948211669921875,0.018619060516357422,5
Yacht,polynomial,maclaurin,3,0.5,rademacher,False,False,False,False,False,294.2764892578125,1.4142135381698608,1335.8226318359375,0.2702862024307251,40,0,"[18, 21]",0.001,0.00040221214294433594,0.025957107543945312,6
Yacht,polynomial,maclaurin,3,0.5,rademacher,False,False,False,False,False,303.8948974609375,1.4142135381698608,2091.426513671875,0.39028435945510864,40,0,"[18, 21]",0.001,0.0005640983581542969,0.016762971878051758,7
Yacht,polynomial,maclaurin,3,0.5,rademacher,False,False,False,False,False,306.5238342285156,1.4142135381698608,2546.142578125,0.44030070304870605,40,0,"[18, 21]",0.001,0.0006051063537597656,0.022466659545898438,8
Yacht,polynomial,maclaurin,3,0.5,rademacher,False,False,False,False,False,303.4667053222656,1.4142135381698608,2312.63134765625,0.38344666361808777,40,0,"[18, 21]",0.001,0.0008378028869628906,0.017825841903686523,9
