dataset,kernel,method,degree,bias,proj,comp,comp_real,full_cov,ahle,tree,kernel_var,kernel_len,k_frob_error,k_rel_frob_error,D,E,feature_dist,noise_var,feature_time,maclaurin_time,seed
kin8nm,polynomial,maclaurin,3,0.5,rademacher,False,False,False,False,False,0.06994851678609848,1.4142135381698608,6.277188301086426,0.4647338092327118,40,0,"[19, 20]",0.001,0.002012968063354492,0.6483159065246582,0
kin8nm,polynomial,maclaurin,3,0.5,rademacher,False,False,False,False,False,0.06990465521812439,1.4142135381698608,7.648702144622803,0.516204833984375,40,0,"[19, 20]",0.001,0.001863241195678711,0.6536152362823486,1
kin8nm,polynomial,maclaurin,3,0.5,rademacher,False,False,False,False,False,0.06970073282718658,1.4142135381698608,7.817082405090332,0.4854510426521301,40,0,"[19, 20]",0.001,0.0018618106842041016,0.6480460166931152,2
kin8nm,polynomial,maclaurin,3,0.5,rademacher,False,False,False,False,False,0.07092148810625076,1.4142135381698608,8.95642375946045,0.5036576986312866,40,0,"[19, 20]",0.001,0.001987934112548828,0.6405649185180664,3
kin8nm,polynomial,maclaurin,3,0.5,rademacher,False,False,False,False,False,0.07020594924688339,1.4142135381698608,9.293661117553711,0.49129781126976013,40,0,"[19, 20]",0.001,0.0026900768280029297,0.6776859760284424,4
kin8nm,polynomial,maclaurin,3,0.5,rademacher,False,False,False,False,False,0.07030618190765381,1.4142135381698608,11.4536771774292,0.563872754573822,40,0,"[19, 20]",0.001,0.002748250961303711,0.6604139804840088,5
kin8nm,polynomial,maclaurin,3,0.5,rademacher,False,False,False,False,False,0.07065705209970474,1.4142135381698608,10.26015853881836,0.4712585210800171,40,0,"[19, 20]",0.001,0.0029649734497070312,0.6790008544921875,6
kin8nm,polynomial,maclaurin,3,0.5,rademacher,False,False,False,False,False,0.07095520943403244,1.4142135381698608,12.918103218078613,0.5570718050003052,40,0,"[19, 20]",0.001,0.0034580230712890625,0.64910888671875,7
kin8nm,polynomial,maclaurin,3,0.5,rademacher,False,False,False,False,False,0.07055675238370895,1.4142135381698608,14.480789184570312,0.5936976671218872,40,0,"[19, 20]",0.001,0.004518747329711914,0.6813869476318359,8
kin8nm,polynomial,maclaurin,3,0.5,rademacher,False,False,False,False,False,0.0708240270614624,1.4142135381698608,14.378732681274414,0.5557363629341125,40,0,"[19, 20]",0.001,0.0029959678649902344,0.6405467987060547,9
