D,alpha,bias,comp,dataset,degree,dist_est_time,est_len,feature_dist,hier,k_mean_error,k_mean_rel_error,k_mse,k_rel_frob_error,k_rel_frob_error_comp,kernel_len,kernel_var,method,pred_time,proj,seed
16.0,0.1,0.875,0.0,EEG,10.0,1.9073486328125e-06,2.82842712474619,None,0.0,0.6819041967391968,1.3446733951568604,0.9628049731254578,0.927112877368927,0.0,2.8284270763397217,2.6790988445281982,maclaurin_p,0.04697275161743164,rademacher,0.0
16.0,0.1,0.875,0.0,EEG,10.0,1.430511474609375e-06,2.82842712474619,None,0.0,0.3356219232082367,0.5821747779846191,0.20699957013130188,0.42988094687461853,0.0,2.8284270763397217,2.6790988445281982,maclaurin_p,0.05042004585266113,srht,0.0
16.0,0.1,0.875,0.0,EEG,10.0,1.430511474609375e-06,2.82842712474619,None,0.0,0.4326815903186798,0.8817398548126221,0.302619606256485,0.5197709202766418,0.0,2.8284270763397217,2.6790988445281982,srf,0.017126798629760742,gaussian,0.0
16.0,0.1,0.875,1.0,EEG,10.0,1.1920928955078125e-06,2.82842712474619,None,0.0,0.3219992518424988,0.6537764072418213,0.1648908257484436,0.38367339968681335,0.7012229561805725,2.8284270763397217,2.6790988445281982,srf,0.02063274383544922,gaussian,0.0
16.0,0.1,0.875,0.0,EEG,10.0,1.6689300537109375e-06,2.82842712474619,None,0.0,0.33864715695381165,0.7322059869766235,0.1983610987663269,0.42081549763679504,0.0,2.8284270763397217,2.6790988445281982,srf,0.020862102508544922,srht,0.0
16.0,0.1,0.875,1.0,EEG,10.0,1.1920928955078125e-06,2.82842712474619,None,0.0,0.18184389173984528,0.4157181680202484,0.06355376541614532,0.23819580674171448,0.4873795807361603,2.8284270763397217,2.6790988445281982,srf,0.024827003479003906,srht,0.0
16.0,0.1,0.875,0.0,EEG,10.0,0.3650186061859131,2.82842712474619,"[8, 7]",0.0,0.33786073327064514,0.6106325387954712,0.1794251799583435,0.4002258777618408,0.0,2.8284270763397217,2.6790988445281982,maclaurin,0.07644057273864746,rademacher,0.0
16.0,0.1,0.875,1.0,EEG,10.0,0.3457496166229248,2.82842712474619,"[9, 6]",0.0,0.26608553528785706,0.3923032581806183,0.11544901132583618,0.3210395574569702,0.4049217104911804,2.8284270763397217,2.6790988445281982,maclaurin,0.06182432174682617,rademacher,0.0
16.0,0.1,0.875,0.0,EEG,10.0,0.42758941650390625,2.82842712474619,"[8, 7]",0.0,0.2740360498428345,0.5250521898269653,0.12115658819675446,0.32887962460517883,0.0,2.8284270763397217,2.6790988445281982,maclaurin,0.07342839241027832,srht,0.0
16.0,0.1,0.875,1.0,EEG,10.0,0.4142935276031494,2.82842712474619,"[9, 6]",0.0,0.1980404108762741,0.37622660398483276,0.06554801017045975,0.24190407991409302,0.3306574821472168,2.8284270763397217,2.6790988445281982,maclaurin,0.07216000556945801,srht,0.0
16.0,0.1,0.875,0.0,EEG,10.0,0.36329126358032227,2.82842712474619,"[9, 6]",0.0,0.3277319669723511,0.5283054113388062,0.17168089747428894,0.39149338006973267,0.0,2.8284270763397217,2.6790988445281982,maclaurin,0.09409713745117188,countsketch_scatter,0.0
16.0,0.1,0.875,0.0,EEG,10.0,0.3822925090789795,2.82842712474619,"[8, 7]",1.0,0.3285679519176483,0.6894924640655518,0.16747118532657623,0.3866637945175171,0.0,2.8284270763397217,2.6790988445281982,maclaurin,0.05909585952758789,rademacher,0.0
16.0,0.1,0.875,1.0,EEG,10.0,0.363037109375,2.82842712474619,"[9, 6]",1.0,0.2720014154911041,0.48119115829467773,0.11697565764188766,0.3231552541255951,0.42789462208747864,2.8284270763397217,2.6790988445281982,maclaurin,0.08984899520874023,rademacher,0.0
16.0,0.1,0.875,0.0,EEG,10.0,0.4532437324523926,2.82842712474619,"[8, 7]",1.0,0.29620620608329773,0.5986378788948059,0.13375192880630493,0.3455520570278168,0.0,2.8284270763397217,2.6790988445281982,maclaurin,0.07654547691345215,srht,0.0
16.0,0.1,0.875,1.0,EEG,10.0,0.4085104465484619,2.82842712474619,"[9, 6]",1.0,0.1877766251564026,0.308918833732605,0.056127775460481644,0.22384756803512573,0.2979889512062073,2.8284270763397217,2.6790988445281982,maclaurin,0.07388544082641602,srht,0.0
16.0,0.1,0.875,0.0,EEG,10.0,0.34899210929870605,2.82842712474619,"[9, 6]",1.0,0.2484513372182846,0.4419825077056885,0.09987953305244446,0.2986081838607788,0.0,2.8284270763397217,2.6790988445281982,maclaurin,0.09042596817016602,countsketch_scatter,0.0
16.0,0.1,0.875,0.0,EEG,10.0,1.1920928955078125e-06,2.82842712474619,None,0.0,0.463645339012146,0.46500179171562195,0.5141991376876831,0.6775309443473816,0.0,2.8284270763397217,2.6790988445281982,ts,0.023128747940063477,rademacher,0.0
16.0,0.1,0.875,1.0,EEG,10.0,7.152557373046875e-07,2.82842712474619,None,0.0,0.39192503690719604,0.4775630831718445,0.2906826138496399,0.5094164609909058,0.605299711227417,2.8284270763397217,2.6790988445281982,ts,0.03449869155883789,rademacher,0.0
16.0,0.1,0.875,0.0,EEG,10.0,9.5367431640625e-07,2.82842712474619,None,0.0,0.43896523118019104,0.42274171113967896,0.5975114107131958,0.7303593158721924,0.0,2.8284270763397217,2.6790988445281982,ts,0.03480052947998047,srht,0.0
16.0,0.1,0.875,1.0,EEG,10.0,9.5367431640625e-07,2.82842712474619,None,0.0,0.3819565773010254,0.4088055193424225,0.45983773469924927,0.6407163143157959,0.7789575457572937,2.8284270763397217,2.6790988445281982,ts,0.07303643226623535,srht,0.0
16.0,0.1,0.875,0.0,EEG,10.0,9.5367431640625e-07,2.82842712474619,None,0.0,0.5311452150344849,0.7209950089454651,0.5681596398353577,0.712194561958313,0.0,2.8284270763397217,2.6790988445281982,ts,0.0513310432434082,countsketch_scatter,0.0
16.0,0.1,0.875,0.0,EEG,10.0,9.5367431640625e-07,2.82842712474619,None,1.0,0.8578126430511475,0.9672484993934631,1.0352668762207031,0.9613679051399231,0.0,2.8284270763397217,2.6790988445281982,ts,0.024614334106445312,rademacher,0.0
16.0,0.1,0.875,0.0,EEG,10.0,7.152557373046875e-07,2.82842712474619,None,1.0,0.6246585249900818,0.7709788680076599,0.6393508911132812,0.7554976344108582,0.0,2.8284270763397217,2.6790988445281982,ts,0.04861903190612793,srht,0.0
16.0,0.1,0.875,1.0,EEG,10.0,7.152557373046875e-07,2.82842712474619,None,1.0,0.38277649879455566,0.576465904712677,0.2441767007112503,0.4668910503387451,0.6315418481826782,2.8284270763397217,2.6790988445281982,ts,0.17473483085632324,srht,0.0
16.0,0.1,0.875,0.0,EEG,10.0,7.152557373046875e-07,2.82842712474619,None,1.0,0.6915239095687866,0.8482068777084351,1.1782358884811401,1.0256037712097168,0.0,2.8284270763397217,2.6790988445281982,ts,0.16665387153625488,countsketch_scatter,0.0
32.0,0.1,0.875,0.0,EEG,10.0,9.5367431640625e-07,2.82842712474619,None,0.0,0.3160519003868103,0.5459133982658386,0.16189485788345337,0.38017186522483826,0.0,2.8284270763397217,2.6790988445281982,maclaurin_p,0.022558927536010742,rademacher,0.0
32.0,0.1,0.875,0.0,EEG,10.0,9.5367431640625e-07,2.82842712474619,None,0.0,0.2928319275379181,0.4962528944015503,0.18870988488197327,0.4104504883289337,0.0,2.8284270763397217,2.6790988445281982,maclaurin_p,0.031113386154174805,srht,0.0
32.0,0.1,0.875,0.0,EEG,10.0,1.430511474609375e-06,2.82842712474619,None,0.0,0.272951602935791,0.5190855860710144,0.11812381446361542,0.3247373104095459,0.0,2.8284270763397217,2.6790988445281982,srf,0.010818243026733398,gaussian,0.0
32.0,0.1,0.875,1.0,EEG,10.0,7.152557373046875e-07,2.82842712474619,None,0.0,0.20643435418605804,0.4007720649242401,0.06651438772678375,0.24368076026439667,0.37108710408210754,2.8284270763397217,2.6790988445281982,srf,0.01251530647277832,gaussian,0.0
32.0,0.1,0.875,0.0,EEG,10.0,1.1920928955078125e-06,2.82842712474619,None,0.0,0.2149837166070938,0.5295919179916382,0.09409201890230179,0.2898276746273041,0.0,2.8284270763397217,2.6790988445281982,srf,0.01438140869140625,srht,0.0
32.0,0.1,0.875,1.0,EEG,10.0,9.5367431640625e-07,2.82842712474619,None,0.0,0.1545780450105667,0.3574957251548767,0.046759799122810364,0.20431478321552277,0.31201088428497314,2.8284270763397217,2.6790988445281982,srf,0.018264293670654297,srht,0.0
32.0,0.1,0.875,0.0,EEG,10.0,0.4809274673461914,2.82842712474619,"[17, 14]",0.0,0.2860453128814697,0.457416832447052,0.13163623213768005,0.34280818700790405,0.0,2.8284270763397217,2.6790988445281982,maclaurin,0.06705951690673828,rademacher,0.0
32.0,0.1,0.875,1.0,EEG,10.0,0.4453132152557373,2.82842712474619,"[18, 13]",0.0,0.19346070289611816,0.3592742383480072,0.05550329014658928,0.22259880602359772,0.2893005311489105,2.8284270763397217,2.6790988445281982,maclaurin,0.07813048362731934,rademacher,0.0
32.0,0.1,0.875,0.0,EEG,10.0,0.5578372478485107,2.82842712474619,"[16, 15]",0.0,0.12104189395904541,0.1941118985414505,0.02461443841457367,0.14823761582374573,0.0,2.8284270763397217,2.6790988445281982,maclaurin,0.08167529106140137,srht,0.0
32.0,0.1,0.875,1.0,EEG,10.0,0.5323030948638916,2.82842712474619,"[16, 15]",0.0,0.09391588717699051,0.15662848949432373,0.016008632257580757,0.1195475161075592,0.15640351176261902,2.8284270763397217,2.6790988445281982,maclaurin,0.07380366325378418,srht,0.0
32.0,0.1,0.875,0.0,EEG,10.0,0.42478060722351074,2.82842712474619,"[19, 12]",0.0,0.3086583614349365,0.5507454872131348,0.15025119483470917,0.3662456274032593,0.0,2.8284270763397217,2.6790988445281982,maclaurin,0.10567188262939453,countsketch_scatter,0.0
32.0,0.1,0.875,0.0,EEG,10.0,0.44022083282470703,2.82842712474619,"[17, 14]",1.0,0.32585883140563965,0.5728829503059387,0.16457784175872803,0.38330909609794617,0.0,2.8284270763397217,2.6790988445281982,maclaurin,0.0700829029083252,rademacher,0.0
32.0,0.1,0.875,1.0,EEG,10.0,0.4345259666442871,2.82842712474619,"[18, 13]",1.0,0.17850317060947418,0.30799591541290283,0.05104130506515503,0.21346384286880493,0.27262604236602783,2.8284270763397217,2.6790988445281982,maclaurin,0.06784200668334961,rademacher,0.0
32.0,0.1,0.875,0.0,EEG,10.0,0.5336570739746094,2.82842712474619,"[16, 15]",1.0,0.14563143253326416,0.2665189206600189,0.03611549735069275,0.17956027388572693,0.0,2.8284270763397217,2.6790988445281982,maclaurin,0.07917571067810059,srht,0.0
32.0,0.1,0.875,1.0,EEG,10.0,0.5181851387023926,2.82842712474619,"[16, 15]",1.0,0.08986061811447144,0.13982614874839783,0.013754983432590961,0.11081370711326599,0.14264190196990967,2.8284270763397217,2.6790988445281982,maclaurin,0.07723784446716309,srht,0.0
32.0,0.1,0.875,0.0,EEG,10.0,0.40616941452026367,2.82842712474619,"[19, 12]",1.0,0.4442943334579468,0.7094355821609497,0.3127141296863556,0.5283688902854919,0.0,2.8284270763397217,2.6790988445281982,maclaurin,0.07184195518493652,countsketch_scatter,0.0
32.0,0.1,0.875,0.0,EEG,10.0,1.430511474609375e-06,2.82842712474619,None,0.0,0.3241605758666992,0.3313501179218292,0.28156545758247375,0.50136399269104,0.0,2.8284270763397217,2.6790988445281982,ts,0.021471261978149414,rademacher,0.0
32.0,0.1,0.875,1.0,EEG,10.0,1.430511474609375e-06,2.82842712474619,None,0.0,0.35497164726257324,0.3715841770172119,0.29079222679138184,0.5095125436782837,0.5892660021781921,2.8284270763397217,2.6790988445281982,ts,0.044415950775146484,rademacher,0.0
32.0,0.1,0.875,0.0,EEG,10.0,1.430511474609375e-06,2.82842712474619,None,0.0,0.3731527626514435,0.346221923828125,0.3627811670303345,0.5690963864326477,0.0,2.8284270763397217,2.6790988445281982,ts,0.025008678436279297,srht,0.0
32.0,0.1,0.875,1.0,EEG,10.0,1.1920928955078125e-06,2.82842712474619,None,0.0,0.2415175586938858,0.322199285030365,0.1116870790719986,0.3157656788825989,0.3967040777206421,2.8284270763397217,2.6790988445281982,ts,0.07849740982055664,srht,0.0
32.0,0.1,0.875,0.0,EEG,10.0,1.430511474609375e-06,2.82842712474619,None,0.0,0.39451223611831665,0.4866865277290344,0.32953768968582153,0.5423954129219055,0.0,2.8284270763397217,2.6790988445281982,ts,0.9746174812316895,countsketch_scatter,0.0
32.0,0.1,0.875,0.0,EEG,10.0,1.6689300537109375e-06,2.82842712474619,None,1.0,0.8089521527290344,1.0189354419708252,0.8428849577903748,0.8674562573432922,0.0,2.8284270763397217,2.6790988445281982,ts,0.03731703758239746,rademacher,0.0
32.0,0.1,0.875,0.0,EEG,10.0,1.430511474609375e-06,2.82842712474619,None,1.0,0.8750308752059937,1.2451105117797852,1.7094721794128418,1.2353627681732178,0.0,2.8284270763397217,2.6790988445281982,ts,0.0753943920135498,srht,0.0
32.0,0.1,0.875,1.0,EEG,10.0,9.5367431640625e-07,2.82842712474619,None,1.0,0.46049579977989197,0.6289304494857788,0.32405543327331543,0.5378648042678833,0.5970131158828735,2.8284270763397217,2.6790988445281982,ts,0.1744382381439209,srht,0.0
32.0,0.1,0.875,0.0,EEG,10.0,1.1920928955078125e-06,2.82842712474619,None,1.0,0.4264269769191742,0.6652339696884155,0.3140137195587158,0.5294656157493591,0.0,2.8284270763397217,2.6790988445281982,ts,3.1683099269866943,countsketch_scatter,0.0
48.0,0.1,0.875,0.0,EEG,10.0,1.430511474609375e-06,2.82842712474619,None,0.0,0.2498338371515274,0.4650156497955322,0.10231080651283264,0.3022207021713257,0.0,2.8284270763397217,2.6790988445281982,maclaurin_p,0.04450058937072754,rademacher,0.0
48.0,0.1,0.875,0.0,EEG,10.0,1.430511474609375e-06,2.82842712474619,None,0.0,0.20356044173240662,0.32900470495224,0.07610607892274857,0.26065924763679504,0.0,2.8284270763397217,2.6790988445281982,maclaurin_p,0.05908203125,srht,0.0
48.0,0.1,0.875,0.0,EEG,10.0,1.9073486328125e-06,2.82842712474619,None,0.0,0.25945526361465454,0.4805361330509186,0.10617431253194809,0.3078741133213043,0.0,2.8284270763397217,2.6790988445281982,srf,0.016913652420043945,gaussian,0.0
48.0,0.1,0.875,1.0,EEG,10.0,1.1920928955078125e-06,2.82842712474619,None,0.0,0.1959901601076126,0.38177910447120667,0.06078324466943741,0.23294608294963837,0.34584590792655945,2.8284270763397217,2.6790988445281982,srf,0.023266077041625977,gaussian,0.0
48.0,0.1,0.875,0.0,EEG,10.0,1.1920928955078125e-06,2.82842712474619,None,0.0,0.18854990601539612,0.39671090245246887,0.06310664117336273,0.23735642433166504,0.0,2.8284270763397217,2.6790988445281982,srf,0.018981218338012695,srht,0.0
48.0,0.1,0.875,1.0,EEG,10.0,1.1920928955078125e-06,2.82842712474619,None,0.0,0.09689241647720337,0.23364348709583282,0.01882397010922432,0.1296340525150299,0.2331322431564331,2.8284270763397217,2.6790988445281982,srf,0.013621091842651367,srht,0.0
48.0,0.1,0.875,0.0,EEG,10.0,0.5887937545776367,2.82842712474619,"[26, 21]",0.0,0.22918424010276794,0.4348667860031128,0.07933780550956726,0.26613596081733704,0.0,2.8284270763397217,2.6790988445281982,maclaurin,0.05809521675109863,rademacher,0.0
48.0,0.1,0.875,1.0,EEG,10.0,0.5389127731323242,2.82842712474619,"[27, 20]",0.0,0.1444486379623413,0.23111492395401,0.03363145887851715,0.1732751727104187,0.23131512105464935,2.8284270763397217,2.6790988445281982,maclaurin,0.08306288719177246,rademacher,0.0
48.0,0.1,0.875,0.0,EEG,10.0,0.650000810623169,2.82842712474619,"[16, 31]",0.0,0.09902621060609818,0.18449190258979797,0.016328833997249603,0.12073718011379242,0.0,2.8284270763397217,2.6790988445281982,maclaurin,0.07621169090270996,srht,0.0
48.0,0.1,0.875,1.0,EEG,10.0,0.6211817264556885,2.82842712474619,"[16, 31]",0.0,0.08789465576410294,0.1251162886619568,0.013666082173585892,0.11045502871274948,0.12715886533260345,2.8284270763397217,2.6790988445281982,maclaurin,0.0754539966583252,srht,0.0
48.0,0.1,0.875,0.0,EEG,10.0,0.4880344867706299,2.82842712474619,"[29, 18]",0.0,0.14961054921150208,0.28074386715888977,0.03677264228463173,0.1811865270137787,0.0,2.8284270763397217,2.6790988445281982,maclaurin,0.0803079605102539,countsketch_scatter,0.0
48.0,0.1,0.875,0.0,EEG,10.0,0.5150711536407471,2.82842712474619,"[26, 21]",1.0,0.19846215844154358,0.3829515874385834,0.059003088623285294,0.22950959205627441,0.0,2.8284270763397217,2.6790988445281982,maclaurin,0.05848336219787598,rademacher,0.0
48.0,0.1,0.875,1.0,EEG,10.0,0.522510290145874,2.82842712474619,"[27, 20]",1.0,0.13403624296188354,0.23776021599769592,0.028831366449594498,0.16043387353420258,0.22442427277565002,2.8284270763397217,2.6790988445281982,maclaurin,0.08435678482055664,rademacher,0.0
48.0,0.1,0.875,0.0,EEG,10.0,0.5944833755493164,2.82842712474619,"[16, 31]",1.0,0.10664292424917221,0.20505861937999725,0.019809700548648834,0.132984921336174,0.0,2.8284270763397217,2.6790988445281982,maclaurin,0.06973671913146973,srht,0.0
48.0,0.1,0.875,1.0,EEG,10.0,0.5746662616729736,2.82842712474619,"[16, 31]",1.0,0.07358651608228683,0.10971100628376007,0.01022301148623228,0.09553288668394089,0.11255399137735367,2.8284270763397217,2.6790988445281982,maclaurin,0.08610391616821289,srht,0.0
48.0,0.1,0.875,0.0,EEG,10.0,0.5288078784942627,2.82842712474619,"[29, 18]",1.0,0.2734704613685608,0.4494026303291321,0.11540967226028442,0.3209848701953888,0.0,2.8284270763397217,2.6790988445281982,maclaurin,0.08077597618103027,countsketch_scatter,0.0
48.0,0.1,0.875,0.0,EEG,10.0,1.1920928955078125e-06,2.82842712474619,None,0.0,0.30611804127693176,0.2960820496082306,0.2615993022918701,0.48326101899147034,0.0,2.8284270763397217,2.6790988445281982,ts,0.020284414291381836,rademacher,0.0
48.0,0.1,0.875,1.0,EEG,10.0,1.1920928955078125e-06,2.82842712474619,None,0.0,0.3031914532184601,0.3424070179462433,0.24216751754283905,0.4649662375450134,0.5412055253982544,2.8284270763397217,2.6790988445281982,ts,0.0410761833190918,rademacher,0.0
48.0,0.1,0.875,0.0,EEG,10.0,1.1920928955078125e-06,2.82842712474619,None,0.0,0.309262752532959,0.2859862446784973,0.21326708793640137,0.43634033203125,0.0,2.8284270763397217,2.6790988445281982,ts,0.024587154388427734,srht,0.0
48.0,0.1,0.875,1.0,EEG,10.0,1.430511474609375e-06,2.82842712474619,None,0.0,0.20463931560516357,0.3016592860221863,0.07844439148902893,0.26463326811790466,0.3483620285987854,2.8284270763397217,2.6790988445281982,ts,0.08456826210021973,srht,0.0
48.0,0.1,0.875,0.0,EEG,10.0,1.1920928955078125e-06,2.82842712474619,None,0.0,0.43352293968200684,0.4929710924625397,0.4184158146381378,0.6111776828765869,0.0,2.8284270763397217,2.6790988445281982,ts,1.0478217601776123,countsketch_scatter,0.0
48.0,0.1,0.875,0.0,EEG,10.0,1.6689300537109375e-06,2.82842712474619,None,1.0,0.6839935183525085,1.0371181964874268,0.8592802286148071,0.8758522868156433,0.0,2.8284270763397217,2.6790988445281982,ts,0.038915157318115234,rademacher,0.0
48.0,0.1,0.875,0.0,EEG,10.0,1.430511474609375e-06,2.82842712474619,None,1.0,0.6756678223609924,0.8068792223930359,0.6961766481399536,0.7883574962615967,0.0,2.8284270763397217,2.6790988445281982,ts,0.07901883125305176,srht,0.0
48.0,0.1,0.875,1.0,EEG,10.0,1.430511474609375e-06,2.82842712474619,None,1.0,0.4035739600658417,0.5828129053115845,0.2543814480304718,0.4765474796295166,0.5349906086921692,2.8284270763397217,2.6790988445281982,ts,0.22095441818237305,srht,0.0
48.0,0.1,0.875,0.0,EEG,10.0,1.1920928955078125e-06,2.82842712474619,None,1.0,0.3942120671272278,0.5741273164749146,0.2648993134498596,0.4862995743751526,0.0,2.8284270763397217,2.6790988445281982,ts,3.095142364501953,countsketch_scatter,0.0
64.0,0.1,0.875,0.0,EEG,10.0,1.6689300537109375e-06,2.82842712474619,None,0.0,0.2654426097869873,0.4791334867477417,0.1201242133975029,0.3274754285812378,0.0,2.8284270763397217,2.6790988445281982,maclaurin_p,0.030866146087646484,rademacher,0.0
64.0,0.1,0.875,0.0,EEG,10.0,1.430511474609375e-06,2.82842712474619,None,0.0,0.1443760246038437,0.2790752053260803,0.03445279970765114,0.1753782480955124,0.0,2.8284270763397217,2.6790988445281982,maclaurin_p,0.04819822311401367,srht,0.0
64.0,0.1,0.875,0.0,EEG,10.0,1.9073486328125e-06,2.82842712474619,None,0.0,0.30795833468437195,0.6646148562431335,0.15966318547725677,0.37754249572753906,0.0,2.8284270763397217,2.6790988445281982,srf,0.017556428909301758,gaussian,0.0
64.0,0.1,0.875,1.0,EEG,10.0,9.5367431640625e-07,2.82842712474619,None,0.0,0.14681103825569153,0.2725571393966675,0.034686021506786346,0.17597083747386932,0.2531316876411438,2.8284270763397217,2.6790988445281982,srf,0.014762401580810547,gaussian,0.0
64.0,0.1,0.875,0.0,EEG,10.0,1.1920928955078125e-06,2.82842712474619,None,0.0,0.13744069635868073,0.30584654211997986,0.03543522581458092,0.17786113917827606,0.0,2.8284270763397217,2.6790988445281982,srf,0.01625370979309082,srht,0.0
64.0,0.1,0.875,1.0,EEG,10.0,9.5367431640625e-07,2.82842712474619,None,0.0,0.08915113657712936,0.21422584354877472,0.016079073771834373,0.11981024593114853,0.232418492436409,2.8284270763397217,2.6790988445281982,srf,0.029096603393554688,srht,0.0
