dataset,method,degree,bias,proj,comp,comp_real,craft,full_cov,hier,kernel_var,kernel_len,test_error,test_mnll,test_label_var,k_frob_error,k_rel_frob_error,k_spec_error,k_rel_spec_error,test_kl,test_mean_mse,test_var_mse,D,E,feature_dist,noise_var,feature_time,pred_time,seed
MNIST,srf,10.0,0.5,gaussian,0.0,0.0,0.0,0.0,0.0,9.027409553527832,1.4142135381698608,0.1030999943614006,0.33965104818344116,0.09000000357627869,2051.892578125,0.6431156992912292,789.044921875,0.34812819957733154,5914.4375,4.541144847869873,21.341096878051758,512.0,32768.0,None,0.001,0.014821290969848633,0.09740734100341797,0.0
MNIST,poly_sketch,10.0,0.5,gaussian,0.0,0.0,0.0,0.0,0.0,9.027409553527832,1.4142135381698608,0.3199999928474426,1.2192655801773071,0.09000000357627869,7030.333984375,2.203486919403076,5340.73388671875,2.3563425540924072,11074.2138671875,9.055933952331543,23.780481338500977,512.0,32768.0,None,0.001,0.11085653305053711,0.10068655014038086,0.0
MNIST,poly_sketch,10.0,0.5,gaussian,0.0,1.0,0.0,0.0,0.0,9.027409553527832,1.4142135381698608,0.19169999659061432,0.6618969440460205,0.09000000357627869,4930.38818359375,1.5453100204467773,2110.6015625,0.931201696395874,8422.7783203125,6.828649044036865,22.89662742614746,512.0,32768.0,None,0.001,0.20735573768615723,0.10017108917236328,0.0
MNIST,poly_sketch,10.0,0.5,rademacher,0.0,0.0,0.0,0.0,0.0,9.027409553527832,1.4142135381698608,0.23639999330043793,0.8433985114097595,0.09000000357627869,13294.263671875,4.166762828826904,9674.5205078125,4.268417835235596,9889.234375,8.34647274017334,23.034698486328125,512.0,32768.0,None,0.001,0.11138319969177246,0.09969544410705566,0.0
MNIST,poly_sketch,10.0,0.5,rademacher,0.0,1.0,0.0,0.0,0.0,9.027409553527832,1.4142135381698608,0.14559999108314514,0.4799947142601013,0.09000000357627869,5093.63671875,1.5964763164520264,2657.322998046875,1.17241632938385,7226.2939453125,5.760221004486084,22.030075073242188,512.0,32768.0,None,0.001,0.20711803436279297,0.10043621063232422,0.0
MNIST,poly_sketch,10.0,0.5,srht,0.0,0.0,0.0,1.0,0.0,9.027409553527832,1.4142135381698608,0.2369999885559082,0.8740524053573608,0.09000000357627869,6731.9375,2.109961748123169,4627.71875,2.0417587757110596,9730.283203125,8.138347625732422,22.9847412109375,512.0,32768.0,None,0.001,0.06533098220825195,0.09983611106872559,0.0
MNIST,poly_sketch,10.0,0.5,srht,0.0,1.0,0.0,1.0,0.0,9.027409553527832,1.4142135381698608,0.15060000121593475,0.5095291137695312,0.09000000357627869,10058.8583984375,3.1527040004730225,6349.6767578125,2.801490306854248,7343.60888671875,5.813007354736328,22.18910026550293,512.0,32768.0,None,0.001,0.166731595993042,0.10585451126098633,0.0
MNIST,poly_sketch,10.0,0.5,countsketch_scatter,0.0,0.0,0.0,0.0,0.0,9.027409553527832,1.4142135381698608,0.1582999974489212,0.5414193272590637,0.09000000357627869,6094.65771484375,1.9102219343185425,4432.53564453125,1.955643653869629,7520.62451171875,5.992560863494873,22.226869583129883,512.0,32768.0,None,0.001,0.07830023765563965,0.10146880149841309,0.0
MNIST,srf,10.0,0.5,gaussian,0.0,0.0,1.0,0.0,0.0,9.027409553527832,1.4142135381698608,0.09939999878406525,0.33286136388778687,0.09000000357627869,2025.511474609375,0.6348472237586975,693.5069580078125,0.30597665905952454,5982.27392578125,4.644409656524658,21.35500717163086,512.0,32768.0,None,0.001,0.7161908149719238,0.10005712509155273,0.0
MNIST,poly_sketch,10.0,0.5,srht,0.0,0.0,1.0,1.0,0.0,9.027409553527832,1.4142135381698608,0.10819999873638153,0.3563256859779358,0.09000000357627869,2531.615234375,0.7934731245040894,890.0695190429688,0.3927004635334015,6307.6181640625,5.102419853210449,21.333330154418945,512.0,32768.0,None,0.001,1.276395559310913,0.09827208518981934,0.0
MNIST,poly_sketch,10.0,0.5,srht,0.0,1.0,1.0,1.0,0.0,9.027409553527832,1.4142135381698608,0.10159999877214432,0.3327416777610779,0.09000000357627869,2122.656982421875,0.6652951240539551,544.08251953125,0.2400503009557724,5986.45703125,4.656265735626221,21.32699966430664,512.0,32768.0,None,0.001,1.3257675170898438,0.09817957878112793,0.0
MNIST,poly_sketch,10.0,0.5,countsketch_scatter,0.0,0.0,1.0,0.0,0.0,9.027409553527832,1.4142135381698608,0.10130000114440918,0.32889294624328613,0.09000000357627869,2250.729736328125,0.7054364085197449,682.2001342773438,0.3009880781173706,5993.15283203125,4.653947353363037,21.333833694458008,512.0,32768.0,None,0.001,2.4559638500213623,0.09889411926269531,0.0
MNIST,srf,10.0,0.5,gaussian,0.0,0.0,0.0,0.0,0.0,9.027409553527832,1.4142135381698608,0.06539999693632126,0.21074071526527405,0.09000000357627869,1500.0361328125,0.4701497554779053,686.4871215820312,0.3028795123100281,3610.854248046875,3.2598845958709717,16.616436004638672,1024.0,32768.0,None,0.001,0.02206277847290039,0.25237035751342773,0.0
MNIST,poly_sketch,10.0,0.5,gaussian,0.0,0.0,0.0,0.0,0.0,9.027409553527832,1.4142135381698608,0.2101999968290329,0.7478416562080383,0.09000000357627869,29266.091796875,9.17274284362793,28676.61328125,12.652179718017578,8648.9580078125,7.221632480621338,22.473634719848633,1024.0,32768.0,None,0.001,0.20253729820251465,0.2452843189239502,0.0
MNIST,poly_sketch,10.0,0.5,gaussian,0.0,1.0,0.0,0.0,0.0,9.027409553527832,1.4142135381698608,0.12280000001192093,0.4061102867126465,0.09000000357627869,4196.64794921875,1.315337061882019,2044.2552490234375,0.9019295573234558,6027.32177734375,4.82326602935791,20.818195343017578,1024.0,32768.0,None,0.001,0.391554594039917,0.2530093193054199,0.0
MNIST,poly_sketch,10.0,0.5,rademacher,0.0,0.0,0.0,0.0,0.0,9.027409553527832,1.4142135381698608,0.14999999105930328,0.519058883190155,0.09000000357627869,6075.0498046875,1.904076337814331,4888.53955078125,2.1568336486816406,7093.69140625,5.967663764953613,21.18715476989746,1024.0,32768.0,None,0.001,0.20261526107788086,0.24953150749206543,0.0
MNIST,poly_sketch,10.0,0.5,rademacher,0.0,1.0,0.0,0.0,0.0,9.027409553527832,1.4142135381698608,0.09619999676942825,0.3082255721092224,0.09000000357627869,6398.443359375,2.0054361820220947,4193.59716796875,1.8502235412597656,4926.10400390625,4.015247344970703,19.149866104125977,1024.0,32768.0,None,0.001,0.391690731048584,0.2498025894165039,0.0
MNIST,poly_sketch,10.0,0.5,srht,0.0,0.0,0.0,1.0,0.0,9.027409553527832,1.4142135381698608,0.14959999918937683,0.5256386399269104,0.09000000357627869,36030.65234375,11.292929649353027,35638.7421875,15.723885536193848,7153.36279296875,6.005982398986816,21.28369903564453,1024.0,32768.0,None,0.001,0.07803893089294434,0.2447190284729004,0.0
MNIST,poly_sketch,10.0,0.5,srht,0.0,1.0,0.0,1.0,0.0,9.027409553527832,1.4142135381698608,0.0949999988079071,0.32143378257751465,0.09000000357627869,3047.244384765625,0.955084502696991,1138.8154296875,0.5024476647377014,4977.25927734375,4.015441417694092,19.330507278442383,1024.0,32768.0,None,0.001,0.1900773048400879,0.25258612632751465,0.0
MNIST,poly_sketch,10.0,0.5,countsketch_scatter,0.0,0.0,0.0,0.0,0.0,9.027409553527832,1.4142135381698608,0.08949999511241913,0.2913624048233032,0.09000000357627869,3079.137939453125,0.965080738067627,1132.1624755859375,0.49951237440109253,5012.59716796875,3.9537148475646973,19.522314071655273,1024.0,32768.0,None,0.001,0.10990476608276367,0.24526691436767578,0.0
MNIST,srf,10.0,0.5,gaussian,0.0,0.0,1.0,0.0,0.0,9.027409553527832,1.4142135381698608,0.06839999556541443,0.21820077300071716,0.09000000357627869,1498.2110595703125,0.46957772970199585,682.6398315429688,0.3011820614337921,3646.469482421875,3.32374906539917,16.621252059936523,1024.0,32768.0,None,0.001,0.7211229801177979,0.24977350234985352,0.0
MNIST,poly_sketch,10.0,0.5,srht,0.0,0.0,1.0,1.0,0.0,9.027409553527832,1.4142135381698608,0.07429999858140945,0.24486610293388367,0.09000000357627869,3087.265380859375,0.9676280617713928,1925.653076171875,0.8496020436286926,3951.918701171875,3.4670183658599854,17.143308639526367,1024.0,32768.0,None,0.001,1.2844066619873047,0.24877333641052246,0.0
MNIST,poly_sketch,10.0,0.5,srht,0.0,1.0,1.0,1.0,0.0,9.027409553527832,1.4142135381698608,0.06189999729394913,0.2041487693786621,0.09000000357627869,1567.560546875,0.491313636302948,379.3402099609375,0.1673656702041626,3629.567138671875,3.150592088699341,16.752351760864258,1024.0,32768.0,None,0.001,1.331010341644287,0.24639630317687988,0.0
MNIST,poly_sketch,10.0,0.5,countsketch_scatter,0.0,0.0,1.0,0.0,0.0,9.027409553527832,1.4142135381698608,0.06759999692440033,0.22086738049983978,0.09000000357627869,1558.5804443359375,0.4884990453720093,408.87176513671875,0.18039505183696747,3657.880615234375,3.2013182640075684,16.780614852905273,1024.0,32768.0,None,0.001,2.459749221801758,0.2483673095703125,0.0
MNIST,srf,10.0,0.5,gaussian,0.0,0.0,0.0,0.0,0.0,9.027409553527832,1.4142135381698608,0.045499999076128006,0.1491825431585312,0.09000000357627869,1113.1224365234375,0.3488810956478119,571.8356323242188,0.25229504704475403,1824.075439453125,2.0067551136016846,9.821145057678223,2048.0,32768.0,None,0.001,0.03800535202026367,0.9653916358947754,0.0
MNIST,poly_sketch,10.0,0.5,gaussian,0.0,0.0,0.0,0.0,0.0,9.027409553527832,1.4142135381698608,0.14659999310970306,0.5086888670921326,0.09000000357627869,67631.7734375,21.19753074645996,60625.6953125,26.748178482055664,6848.67578125,5.8254923820495605,21.11225128173828,2048.0,32768.0,None,0.001,0.4011092185974121,0.956108570098877,0.0
