dataset,method,degree,bias,proj,comp,comp_real,craft,full_cov,ahle,tree,kernel_var,kernel_len,test_error,test_mnll,test_error_ref,test_mnll_ref,test_label_var,k_frob_error,k_rel_frob_error,test_kl,test_mean_mse,test_var_mse,D,E,feature_dist,noise_var,feature_time,pred_time,seed
Concrete,poly_sketch,10,0.5,srht,False,False,False,False,False,False,277.7559509277344,1.4142135381698608,283.52020263671875,141170.578125,397.48583984375,2418.09033203125,290.0826110839844,4948.41455078125,0.9806315302848816,2610739.5,735.0772705078125,40.489471435546875,8,80,None,0.001,0.005407094955444336,0.00027108192443847656,0
Concrete,poly_sketch,10,0.5,srht,False,False,False,False,True,True,277.7559509277344,1.4142135381698608,257.61962890625,127989.3515625,1922.37646484375,112014.3046875,290.0826110839844,12415.359375,2.460362195968628,20555360.0,2116.844970703125,40.489437103271484,8,80,None,0.001,0.017084836959838867,0.00027108192443847656,0
Concrete,poly_sketch,10,0.5,srht,False,False,False,False,False,False,277.7559509277344,1.4142135381698608,214.41171264648438,103453.2421875,6027.43408203125,437872.6875,290.0826110839844,4455.9765625,0.8830446600914001,78139608.0,5807.89697265625,40.4893798828125,24,80,None,0.001,0.01359105110168457,0.00038909912109375,0
Concrete,poly_sketch,10,0.5,srht,False,False,False,False,True,True,277.7559509277344,1.4142135381698608,251.78073120117188,123741.9921875,12712.6591796875,979993.1875,290.0826110839844,5037.2890625,0.9982438683509827,211369840.0,13195.7216796875,40.48930358886719,24,80,None,0.001,0.01882314682006836,0.0003559589385986328,0
Concrete,poly_sketch,10,0.5,srht,False,False,False,False,False,False,277.7559509277344,1.4142135381698608,250.4164276123047,118805.0390625,21978.048828125,1738375.625,290.0826110839844,66799.7109375,13.23775577545166,335909984.0,21020.123046875,40.48938751220703,40,80,None,0.001,0.015062808990478516,0.0004258155822753906,0
Concrete,poly_sketch,10,0.5,srht,False,False,False,False,False,False,280.63836669921875,1.4142135381698608,223.0150146484375,110934.7109375,192.60342407226562,2013.379150390625,241.0609588623047,5321.36962890625,0.9908193945884705,7801325.5,345.5801696777344,113.65133666992188,8,80,None,0.001,0.005606889724731445,0.0002238750457763672,1
Concrete,poly_sketch,10,0.5,srht,False,False,False,False,True,True,280.63836669921875,1.4142135381698608,255.05462646484375,126470.4296875,1396.4725341796875,135284.703125,241.0609588623047,5278.16943359375,0.9827756881713867,43346244.0,1446.9471435546875,113.65138244628906,8,80,None,0.001,0.018420934677124023,0.00022411346435546875,1
Concrete,poly_sketch,10,0.5,srht,False,False,False,False,False,False,280.63836669921875,1.4142135381698608,208.01914978027344,102070.9765625,5176.1650390625,519725.1875,241.0609588623047,5002.2861328125,0.9314072132110596,142196064.0,5304.47314453125,113.6511001586914,24,80,None,0.001,0.014569997787475586,0.00032901763916015625,1
Concrete,poly_sketch,10,0.5,srht,False,False,False,False,False,False,280.63836669921875,1.4142135381698608,187.95672607421875,89490.6484375,11531.681640625,1155334.625,241.0609588623047,9815.4951171875,1.8276089429855347,291286912.0,11884.47265625,113.65097045898438,40,80,None,0.001,0.01984095573425293,0.0005340576171875,1
Concrete,poly_sketch,10,0.5,srht,False,False,False,False,False,False,276.90179443359375,1.4142135381698608,235.04588317871094,116737.6484375,587.5807495117188,1507.8223876953125,254.77020263671875,9201.82421875,1.6768989562988281,11748361.0,1012.94189453125,60.35942077636719,8,80,None,0.001,0.0060558319091796875,0.00023603439331054688,2
