dataset,method,degree,bias,proj,comp,comp_real,craft,full_cov,ahle,tree,kernel_var,kernel_len,test_error,test_mnll,test_error_ref,test_mnll_ref,test_label_var,k_frob_error,k_rel_frob_error,test_kl,test_mean_mse,test_var_mse,D,E,feature_dist,noise_var,feature_time,pred_time,seed
Naval,srf,10,0.5,gaussian,False,False,False,False,False,False,0.00013617258809972554,1.4142135381698608,0.0001254167000297457,-2.312406063079834,0.0001236836105817929,-2.3119988441467285,0.0001789805683074519,0.04782653599977493,0.5443567037582397,34.74501037597656,9.186320539811277e-07,6.775126900476769e-12,16,160,None,0.015625,0.0027348995208740234,0.004348039627075195,0
Naval,srf,10,0.5,srht,False,False,False,False,False,False,0.00013617258809972554,1.4142135381698608,0.00011214129335712641,-2.3132781982421875,0.0001236836105817929,-2.3119988441467285,0.0001789805683074519,0.03594747930765152,0.40915051102638245,57.99292755126953,1.7638163853916922e-06,1.2032267543427011e-11,16,160,None,0.015625,0.015407323837280273,0.004915952682495117,0
Naval,srf,10,0.5,srht,True,False,False,False,False,False,0.00013617258809972554,1.4142135381698608,0.00012111606338294223,-2.3126659393310547,0.0001236836105817929,-2.3119988441467285,0.0001789805683074519,0.028080707415938377,0.31961169838905334,13.141398429870605,3.7127625773791806e-07,2.2110729046287414e-12,16,160,None,0.015625,0.017615795135498047,0.006947040557861328,0
Naval,maclaurin_p,10,0.5,rademacher,False,False,False,False,False,False,0.00013617258809972554,1.4142135381698608,0.00013695709640160203,-2.3120059967041016,0.0001236836105817929,-2.3119988441467285,0.0001789805683074519,0.09038609266281128,1.0287652015686035,330.8152770996094,1.2572382956932415e-06,1.7088841453016812e-10,16,160,None,0.015625,0.00609278678894043,0.007539987564086914,0
Naval,maclaurin,10,0.5,rademacher,False,False,False,False,False,False,0.00013617258809972554,1.4142135381698608,0.00013639958342537284,-2.3120596408843994,0.0001236836105817929,-2.3119988441467285,0.0001789805683074519,0.07454491406679153,0.8484625220298767,317.14263916015625,1.3225510429037968e-06,1.753370504342655e-10,16,160,"[1, 3, 11]",0.015625,0.0028219223022460938,0.005081892013549805,0
Naval,maclaurin,10,0.5,rademacher,True,False,False,False,False,False,0.00013617258809972554,1.4142135381698608,0.00013396551366895437,-2.312035083770752,0.0001236836105817929,-2.3119988441467285,0.0001789805683074519,0.054392922669649124,0.6190946102142334,93.29875183105469,1.0673328461052733e-06,4.978941217648192e-11,16,160,"[1, 1, 4, 9]",0.015625,0.012868165969848633,0.005136728286743164,0
Naval,maclaurin,10,0.5,srht,False,False,False,False,False,False,0.00013617258809972554,1.4142135381698608,0.0001322735333815217,-2.3123350143432617,0.0001236836105817929,-2.3119988441467285,0.0001789805683074519,0.08418859541416168,0.9582259058952332,420.18377685546875,1.0053977348434273e-06,1.8608391216812237e-10,16,160,"[1, 3, 11]",0.015625,0.031761884689331055,0.005753993988037109,0
Naval,maclaurin,10,0.5,srht,True,False,False,False,False,False,0.00013617258809972554,1.4142135381698608,0.00013546548143494874,-2.312037706375122,0.0001236836105817929,-2.3119988441467285,0.0001789805683074519,0.06494207680225372,0.7391639947891235,179.15805053710938,1.1836589237645967e-06,1.1949459477467173e-10,16,160,"[1, 1, 4, 9]",0.015625,0.1509549617767334,0.006079912185668945,0
Naval,poly_sketch,10,0.5,gaussian,False,False,False,False,False,False,0.00013617258809972554,1.4142135381698608,0.00013894416042603552,-2.3119916915893555,0.0001236836105817929,-2.3119988441467285,0.0001789805683074519,0.06868277490139008,0.7817402482032776,1216.732666015625,1.607520744073554e-06,2.599045423323787e-10,16,160,None,0.015625,0.0038759708404541016,0.007470130920410156,0
Naval,poly_sketch,10,0.5,gaussian,True,False,False,False,False,False,0.00013617258809972554,1.4142135381698608,0.00013484209193848073,-2.312077522277832,0.0001236836105817929,-2.3119988441467285,0.0001789805683074519,0.06648731231689453,0.7567517161369324,241.47125244140625,1.3202044328863849e-06,1.567041912897693e-10,16,160,None,0.015625,0.021938800811767578,0.0058689117431640625,0
