D,alpha,bias,comp,dataset,degree,dist_est_time,dummy_error,dummy_mnll,est_len,feature_dist,hier,k_mean_error,k_mean_rel_error,k_mse,k_rel_frob_error,kernel_len,kernel_var,method,pred_time,proj,seed,test_error,test_kl,test_label_var,test_mean_mse,test_mnll,test_var_mse
16.0,16.0,0.875,0.0,Boston,20.0,1.9073486328125e-06,95.6690444946289,3.704361915588379,2.82842712474619,None,0.0,17.414278030395508,7.121272563934326,498.58660888671875,0.8946705460548401,2.8284270763397217,83.35098266601562,srf,0.024592876434326172,gaussian,0.0,55.418663024902344,187.5087127685547,94.8569564819336,31.08193588256836,3.984004259109497,42.70680236816406
16.0,16.0,0.875,1.0,Boston,20.0,9.5367431640625e-07,95.6690444946289,3.704361915588379,2.82842712474619,None,0.0,11.404298782348633,5.3948655128479,221.033447265625,0.5956920981407166,2.8284270763397217,83.35098266601562,srf,0.04076743125915527,gaussian,0.0,41.940025329589844,125.77701568603516,94.8569564819336,20.228796005249023,3.5813097953796387,42.381778717041016
16.0,16.0,0.875,0.0,Boston,20.0,9.5367431640625e-07,95.6690444946289,3.704361915588379,2.82842712474619,None,0.0,12.757977485656738,5.967796802520752,267.310546875,0.6550898551940918,2.8284270763397217,83.35098266601562,srf,0.020463943481445312,srht,0.0,40.19004440307617,146.1468505859375,94.8569564819336,23.4707088470459,3.5327351093292236,42.87191390991211
16.0,16.0,0.875,1.0,Boston,20.0,7.152557373046875e-07,95.6690444946289,3.704361915588379,2.82842712474619,None,0.0,8.493069648742676,4.39202356338501,133.50852966308594,0.46296414732933044,2.8284270763397217,83.35098266601562,srf,0.0427401065826416,srht,0.0,37.601226806640625,120.51244354248047,94.8569564819336,16.541728973388672,3.4558842182159424,42.506797790527344
16.0,16.0,0.875,0.0,Boston,20.0,0.09766530990600586,95.6690444946289,3.704361915588379,2.82842712474619,"[5, 10]",0.0,10.194136619567871,3.655893325805664,179.56097412109375,0.5369066596031189,2.8284270763397217,83.35098266601562,maclaurin,0.0304105281829834,rademacher,0.0,31.916345596313477,104.31798553466797,94.8569564819336,13.204672813415527,3.281301259994507,43.673213958740234
16.0,16.0,0.875,1.0,Boston,20.0,0.1105501651763916,95.6690444946289,3.704361915588379,2.82842712474619,"[6, 9]",0.0,8.019636154174805,2.234642267227173,125.04973602294922,0.44805800914764404,2.8284270763397217,83.35098266601562,maclaurin,0.05495619773864746,rademacher,0.0,33.61265563964844,95.80010223388672,94.8569564819336,12.771800994873047,3.3319039344787598,42.5991325378418
16.0,16.0,0.875,0.0,Boston,20.0,0.11978363990783691,95.6690444946289,3.704361915588379,2.82842712474619,"[6, 9]",0.0,10.818695068359375,2.8756039142608643,237.51968383789062,0.617508053779602,2.8284270763397217,83.35098266601562,maclaurin,0.036895036697387695,srht,0.0,44.996238708496094,131.7881317138672,94.8569564819336,22.095888137817383,3.6819772720336914,42.252010345458984
16.0,16.0,0.875,1.0,Boston,20.0,0.10358738899230957,95.6690444946289,3.704361915588379,2.82842712474619,"[6, 9]",0.0,7.223424911499023,2.3073596954345703,107.39897918701172,0.4152340292930603,2.8284270763397217,83.35098266601562,maclaurin,0.07150864601135254,srht,0.0,34.57912063598633,96.20995330810547,94.8569564819336,12.713276863098145,3.360170364379883,42.76030349731445
16.0,16.0,0.875,0.0,Boston,20.0,0.10492491722106934,95.6690444946289,3.704361915588379,2.82842712474619,"[7, 8]",0.0,11.744473457336426,5.271335601806641,254.20816040039062,0.6388333439826965,2.8284270763397217,83.35098266601562,maclaurin,0.0551300048828125,countsketch_scatter,0.0,37.77176284790039,140.48696899414062,94.8569564819336,21.274423599243164,3.463876247406006,42.856990814208984
16.0,16.0,0.875,0.0,Boston,20.0,1.6689300537109375e-06,95.6690444946289,3.704361915588379,2.82842712474619,None,0.0,14.928996086120605,0.755540668964386,3259.5634765625,2.287560224533081,2.8284270763397217,83.35098266601562,ts,0.03582334518432617,rademacher,0.0,38.13670349121094,136.79452514648438,94.8569564819336,17.10593605041504,3.4847710132598877,43.38505554199219
