D,alpha,bias,comp,dataset,degree,dist_est_time,est_len,feature_dist,hier,k_mean_error,k_mean_rel_error,k_mse,k_rel_frob_error,kernel_len,kernel_var,method,pred_time,proj,seed,test_error,test_kl,test_mean_mse,test_mnll,test_var_mse
8.0,0.1,0.875,0.0,Cod_rna,20.0,1.430511474609375e-06,2.82842712474619,None,0.0,0.7206935882568359,9.374439239501953,0.810819685459137,1.4721729755401611,2.8284270763397217,2.6790223121643066,srf,0.4057164192199707,gaussian,0.0,0.25306591391563416,52908.1953125,1.522262692451477,0.5315945744514465,0.013000335544347763
8.0,0.1,0.875,1.0,Cod_rna,20.0,2.384185791015625e-06,2.82842712474619,None,0.0,0.5177316069602966,6.355166912078857,0.4207773506641388,1.0605298280715942,2.8284270763397217,2.6790223121643066,srf,0.6567573547363281,gaussian,0.0,0.24876205623149872,52341.33203125,1.3676575422286987,0.5212056636810303,0.013006901368498802
8.0,0.1,0.875,0.0,Cod_rna,20.0,2.1457672119140625e-06,2.82842712474619,None,0.0,0.6609559059143066,8.931934356689453,0.6906614899635315,1.3587180376052856,2.8284270763397217,2.6790223121643066,srf,0.5610888004302979,srht,0.0,0.28447410464286804,58506.01953125,1.746619701385498,0.5751932859420776,0.013014815747737885
8.0,0.1,0.875,1.0,Cod_rna,20.0,1.430511474609375e-06,2.82842712474619,None,0.0,0.5222253203392029,6.770018577575684,0.4209354519844055,1.0607290267944336,2.8284270763397217,2.6790223121643066,srf,0.6585209369659424,srht,0.0,0.17835776507854462,40208.28125,1.0727806091308594,0.4208309054374695,0.013012080453336239
8.0,0.1,0.875,0.0,Cod_rna,20.0,0.4041423797607422,2.82842712474619,"[3, 4]",0.0,0.567927360534668,7.916056156158447,0.7066872119903564,1.3743910789489746,2.8284270763397217,2.6790223121643066,maclaurin,0.5734260082244873,rademacher,0.0,0.25392740964889526,50232.265625,1.5134947299957275,0.5073566436767578,0.012990322895348072
8.0,0.1,0.875,1.0,Cod_rna,20.0,0.3964364528656006,2.82842712474619,"[3, 4]",0.0,0.26102006435394287,2.775326728820801,0.1233736202120781,0.5742590427398682,2.8284270763397217,2.6790223121643066,maclaurin,0.668034553527832,rademacher,0.0,0.24315857887268066,50790.8828125,1.523535132408142,0.49784055352211,0.012991433031857014
8.0,0.1,0.875,0.0,Cod_rna,20.0,0.5042214393615723,2.82842712474619,"[3, 4]",0.0,0.3933739960193634,5.15795373916626,0.2868398129940033,0.875621497631073,2.8284270763397217,2.6790223121643066,maclaurin,0.5575919151306152,srht,0.0,0.21876025199890137,41873.3359375,1.1662617921829224,0.4438856840133667,0.013029041700065136
8.0,0.1,0.875,1.0,Cod_rna,20.0,0.4658200740814209,2.82842712474619,"[3, 4]",0.0,0.28233110904693604,3.1627321243286133,0.13705109059810638,0.6052544116973877,2.8284270763397217,2.6790223121643066,maclaurin,0.6780118942260742,srht,0.0,0.24677763879299164,52230.140625,1.5678852796554565,0.5124707221984863,0.012995550408959389
8.0,0.1,0.875,0.0,Cod_rna,20.0,0.36193299293518066,2.82842712474619,"[3, 4]",0.0,0.42083534598350525,4.969183921813965,0.3020263910293579,0.8985022306442261,2.8284270763397217,2.6790223121643066,maclaurin,0.6337292194366455,countsketch_scatter,0.0,0.28658735752105713,62616.1875,2.008244752883911,0.6108762621879578,0.013043327257037163
8.0,0.1,0.875,0.0,Cod_rna,20.0,1.430511474609375e-06,2.82842712474619,None,0.0,0.43350476026535034,1.03948175907135,1.214792013168335,1.8019706010818481,2.8284270763397217,2.6790223121643066,ts,0.5808627605438232,rademacher,0.0,0.26143431663513184,57201.57421875,1.4558268785476685,0.48274311423301697,0.012884640134871006
