D,alpha,bias,comp,dataset,degree,dist_est_time,dummy_error,dummy_mnll,est_len,feature_dist,hier,k_mean_error,k_mean_rel_error,k_mse,k_rel_frob_error,kernel_len,kernel_var,method,pred_time,proj,seed,test_error,test_kl,test_label_var,test_mean_mse,test_mnll,test_var_mse
64.0,0.01,0.875,0.0,Covertype,20.0,1.430511474609375e-06,0.511910080909729,1.2077319622039795,2.82842712474619,None,0.0,0.5135828256607056,1.6613184213638306,0.4107886850833893,0.7934655547142029,2.8284270763397217,5.299327373504639,srf,0.6102426052093506,gaussian,0.0,0.37134695053100586,16222.431640625,0.12244898825883865,1.688551664352417,0.8687463402748108,0.1740608811378479
64.0,0.01,0.875,1.0,Covertype,20.0,1.6689300537109375e-06,0.511910080909729,1.2077319622039795,2.82842712474619,None,0.0,0.37276527285575867,1.2110589742660522,0.21796885132789612,0.5779843330383301,2.8284270763397217,5.299327373504639,srf,1.3467943668365479,gaussian,0.0,0.3429486155509949,13149.2392578125,0.12244898825883865,1.2816795110702515,0.808195948600769,0.17391499876976013
64.0,0.01,0.875,0.0,Covertype,20.0,1.430511474609375e-06,0.511910080909729,1.2077319622039795,2.82842712474619,None,0.0,0.49452242255210876,1.6446406841278076,0.38816046714782715,0.7713021039962769,2.8284270763397217,5.299327373504639,srf,0.6018908023834229,srht,0.0,0.35430794954299927,15358.6748046875,0.12244898825883865,1.5942000150680542,0.8550077080726624,0.17392732203006744
64.0,0.01,0.875,1.0,Covertype,20.0,9.5367431640625e-07,0.511910080909729,1.2077319622039795,2.82842712474619,None,0.0,0.3306784927845001,1.1294426918029785,0.1757119745016098,0.5189428925514221,2.8284270763397217,5.299327373504639,srf,1.2110910415649414,srht,0.0,0.3415201008319855,12671.5810546875,0.12244898825883865,1.2184711694717407,0.7950871586799622,0.17381229996681213
64.0,0.01,0.875,0.0,Covertype,20.0,1.1598005294799805,0.511910080909729,1.2077319622039795,2.82842712474619,"[26, 37]",0.0,0.2861892282962799,0.8133019804954529,0.16398002207279205,0.501319169998169,2.8284270763397217,5.299327373504639,maclaurin,0.5902814865112305,rademacher,0.0,0.31467077136039734,11176.552734375,0.12244898825883865,1.0202975273132324,0.7695560455322266,0.1754343956708908
64.0,0.01,0.875,1.0,Covertype,20.0,1.0765540599822998,0.511910080909729,1.2077319622039795,2.82842712474619,"[26, 37]",0.0,0.21618379652500153,0.5748893022537231,0.11203447729349136,0.4143761098384857,2.8284270763397217,5.299327373504639,maclaurin,1.1902108192443848,rademacher,0.0,0.30556607246398926,10440.71484375,0.12244898825883865,0.9134970903396606,0.7248221039772034,0.17519967257976532
64.0,0.01,0.875,0.0,Covertype,20.0,1.265392541885376,0.511910080909729,1.2077319622039795,2.82842712474619,"[26, 37]",0.0,0.25330445170402527,0.7200851440429688,0.13173486292362213,0.44933393597602844,2.8284270763397217,5.299327373504639,maclaurin,0.5998432636260986,srht,0.0,0.30553165078163147,11109.701171875,0.12244898825883865,1.017076015472412,0.7501859664916992,0.17443540692329407
64.0,0.01,0.875,1.0,Covertype,20.0,1.1335372924804688,0.511910080909729,1.2077319622039795,2.82842712474619,"[26, 37]",0.0,0.20537643134593964,0.5373755693435669,0.10287345945835114,0.3970731496810913,2.8284270763397217,5.299327373504639,maclaurin,1.1480157375335693,srht,0.0,0.299765944480896,10372.587890625,0.12244898825883865,0.9246610403060913,0.7366095185279846,0.1749405860900879
64.0,0.01,0.875,0.0,Covertype,20.0,1.162022590637207,0.511910080909729,1.2077319622039795,2.82842712474619,"[27, 36]",0.0,0.2537238299846649,0.6743162274360657,0.15109126269817352,0.481214314699173,2.8284270763397217,5.299327373504639,maclaurin,0.7904870510101318,countsketch_scatter,0.0,0.3380434513092041,12981.3037109375,0.12244898825883865,1.233168363571167,0.8017683029174805,0.17773380875587463
64.0,0.01,0.875,0.0,Covertype,20.0,7.152557373046875e-07,0.511910080909729,1.2077319622039795,2.82842712474619,None,0.0,0.43869680166244507,0.7166219353675842,4.569684028625488,2.64643931388855,2.8284270763397217,5.299327373504639,ts,0.5818846225738525,rademacher,0.0,0.3550824522972107,16006.7080078125,0.12244898825883865,1.47187077999115,0.8290442824363708,0.1741447001695633
64.0,0.01,0.875,1.0,Covertype,20.0,9.5367431640625e-07,0.511910080909729,1.2077319622039795,2.82842712474619,None,0.0,0.3137299120426178,0.7596530914306641,0.2918306887149811,0.6687816381454468,2.8284270763397217,5.299327373504639,ts,1.4020566940307617,rademacher,0.0,0.32677018642425537,12417.2978515625,0.12244898825883865,1.1427514553070068,0.7782690525054932,0.1735614836215973
64.0,0.01,0.875,0.0,Covertype,20.0,9.5367431640625e-07,0.511910080909729,1.2077319622039795,2.82842712474619,None,0.0,0.4304918348789215,0.7627822160720825,3.1643218994140625,2.202212333679199,2.8284270763397217,5.299327373504639,ts,0.6010293960571289,srht,0.0,0.3482668697834015,15742.1953125,0.12244898825883865,1.499299168586731,0.8268173933029175,0.1759139448404312
64.0,0.01,0.875,1.0,Covertype,20.0,1.430511474609375e-06,0.511910080909729,1.2077319622039795,2.82842712474619,None,0.0,0.3422337472438812,0.8188703656196594,0.3402600884437561,0.7221449017524719,2.8284270763397217,5.299327373504639,ts,1.6686632633209229,srht,0.0,0.3332587778568268,13016.6142578125,0.12244898825883865,1.260528326034546,0.7892863154411316,0.17343291640281677
