D,alpha,bias,comp,dataset,degree,dist_est_time,dummy_error,dummy_mnll,est_len,feature_dist,hier,k_mean_error,k_mean_rel_error,k_mse,k_rel_frob_error,kernel_len,kernel_var,method,pred_time,proj,seed,test_error,test_kl,test_label_var,test_mean_mse,test_mnll,test_var_mse
16.0,0.001,0.875,0.0,Letter,20.0,1.9073486328125e-06,0.9660000205039978,3.2593207359313965,2.82842712474619,None,0.0,0.7292067408561707,4.747778415679932,0.8344569206237793,1.47478187084198,2.8284270763397217,3.7106761932373047,srf,0.40452122688293457,gaussian,0.0,0.6140000224113464,18599.013671875,0.036982230842113495,7.2003021240234375,2.212085485458374,0.40257036685943604
16.0,0.001,0.875,1.0,Letter,20.0,1.6689300537109375e-06,0.9660000205039978,3.2593207359313965,2.82842712474619,None,0.0,0.5503601431846619,3.398531436920166,0.4771600067615509,1.1152130365371704,2.8284270763397217,3.7106761932373047,srf,0.7935993671417236,gaussian,0.0,0.5080000162124634,13423.576171875,0.036982230842113495,4.694245338439941,1.7500048875808716,0.4028518795967102
16.0,0.001,0.875,0.0,Letter,20.0,1.1920928955078125e-06,0.9660000205039978,3.2593207359313965,2.82842712474619,None,0.0,0.6647664904594421,4.445703983306885,0.6935355067253113,1.3444980382919312,2.8284270763397217,3.7106761932373047,srf,0.395998477935791,srht,0.0,0.596500039100647,17371.681640625,0.036982230842113495,6.994770526885986,2.0780880451202393,0.4025707244873047
16.0,0.001,0.875,1.0,Letter,20.0,9.5367431640625e-07,0.9660000205039978,3.2593207359313965,2.82842712474619,None,0.0,0.42631229758262634,3.0304932594299316,0.297386109828949,0.8804123997688293,2.8284270763397217,3.7106761932373047,srf,0.7682058811187744,srht,0.0,0.4240000247955322,13127.7314453125,0.036982230842113495,4.6759819984436035,1.469740390777588,0.402660608291626
16.0,0.001,0.875,0.0,Letter,20.0,0.43801426887512207,0.9660000205039978,3.2593207359313965,2.82842712474619,"[6, 9]",0.0,0.3491249680519104,2.249549388885498,0.21019022166728973,0.7401710152626038,2.8284270763397217,3.7106761932373047,maclaurin,0.45352840423583984,rademacher,0.0,0.5445000529289246,17004.53125,0.036982230842113495,6.6577534675598145,1.8551928997039795,0.40210890769958496
16.0,0.001,0.875,1.0,Letter,20.0,0.4403972625732422,0.9660000205039978,3.2593207359313965,2.82842712474619,"[6, 9]",0.0,0.2915923297405243,1.8979432582855225,0.14324969053268433,0.6110442280769348,2.8284270763397217,3.7106761932373047,maclaurin,0.8701889514923096,rademacher,0.0,0.4465000331401825,13774.4228515625,0.036982230842113495,5.126933574676514,1.4944144487380981,0.40200936794281006
16.0,0.001,0.875,0.0,Letter,20.0,0.5390048027038574,0.9660000205039978,3.2593207359313965,2.82842712474619,"[6, 9]",0.0,0.3558276295661926,2.366121292114258,0.2142467200756073,0.7472792267799377,2.8284270763397217,3.7106761932373047,maclaurin,0.40449023246765137,srht,0.0,0.5660000443458557,16842.35546875,0.036982230842113495,6.603481769561768,1.8474308252334595,0.4023270606994629
16.0,0.001,0.875,1.0,Letter,20.0,0.4999251365661621,0.9660000205039978,3.2593207359313965,2.82842712474619,"[6, 9]",0.0,0.2271237075328827,1.1912109851837158,0.09999365359544754,0.5105192065238953,2.8284270763397217,3.7106761932373047,maclaurin,0.7368800640106201,srht,0.0,0.4375000298023224,13287.70703125,0.036982230842113495,4.858085632324219,1.432019591331482,0.40164586901664734
16.0,0.001,0.875,0.0,Letter,20.0,0.39336514472961426,0.9660000205039978,3.2593207359313965,2.82842712474619,"[7, 8]",0.0,0.39703455567359924,2.6477572917938232,0.26994800567626953,0.838814377784729,2.8284270763397217,3.7106761932373047,maclaurin,0.41688084602355957,countsketch_scatter,0.0,0.5649999976158142,17654.080078125,0.036982230842113495,6.955403804779053,1.9370981454849243,0.40430060029029846
16.0,0.001,0.875,0.0,Letter,20.0,7.152557373046875e-07,0.9660000205039978,3.2593207359313965,2.82842712474619,None,0.0,0.8067874908447266,1.581115484237671,28.71833610534668,8.651780128479004,2.8284270763397217,3.7106761932373047,ts,0.4082655906677246,rademacher,0.0,0.6690000295639038,18834.67578125,0.036982230842113495,5.979254722595215,2.288137674331665,0.40202561020851135
16.0,0.001,0.875,1.0,Letter,20.0,9.5367431640625e-07,0.9660000205039978,3.2593207359313965,2.82842712474619,None,0.0,0.41172438859939575,1.3067485094070435,0.48730963468551636,1.1270115375518799,2.8284270763397217,3.7106761932373047,ts,0.8403587341308594,rademacher,0.0,0.5580000281333923,15106.7685546875,0.036982230842113495,4.838630199432373,1.948735237121582,0.40011486411094666
16.0,0.001,0.875,0.0,Letter,20.0,9.5367431640625e-07,0.9660000205039978,3.2593207359313965,2.82842712474619,None,0.0,0.4250023066997528,0.8590067028999329,2.106090545654297,2.342957019805908,2.8284270763397217,3.7106761932373047,ts,0.45937657356262207,srht,0.0,0.6215000152587891,17795.380859375,0.036982230842113495,6.139439582824707,2.2378149032592773,0.4028962552547455
16.0,0.001,0.875,1.0,Letter,20.0,1.430511474609375e-06,0.9660000205039978,3.2593207359313965,2.82842712474619,None,0.0,0.41905805468559265,1.3464125394821167,0.8530195951461792,1.4910951852798462,2.8284270763397217,3.7106761932373047,ts,0.8878953456878662,srht,0.0,0.5045000314712524,13823.3330078125,0.036982230842113495,4.661043643951416,1.7103394269943237,0.4023056626319885
16.0,0.001,0.875,0.0,Letter,20.0,9.5367431640625e-07,0.9660000205039978,3.2593207359313965,2.82842712474619,None,0.0,0.597665011882782,2.082458972930908,1.572394847869873,2.0244479179382324,2.8284270763397217,3.7106761932373047,ts,0.45739197731018066,countsketch_scatter,0.0,0.5840000510215759,17852.333984375,0.036982230842113495,6.381832599639893,2.138627529144287,0.40207424759864807
16.0,0.001,0.875,0.0,Letter,20.0,9.5367431640625e-07,0.9660000205039978,3.2593207359313965,2.82842712474619,None,1.0,0.6306495070457458,2.070986747741699,2.5319855213165283,2.5689547061920166,2.8284270763397217,3.7106761932373047,ts,0.4431605339050293,srht,0.0,0.6505000591278076,18708.19921875,0.036982230842113495,6.359426498413086,2.304943084716797,0.4043997526168823
16.0,0.001,0.875,1.0,Letter,20.0,1.430511474609375e-06,0.9660000205039978,3.2593207359313965,2.82842712474619,None,1.0,1.5838122367858887,8.97579574584961,5.173898696899414,3.672271728515625,2.8284270763397217,3.7106761932373047,ts,1.1184890270233154,srht,0.0,0.5100000500679016,13059.578125,0.036982230842113495,4.451874732971191,1.7614980936050415,0.40166667103767395
16.0,0.001,0.875,0.0,Letter,20.0,9.5367431640625e-07,0.9660000205039978,3.2593207359313965,2.82842712474619,None,1.0,0.4998966455459595,2.2065019607543945,0.6254649758338928,1.2768131494522095,2.8284270763397217,3.7106761932373047,ts,0.54779052734375,countsketch_scatter,0.0,0.6780000329017639,19132.779296875,0.036982230842113495,6.683852195739746,2.390615463256836,0.4009442627429962
32.0,0.001,0.875,0.0,Letter,20.0,1.430511474609375e-06,0.9660000205039978,3.2593207359313965,2.82842712474619,None,0.0,0.5208730101585388,3.4396514892578125,0.42654311656951904,1.054404616355896,2.8284270763397217,3.7106761932373047,srf,0.4266316890716553,gaussian,0.0,0.4715000092983246,14295.3876953125,0.036982230842113495,5.9176764488220215,1.5670889616012573,0.38025036454200745
32.0,0.001,0.875,1.0,Letter,20.0,1.430511474609375e-06,0.9660000205039978,3.2593207359313965,2.82842712474619,None,0.0,0.3634779155254364,2.3277900218963623,0.2075219750404358,0.7354580163955688,2.8284270763397217,3.7106761932373047,srf,0.7692410945892334,gaussian,0.0,0.351500004529953,10343.46875,0.036982230842113495,3.9182403087615967,1.2321674823760986,0.3810010552406311
32.0,0.001,0.875,0.0,Letter,20.0,9.5367431640625e-07,0.9660000205039978,3.2593207359313965,2.82842712474619,None,0.0,0.48472192883491516,3.503322124481201,0.37987279891967773,0.9950501322746277,2.8284270763397217,3.7106761932373047,srf,0.3842947483062744,srht,0.0,0.4130000174045563,13497.8779296875,0.036982230842113495,5.7451629638671875,1.4550349712371826,0.3807365894317627
32.0,0.001,0.875,1.0,Letter,20.0,9.5367431640625e-07,0.9660000205039978,3.2593207359313965,2.82842712474619,None,0.0,0.3230559229850769,2.3520450592041016,0.1706845909357071,0.666995644569397,2.8284270763397217,3.7106761932373047,srf,0.7955348491668701,srht,0.0,0.3505000174045563,10286.916015625,0.036982230842113495,3.9605939388275146,1.1629177331924438,0.38081616163253784
32.0,0.001,0.875,0.0,Letter,20.0,0.6425726413726807,0.9660000205039978,3.2593207359313965,2.82842712474619,"[12, 19]",0.0,0.2816542983055115,1.7781503200531006,0.13726584613323212,0.5981457829475403,2.8284270763397217,3.7106761932373047,maclaurin,0.4086463451385498,rademacher,0.0,0.3500000238418579,11058.0703125,0.036982230842113495,4.523923397064209,1.156075358390808,0.38099759817123413
32.0,0.001,0.875,1.0,Letter,20.0,0.6546754837036133,0.9660000205039978,3.2593207359313965,2.82842712474619,"[13, 18]",0.0,0.21680890023708344,1.374191403388977,0.08616523444652557,0.47390562295913696,2.8284270763397217,3.7106761932373047,maclaurin,0.771815299987793,rademacher,0.0,0.2930000126361847,8991.6787109375,0.036982230842113495,3.454415798187256,0.9781067371368408,0.3813265264034271
32.0,0.001,0.875,0.0,Letter,20.0,0.7246487140655518,0.9660000205039978,3.2593207359313965,2.82842712474619,"[13, 18]",0.0,0.20137345790863037,1.1189855337142944,0.07673684507608414,0.44722676277160645,2.8284270763397217,3.7106761932373047,maclaurin,0.3883957862854004,srht,0.0,0.3395000100135803,10798.748046875,0.036982230842113495,4.415465831756592,1.1260230541229248,0.37894999980926514
