D,alpha,bias,comp,dataset,degree,dist_est_time,dummy_error,dummy_mnll,est_len,feature_dist,hier,k_mean_error,k_mean_rel_error,k_mse,k_rel_frob_error,kernel_len,kernel_var,method,pred_time,proj,seed,test_error,test_kl,test_label_var,test_mean_mse,test_mnll,test_var_mse
64.0,0.01,0.875,0.0,Miniboo,20.0,1.430511474609375e-06,0.28207889199256897,0.5949123501777649,2.82842712474619,None,0.0,1.008424162864685,2.2542409896850586,1.5913468599319458,0.48564794659614563,2.8284270763397217,10.819504737854004,srf,0.1379411220550537,gaussian,0.0,0.1477665901184082,23569.056640625,0.25,1.9332919120788574,0.3487909436225891,0.18121236562728882
64.0,0.01,0.875,1.0,Miniboo,20.0,9.5367431640625e-07,0.28207889199256897,0.5949123501777649,2.82842712474619,None,0.0,0.7000836730003357,1.644891619682312,0.7648100852966309,0.3366789221763611,2.8284270763397217,10.819504737854004,srf,0.20961785316467285,gaussian,0.0,0.13546551764011383,17683.4453125,0.25,1.5018949508666992,0.31969982385635376,0.18157681822776794
64.0,0.01,0.875,0.0,Miniboo,20.0,9.5367431640625e-07,0.28207889199256897,0.5949123501777649,2.82842712474619,None,0.0,0.8935880661010742,2.1436197757720947,1.2661254405975342,0.4331890940666199,2.8284270763397217,10.819504737854004,srf,0.14369940757751465,srht,0.0,0.1376950889825821,17596.6484375,0.25,1.5432188510894775,0.3327217400074005,0.18137702345848083
64.0,0.01,0.875,1.0,Miniboo,20.0,1.430511474609375e-06,0.28207889199256897,0.5949123501777649,2.82842712474619,None,0.0,0.5734251737594604,1.4660444259643555,0.5511294603347778,0.2858024537563324,2.8284270763397217,10.819504737854004,srf,0.2012336254119873,srht,0.0,0.12916122376918793,16302.37890625,0.25,1.3121380805969238,0.30268239974975586,0.1814378947019577
64.0,0.01,0.875,0.0,Miniboo,20.0,1.1459593772888184,0.28207889199256897,0.5949123501777649,2.82842712474619,"[24, 39]",0.0,0.700316309928894,1.464652419090271,0.9177428483963013,0.36880743503570557,2.8284270763397217,10.819504737854004,maclaurin,0.15651559829711914,rademacher,0.0,0.1173214465379715,17141.2421875,0.25,1.2090905904769897,0.26305878162384033,0.18223492801189423
64.0,0.01,0.875,1.0,Miniboo,20.0,1.0837464332580566,0.28207889199256897,0.5949123501777649,2.82842712474619,"[25, 38]",0.0,0.6153124570846558,0.9065091013908386,0.9044161438941956,0.3661198914051056,2.8284270763397217,10.819504737854004,maclaurin,0.2069993019104004,rademacher,0.0,0.11670639365911484,16577.51953125,0.25,1.188560128211975,0.271001398563385,0.18268193304538727
64.0,0.01,0.875,0.0,Miniboo,20.0,1.2528727054595947,0.28207889199256897,0.5949123501777649,2.82842712474619,"[24, 39]",0.0,0.6996862888336182,1.2997382879257202,0.9743790626525879,0.38001710176467896,2.8284270763397217,10.819504737854004,maclaurin,0.14694881439208984,srht,0.0,0.11232414096593857,15715.365234375,0.25,1.0986133813858032,0.2670530676841736,0.18204598128795624
64.0,0.01,0.875,1.0,Miniboo,20.0,1.221559762954712,0.28207889199256897,0.5949123501777649,2.82842712474619,"[25, 38]",0.0,0.5774208307266235,1.1651866436004639,0.7975904941558838,0.34381839632987976,2.8284270763397217,10.819504737854004,maclaurin,0.2975592613220215,srht,0.0,0.11170908808708191,15933.4365234375,0.25,1.1019705533981323,0.2579326331615448,0.18217752873897552
64.0,0.01,0.875,0.0,Miniboo,20.0,1.0201809406280518,0.28207889199256897,0.5949123501777649,2.82842712474619,"[27, 36]",0.0,0.656121015548706,1.161239504814148,0.9319501519203186,0.37165117263793945,2.8284270763397217,10.819504737854004,maclaurin,0.20330119132995605,countsketch_scatter,0.0,0.11324671655893326,18973.875,0.25,1.3364243507385254,0.26052406430244446,0.1836189478635788
64.0,0.01,0.875,0.0,Miniboo,20.0,7.152557373046875e-07,0.28207889199256897,0.5949123501777649,2.82842712474619,None,0.0,1.0057061910629272,0.48031336069107056,5.0201287269592285,0.8625744581222534,2.8284270763397217,10.819504737854004,ts,0.13910675048828125,rademacher,0.0,0.1416160613298416,20309.7265625,0.25,1.8416413068771362,0.3255188465118408,0.17976760864257812
64.0,0.01,0.875,1.0,Miniboo,20.0,1.430511474609375e-06,0.28207889199256897,0.5949123501777649,2.82842712474619,None,0.0,2.0808663368225098,1.4567101001739502,21.61110496520996,1.789689302444458,2.8284270763397217,10.819504737854004,ts,0.25969934463500977,rademacher,0.0,0.13338972628116608,17403.24609375,0.25,1.461896300315857,0.3136683702468872,0.18071754276752472
64.0,0.01,0.875,0.0,Miniboo,20.0,9.5367431640625e-07,0.28207889199256897,0.5949123501777649,2.82842712474619,None,0.0,1.1057486534118652,0.5345405340194702,7.998524188995361,1.088789939880371,2.8284270763397217,10.819504737854004,ts,0.15102839469909668,srht,0.0,0.13123703002929688,18957.45703125,0.25,1.5497132539749146,0.31149160861968994,0.17858409881591797
64.0,0.01,0.875,1.0,Miniboo,20.0,1.1920928955078125e-06,0.28207889199256897,0.5949123501777649,2.82842712474619,None,0.0,0.8690884709358215,0.7203119397163391,2.3154923915863037,0.5858154892921448,2.8284270763397217,10.819504737854004,ts,0.3387570381164551,srht,0.0,0.1353117674589157,16262.9560546875,0.25,1.3309634923934937,0.312719464302063,0.17975468933582306
64.0,0.01,0.875,0.0,Miniboo,20.0,9.5367431640625e-07,0.28207889199256897,0.5949123501777649,2.82842712474619,None,0.0,1.117292046546936,1.0455507040023804,3.384176731109619,0.7082158327102661,2.8284270763397217,10.819504737854004,ts,1.278696060180664,countsketch_scatter,0.0,0.1445375680923462,20569.4609375,0.25,1.7494655847549438,0.3402324616909027,0.18018615245819092
64.0,0.01,0.875,0.0,Miniboo,20.0,1.430511474609375e-06,0.28207889199256897,0.5949123501777649,2.82842712474619,None,1.0,1.53596031665802,1.0371750593185425,5.161823749542236,0.8746629357337952,2.8284270763397217,10.819504737854004,ts,0.21277308464050293,srht,0.0,0.1486891806125641,23331.462890625,0.25,2.053361177444458,0.35331976413726807,0.18229007720947266
64.0,0.01,0.875,1.0,Miniboo,20.0,9.5367431640625e-07,0.28207889199256897,0.5949123501777649,2.82842712474619,None,1.0,1.1334654092788696,2.0864999294281006,2.258470058441162,0.5785572528839111,2.8284270763397217,10.819504737854004,ts,0.6055364608764648,srht,0.0,0.13800261914730072,19139.412109375,0.25,1.6720882654190063,0.3202453851699829,0.1815037727355957
64.0,0.01,0.875,0.0,Miniboo,20.0,1.1920928955078125e-06,0.28207889199256897,0.5949123501777649,2.82842712474619,None,1.0,1.4027104377746582,2.340970516204834,4.578444480895996,0.823755145072937,2.8284270763397217,10.819504737854004,ts,3.920877695083618,countsketch_scatter,0.0,0.14384563267230988,24109.49609375,0.25,2.0324928760528564,0.3436550498008728,0.18007470667362213
128.0,0.01,0.875,0.0,Miniboo,20.0,9.5367431640625e-07,0.28207889199256897,0.5949123501777649,2.82842712474619,None,0.0,0.8486922979354858,1.9857794046401978,1.1366420984268188,0.4104412794113159,2.8284270763397217,10.819504737854004,srf,0.14336419105529785,gaussian,0.0,0.12377950549125671,13103.951171875,0.25,1.2854976654052734,0.30308398604393005,0.15884588658809662
128.0,0.01,0.875,1.0,Miniboo,20.0,9.5367431640625e-07,0.28207889199256897,0.5949123501777649,2.82842712474619,None,0.0,0.505159854888916,1.1554877758026123,0.40856415033340454,0.24607601761817932,2.8284270763397217,10.819504737854004,srf,0.24253034591674805,gaussian,0.0,0.11824402958154678,10121.171875,0.25,0.8441193103790283,0.27691444754600525,0.15925762057304382
128.0,0.01,0.875,0.0,Miniboo,20.0,9.5367431640625e-07,0.28207889199256897,0.5949123501777649,2.82842712474619,None,0.0,0.558397650718689,1.5785754919052124,0.5427900552749634,0.28363192081451416,2.8284270763397217,10.819504737854004,srf,0.15175533294677734,srht,0.0,0.11670639365911484,10707.68359375,0.25,0.9464045763015747,0.28394442796707153,0.15908610820770264
128.0,0.01,0.875,1.0,Miniboo,20.0,1.1920928955078125e-06,0.28207889199256897,0.5949123501777649,2.82842712474619,None,0.0,0.41496574878692627,1.0851678848266602,0.2936573326587677,0.20862174034118652,2.8284270763397217,10.819504737854004,srf,0.23759222030639648,srht,0.0,0.12039671838283539,10535.51171875,0.25,0.8926370143890381,0.2795467674732208,0.1584816426038742
128.0,0.01,0.875,0.0,Miniboo,20.0,2.007347345352173,0.28207889199256897,0.5949123501777649,2.82842712474619,"[30, 48, 49]",0.0,0.6379004120826721,1.0794695615768433,0.7898534536361694,0.34214675426483154,2.8284270763397217,10.819504737854004,maclaurin,0.1689598560333252,rademacher,0.0,0.10225263983011246,10427.650390625,0.25,0.8318367004394531,0.24276277422904968,0.1622469276189804
128.0,0.01,0.875,1.0,Miniboo,20.0,2.0090699195861816,0.28207889199256897,0.5949123501777649,2.82842712474619,"[32, 49, 46]",0.0,0.4837947189807892,1.0407938957214355,0.4305895268917084,0.2526218295097351,2.8284270763397217,10.819504737854004,maclaurin,0.2616691589355469,rademacher,0.0,0.1010994091629982,9182.251953125,0.25,0.6643760800361633,0.2385263592004776,0.16327925026416779
128.0,0.01,0.875,0.0,Miniboo,20.0,2.1043124198913574,0.28207889199256897,0.5949123501777649,2.82842712474619,"[30, 48, 49]",0.0,0.6040223836898804,1.6000633239746094,0.6482507586479187,0.309963583946228,2.8284270763397217,10.819504737854004,maclaurin,0.16708731651306152,srht,0.0,0.10448220372200012,9833.0908203125,0.25,0.7471312284469604,0.24363666772842407,0.1622924655675888
128.0,0.01,0.875,1.0,Miniboo,20.0,2.1816318035125732,0.28207889199256897,0.5949123501777649,2.82842712474619,"[33, 49, 45]",0.0,0.45555606484413147,0.8200927972793579,0.3969656825065613,0.24255803227424622,2.8284270763397217,10.819504737854004,maclaurin,0.29036426544189453,srht,0.0,0.10086876899003983,9282.9013671875,0.25,0.6557919979095459,0.23567762970924377,0.16301222145557404
128.0,0.01,0.875,0.0,Miniboo,20.0,2.015615463256836,0.28207889199256897,0.5949123501777649,2.82842712474619,"[38, 48, 41]",0.0,0.7700164914131165,1.7661033868789673,1.055997371673584,0.39561301469802856,2.8284270763397217,10.819504737854004,maclaurin,0.5448906421661377,countsketch_scatter,0.0,0.10402091592550278,10644.26171875,0.25,0.813118040561676,0.24704860150814056,0.16677141189575195
128.0,0.01,0.875,0.0,Miniboo,20.0,1.1920928955078125e-06,0.28207889199256897,0.5949123501777649,2.82842712474619,None,0.0,1.5298789739608765,0.6175782084465027,23.7293701171875,1.8753496408462524,2.8284270763397217,10.819504737854004,ts,0.15102696418762207,rademacher,0.0,0.1267010122537613,13373.9775390625,0.25,1.2064707279205322,0.2995878756046295,0.16264358162879944
128.0,0.01,0.875,1.0,Miniboo,20.0,1.1920928955078125e-06,0.28207889199256897,0.5949123501777649,2.82842712474619,None,0.0,1.0802862644195557,0.789271354675293,7.887815475463867,1.0812286138534546,2.8284270763397217,10.819504737854004,ts,0.36124634742736816,rademacher,0.0,0.12024295330047607,10468.35546875,0.25,0.8550931215286255,0.28779059648513794,0.15826363861560822
128.0,0.01,0.875,0.0,Miniboo,20.0,9.5367431640625e-07,0.28207889199256897,0.5949123501777649,2.82842712474619,None,0.0,0.9902552962303162,0.47564512491226196,4.702008247375488,0.8347969651222229,2.8284270763397217,10.819504737854004,ts,0.18057608604431152,srht,0.0,0.1200123056769371,14396.6171875,0.25,1.1809232234954834,0.285753458738327,0.1650877594947815
