D,alpha,bias,comp,dataset,degree,dist_est_time,dummy_error,dummy_mnll,est_len,feature_dist,hier,k_mean_error,k_mean_rel_error,k_mse,k_rel_frob_error,kernel_len,kernel_var,method,pred_time,proj,seed,test_error,test_kl,test_label_var,test_mean_mse,test_mnll,test_var_mse
64.0,0.001,0.875,0.0,Mocap,20.0,2.1457672119140625e-06,0.7915493249893188,1.608945369720459,2.82842712474619,None,0.0,1.5459476709365845,1.8848707675933838,3.751408338546753,0.9023679494857788,2.8284270763397217,16.053884506225586,srf,0.18655896186828613,gaussian,0.0,0.2873239517211914,22515.642578125,0.1600000411272049,13.295734405517578,0.8453839421272278,14.355185508728027
64.0,0.001,0.875,1.0,Mocap,20.0,9.5367431640625e-07,0.7915493249893188,1.608945369720459,2.82842712474619,None,0.0,1.1377605199813843,1.392560601234436,2.034684419631958,0.6645612716674805,2.8284270763397217,16.053884506225586,srf,0.44837188720703125,gaussian,0.0,0.23751601576805115,21660.759765625,0.1600000411272049,11.415945053100586,0.6316774487495422,14.355155944824219
64.0,0.001,0.875,0.0,Mocap,20.0,1.1920928955078125e-06,0.7915493249893188,1.608945369720459,2.82842712474619,None,0.0,1.4929579496383667,1.8413857221603394,3.515493631362915,0.8735337257385254,2.8284270763397217,16.053884506225586,srf,0.16833138465881348,srht,0.0,0.26773369312286377,22828.640625,0.1600000411272049,13.044775009155273,0.8057901263237,14.356179237365723
64.0,0.001,0.875,1.0,Mocap,20.0,1.430511474609375e-06,0.7915493249893188,1.608945369720459,2.82842712474619,None,0.0,0.9959334135055542,1.2743980884552002,1.5895845890045166,0.5873923897743225,2.8284270763397217,16.053884506225586,srf,0.40674686431884766,srht,0.0,0.21843791007995605,21101.828125,0.1600000411272049,11.184814453125,0.5829306840896606,14.357102394104004
64.0,0.001,0.875,0.0,Mocap,20.0,1.153914213180542,0.7915493249893188,1.608945369720459,2.82842712474619,"[25, 38]",0.0,0.7998960614204407,0.9313470125198364,1.1225481033325195,0.4936157166957855,2.8284270763397217,16.053884506225586,maclaurin,0.1812889575958252,rademacher,0.0,0.19206146895885468,19217.328125,0.1600000411272049,9.890007019042969,0.5634793639183044,14.312363624572754
64.0,0.001,0.875,1.0,Mocap,20.0,1.1052122116088867,0.7915493249893188,1.608945369720459,2.82842712474619,"[26, 37]",0.0,0.5878342390060425,0.6815316081047058,0.629422128200531,0.36962175369262695,2.8284270763397217,16.053884506225586,maclaurin,0.36994004249572754,rademacher,0.0,0.15339308977127075,17938.263671875,0.1600000411272049,8.516552925109863,0.45288947224617004,14.311531066894531
64.0,0.001,0.875,0.0,Mocap,20.0,1.2666449546813965,0.7915493249893188,1.608945369720459,2.82842712474619,"[25, 38]",0.0,0.7407159805297852,0.8064743876457214,1.0141483545303345,0.46917757391929626,2.8284270763397217,16.053884506225586,maclaurin,0.18202662467956543,srht,0.0,0.19513444602489471,19553.3203125,0.1600000411272049,10.071615219116211,0.5738224387168884,14.314712524414062
64.0,0.001,0.875,1.0,Mocap,20.0,1.1691944599151611,0.7915493249893188,1.608945369720459,2.82842712474619,"[26, 37]",0.0,0.5698515176773071,0.6432542204856873,0.6065578460693359,0.3628462255001068,2.8284270763397217,16.053884506225586,maclaurin,0.42811012268066406,srht,0.0,0.16734956204891205,18423.708984375,0.1600000411272049,8.758265495300293,0.4860902428627014,14.321697235107422
64.0,0.001,0.875,0.0,Mocap,20.0,1.1300039291381836,0.7915493249893188,1.608945369720459,2.82842712474619,"[27, 36]",0.0,0.7961421012878418,0.9511889815330505,1.047959566116333,0.4769344925880432,2.8284270763397217,16.053884506225586,maclaurin,0.215867280960083,countsketch_scatter,0.0,0.2049936056137085,20651.47265625,0.1600000411272049,10.541739463806152,0.5822438597679138,14.355731964111328
64.0,0.001,0.875,0.0,Mocap,20.0,1.1920928955078125e-06,0.7915493249893188,1.608945369720459,2.82842712474619,None,0.0,1.1752793788909912,0.6519759297370911,13.166893005371094,1.6905505657196045,2.8284270763397217,16.053884506225586,ts,0.1741330623626709,rademacher,0.0,0.25659412145614624,26658.025390625,0.1600000411272049,15.16123104095459,0.7533131837844849,14.259900093078613
64.0,0.001,0.875,1.0,Mocap,20.0,9.5367431640625e-07,0.7915493249893188,1.608945369720459,2.82842712474619,None,0.0,1.034011721611023,0.8584444522857666,3.0631401538848877,0.8153985142707825,2.8284270763397217,16.053884506225586,ts,0.44046831130981445,rademacher,0.0,0.23124200105667114,21854.525390625,0.1600000411272049,11.656943321228027,0.6188986897468567,14.307825088500977
64.0,0.001,0.875,0.0,Mocap,20.0,9.5367431640625e-07,0.7915493249893188,1.608945369720459,2.82842712474619,None,0.0,1.2800676822662354,0.7170132994651794,32.65401077270508,2.6622862815856934,2.8284270763397217,16.053884506225586,ts,0.19986438751220703,srht,0.0,0.2737516164779663,27783.16015625,0.1600000411272049,15.544682502746582,0.7787438631057739,14.246594429016113
64.0,0.001,0.875,1.0,Mocap,20.0,1.430511474609375e-06,0.7915493249893188,1.608945369720459,2.82842712474619,None,0.0,0.9764227271080017,0.8309720158576965,2.51192307472229,0.7383965849876404,2.8284270763397217,16.053884506225586,ts,0.5149638652801514,srht,0.0,0.2354673594236374,22434.318359375,0.1600000411272049,11.748041152954102,0.6518673896789551,14.31119441986084
64.0,0.001,0.875,0.0,Mocap,20.0,9.5367431640625e-07,0.7915493249893188,1.608945369720459,2.82842712474619,None,0.0,1.4008954763412476,1.0823432207107544,8.401396751403809,1.350399374961853,2.8284270763397217,16.053884506225586,ts,1.1231505870819092,countsketch_scatter,0.0,0.28745198249816895,25439.08203125,0.1600000411272049,14.364192008972168,0.8277566432952881,14.329259872436523
64.0,0.001,0.875,0.0,Mocap,20.0,1.1920928955078125e-06,0.7915493249893188,1.608945369720459,2.82842712474619,None,1.0,1.6281839609146118,1.688600778579712,4.832560062408447,1.0241773128509521,2.8284270763397217,16.053884506225586,ts,0.2535545825958252,srht,0.0,0.3555698096752167,26996.703125,0.1600000411272049,15.61392593383789,1.0618252754211426,14.344409942626953
