dataset,method,degree,bias,proj,comp,comp_real,full_cov,hier,kernel_var,kernel_len,test_error,test_mnll,test_label_var,k_mse,k_mean_error,k_rel_frob_error,test_kl,test_mean_mse,test_var_mse,D,feature_dist,noise_var,feature_time,pred_time,seed
MNIST,srf,20.0,0.875,gaussian,0.0,0.0,0.0,0.0,9.027409553527832,2.8284270763397217,0.15479999780654907,0.5025922656059265,0.09000000357627869,0.5530906915664673,0.5927431583404541,0.3353305757045746,11953.072265625,5.839458465576172,5.870665550231934,128.0,None,0.001,0.008165597915649414,0.03555703163146973,0.0
MNIST,poly_sketch,20.0,0.875,srht,0.0,0.0,1.0,0.0,9.027409553527832,2.8284270763397217,0.1665000021457672,0.5587924718856812,0.09000000357627869,12.125910758972168,1.4716601371765137,1.570117473602295,15061.1875,7.290225982666016,5.9649434089660645,128.0,None,0.001,0.10967874526977539,0.032067060470581055,0.0
MNIST,poly_sketch,20.0,0.875,srht,0.0,1.0,1.0,0.0,9.027409553527832,2.8284270763397217,0.16030000150203705,0.5125494003295898,0.09000000357627869,5.5444440841674805,1.1619223356246948,1.061705231666565,12292.5263671875,5.8766093254089355,5.867128372192383,128.0,None,0.001,0.31769728660583496,0.025845766067504883,0.0
MNIST,poly_sketch,20.0,0.875,countsketch_scatter,0.0,0.0,0.0,0.0,9.027409553527832,2.8284270763397217,0.16990000009536743,0.5525363683700562,0.09000000357627869,3.856689214706421,1.270569920539856,0.8854871988296509,12758.140625,6.249207496643066,5.874233722686768,128.0,None,0.001,0.11869359016418457,0.03831028938293457,0.0
MNIST,srf,20.0,0.875,gaussian,0.0,0.0,0.0,0.0,9.027409553527832,2.8284270763397217,0.09730000048875809,0.3089788854122162,0.09000000357627869,0.28032776713371277,0.42214304208755493,0.2387305647134781,7911.55322265625,3.8798024654388428,5.317185401916504,256.0,None,0.001,0.02012920379638672,0.05211353302001953,0.0
MNIST,poly_sketch,20.0,0.875,srht,0.0,0.0,1.0,0.0,9.027409553527832,2.8284270763397217,0.11249999701976776,0.3707455098628998,0.09000000357627869,1.7997105121612549,1.0455825328826904,0.6048898696899414,10787.8017578125,5.150026321411133,5.587573528289795,256.0,None,0.001,0.12741708755493164,0.05222034454345703,0.0
MNIST,poly_sketch,20.0,0.875,srht,0.0,1.0,1.0,0.0,9.027409553527832,2.8284270763397217,0.10639999806880951,0.3443392813205719,0.09000000357627869,2.6265757083892822,1.0104941129684448,0.7307518720626831,8887.1552734375,4.319103240966797,5.401042461395264,256.0,None,0.001,0.3302292823791504,0.05088925361633301,0.0
MNIST,poly_sketch,20.0,0.875,countsketch_scatter,0.0,0.0,0.0,0.0,9.027409553527832,2.8284270763397217,0.1014999970793724,0.339090496301651,0.09000000357627869,1.057817816734314,0.7451616525650024,0.4637462794780731,9004.07421875,4.273279666900635,5.4462971687316895,256.0,None,0.001,0.13580989837646484,0.054439544677734375,0.0
MNIST,srf,20.0,0.875,gaussian,0.0,0.0,0.0,0.0,9.027409553527832,2.8284270763397217,0.06719999760389328,0.21479453146457672,0.09000000357627869,0.137944296002388,0.2960987389087677,0.16746607422828674,5207.310546875,2.8688886165618896,4.2893805503845215,512.0,None,0.001,0.02058863639831543,0.10420346260070801,0.0
MNIST,poly_sketch,20.0,0.875,srht,0.0,0.0,1.0,0.0,9.027409553527832,2.8284270763397217,0.0802999958395958,0.2664792537689209,0.09000000357627869,2.711066961288452,0.8304697275161743,0.7424122095108032,7758.60791015625,3.664193630218506,5.0659637451171875,512.0,None,0.001,0.14220261573791504,0.10360860824584961,0.0
MNIST,poly_sketch,20.0,0.875,srht,0.0,1.0,1.0,0.0,9.027409553527832,2.8284270763397217,0.07270000129938126,0.22857382893562317,0.09000000357627869,0.6838012933731079,0.6139002442359924,0.37285494804382324,5825.41552734375,2.8532254695892334,4.633764743804932,512.0,None,0.001,0.35599565505981445,0.10356879234313965,0.0
MNIST,poly_sketch,20.0,0.875,countsketch_scatter,0.0,0.0,0.0,0.0,9.027409553527832,2.8284270763397217,0.07039999961853027,0.2291555553674698,0.09000000357627869,0.7342454195022583,0.6741504669189453,0.38636308908462524,6051.03857421875,2.9969921112060547,4.663018226623535,512.0,None,0.001,0.1637723445892334,0.10566282272338867,0.0
MNIST,srf,20.0,0.875,gaussian,0.0,0.0,0.0,0.0,9.027409553527832,2.8284270763397217,0.046699997037649155,0.14921972155570984,0.09000000357627869,0.0743856132030487,0.21741904318332672,0.12297574430704117,2906.303466796875,1.8267512321472168,2.749267816543579,1024.0,None,0.001,0.030926227569580078,0.25832462310791016,0.0
