D,bias,comp,dataset,degree,feature_dist,hier,k_mean_error,k_mse,k_rel_frob_error,kernel_len,kernel_var,method,noise_var,pred_time,proj,seed,test_error,test_kl,test_label_var,test_mean_mse,test_mnll,test_var_mse
80.0,0.875,0.0,Boston,20.0,None,0.0,6.89348840713501,76.53691864013672,0.37415847182273865,2.8284270763397217,84.10760498046875,srf,3.0517578125e-05,0.02128887176513672,gaussian,0.0,11.042095184326172,2214.3828125,75.76026916503906,21.646678924560547,140910.015625,23.64568519592285
80.0,0.875,0.0,Boston,20.0,None,0.0,7.070363521575928,82.2964096069336,0.38798102736473083,2.8284270763397217,84.10760498046875,srf,6.103515625e-05,0.023849010467529297,gaussian,0.0,12.267295837402344,2147.7939453125,75.76026916503906,24.75994300842285,79181.9765625,23.65118408203125
80.0,0.875,0.0,Boston,20.0,None,0.0,6.384868144989014,66.64701080322266,0.3491486608982086,2.8284270763397217,84.10760498046875,srf,0.0001220703125,0.022664546966552734,gaussian,0.0,16.978382110595703,2078.719970703125,75.76026916503906,28.565200805664062,53209.09375,23.66281509399414
80.0,0.875,0.0,Boston,20.0,None,0.0,7.185319900512695,80.28688049316406,0.3832148611545563,2.8284270763397217,84.10760498046875,srf,0.000244140625,0.00937962532043457,gaussian,0.0,14.59827709197998,1763.5697021484375,75.76026916503906,29.87797737121582,23251.201171875,23.68984603881836
80.0,0.875,0.0,Boston,20.0,None,0.0,6.310713768005371,66.25126647949219,0.348110556602478,2.8284270763397217,84.10760498046875,srf,0.00048828125,0.012279510498046875,gaussian,0.0,20.118026733398438,2123.474609375,75.76026916503906,31.90294647216797,15299.1748046875,23.736339569091797
80.0,0.875,0.0,Boston,20.0,None,0.0,6.998580455780029,77.8183822631836,0.3772777318954468,2.8284270763397217,84.10760498046875,srf,0.0009765625,0.023160457611083984,gaussian,0.0,19.373411178588867,2040.89990234375,75.76026916503906,40.820552825927734,7146.1005859375,23.80815315246582
80.0,0.875,0.0,Boston,20.0,None,0.0,7.376249313354492,84.61224365234375,0.393402099609375,2.8284270763397217,84.10760498046875,srf,0.001953125,0.024019241333007812,gaussian,0.0,18.691112518310547,1949.5360107421875,75.76026916503906,31.288389205932617,3655.636474609375,23.917984008789062
80.0,0.875,0.0,Boston,20.0,None,0.0,7.020017147064209,77.23396301269531,0.3758583664894104,2.8284270763397217,84.10760498046875,srf,0.00390625,0.01765131950378418,gaussian,0.0,17.47479248046875,1907.5760498046875,75.76026916503906,23.64198875427246,1777.9998779296875,24.079687118530273
80.0,0.875,0.0,Boston,20.0,None,0.0,7.032228469848633,78.8824691772461,0.3798484206199646,2.8284270763397217,84.10760498046875,srf,0.0078125,0.015747547149658203,gaussian,0.0,17.552562713623047,1248.91796875,75.76026916503906,16.051084518432617,812.1688842773438,24.329299926757812
80.0,0.875,0.0,Boston,20.0,None,0.0,7.594911575317383,93.63394165039062,0.4138440489768982,2.8284270763397217,84.10760498046875,srf,0.015625,0.01952648162841797,gaussian,0.0,15.934510231018066,1028.946533203125,75.76026916503906,25.71593475341797,389.2240295410156,24.726537704467773
