dataset,method,degree,bias,proj,comp,comp_real,craft,full_cov,ahle,tree,kernel_var,kernel_len,test_error,test_mnll,test_error_ref,test_mnll_ref,test_label_var,k_frob_error,k_rel_frob_error,test_kl,test_mean_mse,test_var_mse,D,E,feature_dist,noise_var,feature_time,pred_time,seed
Boston,srf,3,0.5,gaussian,False,False,False,False,False,False,83.35098266601562,1.4142135381698608,45.17717361450195,3.6705400943756104,14.372958183288574,2.7474706172943115,94.85696411132812,1024.027587890625,0.6566693186759949,199.2315673828125,20.231727600097656,9.136552810668945,16,160,None,16.0,0.00019931793212890625,0.00021195411682128906,0
Boston,srf,3,0.5,srht,False,False,False,False,False,False,83.35098266601562,1.4142135381698608,34.914031982421875,3.3716211318969727,515.823974609375,15.943477630615234,94.85696411132812,809.5966186523438,0.5191630721092224,5346.64990234375,494.58099365234375,9.209111213684082,16,160,None,16.0,0.0009698867797851562,0.00021386146545410156,0
Boston,srf,3,0.5,srht,True,False,False,False,False,False,83.35098266601562,1.4142135381698608,39.56304931640625,3.5117719173431396,2024.5599365234375,55.649566650390625,94.85696411132812,1016.0635375976562,0.6515623331069946,21687.05859375,2017.546875,9.035787582397461,16,160,None,16.0,0.0009777545928955078,0.0001938343048095703,0
Boston,maclaurin_p,3,0.5,rademacher,False,False,False,False,False,False,83.35098266601562,1.4142135381698608,42.58955764770508,3.6107494831085205,4540.580078125,121.86575317382812,94.85696411132812,1188.989501953125,0.7624530792236328,48818.640625,4523.42333984375,9.249377250671387,16,160,None,16.0,0.0003371238708496094,0.00019288063049316406,0
Boston,maclaurin,3,0.5,rademacher,False,False,False,False,False,False,83.35098266601562,1.4142135381698608,34.850250244140625,3.3639700412750244,8063.88525390625,214.59201049804688,94.85696411132812,1334.0531005859375,0.8554767370223999,87207.0,8075.34619140625,9.051383018493652,16,160,"[7, 8]",16.0,0.0002560615539550781,0.0003139972686767578,0
Boston,maclaurin,3,0.5,rademacher,True,False,False,False,False,False,83.35098266601562,1.4142135381698608,29.673980712890625,3.208232879638672,12594.4755859375,333.82830810546875,94.85696411132812,714.5068359375,0.4581856429576874,135925.125,12639.40234375,9.068968772888184,16,160,"[7, 8]",16.0,0.000446319580078125,0.0002467632293701172,0
Boston,maclaurin,3,0.5,srht,False,False,False,False,False,False,83.35098266601562,1.4142135381698608,36.257713317871094,3.416118621826172,18132.34765625,479.57470703125,94.85696411132812,714.9849853515625,0.458492249250412,196533.765625,18188.498046875,9.297603607177734,16,160,"[7, 8]",16.0,0.0010368824005126953,0.0002639293670654297,0
Boston,maclaurin,3,0.5,srht,True,False,False,False,False,False,83.35098266601562,1.4142135381698608,36.47063446044922,3.4162542819976807,24677.505859375,651.8311767578125,94.85696411132812,721.5210571289062,0.4626835882663727,265465.5625,24650.646484375,8.876846313476562,16,160,"[7, 8]",16.0,0.001834869384765625,0.0001919269561767578,0
Boston,poly_sketch,3,0.5,gaussian,False,False,False,False,False,False,83.35098266601562,1.4142135381698608,45.26078414916992,3.686065912246704,32229.943359375,850.5977172851562,94.85696411132812,1157.033935546875,0.7419611811637878,352576.0,32650.529296875,8.763365745544434,16,160,None,16.0,0.00013375282287597656,0.00020194053649902344,0
Boston,poly_sketch,3,0.5,gaussian,True,False,False,False,False,False,83.35098266601562,1.4142135381698608,49.16263961791992,3.7913386821746826,40789.671875,1075.8741455078125,94.85696411132812,1753.940673828125,1.1247344017028809,439211.53125,40650.09765625,9.174724578857422,16,160,None,16.0,0.0002391338348388672,0.0003249645233154297,0
