dataset,method,degree,bias,proj,comp,comp_real,craft,full_cov,ahle,tree,kernel_var,kernel_len,test_error,test_mnll,test_error_ref,test_mnll_ref,test_label_var,k_frob_error,k_rel_frob_error,test_kl,test_mean_mse,test_var_mse,D,E,feature_dist,noise_var,feature_time,pred_time,seed
Covertype,srf,3,0.5,gaussian,False,False,False,False,False,False,9.553133964538574,1.4142135381698608,0.3227772116661072,0.9418884515762329,0.34140002727508545,0,0.12244897335767746,3895.9921875,0.09848511219024658,8932.072265625,0.10739576816558838,7.203420682344586e-05,64,640,None,0.001,0.025716543197631836,0.08026933670043945,0
Covertype,srf,3,0.5,srht,False,False,False,False,False,False,9.553133964538574,1.4142135381698608,0.3267529606819153,0.945220947265625,0.34140002727508545,0,0.12244897335767746,2638.892578125,0.06670743227005005,10194.0810546875,0.09026478976011276,5.356903784559108e-05,64,640,None,0.001,0.06272339820861816,0.0769197940826416,0
Covertype,srf,3,0.5,srht,True,False,False,False,False,False,9.553133964538574,1.4142135381698608,0.31997179985046387,0.9284033179283142,0.34140002727508545,0,0.12244897335767746,1962.23876953125,0.04960259050130844,6135.802734375,0.06829690933227539,3.1067243980942294e-05,64,640,None,0.001,0.05863189697265625,0.07681441307067871,0
Covertype,maclaurin_p,3,0.5,rademacher,False,False,False,False,False,False,9.553133964538574,1.4142135381698608,0.33363741636276245,0.9653617143630981,0.34140002727508545,0,0.12244897335767746,5494.71337890625,0.13889849185943604,11523.5205078125,0.10361258685588837,0.00011257587175350636,64,640,None,0.001,0.07990860939025879,0.07521414756774902,0
Covertype,maclaurin,3,0.5,rademacher,False,False,False,False,False,False,9.553133964538574,1.4142135381698608,0.3346528708934784,0.9687144756317139,0.34140002727508545,0,0.12244897335767746,2337.521484375,0.05908920243382454,11561.9775390625,0.10588790476322174,0.0002610818191897124,64,640,"[24, 39]",0.001,0.054077863693237305,0.07583403587341309,0
Covertype,maclaurin,3,0.5,rademacher,True,False,False,False,False,False,9.553133964538574,1.4142135381698608,0.3272176682949066,0.9561344385147095,0.34140002727508545,0,0.12244897335767746,3456.753662109375,0.08738178759813309,3526.91650390625,0.03934933617711067,6.880138244014233e-05,64,640,"[20, 30, 13]",0.001,0.08826231956481934,0.07515096664428711,0
Covertype,maclaurin,3,0.5,srht,False,False,False,False,False,False,9.553133964538574,1.4142135381698608,0.33761316537857056,0.9720576405525208,0.34140002727508545,0,0.12244897335767746,7178.50341796875,0.18146230280399323,12965.5322265625,0.11230777204036713,0.00027568548102863133,64,640,"[24, 39]",0.001,0.09317207336425781,0.07485032081604004,0
Covertype,maclaurin,3,0.5,srht,True,False,False,False,False,False,9.553133964538574,1.4142135381698608,0.3329833745956421,0.9514090418815613,0.34140002727508545,0,0.12244897335767746,2910.013916015625,0.07356099039316177,7922.64111328125,0.06475972384214401,0.00010494243906578049,64,640,"[20, 30, 13]",0.001,0.21757292747497559,0.07447242736816406,0
Covertype,poly_sketch,3,0.5,gaussian,False,False,False,False,False,False,9.553133964538574,1.4142135381698608,0.3256170451641083,0.9464651346206665,0.34140002727508545,0,0.12244897335767746,4872.45166015625,0.12316861003637314,17778.1953125,0.16913484036922455,0.0002808838034979999,64,640,None,0.001,0.030319690704345703,0.07930183410644531,0
Covertype,poly_sketch,3,0.5,gaussian,True,False,False,False,False,False,9.553133964538574,1.4142135381698608,0.32592684030532837,0.9379016160964966,0.34140002727508545,0,0.12244897335767746,25194.140625,0.636871874332428,8040.9091796875,0.07724783569574356,6.845533062005416e-05,64,640,None,0.001,0.03733229637145996,0.07970714569091797,0
