dataset,method,degree,bias,proj,comp,comp_real,craft,full_cov,ahle,tree,kernel_var,kernel_len,test_error,test_mnll,test_error_ref,test_mnll_ref,test_label_var,k_frob_error,k_rel_frob_error,test_kl,test_mean_mse,test_var_mse,D,E,feature_dist,noise_var,feature_time,pred_time,seed
Energy,srf,3,0.5,gaussian,False,False,False,False,False,False,97.77330780029297,1.4142135381698608,19.705123901367188,8.102776527404785,5.876707553863525,4.644539833068848,82.1286849975586,2272.545166015625,0.8133575320243835,1329.3359375,12.497949600219727,0.10292290896177292,8,80,None,4.0,0.000164031982421875,0.0010519027709960938,0
Energy,srf,3,0.5,srht,False,False,False,False,False,False,97.77330780029297,1.4142135381698608,36.27244567871094,12.199775695800781,5.876707553863525,4.644539833068848,82.1286849975586,2053.768310546875,0.7350559830665588,3022.61474609375,28.03907585144043,0.10234197229146957,8,80,None,4.0,0.0012640953063964844,0.0003418922424316406,0
Energy,srf,3,0.5,srht,True,False,False,False,False,False,97.77330780029297,1.4142135381698608,18.18130111694336,7.717889785766602,5.876707553863525,4.644539833068848,82.1286849975586,1971.026123046875,0.7054420709609985,1098.5146484375,11.01833724975586,0.10245178639888763,8,80,None,4.0,0.001672983169555664,0.0004069805145263672,0
Energy,maclaurin_p,3,0.5,rademacher,False,False,False,False,False,False,97.77330780029297,1.4142135381698608,51.52061080932617,15.940302848815918,5.876707553863525,4.644539833068848,82.1286849975586,7140.32666015625,2.555565595626831,4426.96728515625,44.487247467041016,0.09959561377763748,8,80,None,4.0,0.0003650188446044922,0.0003368854522705078,0
Energy,maclaurin,3,0.5,rademacher,False,False,False,False,False,False,97.77330780029297,1.4142135381698608,19.05978012084961,7.942805290222168,5.876707553863525,4.644539833068848,82.1286849975586,1983.4398193359375,0.7098850011825562,1194.890869140625,11.088472366333008,0.10545777529478073,8,80,"[3, 4]",4.0,0.000270843505859375,0.0003478527069091797,0
Energy,maclaurin,3,0.5,rademacher,True,False,False,False,False,False,97.77330780029297,1.4142135381698608,24.746984481811523,9.343690872192383,5.876707553863525,4.644539833068848,82.1286849975586,3470.430908203125,1.242087960243225,1998.5362548828125,19.913166046142578,0.10107986629009247,8,80,"[3, 4]",4.0,0.0006160736083984375,0.0005283355712890625,0
Energy,maclaurin,3,0.5,srht,False,False,False,False,False,False,97.77330780029297,1.4142135381698608,17.673595428466797,7.603429794311523,5.876707553863525,4.644539833068848,82.1286849975586,2770.584716796875,0.9916088581085205,1600.076416015625,11.956873893737793,0.09979818761348724,8,80,"[3, 4]",4.0,0.0013458728790283203,0.0003380775451660156,0
Energy,maclaurin,3,0.5,srht,True,False,False,False,False,False,97.77330780029297,1.4142135381698608,44.60223388671875,14.261148452758789,5.876707553863525,4.644539833068848,82.1286849975586,1800.051025390625,0.6442490220069885,3770.03759765625,36.71411895751953,0.10134007781744003,8,80,"[3, 4]",4.0,0.0025217533111572266,0.0008292198181152344,0
Energy,poly_sketch,3,0.5,gaussian,False,False,False,False,False,False,97.77330780029297,1.4142135381698608,34.23049545288086,11.699394226074219,5.876707553863525,4.644539833068848,82.1286849975586,2114.67431640625,0.7568545937538147,2787.67236328125,27.791584014892578,0.10175752639770508,8,80,None,4.0,0.0001583099365234375,0.0003452301025390625,0
Energy,poly_sketch,3,0.5,gaussian,True,False,False,False,False,False,97.77330780029297,1.4142135381698608,26.87603759765625,9.880786895751953,5.876707553863525,4.644539833068848,82.1286849975586,1784.06640625,0.638528048992157,2177.89404296875,20.75567054748535,0.10379128903150558,8,80,None,4.0,0.0003018379211425781,0.00033783912658691406,0
Energy,poly_sketch,3,0.5,rademacher,False,False,False,False,False,False,97.77330780029297,1.4142135381698608,42.21609115600586,13.67717456817627,5.876707553863525,4.644539833068848,82.1286849975586,2512.546142578125,0.8992553353309631,3969.252685546875,33.0118293762207,0.0984395369887352,8,80,None,4.0,0.0001380443572998047,0.0003399848937988281,0
Energy,poly_sketch,3,0.5,rademacher,True,False,False,False,False,False,97.77330780029297,1.4142135381698608,23.997026443481445,9.163965225219727,5.876707553863525,4.644539833068848,82.1286849975586,2954.011474609375,1.0572583675384521,1536.96728515625,15.311506271362305,0.1044328585267067,8,80,None,4.0,0.0002989768981933594,0.0021970272064208984,0
Energy,poly_sketch,3,0.5,rademacher,False,False,False,False,True,True,97.77330780029297,1.4142135381698608,41.33104705810547,13.49866008758545,5.876707553863525,4.644539833068848,82.1286849975586,2373.953125,0.8496520519256592,3995.427490234375,38.40653991699219,0.10874978452920914,8,80,None,4.0,0.0002741813659667969,0.00033736228942871094,0
Energy,poly_sketch,3,0.5,rademacher,True,False,False,False,True,True,97.77330780029297,1.4142135381698608,19.459054946899414,8.063982009887695,5.876707553863525,4.644539833068848,82.1286849975586,2838.360107421875,1.0158660411834717,1375.9234619140625,12.687923431396484,0.10428671538829803,8,80,None,4.0,0.0005512237548828125,0.0003368854522705078,0
Energy,poly_sketch,3,0.5,srht,False,False,False,False,False,False,97.77330780029297,1.4142135381698608,35.685367584228516,12.043830871582031,5.876707553863525,4.644539833068848,82.1286849975586,3019.148681640625,1.0805714130401611,3040.19189453125,27.264183044433594,0.10187031328678131,8,80,None,4.0,0.0016629695892333984,0.0003402233123779297,0
Energy,poly_sketch,3,0.5,srht,True,False,False,False,False,False,97.77330780029297,1.4142135381698608,25.62369155883789,9.567607879638672,5.876707553863525,4.644539833068848,82.1286849975586,3158.47119140625,1.1304357051849365,2071.953125,18.371376037597656,0.09985553473234177,8,80,None,4.0,0.003303050994873047,0.000354766845703125,0
Energy,poly_sketch,3,0.5,srht,False,False,False,False,True,True,97.77330780029297,1.4142135381698608,29.671297073364258,10.536191940307617,5.876707553863525,4.644539833068848,82.1286849975586,3208.09814453125,1.1481975317001343,2136.1474609375,20.403287887573242,0.10039585828781128,8,80,None,4.0,0.003217935562133789,0.00036978721618652344,0
Energy,poly_sketch,3,0.5,srht,True,False,False,False,True,True,97.77330780029297,1.4142135381698608,34.56788635253906,11.771492958068848,5.876707553863525,4.644539833068848,82.1286849975586,2712.99853515625,0.9709984064102173,2906.03173828125,29.112289428710938,0.10147213935852051,8,80,None,4.0,0.0064008235931396484,0.0003368854522705078,0
Energy,poly_sketch,3,0.5,countsketch_scatter,False,False,False,False,False,False,97.77330780029297,1.4142135381698608,36.22209930419922,12.218770027160645,5.876707553863525,4.644539833068848,82.1286849975586,2130.38525390625,0.7624776363372803,3614.790283203125,29.4311580657959,0.1047976016998291,8,80,None,4.0,0.0004191398620605469,0.0003349781036376953,0
Energy,srf,3,0.5,gaussian,False,False,False,False,False,False,97.77330780029297,1.4142135381698608,13.995548248291016,6.620644569396973,5.876707553863525,4.644539833068848,82.1286849975586,1827.413818359375,0.6540423631668091,817.0196533203125,7.788336277008057,0.0511418953537941,24,80,None,4.0,0.00021076202392578125,0.0004611015319824219,0
Energy,srf,3,0.5,srht,False,False,False,False,False,False,97.77330780029297,1.4142135381698608,11.527649879455566,6.027793884277344,5.876707553863525,4.644539833068848,82.1286849975586,867.9454345703125,0.31064286828041077,353.875,3.1756770610809326,0.049351759254932404,24,80,None,4.0,0.002238035202026367,0.0004630088806152344,0
Energy,srf,3,0.5,srht,True,False,False,False,False,False,97.77330780029297,1.4142135381698608,13.098715782165527,6.415898323059082,5.876707553863525,4.644539833068848,82.1286849975586,1232.0657958984375,0.4409637153148651,721.8017578125,6.185967922210693,0.05073949694633484,24,80,None,4.0,0.0033080577850341797,0.0004620552062988281,0
Energy,maclaurin_p,3,0.5,rademacher,False,False,False,False,False,False,97.77330780029297,1.4142135381698608,10.684962272644043,5.8499321937561035,5.876707553863525,4.644539833068848,82.1286849975586,1426.660400390625,0.5106102824211121,474.1134033203125,4.1260881423950195,0.07556414604187012,24,80,None,4.0,0.00035500526428222656,0.0004930496215820312,0
Energy,maclaurin,3,0.5,rademacher,False,False,False,False,False,False,97.77330780029297,1.4142135381698608,11.240660667419434,5.970281600952148,5.876707553863525,4.644539833068848,82.1286849975586,1137.8260498046875,0.4072347581386566,375.9435119628906,3.2883620262145996,0.060388509184122086,24,80,"[10, 13]",4.0,0.0002932548522949219,0.00049591064453125,0
Energy,maclaurin,3,0.5,rademacher,True,False,False,False,False,False,97.77330780029297,1.4142135381698608,10.708028793334961,5.843554496765137,5.876707553863525,4.644539833068848,82.1286849975586,1181.199462890625,0.4227583706378937,387.4505920410156,3.4572370052337646,0.06144454702734947,24,80,"[10, 13]",4.0,0.0006952285766601562,0.00046706199645996094,0
Energy,maclaurin,3,0.5,srht,False,False,False,False,False,False,97.77330780029297,1.4142135381698608,10.679110527038574,5.8359599113464355,5.876707553863525,4.644539833068848,82.1286849975586,712.1873779296875,0.2548961341381073,416.44158935546875,3.634974479675293,0.056885428726673126,24,80,"[8, 15]",4.0,0.0021758079528808594,0.0005819797515869141,0
Energy,maclaurin,3,0.5,srht,True,False,False,False,False,False,97.77330780029297,1.4142135381698608,9.597532272338867,5.571830749511719,5.876707553863525,4.644539833068848,82.1286849975586,742.3517456054688,0.2656921446323395,331.45654296875,2.7319300174713135,0.05533461272716522,24,80,"[8, 15]",4.0,0.0040760040283203125,0.00046181678771972656,0
Energy,poly_sketch,3,0.5,gaussian,False,False,False,False,False,False,97.77330780029297,1.4142135381698608,14.21296215057373,6.6911211013793945,5.876707553863525,4.644539833068848,82.1286849975586,5363.06689453125,1.9194737672805786,817.9273681640625,7.45335578918457,0.05514068901538849,24,80,None,4.0,0.00016498565673828125,0.0005202293395996094,0
Energy,poly_sketch,3,0.5,gaussian,True,False,False,False,False,False,97.77330780029297,1.4142135381698608,10.016420364379883,5.681210041046143,5.876707553863525,4.644539833068848,82.1286849975586,3063.583740234375,1.0964750051498413,405.8768005371094,3.479337215423584,0.052856650203466415,24,80,None,4.0,0.0003921985626220703,0.00045800209045410156,0
Energy,poly_sketch,3,0.5,rademacher,False,False,False,False,False,False,97.77330780029297,1.4142135381698608,12.541321754455566,6.272974967956543,5.876707553863525,4.644539833068848,82.1286849975586,6901.50390625,2.4700896739959717,487.62847900390625,4.456899642944336,0.048666831105947495,24,80,None,4.0,0.00015807151794433594,0.0004589557647705078,0
Energy,poly_sketch,3,0.5,rademacher,True,False,False,False,False,False,97.77330780029297,1.4142135381698608,10.791815757751465,5.8559770584106445,5.876707553863525,4.644539833068848,82.1286849975586,1822.4737548828125,0.6522742509841919,343.7867736816406,3.070690870285034,0.051264192909002304,24,80,None,4.0,0.0003848075866699219,0.0004591941833496094,0
Energy,poly_sketch,3,0.5,rademacher,False,False,False,False,True,True,97.77330780029297,1.4142135381698608,16.560035705566406,7.260414123535156,5.876707553863525,4.644539833068848,82.1286849975586,3041.13623046875,1.0884408950805664,1029.4530029296875,9.656407356262207,0.06010325625538826,24,80,None,4.0,0.000324249267578125,0.00045990943908691406,0
Energy,poly_sketch,3,0.5,rademacher,True,False,False,False,True,True,97.77330780029297,1.4142135381698608,11.07371711730957,5.9409074783325195,5.876707553863525,4.644539833068848,82.1286849975586,2344.2275390625,0.8390130996704102,458.99853515625,4.390493392944336,0.05973701924085617,24,80,None,4.0,0.0008609294891357422,0.0004658699035644531,0
Energy,poly_sketch,3,0.5,srht,False,False,False,False,False,False,97.77330780029297,1.4142135381698608,17.662763595581055,7.5250067710876465,5.876707553863525,4.644539833068848,82.1286849975586,1539.0570068359375,0.5508376955986023,903.003173828125,8.752988815307617,0.053734395653009415,24,80,None,4.0,0.0023050308227539062,0.0004627704620361328,0
Energy,poly_sketch,3,0.5,srht,True,False,False,False,False,False,97.77330780029297,1.4142135381698608,11.143148422241211,5.941080093383789,5.876707553863525,4.644539833068848,82.1286849975586,1885.2867431640625,0.6747553944587708,417.47747802734375,3.6162893772125244,0.05296994000673294,24,80,None,4.0,0.004617929458618164,0.00047898292541503906,0
