dataset,method,degree,bias,proj,comp,comp_real,craft,full_cov,ahle,tree,kernel_var,kernel_len,test_error,test_mnll,test_error_ref,test_mnll_ref,test_label_var,k_frob_error,k_rel_frob_error,test_kl,test_mean_mse,test_var_mse,D,E,feature_dist,noise_var,feature_time,pred_time,seed
Magic,srf,3,0.5,gaussian,False,False,False,False,False,False,24.254308700561523,1.4142135381698608,0.20084120333194733,0.4839496612548828,0.18191379308700562,0,0.25,2786.73974609375,0.06310536712408066,20916.9765625,0.20686843991279602,0.0005348751437850296,16,160,None,0.001,0.0013747215270996094,0.0025053024291992188,0
Magic,srf,3,0.5,srht,False,False,False,False,False,False,24.254308700561523,1.4142135381698608,0.20557306706905365,0.49588239192962646,0.18191379308700562,0,0.25,1171.8472900390625,0.026536334306001663,28300.103515625,0.24372558295726776,0.0003600860945880413,16,160,None,0.001,0.005196571350097656,0.0014386177062988281,0
Magic,srf,3,0.5,srht,True,False,False,False,False,False,24.254308700561523,1.4142135381698608,0.18927443027496338,0.46359872817993164,0.18191379308700562,0,0.25,3370.1806640625,0.07631731778383255,30705.884765625,0.23116935789585114,0.0005030462634749711,16,160,None,0.001,0.0037424564361572266,0.001984834671020508,0
Magic,maclaurin_p,3,0.5,rademacher,False,False,False,False,False,False,24.254308700561523,1.4142135381698608,0.20609882473945618,0.506266176700592,0.18191379308700562,0,0.25,4571.82470703125,0.10352839529514313,29172.3203125,0.23646599054336548,0.0004748151986859739,16,160,None,0.001,0.003894329071044922,0.0014715194702148438,0
Magic,maclaurin,3,0.5,rademacher,False,False,False,False,False,False,24.254308700561523,1.4142135381698608,0.2045215517282486,0.48947080969810486,0.18191379308700562,0,0.25,7262.376953125,0.1644556075334549,56269.125,0.29614877700805664,0.0004886281094513834,16,160,"[5, 10]",0.001,0.0023953914642333984,0.002032041549682617,0
Magic,maclaurin,3,0.5,rademacher,True,False,False,False,False,False,24.254308700561523,1.4142135381698608,0.20557306706905365,0.4898441433906555,0.18191379308700562,0,0.25,6615.2822265625,0.14980222284793854,27613.609375,0.2179975062608719,0.0005928745376877487,16,160,"[6, 9]",0.001,0.003762960433959961,0.002118825912475586,0
Magic,maclaurin,3,0.5,srht,False,False,False,False,False,False,24.254308700561523,1.4142135381698608,0.20820188522338867,0.5109634399414062,0.18191379308700562,0,0.25,9500.9384765625,0.21514755487442017,47604.09375,0.32840660214424133,0.0004977810312993824,16,160,"[5, 10]",0.001,0.00406336784362793,0.0019686222076416016,0
Magic,maclaurin,3,0.5,srht,True,False,False,False,False,False,24.254308700561523,1.4142135381698608,0.19716086983680725,0.48778268694877625,0.18191379308700562,0,0.25,10653.173828125,0.2412397712469101,20868.537109375,0.1403110921382904,0.0005506479064933956,16,160,"[6, 9]",0.001,0.006388664245605469,0.0021238327026367188,0
Magic,poly_sketch,3,0.5,gaussian,False,False,False,False,False,False,24.254308700561523,1.4142135381698608,0.20767611265182495,0.49381348490715027,0.18191379308700562,0,0.25,37394.8046875,0.8468006253242493,33919.9140625,0.26881688833236694,0.0007593087502755225,16,160,None,0.001,0.0023856163024902344,0.002565622329711914,0
Magic,poly_sketch,3,0.5,gaussian,True,False,False,False,False,False,24.254308700561523,1.4142135381698608,0.19348053634166718,0.47957712411880493,0.18191379308700562,0,0.25,14403.94140625,0.32617542147636414,18169.833984375,0.16835381090641022,0.0003485914785414934,16,160,None,0.001,0.0027704238891601562,0.002659320831298828,0
Magic,poly_sketch,3,0.5,rademacher,False,False,False,False,False,False,24.254308700561523,1.4142135381698608,0.20977917313575745,0.5056449770927429,0.18191379308700562,0,0.25,21932.21484375,0.496652215719223,45731.21484375,0.40782630443573,0.0005099931149743497,16,160,None,0.001,0.0030181407928466797,0.0028028488159179688,0
Magic,poly_sketch,3,0.5,rademacher,True,False,False,False,False,False,24.254308700561523,1.4142135381698608,0.2024184912443161,0.49083173274993896,0.18191379308700562,0,0.25,6895.46337890625,0.15614689886569977,23545.95703125,0.2030247300863266,0.0004625712754204869,16,160,None,0.001,0.0027418136596679688,0.001974821090698242,0
Magic,poly_sketch,3,0.5,rademacher,False,False,False,False,True,True,24.254308700561523,1.4142135381698608,0.20925340056419373,0.49277549982070923,0.18191379308700562,0,0.25,17634.734375,0.3993363380432129,73371.125,0.5034704804420471,0.0007173481280915439,16,160,None,0.001,0.0052947998046875,0.0014503002166748047,0
Magic,poly_sketch,3,0.5,rademacher,True,False,False,False,True,True,24.254308700561523,1.4142135381698608,0.1961093544960022,0.4842134416103363,0.18191379308700562,0,0.25,8731.677734375,0.1977277398109436,24772.37890625,0.18446886539459229,0.0005408173310570419,16,160,None,0.001,0.006487607955932617,0.001980304718017578,0
Magic,poly_sketch,3,0.5,srht,False,False,False,False,False,False,24.254308700561523,1.4142135381698608,0.20504730939865112,0.4940362870693207,0.18191379308700562,0,0.25,19349.3125,0.43816274404525757,28861.306640625,0.23608483374118805,0.0005652846302837133,16,160,None,0.001,0.006024837493896484,0.001897573471069336,0
Magic,poly_sketch,3,0.5,srht,True,False,False,False,False,False,24.254308700561523,1.4142135381698608,0.19768664240837097,0.4796680510044098,0.18191379308700562,0,0.25,38626.91015625,0.8747014999389648,34095.6171875,0.2506923973560333,0.0004431228444445878,16,160,None,0.001,0.006488800048828125,0.002009868621826172,0
Magic,poly_sketch,3,0.5,srht,False,False,False,False,True,True,24.254308700561523,1.4142135381698608,0.20609882473945618,0.4829261898994446,0.18191379308700562,0,0.25,20869.71484375,0.4725920557975769,34407.65625,0.2560679614543915,0.0004709255008492619,16,160,None,0.001,0.010058879852294922,0.0029573440551757812,0
Magic,poly_sketch,3,0.5,srht,True,False,False,False,True,True,24.254308700561523,1.4142135381698608,0.1982124000787735,0.48832207918167114,0.18191379308700562,0,0.25,12335.1953125,0.27932894229888916,20758.212890625,0.15214507281780243,0.00033430822077207267,16,160,None,0.001,0.01160430908203125,0.0014269351959228516,0
Magic,poly_sketch,3,0.5,countsketch_scatter,False,False,False,False,False,False,24.254308700561523,1.4142135381698608,0.19505782425403595,0.481330931186676,0.18191379308700562,0,0.25,12905.92578125,0.2922530472278595,26827.255859375,0.28753170371055603,0.0006141752237454057,16,160,None,0.001,0.007202863693237305,0.0014309883117675781,0
Magic,srf,3,0.5,gaussian,False,False,False,False,False,False,24.254308700561523,1.4142135381698608,0.17455309629440308,0.4646974205970764,0.18191379308700562,0,0.25,874.833251953125,0.01981048844754696,22741.59765625,0.10713110119104385,3.1182236853055656e-05,48,160,None,0.001,0.002846240997314453,0.004828691482543945,0
Magic,srf,3,0.5,srht,False,False,False,False,False,False,24.254308700561523,1.4142135381698608,0.18033647537231445,0.4713963270187378,0.18191379308700562,0,0.25,322.99798583984375,0.007314248476177454,5690.12158203125,0.05400216206908226,5.4483931307913736e-05,48,160,None,0.001,0.005152702331542969,0.004807949066162109,0
Magic,srf,3,0.5,srht,True,False,False,False,False,False,24.254308700561523,1.4142135381698608,0.18191376328468323,0.46209073066711426,0.18191379308700562,0,0.25,2894.529296875,0.06554625183343887,1474.553466796875,0.012907912023365498,1.063687614077935e-05,48,160,None,0.001,0.004425525665283203,0.004703044891357422,0
Magic,maclaurin_p,3,0.5,rademacher,False,False,False,False,False,False,24.254308700561523,1.4142135381698608,0.1855940967798233,0.4722599685192108,0.18191379308700562,0,0.25,5487.654296875,0.12426723539829254,4934.20166015625,0.05050450190901756,7.37846567062661e-05,48,160,None,0.001,0.0038290023803710938,0.0045757293701171875,0
Magic,maclaurin,3,0.5,rademacher,False,False,False,False,False,False,24.254308700561523,1.4142135381698608,0.183491051197052,0.46758896112442017,0.18191379308700562,0,0.25,7106.40185546875,0.160923570394516,9729.853515625,0.08837366104125977,0.00026002980303019285,48,160,"[17, 30]",0.001,0.0035181045532226562,0.0052716732025146484,0
Magic,maclaurin,3,0.5,rademacher,True,False,False,False,False,False,24.254308700561523,1.4142135381698608,0.18296529352664948,0.47471922636032104,0.18191379308700562,0,0.25,8753.4892578125,0.19822165369987488,3050.93408203125,0.027296125888824463,6.554170249728486e-05,48,160,"[14, 23, 10]",0.001,0.005530834197998047,0.005661964416503906,0
Magic,maclaurin,3,0.5,srht,False,False,False,False,False,False,24.254308700561523,1.4142135381698608,0.18296529352664948,0.4690570831298828,0.18191379308700562,0,0.25,4894.04296875,0.11082498729228973,12122.7998046875,0.06323321163654327,0.0002287618990521878,48,160,"[16, 31]",0.001,0.005432605743408203,0.00527644157409668,0
Magic,maclaurin,3,0.5,srht,True,False,False,False,False,False,24.254308700561523,1.4142135381698608,0.18086224794387817,0.46353355050086975,0.18191379308700562,0,0.25,6953.37451171875,0.15745829045772552,3731.49853515625,0.023651886731386185,6.513139669550583e-05,48,160,"[16, 16, 15]",0.001,0.010798454284667969,0.004405021667480469,0
Magic,poly_sketch,3,0.5,gaussian,False,False,False,False,False,False,24.254308700561523,1.4142135381698608,0.18401680886745453,0.46849381923675537,0.18191379308700562,0,0.25,13609.158203125,0.3081776797771454,4164.16064453125,0.04098766669631004,0.0001649108889978379,48,160,None,0.001,0.0037279129028320312,0.005025386810302734,0
