dataset,method,degree,bias,proj,comp,comp_real,craft,full_cov,ahle,tree,kernel_var,kernel_len,test_error,test_mnll,test_error_ref,test_mnll_ref,test_label_var,k_frob_error,k_rel_frob_error,test_kl,test_mean_mse,test_var_mse,D,E,feature_dist,noise_var,feature_time,pred_time,seed
Miniboo,srf,3,0.5,gaussian,False,False,False,False,False,False,23.234228134155273,1.4142135381698608,0.1267010122537613,0.3459349572658539,0.09360003471374512,0,0.25,11891.220703125,0.3204488158226013,46420.97265625,2.190070152282715,0.025485046207904816,64,640,None,0.001,0.005933046340942383,0.007745504379272461,0
Miniboo,srf,3,0.5,srht,False,False,False,False,False,False,23.234228134155273,1.4142135381698608,0.12508650124073029,0.3239975869655609,0.09360003471374512,0,0.25,13141.0244140625,0.35412895679473877,47099.41796875,2.1908140182495117,0.025098683312535286,64,640,None,0.001,0.014892816543579102,0.00775146484375,0
Miniboo,srf,3,0.5,srht,True,False,False,False,False,False,23.234228134155273,1.4142135381698608,0.12454832345247269,0.321296364068985,0.09360003471374512,0,0.25,12776.908203125,0.34431663155555725,50116.0546875,2.1894469261169434,0.025044264271855354,64,640,None,0.001,0.015164613723754883,0.007750272750854492,0
Miniboo,maclaurin_p,3,0.5,rademacher,False,False,False,False,False,False,23.234228134155273,1.4142135381698608,0.1225493997335434,0.3075326383113861,0.09360003471374512,0,0.25,17186.001953125,0.46313443779945374,56583.40625,2.2193541526794434,0.026761602610349655,64,640,None,0.001,0.019128084182739258,0.007739067077636719,0
Miniboo,maclaurin,3,0.5,rademacher,False,False,False,False,False,False,23.234228134155273,1.4142135381698608,0.11324671655893326,0.28509706258773804,0.09360003471374512,0,0.25,12145.146484375,0.32729169726371765,42391.6875,1.8235421180725098,0.02566068433225155,64,640,"[29, 34]",0.001,0.013922929763793945,0.007695436477661133,0
Miniboo,maclaurin,3,0.5,rademacher,True,False,False,False,False,False,23.234228134155273,1.4142135381698608,0.11186284571886063,0.27912279963493347,0.09360003471374512,0,0.25,11191.310546875,0.30158737301826477,45447.9765625,1.8567709922790527,0.025866210460662842,64,640,"[30, 33]",0.001,0.017295122146606445,0.0076618194580078125,0
Miniboo,maclaurin,3,0.5,srht,False,False,False,False,False,False,23.234228134155273,1.4142135381698608,0.10978703945875168,0.2763728201389313,0.09360003471374512,0,0.25,9820.2451171875,0.2646394371986389,41979.02734375,1.7735718488693237,0.02547396533191204,64,640,"[29, 34]",0.001,0.023065567016601562,0.0076372623443603516,0
Miniboo,maclaurin,3,0.5,srht,True,False,False,False,False,False,23.234228134155273,1.4142135381698608,0.10994080454111099,0.2761613428592682,0.09360003471374512,0,0.25,9674.9462890625,0.26072385907173157,44654.53515625,1.880320429801941,0.025853604078292847,64,640,"[30, 33]",0.001,0.029679536819458008,0.007663249969482422,0
Miniboo,poly_sketch,3,0.5,gaussian,False,False,False,False,False,False,23.234228134155273,1.4142135381698608,0.13592681288719177,0.3618474006652832,0.09360003471374512,0,0.25,23626.810546875,0.636703610420227,58235.140625,2.479954242706299,0.024809803813695908,64,640,None,0.001,0.008596658706665039,0.007752656936645508,0
Miniboo,poly_sketch,3,0.5,gaussian,True,False,False,False,False,False,23.234228134155273,1.4142135381698608,0.13254402577877045,0.34700578451156616,0.09360003471374512,0,0.25,20920.365234375,0.5637694001197815,45535.578125,2.131810188293457,0.024785690009593964,64,640,None,0.001,0.010164260864257812,0.007750034332275391,0
