dataset,method,degree,bias,proj,comp,comp_real,craft,full_cov,ahle,tree,kernel_var,kernel_len,test_error,test_mnll,test_error_ref,test_mnll_ref,test_label_var,k_frob_error,k_rel_frob_error,test_kl,test_mean_mse,test_var_mse,D,E,feature_dist,noise_var,feature_time,pred_time,seed
Powerplant,srf,3,0.5,gaussian,False,False,False,False,False,False,292.0162048339844,1.4142135381698608,68.07991027832031,3.715280055999756,30.161359786987305,3.122853994369507,283.91021728515625,19478.455078125,0.07848792523145676,268571.1875,40.79859161376953,0.012713632546365261,4,40,None,32.0,0.0008890628814697266,0.0007412433624267578,0
Powerplant,srf,3,0.5,srht,False,False,False,False,False,False,292.0162048339844,1.4142135381698608,41.85263442993164,3.3056461811065674,205805.046875,3211.414794921875,283.91021728515625,33751.33203125,0.1360001116991043,2267269632.0,206366.578125,0.012751379050314426,4,40,None,32.0,0.022545337677001953,0.0010089874267578125,0
Powerplant,srf,3,0.5,srht,True,False,False,False,False,False,292.0162048339844,1.4142135381698608,43.964454650878906,3.3386521339416504,824306.875,12854.6103515625,283.91021728515625,48362.54296875,0.1948755979537964,9097683968.0,825244.25,0.01220773346722126,4,40,None,32.0,0.02311086654663086,0.0006070137023925781,0
Powerplant,maclaurin_p,3,0.5,rademacher,False,False,False,False,False,False,292.0162048339844,1.4142135381698608,55.64959716796875,3.5211575031280518,1855536.0,28932.708984375,283.91021728515625,203999.4375,0.8220103979110718,20446486528.0,1858747.125,0.012141375802457333,4,40,None,32.0,0.0008580684661865234,0.0006918907165527344,0
Powerplant,maclaurin,3,0.5,rademacher,False,False,False,False,False,False,292.0162048339844,1.4142135381698608,60.1462287902832,3.5913443565368652,3299491.5,51445.69921875,283.91021728515625,168888.03125,0.6805298924446106,36341919744.0,3300846.0,0.012793523259460926,4,40,"[1, 2]",32.0,0.0007860660552978516,0.0014088153839111328,0
Powerplant,maclaurin,3,0.5,rademacher,True,False,False,False,False,False,292.0162048339844,1.4142135381698608,40.9954948425293,3.292240619659424,5156174.5,80393.59375,283.91021728515625,100504.578125,0.4049805700778961,56823635968.0,5157941.0,0.012227175757288933,4,40,"[1, 2]",32.0,0.002079010009765625,0.0011687278747558594,0
Powerplant,maclaurin,3,0.5,srht,False,False,False,False,False,False,292.0162048339844,1.4142135381698608,138.10888671875,4.808687686920166,7425583.5,115776.3984375,283.91021728515625,53862.2109375,0.21703636646270752,81735393280.0,7429879.5,0.012340735644102097,4,40,"[1, 2]",32.0,0.023133039474487305,0.0010170936584472656,0
Powerplant,maclaurin,3,0.5,srht,True,False,False,False,False,False,292.0162048339844,1.4142135381698608,59.62417984008789,3.5832436084747314,10107721.0,157594.109375,283.91021728515625,65858.3359375,0.26537445187568665,111383855104.0,10109369.0,0.012659028172492981,4,40,"[1, 2]",32.0,0.045287132263183594,0.000926971435546875,0
Powerplant,poly_sketch,3,0.5,gaussian,False,False,False,False,False,False,292.0162048339844,1.4142135381698608,212.722412109375,5.974219799041748,13202585.0,205846.71875,283.91021728515625,219825.34375,0.8857804536819458,145246388224.0,13184932.0,0.009679719805717468,4,40,None,32.0,0.0016369819641113281,0.0043048858642578125,0
Powerplant,poly_sketch,3,0.5,gaussian,True,False,False,False,False,False,292.0162048339844,1.4142135381698608,44.31283187866211,3.3440990447998047,16710176.0,260534.234375,283.91021728515625,99080.0859375,0.3992406129837036,184179539968.0,16713303.0,0.012477736920118332,4,40,None,32.0,0.0034627914428710938,0.0011391639709472656,0
Powerplant,poly_sketch,3,0.5,rademacher,False,False,False,False,False,False,292.0162048339844,1.4142135381698608,99.91454315185547,4.212508678436279,20630494.0,321656.65625,283.91021728515625,238475.21875,0.9609296321868896,227111731200.0,20614378.0,0.014037346467375755,4,40,None,32.0,0.0006840229034423828,0.0021500587463378906,0
Powerplant,poly_sketch,3,0.5,rademacher,True,False,False,False,False,False,292.0162048339844,1.4142135381698608,47.24055862426758,3.3898162841796875,24963536.0,389213.96875,283.91021728515625,579053.375,2.333280324935913,275122847744.0,24970402.0,0.011619120836257935,4,40,None,32.0,0.004313945770263672,0.0013051033020019531,0
Powerplant,poly_sketch,3,0.5,rademacher,False,False,False,False,True,True,292.0162048339844,1.4142135381698608,83.53652954101562,3.95670223236084,29709308.0,463206.1875,283.91021728515625,182883.9375,0.7369260191917419,327408418816.0,29719578.0,0.013479228131473064,4,40,None,32.0,0.0011582374572753906,0.0009310245513916016,0
Powerplant,poly_sketch,3,0.5,rademacher,True,False,False,False,True,True,292.0162048339844,1.4142135381698608,75.34574127197266,3.828753709793091,34867808.0,543633.1875,283.91021728515625,59933.234375,0.2414993941783905,384230391808.0,34876316.0,0.013319266028702259,4,40,None,32.0,0.005909919738769531,0.000598907470703125,0
Powerplant,poly_sketch,3,0.5,srht,False,False,False,False,False,False,292.0162048339844,1.4142135381698608,101.66834259033203,4.239797592163086,40439032.0,630495.25,283.91021728515625,335932.1875,1.3536299467086792,445638279168.0,40446232.0,0.011678307317197323,4,40,None,32.0,0.023797035217285156,0.0008187294006347656,0
Powerplant,poly_sketch,3,0.5,srht,True,False,False,False,False,False,292.0162048339844,1.4142135381698608,85.94939422607422,3.9943056106567383,46422984.0,723792.1875,283.91021728515625,657903.5625,2.651005268096924,511536496640.0,46431336.0,0.012299884110689163,4,40,None,32.0,0.04577207565307617,0.0009021759033203125,0
Powerplant,poly_sketch,3,0.5,srht,False,False,False,False,True,True,292.0162048339844,1.4142135381698608,61.40612030029297,3.61098313331604,52819660.0,823524.0,283.91021728515625,174562.109375,0.7033934593200684,582103990272.0,52834684.0,0.01297889556735754,4,40,None,32.0,0.04546189308166504,0.0009162425994873047,0
Powerplant,poly_sketch,3,0.5,srht,True,False,False,False,True,True,292.0162048339844,1.4142135381698608,53.7277946472168,3.4910783767700195,59629076.0,929690.75,283.91021728515625,98124.5859375,0.39539045095443726,657034182656.0,59633068.0,0.013148083351552486,4,40,None,32.0,0.0920569896697998,0.0007450580596923828,0
Powerplant,poly_sketch,3,0.5,countsketch_scatter,False,False,False,False,False,False,292.0162048339844,1.4142135381698608,110.85777282714844,4.383541584014893,66851204.0,1042292.375,283.91021728515625,106322.9375,0.42842549085617065,736932921344.0,66888560.0,0.013107215985655785,4,40,None,32.0,0.0032150745391845703,0.0008730888366699219,0
Powerplant,srf,3,0.5,gaussian,False,False,False,False,False,False,292.0162048339844,1.4142135381698608,33.86868667602539,3.1805622577667236,74486072.0,1161328.875,283.91021728515625,14556.1376953125,0.058653574436903,820928708608.0,74496456.0,0.002452470362186432,12,40,None,32.0,0.0013589859008789062,0.0019009113311767578,0
Powerplant,srf,3,0.5,srht,False,False,False,False,False,False,292.0162048339844,1.4142135381698608,30.95941162109375,3.1354472637176514,82533656.0,1286800.5,283.91021728515625,36342.390625,0.14644071459770203,909642956800.0,82544832.0,0.0019154944457113743,12,40,None,32.0,0.04457497596740723,0.001928091049194336,0
Powerplant,srf,3,0.5,srht,True,False,False,False,False,False,292.0162048339844,1.4142135381698608,31.031286239624023,3.136626958847046,90993968.0,1418706.5,283.91021728515625,36665.9375,0.14774443209171295,1002876829696.0,91007016.0,0.003182103857398033,12,40,None,32.0,0.06694579124450684,0.003086090087890625,0
Powerplant,maclaurin_p,3,0.5,rademacher,False,False,False,False,False,False,292.0162048339844,1.4142135381698608,33.98965835571289,3.1827661991119385,99867008.0,1557047.875,283.91021728515625,62849.125,0.2532489001750946,1100667289600.0,99878616.0,0.0034275497309863567,12,40,None,32.0,0.0019028186798095703,0.0019359588623046875,0
Powerplant,maclaurin,3,0.5,rademacher,False,False,False,False,False,False,292.0162048339844,1.4142135381698608,35.85239028930664,3.211942195892334,109152776.0,1701823.875,283.91021728515625,52762.75,0.21260611712932587,1203000573952.0,109163896.0,0.003941314294934273,12,40,"[4, 7]",32.0,0.002313852310180664,0.00138092041015625,0
Powerplant,maclaurin,3,0.5,rademacher,True,False,False,False,False,False,292.0162048339844,1.4142135381698608,32.734458923339844,3.163229465484619,118851272.0,1853034.875,283.91021728515625,33199.67578125,0.13377723097801208,1309869342720.0,118864896.0,0.004263513255864382,12,40,"[4, 7]",32.0,0.003734111785888672,0.0021817684173583984,0
Powerplant,maclaurin,3,0.5,srht,False,False,False,False,False,False,292.0162048339844,1.4142135381698608,34.270076751708984,3.1872031688690186,128962496.0,2010681.0,283.91021728515625,22539.2265625,0.09082122147083282,1421278838784.0,128977704.0,0.0037174769677221775,12,40,"[4, 7]",32.0,0.05043292045593262,0.0020020008087158203,0
Powerplant,maclaurin,3,0.5,srht,True,False,False,False,False,False,292.0162048339844,1.4142135381698608,31.716163635253906,3.147313117980957,139486448.0,2174762.0,283.91021728515625,27986.357421875,0.11277029663324356,1537287651328.0,139502496.0,0.00336756301112473,12,40,"[4, 7]",32.0,0.0745551586151123,0.0015878677368164062,0
Powerplant,poly_sketch,3,0.5,gaussian,False,False,False,False,False,False,292.0162048339844,1.4142135381698608,30.964950561523438,3.1355345249176025,150423120.0,2345277.75,283.91021728515625,287791.96875,1.159650206565857,1657844531200.0,150439328.0,0.0023146686144173145,12,40,None,32.0,0.0010890960693359375,0.0022678375244140625,0
Powerplant,poly_sketch,3,0.5,gaussian,True,False,False,False,False,False,292.0162048339844,1.4142135381698608,32.14958572387695,3.1541173458099365,161772512.0,2522228.25,283.91021728515625,359237.6875,1.4475388526916504,1782883287040.0,161788144.0,0.004471719264984131,12,40,None,32.0,0.004450082778930664,0.001708984375,0
Powerplant,poly_sketch,3,0.5,rademacher,False,False,False,False,False,False,292.0162048339844,1.4142135381698608,30.756017684936523,3.1323182582855225,173534640.0,2705614.0,283.91021728515625,157308.296875,0.6338696479797363,1912489246720.0,173552544.0,0.0031533397268503904,12,40,None,32.0,0.000782012939453125,0.0013871192932128906,0
