dataset,method,degree,bias,proj,comp,comp_real,craft,full_cov,hier,kernel_var,kernel_len,test_error,test_mnll,test_label_var,k_frob_error,k_rel_frob_error,k_spec_error,k_rel_spec_error,test_kl,test_mean_mse,test_var_mse,D,E,feature_dist,noise_var,feature_time,pred_time,seed
Letter,srf,3.0,0.5,gaussian,0.0,0.0,0.0,0.0,0.0,3.7109177112579346,1.4142135381698608,0.20400001108646393,0.7047052383422852,0.03698224946856499,170.30674743652344,0.0271975789219141,153.08132934570312,0.024499448016285896,2467.92529296875,0.08920901268720627,7.795367855578661e-05,512.0,32768.0,None,0.001,0.001302957534790039,0.08731698989868164,0.0
Letter,poly_sketch,3.0,0.5,gaussian,0.0,0.0,0.0,0.0,0.0,3.7109177112579346,1.4142135381698608,0.2330000102519989,0.7934631705284119,0.03698224946856499,1052.7191162109375,0.1681167185306549,1041.49755859375,0.1666833907365799,1907.28369140625,0.06978143751621246,2.7475247406982817e-05,512.0,32768.0,None,0.001,0.001552581787109375,0.08926892280578613,0.0
Letter,poly_sketch,3.0,0.5,gaussian,0.0,1.0,0.0,0.0,0.0,3.7109177112579346,1.4142135381698608,0.23000000417232513,0.7708681225776672,0.03698224946856499,770.3553466796875,0.12302389740943909,763.2124633789062,0.12214607745409012,1202.6883544921875,0.04577181115746498,1.578981027705595e-05,512.0,32768.0,None,0.001,0.0021898746490478516,0.08643198013305664,0.0
Letter,poly_sketch,3.0,0.5,rademacher,0.0,0.0,0.0,0.0,0.0,3.7109177112579346,1.4142135381698608,0.22550001740455627,0.769982635974884,0.03698224946856499,536.3352661132812,0.0856514498591423,498.98681640625,0.07985886931419373,1202.0531005859375,0.044998206198215485,7.34779359845561e-06,512.0,32768.0,None,0.001,0.0014903545379638672,0.08628368377685547,0.0
Letter,poly_sketch,3.0,0.5,rademacher,0.0,1.0,0.0,0.0,0.0,3.7109177112579346,1.4142135381698608,0.22450001537799835,0.7682603597640991,0.03698224946856499,451.1783447265625,0.07205209881067276,437.8166198730469,0.07006905972957611,1011.1712646484375,0.038988590240478516,5.165025413589319e-06,512.0,32768.0,None,0.001,0.002154827117919922,0.08617782592773438,0.0
Letter,poly_sketch,3.0,0.5,srht,0.0,0.0,0.0,1.0,0.0,3.7109177112579346,1.4142135381698608,0.22100001573562622,0.7674626708030701,0.03698224946856499,1708.249267578125,0.27280330657958984,1707.307861328125,0.2732410132884979,1067.1031494140625,0.03917713835835457,5.773357315774774e-06,512.0,32768.0,None,0.001,0.002109050750732422,0.08732938766479492,0.0
Letter,poly_sketch,3.0,0.5,srht,0.0,1.0,0.0,1.0,0.0,3.7109177112579346,1.4142135381698608,0.2225000113248825,0.7667558193206787,0.03698224946856499,528.343994140625,0.08437526971101761,523.512939453125,0.0837840735912323,848.2371826171875,0.0325937382876873,3.430937567827641e-06,512.0,32768.0,None,0.001,0.0023887157440185547,0.09560203552246094,0.0
Letter,poly_sketch,3.0,0.5,countsketch_scatter,0.0,0.0,0.0,0.0,0.0,3.7109177112579346,1.4142135381698608,0.22550001740455627,0.7659898400306702,0.03698224946856499,436.7931823730469,0.06975482404232025,424.35467529296875,0.06791458278894424,1119.42529296875,0.042126648128032684,6.097887307987548e-06,512.0,32768.0,None,0.001,0.003983497619628906,0.08620333671569824,0.0
Letter,srf,3.0,0.5,gaussian,0.0,0.0,1.0,0.0,0.0,3.7109177112579346,1.4142135381698608,0.20500001311302185,0.686420738697052,0.03698224946856499,216.86929321289062,0.03463350608944893,167.73939514160156,0.026845354586839676,2082.2900390625,0.07799147069454193,7.799713057465851e-05,512.0,32768.0,None,0.001,0.12854671478271484,0.0966482162475586,0.0
Letter,poly_sketch,3.0,0.5,srht,0.0,0.0,1.0,1.0,0.0,3.7109177112579346,1.4142135381698608,0.21700000762939453,0.7622680068016052,0.03698224946856499,562.9498901367188,0.08990174531936646,559.9373779296875,0.08961351960897446,817.3208618164062,0.031740255653858185,2.34299272960925e-06,512.0,32768.0,None,0.001,0.43024301528930664,0.08623886108398438,0.0
Letter,poly_sketch,3.0,0.5,srht,0.0,1.0,1.0,1.0,0.0,3.7109177112579346,1.4142135381698608,0.2200000137090683,0.7580581307411194,0.03698224946856499,392.9956359863281,0.06276045739650726,386.49755859375,0.06185585632920265,709.119140625,0.0281678419560194,2.452897206239868e-06,512.0,32768.0,None,0.001,0.4236748218536377,0.0862267017364502,0.0
Letter,poly_sketch,3.0,0.5,countsketch_scatter,0.0,0.0,1.0,0.0,0.0,3.7109177112579346,1.4142135381698608,0.22150000929832458,0.7629590034484863,0.03698224946856499,218.04083251953125,0.03482059761881828,210.25576782226562,0.033649761229753494,797.2761840820312,0.03082883730530739,2.5443030153837753e-06,512.0,32768.0,None,0.001,0.5081839561462402,0.08607292175292969,0.0
