dataset,method,degree,bias,proj,comp,comp_real,full_cov,hier,kernel_var,kernel_len,test_error,test_mnll,test_label_var,k_mse,k_mean_error,k_rel_frob_error,test_kl,test_mean_mse,test_var_mse,D,feature_dist,noise_var,feature_time,pred_time,seed
MNIST,srf,3.0,0.5,gaussian,0.0,0.0,0.0,0.0,9.027409553527832,1.4142135381698608,0.1387999951839447,0.4493250846862793,0.09000000357627869,0.5084003210067749,0.5677582621574402,0.21172991394996643,14913.376953125,4.968711853027344,1.4434837102890015,128.0,None,0.001,0.0186917781829834,0.03927445411682129,0.0
MNIST,poly_sketch,3.0,0.5,srht,0.0,0.0,1.0,0.0,9.027409553527832,1.4142135381698608,0.13529999554157257,0.42984041571617126,0.09000000357627869,1.4722076654434204,0.9364156723022461,0.36029964685440063,14414.3349609375,4.660346031188965,1.4366049766540527,128.0,None,0.001,0.02724432945251465,0.050234317779541016,0.0
MNIST,poly_sketch,3.0,0.5,srht,0.0,1.0,1.0,0.0,9.027409553527832,1.4142135381698608,0.12889999151229858,0.41219109296798706,0.09000000357627869,1.0309693813323975,0.7950601577758789,0.3015103042125702,14291.0693359375,4.626052379608154,1.4384355545043945,128.0,None,0.001,0.06367111206054688,0.029386520385742188,0.0
MNIST,poly_sketch,3.0,0.5,countsketch_scatter,0.0,0.0,0.0,0.0,9.027409553527832,1.4142135381698608,0.12129999697208405,0.41027870774269104,0.09000000357627869,1.877872347831726,1.0702214241027832,0.4069230854511261,14009.6162109375,4.516891002655029,1.4376269578933716,128.0,None,0.001,0.038481712341308594,0.02925705909729004,0.0
MNIST,srf,3.0,0.5,gaussian,0.0,0.0,0.0,0.0,9.027409553527832,1.4142135381698608,0.09589999914169312,0.30570387840270996,0.09000000357627869,0.24412089586257935,0.3933950364589691,0.14671745896339417,9420.8095703125,3.2865078449249268,1.1859691143035889,256.0,None,0.001,0.02224564552307129,0.054680824279785156,0.0
MNIST,poly_sketch,3.0,0.5,srht,0.0,0.0,1.0,0.0,9.027409553527832,1.4142135381698608,0.08729999512434006,0.2892771363258362,0.09000000357627869,1.5242350101470947,0.9200795292854309,0.3666107952594757,9332.8095703125,3.1419689655303955,1.2050491571426392,256.0,None,0.001,0.03331279754638672,0.0528414249420166,0.0
MNIST,poly_sketch,3.0,0.5,srht,0.0,1.0,1.0,0.0,9.027409553527832,1.4142135381698608,0.08410000056028366,0.2740288972854614,0.09000000357627869,0.5347062945365906,0.5880219340324402,0.21713857352733612,8690.58984375,2.9326889514923096,1.1897945404052734,256.0,None,0.001,0.06632375717163086,0.0528717041015625,0.0
MNIST,poly_sketch,3.0,0.5,countsketch_scatter,0.0,0.0,0.0,0.0,9.027409553527832,1.4142135381698608,0.08309999853372574,0.27157437801361084,0.09000000357627869,0.6619330644607544,0.6285392642021179,0.2415941059589386,8592.1640625,2.8706517219543457,1.1909821033477783,256.0,None,0.001,0.03660249710083008,0.05451631546020508,0.0
MNIST,srf,3.0,0.5,gaussian,0.0,0.0,0.0,0.0,9.027409553527832,1.4142135381698608,0.060999996960163116,0.2019091099500656,0.09000000357627869,0.13826943933963776,0.29823940992355347,0.1104186400771141,5629.90576171875,2.173567533493042,0.7682109475135803,512.0,None,0.001,0.022017717361450195,0.10632872581481934,0.0
MNIST,poly_sketch,3.0,0.5,srht,0.0,0.0,1.0,0.0,9.027409553527832,1.4142135381698608,0.05979999899864197,0.1911061406135559,0.09000000357627869,0.37052610516548157,0.48721107840538025,0.18075431883335114,5413.97607421875,1.9585992097854614,0.8482101559638977,512.0,None,0.001,0.03600931167602539,0.10784578323364258,0.0
MNIST,poly_sketch,3.0,0.5,srht,0.0,1.0,1.0,0.0,9.027409553527832,1.4142135381698608,0.0551999993622303,0.17635490000247955,0.09000000357627869,0.30824628472328186,0.4305749535560608,0.1648649126291275,5053.0419921875,1.8479899168014526,0.8119887113571167,512.0,None,0.001,0.07055902481079102,0.10436844825744629,0.0
MNIST,poly_sketch,3.0,0.5,countsketch_scatter,0.0,0.0,0.0,0.0,9.027409553527832,1.4142135381698608,0.05819999799132347,0.18138054013252258,0.09000000357627869,0.3722926080226898,0.4765872061252594,0.18118469417095184,5104.90234375,1.8534564971923828,0.8136420845985413,512.0,None,0.001,0.04339122772216797,0.11240816116333008,0.0
MNIST,srf,3.0,0.5,gaussian,0.0,0.0,0.0,0.0,9.027409553527832,1.4142135381698608,0.04349999874830246,0.14091144502162933,0.09000000357627869,0.09021060168743134,0.24259187281131744,0.0891883447766304,3167.4580078125,1.3913617134094238,0.30521583557128906,1024.0,None,0.001,0.03218507766723633,0.26151347160339355,0.0
MNIST,poly_sketch,3.0,0.5,srht,0.0,0.0,1.0,0.0,9.027409553527832,1.4142135381698608,0.03849999979138374,0.12940022349357605,0.09000000357627869,0.14850902557373047,0.3003339469432831,0.11443416774272919,2757.671630859375,1.0690572261810303,0.4593982994556427,1024.0,None,0.001,0.04077863693237305,0.26282286643981934,0.0
MNIST,poly_sketch,3.0,0.5,srht,0.0,1.0,1.0,0.0,9.027409553527832,1.4142135381698608,0.04089999943971634,0.12496933341026306,0.09000000357627869,0.10993917286396027,0.26334264874458313,0.09845902025699615,2656.908935546875,1.0563976764678955,0.4262049198150635,1024.0,None,0.001,0.07757425308227539,0.2605268955230713,0.0
MNIST,poly_sketch,3.0,0.5,countsketch_scatter,0.0,0.0,0.0,0.0,9.027409553527832,1.4142135381698608,0.03889999911189079,0.1290072649717331,0.09000000357627869,0.13955284655094147,0.29195642471313477,0.11092990636825562,2696.713623046875,1.0671697854995728,0.43364742398262024,1024.0,None,0.001,0.05484795570373535,0.25975799560546875,0.0
MNIST,srf,3.0,0.5,gaussian,0.0,0.0,0.0,0.0,9.027409553527832,1.4142135381698608,0.032600000500679016,0.10446418076753616,0.09000000357627869,0.06067711114883423,0.2015559822320938,0.07314619421958923,1642.494140625,0.7775341868400574,0.042719870805740356,2048.0,None,0.001,0.047480106353759766,0.9879496097564697,0.0
MNIST,poly_sketch,3.0,0.5,srht,0.0,0.0,1.0,0.0,9.027409553527832,1.4142135381698608,0.0284000001847744,0.09213776886463165,0.09000000357627869,0.09900785982608795,0.252092570066452,0.09343598037958145,1436.1478271484375,0.6078899502754211,0.1947825700044632,2048.0,None,0.001,0.06162595748901367,0.9774165153503418,0.0
MNIST,poly_sketch,3.0,0.5,srht,0.0,1.0,1.0,0.0,9.027409553527832,1.4142135381698608,0.03009999915957451,0.09401804208755493,0.09000000357627869,0.04621351882815361,0.17120513319969177,0.06383572518825531,1325.6214599609375,0.5739393830299377,0.1713874638080597,2048.0,None,0.001,0.09098458290100098,0.9871573448181152,0.0
MNIST,poly_sketch,3.0,0.5,countsketch_scatter,0.0,0.0,0.0,0.0,9.027409553527832,1.4142135381698608,0.028599999845027924,0.09094085544347763,0.09000000357627869,0.05512601137161255,0.18869562447071075,0.06972002983093262,1341.0634765625,0.5713767409324646,0.1749001145362854,2048.0,None,0.001,0.08487892150878906,0.9716951847076416,0.0
MNIST,srf,3.0,0.5,gaussian,0.0,0.0,0.0,0.0,9.027409553527832,1.4142135381698608,0.026899999007582664,0.08474964648485184,0.09000000357627869,0.04603515565395355,0.17545798420906067,0.06371242552995682,1138.9425048828125,0.5440595746040344,0.007976824417710304,3072.0,None,0.001,0.06356573104858398,1.8255329132080078,0.0
