dataset,method,degree,bias,proj,comp,comp_real,craft,full_cov,hier,kernel_var,kernel_len,test_error,test_mnll,test_label_var,k_frob_error,k_rel_frob_error,k_spec_error,k_rel_spec_error,test_kl,test_mean_mse,test_var_mse,D,E,feature_dist,noise_var,feature_time,pred_time,seed
MNIST,srf,3.0,0.5,gaussian,0.0,0.0,0.0,0.0,0.0,9.027409553527832,1.4142135381698608,0.08980000019073486,0.28738638758659363,0.09000000357627869,2565.626953125,0.15237116813659668,1470.85302734375,0.08972608298063278,9111.0126953125,3.1655349731445312,1.183063268661499,256.0,32768.0,None,0.001,0.009327173233032227,0.04399752616882324,0.0
MNIST,poly_sketch,3.0,0.5,gaussian,0.0,0.0,0.0,0.0,0.0,9.027409553527832,1.4142135381698608,0.09189999848604202,0.29774126410484314,0.09000000357627869,4998.4248046875,0.2968536913394928,3922.717041015625,0.2392965406179428,9568.1923828125,3.2490530014038086,1.2196985483169556,256.0,32768.0,None,0.001,0.0233612060546875,0.04434490203857422,0.0
MNIST,poly_sketch,3.0,0.5,gaussian,0.0,1.0,0.0,0.0,0.0,9.027409553527832,1.4142135381698608,0.08320000022649765,0.2738020718097687,0.09000000357627869,4739.53076171875,0.2814781069755554,4152.27880859375,0.25330042839050293,8933.4951171875,2.998396873474121,1.204392433166504,256.0,32768.0,None,0.001,0.044687747955322266,0.044126033782958984,0.0
MNIST,poly_sketch,3.0,0.5,rademacher,0.0,0.0,0.0,0.0,0.0,9.027409553527832,1.4142135381698608,0.08799999952316284,0.2794879376888275,0.09000000357627869,5007.6142578125,0.29739946126937866,4246.52587890625,0.25904977321624756,9309.3359375,3.144972085952759,1.2038438320159912,256.0,32768.0,None,0.001,0.023374557495117188,0.04409074783325195,0.0
MNIST,poly_sketch,3.0,0.5,rademacher,0.0,1.0,0.0,0.0,0.0,9.027409553527832,1.4142135381698608,0.08509999513626099,0.2767656147480011,0.09000000357627869,3484.54443359375,0.20694516599178314,2711.183349609375,0.16538964211940765,8642.6748046875,2.9025518894195557,1.1910585165023804,256.0,32768.0,None,0.001,0.04463958740234375,0.04425215721130371,0.0
MNIST,poly_sketch,3.0,0.5,srht,0.0,0.0,0.0,1.0,0.0,9.027409553527832,1.4142135381698608,0.08810000121593475,0.2805751860141754,0.09000000357627869,4370.54931640625,0.25956451892852783,3348.50146484375,0.20426779985427856,9672.6845703125,3.2946770191192627,1.1985901594161987,256.0,32768.0,None,0.001,0.019125938415527344,0.044162750244140625,0.0
MNIST,poly_sketch,3.0,0.5,srht,0.0,1.0,0.0,1.0,0.0,9.027409553527832,1.4142135381698608,0.0794999971985817,0.26493144035339355,0.09000000357627869,3689.892333984375,0.2191406786441803,2167.416015625,0.1322183459997177,8774.4677734375,2.9481518268585205,1.1953293085098267,256.0,32768.0,None,0.001,0.05052828788757324,0.044336795806884766,0.0
MNIST,poly_sketch,3.0,0.5,countsketch_scatter,0.0,0.0,0.0,0.0,0.0,9.027409553527832,1.4142135381698608,0.0835999995470047,0.26840075850486755,0.09000000357627869,3379.62353515625,0.20071397721767426,2175.4384765625,0.13270772993564606,8648.0576171875,2.8955671787261963,1.1890853643417358,256.0,32768.0,None,0.001,0.021844863891601562,0.044180870056152344,0.0
MNIST,poly_sketch,3.0,0.5,srht,0.0,0.0,1.0,1.0,0.0,9.027409553527832,1.4142135381698608,0.07899999618530273,0.25817352533340454,0.09000000357627869,2677.79345703125,0.1590326726436615,1616.4566650390625,0.09860830754041672,8453.75,2.8220252990722656,1.1854665279388428,256.0,32768.0,None,0.001,0.5586428642272949,0.047274112701416016,0.0
MNIST,poly_sketch,3.0,0.5,srht,0.0,1.0,1.0,1.0,0.0,9.027409553527832,1.4142135381698608,0.08479999750852585,0.26772022247314453,0.09000000357627869,3273.345458984375,0.19440218806266785,2500.752197265625,0.1525527685880661,8267.0498046875,2.8006417751312256,1.1829357147216797,256.0,32768.0,None,0.001,0.6097888946533203,0.047304391860961914,0.0
