dataset,method,degree,bias,proj,comp,comp_real,craft,full_cov,hier,kernel_var,kernel_len,test_error,test_mnll,test_label_var,k_frob_error,k_rel_frob_error,k_spec_error,k_rel_spec_error,test_kl,test_mean_mse,test_var_mse,D,E,feature_dist,noise_var,feature_time,pred_time,seed
cifar10_conv,srf,3.0,0.5,gaussian,0.0,0.0,0.0,0.0,0.0,9.030298233032227,1.4142135381698608,0.20589999854564667,0.6294683814048767,0.09000000357627869,3108.88671875,0.4892597496509552,1920.2255859375,0.32523834705352783,8453.255859375,5.479811191558838,13.187403678894043,256.0,32768.0,None,0.001,0.00934910774230957,0.053297996520996094,0.0
cifar10_conv,poly_sketch,3.0,0.5,gaussian,0.0,0.0,0.0,0.0,0.0,9.030298233032227,1.4142135381698608,0.22429999709129333,0.7101067304611206,0.09000000357627869,4737.50341796875,0.7455626130104065,2433.304443359375,0.4121411144733429,8874.1279296875,6.047074794769287,13.183778762817383,256.0,32768.0,None,0.001,0.024832963943481445,0.05476021766662598,0.0
cifar10_conv,poly_sketch,3.0,0.5,gaussian,0.0,1.0,0.0,0.0,0.0,9.030298233032227,1.4142135381698608,0.20019999146461487,0.6042767763137817,0.09000000357627869,4230.3115234375,0.6657435297966003,2288.42578125,0.3876022696495056,8490.8447265625,5.499706268310547,13.17718505859375,256.0,32768.0,None,0.001,0.05650520324707031,0.05389761924743652,0.0
cifar10_conv,poly_sketch,3.0,0.5,rademacher,0.0,0.0,0.0,0.0,0.0,9.030298233032227,1.4142135381698608,0.1859000027179718,0.5787771344184875,0.09000000357627869,2863.14697265625,0.45058655738830566,1076.4468994140625,0.18232326209545135,8133.13623046875,5.00575590133667,13.143672943115234,256.0,32768.0,None,0.001,0.02467513084411621,0.053575992584228516,0.0
cifar10_conv,poly_sketch,3.0,0.5,rademacher,0.0,1.0,0.0,0.0,0.0,9.030298233032227,1.4142135381698608,0.181099995970726,0.5656276941299438,0.09000000357627869,2814.0703125,0.4428631365299225,962.6156616210938,0.1630430966615677,8012.2900390625,4.8488287925720215,13.15330696105957,256.0,32768.0,None,0.001,0.0533757209777832,0.05549478530883789,0.0
cifar10_conv,poly_sketch,3.0,0.5,srht,0.0,0.0,0.0,1.0,0.0,9.030298233032227,1.4142135381698608,0.18869999051094055,0.5616037845611572,0.09000000357627869,2834.81591796875,0.4461279809474945,1073.8277587890625,0.1818796545267105,8072.90234375,4.931280136108398,13.133060455322266,256.0,32768.0,None,0.001,0.03627777099609375,0.05331254005432129,0.0
cifar10_conv,poly_sketch,3.0,0.5,srht,0.0,1.0,0.0,1.0,0.0,9.030298233032227,1.4142135381698608,0.1889999955892563,0.5914290547370911,0.09000000357627869,2685.3359375,0.42260363698005676,891.8949584960938,0.15106476843357086,8144.1298828125,5.014111042022705,13.160675048828125,256.0,32768.0,None,0.001,0.09378242492675781,0.05337667465209961,0.0
cifar10_conv,poly_sketch,3.0,0.5,countsketch_scatter,0.0,0.0,0.0,0.0,0.0,9.030298233032227,1.4142135381698608,0.18239998817443848,0.5620293021202087,0.09000000357627869,2959.08154296875,0.4656842350959778,1166.34130859375,0.19754913449287415,8069.6171875,4.910566329956055,13.151637077331543,256.0,32768.0,None,0.001,0.02979302406311035,0.05232357978820801,0.0
cifar10_conv,poly_sketch,3.0,0.5,srht,0.0,0.0,1.0,1.0,0.0,9.030298233032227,1.4142135381698608,0.18129999935626984,0.5568718314170837,0.09000000357627869,2801.73291015625,0.4409215450286865,986.642333984375,0.16711261868476868,8012.79150390625,4.858146667480469,13.169801712036133,256.0,32768.0,None,0.001,0.9108235836029053,0.056856393814086914,0.0
cifar10_conv,poly_sketch,3.0,0.5,srht,0.0,1.0,1.0,1.0,0.0,9.030298233032227,1.4142135381698608,0.1899999976158142,0.573500394821167,0.09000000357627869,2820.8662109375,0.4439326524734497,1052.30810546875,0.1782347559928894,8158.91796875,5.062862396240234,13.168956756591797,256.0,32768.0,None,0.001,1.1228506565093994,0.055730581283569336,0.0
