dataset,method,degree,bias,proj,comp,comp_real,craft,full_cov,hier,kernel_var,kernel_len,test_error,test_mnll,test_label_var,k_frob_error,k_rel_frob_error,k_spec_error,k_rel_spec_error,test_kl,test_mean_mse,test_var_mse,D,E,feature_dist,noise_var,feature_time,pred_time,seed
cifar10_conv,srf,3.0,0.5,gaussian,0.0,0.0,0.0,0.0,0.0,9.030298233032227,1.4142135381698608,0.14819999039173126,0.4546484351158142,0.09000000357627869,2619.861328125,0.10622014850378036,2059.074951171875,0.08389278501272202,9312.5390625,2.786527395248413,0.5811392664909363,256.0,32768.0,None,0.001,0.0058782100677490234,0.048529863357543945,0.0
cifar10_conv,poly_sketch,3.0,0.5,gaussian,0.0,0.0,0.0,0.0,0.0,9.030298233032227,1.4142135381698608,0.15569999814033508,0.4671483337879181,0.09000000357627869,9787.1552734375,0.3968122601509094,9572.3203125,0.39000454545021057,9821.8330078125,2.8378565311431885,0.6271880865097046,256.0,32768.0,None,0.001,0.021126270294189453,0.04938554763793945,0.0
cifar10_conv,poly_sketch,3.0,0.5,gaussian,0.0,1.0,0.0,0.0,0.0,9.030298233032227,1.4142135381698608,0.14980000257492065,0.4446300268173218,0.09000000357627869,4045.935302734375,0.16403916478157043,3353.99853515625,0.13665178418159485,8625.884765625,2.4439468383789062,0.6113035678863525,256.0,32768.0,None,0.001,0.045131683349609375,0.04939985275268555,0.0
cifar10_conv,poly_sketch,3.0,0.5,rademacher,0.0,0.0,0.0,0.0,0.0,9.030298233032227,1.4142135381698608,0.1517999917268753,0.45581668615341187,0.09000000357627869,6435.14306640625,0.2609076499938965,5908.373046875,0.24072453379631042,9343.9326171875,2.671593427658081,0.6162593364715576,256.0,32768.0,None,0.001,0.020719289779663086,0.049260616302490234,0.0
cifar10_conv,poly_sketch,3.0,0.5,rademacher,0.0,1.0,0.0,0.0,0.0,9.030298233032227,1.4142135381698608,0.13769999146461487,0.4302780032157898,0.09000000357627869,3745.27001953125,0.1518489271402359,3211.33740234375,0.13083934783935547,8099.9931640625,2.2817845344543457,0.5962646007537842,256.0,32768.0,None,0.001,0.043903350830078125,0.048066139221191406,0.0
cifar10_conv,poly_sketch,3.0,0.5,srht,0.0,0.0,0.0,1.0,0.0,9.030298233032227,1.4142135381698608,0.14970000088214874,0.4577285945415497,0.09000000357627869,5166.87451171875,0.20948673784732819,3682.679443359375,0.15004321932792664,9572.744140625,2.7486023902893066,0.6194933652877808,256.0,32768.0,None,0.001,0.02599167823791504,0.050278663635253906,0.0
cifar10_conv,poly_sketch,3.0,0.5,srht,0.0,1.0,0.0,1.0,0.0,9.030298233032227,1.4142135381698608,0.14469999074935913,0.4374949038028717,0.09000000357627869,5967.17626953125,0.24193431437015533,5714.271484375,0.23281626403331757,8649.6796875,2.455230951309204,0.6060076951980591,256.0,32768.0,None,0.001,0.047246456146240234,0.049948930740356445,0.0
cifar10_conv,poly_sketch,3.0,0.5,countsketch_scatter,0.0,0.0,0.0,0.0,0.0,9.030298233032227,1.4142135381698608,0.14229999482631683,0.43048104643821716,0.09000000357627869,3272.545654296875,0.1326827108860016,2476.8232421875,0.10091307759284973,8156.45947265625,2.2956559658050537,0.6020832061767578,256.0,32768.0,None,0.001,0.025261402130126953,0.05014944076538086,0.0
cifar10_conv,poly_sketch,3.0,0.5,srht,0.0,0.0,1.0,1.0,0.0,9.030298233032227,1.4142135381698608,0.1436000019311905,0.4302574098110199,0.09000000357627869,2686.043212890625,0.1089034453034401,2211.502197265625,0.09010311961174011,7964.44384765625,2.2570042610168457,0.5867655277252197,256.0,32768.0,None,0.001,0.5184705257415771,0.06056618690490723,0.0
cifar10_conv,poly_sketch,3.0,0.5,srht,0.0,1.0,1.0,1.0,0.0,9.030298233032227,1.4142135381698608,0.13779999315738678,0.41142699122428894,0.09000000357627869,2324.901123046875,0.09426122903823853,1380.078857421875,0.056228481233119965,7786.3173828125,2.190459728240967,0.5869778394699097,256.0,32768.0,None,0.001,0.577899694442749,0.05943107604980469,0.0
cifar10_conv,poly_sketch,3.0,0.5,countsketch_scatter,0.0,0.0,1.0,0.0,0.0,9.030298233032227,1.4142135381698608,0.13809999823570251,0.41296494007110596,0.09000000357627869,2372.48583984375,0.09619051218032837,1591.4195556640625,0.06483912467956543,7673.890625,2.1599977016448975,0.585825502872467,256.0,32768.0,None,0.001,0.9026317596435547,0.06004762649536133,0.0
cifar10_conv,poly_sketch,3.0,0.5,srht,0.0,0.0,0.0,1.0,1.0,9.030298233032227,1.4142135381698608,0.14790000021457672,0.4463314414024353,0.09000000357627869,4610.92529296875,0.18694622814655304,3774.114501953125,0.15376855432987213,8769.03125,2.5208306312561035,0.6030004024505615,256.0,32768.0,None,0.001,0.03251314163208008,0.049794912338256836,0.0
cifar10_conv,poly_sketch,3.0,0.5,srht,0.0,1.0,0.0,1.0,1.0,9.030298233032227,1.4142135381698608,0.14800000190734863,0.44448933005332947,0.09000000357627869,9538.904296875,0.3867471218109131,9418.4794921875,0.38373661041259766,8935.87890625,2.5793299674987793,0.6061056852340698,256.0,32768.0,None,0.001,0.036177873611450195,0.04968118667602539,0.0
cifar10_conv,poly_sketch,3.0,0.5,countsketch_scatter,0.0,0.0,0.0,0.0,1.0,9.030298233032227,1.4142135381698608,0.15150000154972076,0.4543980360031128,0.09000000357627869,5096.4541015625,0.206631600856781,3488.70849609375,0.14214026927947998,9079.455078125,2.605581760406494,0.6085374355316162,256.0,32768.0,None,0.001,0.038956403732299805,0.049675703048706055,0.0
cifar10_conv,srf,3.0,0.5,gaussian,0.0,0.0,0.0,0.0,0.0,9.030298233032227,1.4142135381698608,0.12429999560117722,0.3769340515136719,0.09000000357627869,2046.597900390625,0.08297765254974365,1700.301513671875,0.06927529722452164,5460.02685546875,1.7684452533721924,0.32875296473503113,512.0,32768.0,None,0.001,0.011769294738769531,0.09833693504333496,0.0
cifar10_conv,poly_sketch,3.0,0.5,gaussian,0.0,0.0,0.0,0.0,0.0,9.030298233032227,1.4142135381698608,0.12789998948574066,0.3833434283733368,0.09000000357627869,14313.107421875,0.5803133249282837,14055.478515625,0.5726616382598877,5938.01904296875,1.777124047279358,0.44690564274787903,512.0,32768.0,None,0.001,0.032062530517578125,0.09624767303466797,0.0
cifar10_conv,poly_sketch,3.0,0.5,gaussian,0.0,1.0,0.0,0.0,0.0,9.030298233032227,1.4142135381698608,0.11959999799728394,0.36517104506492615,0.09000000357627869,5439.55615234375,0.22054238617420197,5125.71533203125,0.20883674919605255,5170.52734375,1.5564289093017578,0.4015093743801117,512.0,32768.0,None,0.001,0.05738663673400879,0.09858989715576172,0.0
cifar10_conv,poly_sketch,3.0,0.5,rademacher,0.0,0.0,0.0,0.0,0.0,9.030298233032227,1.4142135381698608,0.12459999322891235,0.38568565249443054,0.09000000357627869,5300.95654296875,0.2149229794740677,5097.78955078125,0.2076989710330963,5617.853515625,1.6785640716552734,0.4302224814891815,512.0,32768.0,None,0.001,0.0319974422454834,0.09545564651489258,0.0
cifar10_conv,poly_sketch,3.0,0.5,rademacher,0.0,1.0,0.0,0.0,0.0,9.030298233032227,1.4142135381698608,0.12359999865293503,0.37214285135269165,0.09000000357627869,4672.65625,0.18944905698299408,4520.125,0.18416321277618408,5182.921875,1.564021110534668,0.4024308919906616,512.0,32768.0,None,0.001,0.057370901107788086,0.09671449661254883,0.0
