dataset,method,degree,bias,proj,comp,comp_real,craft,full_cov,hier,kernel_var,kernel_len,test_error,test_mnll,test_label_var,k_frob_error,k_rel_frob_error,k_spec_error,k_rel_spec_error,test_kl,test_mean_mse,test_var_mse,D,E,feature_dist,noise_var,feature_time,pred_time,seed
MNIST,srf,3.0,0.5,gaussian,0.0,0.0,0.0,0.0,0.0,9.027409553527832,1.4142135381698608,0.08889999985694885,0.29141247272491455,0.09000000357627869,2492.070068359375,0.14800266921520233,1059.085205078125,0.06460711359977722,9290.580078125,3.2545392513275146,1.1841821670532227,256.0,16384.0,None,0.001,0.016062259674072266,0.05489706993103027,0.0
MNIST,poly_sketch,3.0,0.5,gaussian,0.0,0.0,0.0,0.0,0.0,9.027409553527832,1.4142135381698608,0.09449999779462814,0.2937844693660736,0.09000000357627869,7353.26953125,0.43670663237571716,6507.28759765625,0.3969624638557434,9967.2451171875,3.4155218601226807,1.2157573699951172,256.0,16384.0,None,0.001,0.02941417694091797,0.055274248123168945,0.0
MNIST,poly_sketch,3.0,0.5,gaussian,0.0,1.0,0.0,0.0,0.0,9.027409553527832,1.4142135381698608,0.09149999916553497,0.2833450138568878,0.09000000357627869,4961.4130859375,0.29465559124946594,4189.6943359375,0.25558286905288696,9278.66796875,3.1416373252868652,1.2052302360534668,256.0,16384.0,None,0.001,0.08660578727722168,0.055719852447509766,0.0
MNIST,poly_sketch,3.0,0.5,rademacher,0.0,0.0,0.0,0.0,0.0,9.027409553527832,1.4142135381698608,0.08810000121593475,0.27948489785194397,0.09000000357627869,5007.6142578125,0.29739946126937866,4246.52587890625,0.25904977321624756,9309.365234375,3.1449832916259766,1.2038438320159912,256.0,16384.0,None,0.001,0.027306556701660156,0.0547792911529541,0.0
MNIST,poly_sketch,3.0,0.5,rademacher,0.0,1.0,0.0,0.0,0.0,9.027409553527832,1.4142135381698608,0.08489999920129776,0.2767806649208069,0.09000000357627869,3484.54443359375,0.20694516599178314,2711.183349609375,0.16538964211940765,8642.6982421875,2.9025604724884033,1.1910585165023804,256.0,16384.0,None,0.001,0.06099200248718262,0.055181264877319336,0.0
MNIST,poly_sketch,3.0,0.5,srht,0.0,0.0,0.0,1.0,0.0,9.027409553527832,1.4142135381698608,0.08259999752044678,0.2654130756855011,0.09000000357627869,4021.556884765625,0.2388380467891693,2631.79541015625,0.16054676473140717,8897.9951171875,2.9821293354034424,1.1974432468414307,256.0,16384.0,None,0.001,0.04129385948181152,0.05486631393432617,0.0
MNIST,poly_sketch,3.0,0.5,srht,0.0,1.0,0.0,1.0,0.0,9.027409553527832,1.4142135381698608,0.08339999616146088,0.26588699221611023,0.09000000357627869,3685.69873046875,0.21889162063598633,2609.889892578125,0.1592104583978653,8498.298828125,2.839674234390259,1.1952006816864014,256.0,16384.0,None,0.001,0.10838532447814941,0.05478262901306152,0.0
MNIST,poly_sketch,3.0,0.5,countsketch_scatter,0.0,0.0,0.0,0.0,0.0,9.027409553527832,1.4142135381698608,0.08419999480247498,0.2690618932247162,0.09000000357627869,3975.044189453125,0.23607568442821503,2651.284912109375,0.1617356687784195,8687.03125,2.9224584102630615,1.189970850944519,256.0,16384.0,None,0.001,0.03895306587219238,0.05499911308288574,0.0
MNIST,poly_sketch,3.0,0.5,srht,0.0,0.0,0.0,1.0,1.0,9.027409553527832,1.4142135381698608,0.0851999968290329,0.2767815887928009,0.09000000357627869,6388.46044921875,0.37940713763237,5936.7412109375,0.36215755343437195,9361.3193359375,3.1966989040374756,1.199169635772705,256.0,16384.0,None,0.001,0.05525088310241699,0.05462813377380371,0.0
MNIST,poly_sketch,3.0,0.5,srht,0.0,1.0,0.0,1.0,1.0,9.027409553527832,1.4142135381698608,0.08410000056028366,0.2727487087249756,0.09000000357627869,3566.4384765625,0.21180881559848785,2226.183349609375,0.13580331206321716,9005.744140625,3.0600905418395996,1.1905226707458496,256.0,16384.0,None,0.001,0.06502413749694824,0.05438351631164551,0.0
MNIST,poly_sketch,3.0,0.5,countsketch_scatter,0.0,0.0,0.0,0.0,1.0,9.027409553527832,1.4142135381698608,0.08799999952316284,0.2795092463493347,0.09000000357627869,4928.330078125,0.29269081354141235,3588.45947265625,0.21890589594841003,9166.6044921875,3.1425204277038574,1.1882680654525757,256.0,16384.0,None,0.001,0.0593717098236084,0.053948163986206055,0.0
