dataset,method,degree,bias,proj,comp,comp_real,craft,full_cov,ahle,tree,kernel_var,kernel_len,test_error,test_mnll,test_error_ref,test_mnll_ref,test_label_var,k_frob_error,k_rel_frob_error,test_kl,test_mean_mse,test_var_mse,D,E,feature_dist,noise_var,feature_time,pred_time,seed
Concrete,srf,5,0.5,gaussian,False,False,False,False,False,False,277.7559509277344,1.4142135381698608,270.11407470703125,10.678699493408203,44.72158432006836,3.4930782318115234,290.0826110839844,9816.849609375,1.4311472177505493,3309.751220703125,222.45008850097656,38.33644104003906,8,80,None,16.0,0.0008182525634765625,0.0009572505950927734,0
Concrete,srf,5,0.5,srht,False,False,False,False,False,False,277.7559509277344,1.4142135381698608,234.00450134277344,9.556129455566406,44.72158432006836,3.4930782318115234,290.0826110839844,9524.16796875,1.3884787559509277,3048.891845703125,187.72557067871094,38.2508430480957,8,80,None,16.0,0.0021774768829345703,0.001161336898803711,0
Concrete,srf,5,0.5,srht,True,False,False,False,False,False,277.7559509277344,1.4142135381698608,213.67660522460938,8.928330421447754,44.72158432006836,3.4930782318115234,290.0826110839844,9158.25390625,1.3351340293884277,2273.970703125,169.05075073242188,38.41480255126953,8,80,None,16.0,0.0021228790283203125,0.001001119613647461,0
Concrete,maclaurin_p,5,0.5,rademacher,False,False,False,False,False,False,277.7559509277344,1.4142135381698608,208.80076599121094,8.775535583496094,44.72158432006836,3.4930782318115234,290.0826110839844,18676.638671875,2.7227694988250732,2491.463134765625,168.3874053955078,38.143409729003906,8,80,None,16.0,0.0016276836395263672,0.0006487369537353516,0
Concrete,maclaurin,5,0.5,rademacher,False,False,False,False,False,False,277.7559509277344,1.4142135381698608,217.83021545410156,9.064977645874023,44.72158432006836,3.4930782318115234,290.0826110839844,6160.07763671875,0.898045539855957,2373.27197265625,158.93655395507812,38.64253234863281,8,80,"[2, 5]",16.0,0.0013134479522705078,0.0006427764892578125,0
Concrete,maclaurin,5,0.5,rademacher,True,False,False,False,False,False,277.7559509277344,1.4142135381698608,219.23037719726562,9.100882530212402,44.72158432006836,3.4930782318115234,290.0826110839844,6610.904296875,0.9637691974639893,2427.490234375,165.46400451660156,38.3609619140625,8,80,"[2, 5]",16.0,0.001176595687866211,0.0006399154663085938,0
Concrete,maclaurin,5,0.5,srht,False,False,False,False,False,False,277.7559509277344,1.4142135381698608,289.3994140625,11.268233299255371,44.72158432006836,3.4930782318115234,290.0826110839844,5805.10693359375,0.8462961912155151,3376.486083984375,237.73081970214844,38.23902893066406,8,80,"[2, 5]",16.0,0.0023040771484375,0.0006415843963623047,0
Concrete,maclaurin,5,0.5,srht,True,False,False,False,False,False,277.7559509277344,1.4142135381698608,153.10093688964844,7.052600383758545,44.72158432006836,3.4930782318115234,290.0826110839844,5549.9013671875,0.8090911507606506,1433.9912109375,100.5421142578125,38.34614562988281,8,80,"[2, 5]",16.0,0.0021097660064697266,0.0006639957427978516,0
Concrete,poly_sketch,5,0.5,gaussian,False,False,False,False,False,False,277.7559509277344,1.4142135381698608,200.7996063232422,8.524194717407227,44.72158432006836,3.4930782318115234,290.0826110839844,8229.2880859375,1.199704885482788,1939.9259033203125,144.1851348876953,38.250186920166016,8,80,None,16.0,0.0013730525970458984,0.0010869503021240234,0
Concrete,poly_sketch,5,0.5,gaussian,True,False,False,False,False,False,277.7559509277344,1.4142135381698608,259.215087890625,10.338852882385254,44.72158432006836,3.4930782318115234,290.0826110839844,13053.275390625,1.9029688835144043,2885.4853515625,194.31129455566406,38.49673080444336,8,80,None,16.0,0.0016994476318359375,0.001096487045288086,0
Concrete,poly_sketch,5,0.5,rademacher,False,False,False,False,False,False,277.7559509277344,1.4142135381698608,263.8691101074219,10.502202033996582,44.72158432006836,3.4930782318115234,290.0826110839844,19172.5625,2.79506778717041,3055.1728515625,215.42507934570312,38.76163101196289,8,80,None,16.0,0.0013835430145263672,0.0011599063873291016,0
Concrete,poly_sketch,5,0.5,rademacher,True,False,False,False,False,False,277.7559509277344,1.4142135381698608,200.9153594970703,8.537994384765625,44.72158432006836,3.4930782318115234,290.0826110839844,7215.392578125,1.0518944263458252,2299.0849609375,168.23403930664062,38.20964050292969,8,80,None,16.0,0.0011653900146484375,0.001073598861694336,0
Concrete,poly_sketch,5,0.5,rademacher,False,False,False,False,True,True,277.7559509277344,1.4142135381698608,279.22723388671875,10.98453426361084,44.72158432006836,3.4930782318115234,290.0826110839844,70067.2421875,10.214736938476562,3337.231689453125,226.83016967773438,38.64272689819336,8,80,None,16.0,0.003284931182861328,0.0011935234069824219,0
Concrete,poly_sketch,5,0.5,rademacher,True,False,False,False,True,True,277.7559509277344,1.4142135381698608,190.84475708007812,8.22891902923584,44.72158432006836,3.4930782318115234,290.0826110839844,8496.2880859375,1.2386294603347778,2115.2021484375,140.97247314453125,38.53118896484375,8,80,None,16.0,0.0036230087280273438,0.0012352466583251953,0
Concrete,poly_sketch,5,0.5,srht,False,False,False,False,False,False,277.7559509277344,1.4142135381698608,260.7357177734375,10.389886856079102,44.72158432006836,3.4930782318115234,290.0826110839844,6766.861328125,0.986505389213562,2797.09375,212.6821746826172,38.406524658203125,8,80,None,16.0,0.003379344940185547,0.0012691020965576172,0
Concrete,poly_sketch,5,0.5,srht,True,False,False,False,False,False,277.7559509277344,1.4142135381698608,253.0163116455078,10.133251190185547,44.72158432006836,3.4930782318115234,290.0826110839844,8453.017578125,1.2323212623596191,2609.7890625,188.056884765625,38.43621063232422,8,80,None,16.0,0.0049822330474853516,0.0012392997741699219,0
Concrete,poly_sketch,5,0.5,srht,False,False,False,False,True,True,277.7559509277344,1.4142135381698608,223.1837921142578,9.237592697143555,44.72158432006836,3.4930782318115234,290.0826110839844,8635.3740234375,1.2589061260223389,2457.4521484375,169.429443359375,38.678688049316406,8,80,None,16.0,0.005974769592285156,0.00093841552734375,0
Concrete,poly_sketch,5,0.5,srht,True,False,False,False,True,True,277.7559509277344,1.4142135381698608,177.22134399414062,7.801522731781006,44.72158432006836,3.4930782318115234,290.0826110839844,7626.83056640625,1.1118757724761963,1927.5037841796875,132.98297119140625,38.29163360595703,8,80,None,16.0,0.00951528549194336,0.0006754398345947266,0
Concrete,poly_sketch,5,0.5,countsketch_scatter,False,False,False,False,False,False,277.7559509277344,1.4142135381698608,274.1078186035156,10.812908172607422,44.72158432006836,3.4930782318115234,290.0826110839844,15209.0791015625,2.217252254486084,2454.74072265625,205.15936279296875,38.480918884277344,8,80,None,16.0,0.003755331039428711,0.0009491443634033203,0
Concrete,srf,5,0.5,gaussian,False,False,False,False,False,False,277.7559509277344,1.4142135381698608,180.41842651367188,7.807084083557129,44.72158432006836,3.4930782318115234,290.0826110839844,5365.9150390625,0.7822687029838562,1883.12158203125,122.34557342529297,35.39613342285156,24,80,None,16.0,0.0011708736419677734,0.0011970996856689453,0
Concrete,srf,5,0.5,srht,False,False,False,False,False,False,277.7559509277344,1.4142135381698608,163.15899658203125,7.272284030914307,44.72158432006836,3.4930782318115234,290.0826110839844,5085.18603515625,0.7413427233695984,1475.4407958984375,108.91492462158203,34.92707443237305,24,80,None,16.0,0.0019769668579101562,0.0008978843688964844,0
Concrete,srf,5,0.5,srht,True,False,False,False,False,False,277.7559509277344,1.4142135381698608,155.0243682861328,7.02554178237915,44.72158432006836,3.4930782318115234,290.0826110839844,5003.13818359375,0.7293813824653625,1404.734130859375,103.94866180419922,35.407108306884766,24,80,None,16.0,0.0023026466369628906,0.0008904933929443359,0
Concrete,maclaurin_p,5,0.5,rademacher,False,False,False,False,False,False,277.7559509277344,1.4142135381698608,99.43487548828125,5.351820945739746,44.72158432006836,3.4930782318115234,290.0826110839844,9340.4853515625,1.3617005348205566,789.4868774414062,50.208648681640625,36.22163772583008,24,80,None,16.0,0.0019369125366210938,0.0006580352783203125,0
Concrete,maclaurin,5,0.5,rademacher,False,False,False,False,False,False,277.7559509277344,1.4142135381698608,88.55389404296875,5.009420871734619,44.72158432006836,3.4930782318115234,290.0826110839844,4128.6884765625,0.6018999218940735,597.0265502929688,40.99605941772461,35.49900817871094,24,80,"[7, 16]",16.0,0.0010526180267333984,0.0006396770477294922,0
Concrete,maclaurin,5,0.5,rademacher,True,False,False,False,False,False,277.7559509277344,1.4142135381698608,93.84455871582031,5.1676344871521,44.72158432006836,3.4930782318115234,290.0826110839844,4175.4228515625,0.6087130904197693,609.1202392578125,41.291175842285156,35.3828239440918,24,80,"[7, 16]",16.0,0.0012083053588867188,0.0006692409515380859,0
Concrete,maclaurin,5,0.5,srht,False,False,False,False,False,False,277.7559509277344,1.4142135381698608,96.6138916015625,5.2479424476623535,44.72158432006836,3.4930782318115234,290.0826110839844,3835.421142578125,0.559145987033844,654.5304565429688,44.55170440673828,35.385623931884766,24,80,"[8, 15]",16.0,0.0016896724700927734,0.0006692409515380859,0
Concrete,maclaurin,5,0.5,srht,True,False,False,False,False,False,277.7559509277344,1.4142135381698608,92.62179565429688,5.126060962677002,44.72158432006836,3.4930782318115234,290.0826110839844,3823.47998046875,0.5574051737785339,602.3172607421875,43.56368637084961,35.14327621459961,24,80,"[8, 15]",16.0,0.0021152496337890625,0.0006465911865234375,0
Concrete,poly_sketch,5,0.5,gaussian,False,False,False,False,False,False,277.7559509277344,1.4142135381698608,213.63218688964844,8.84252643585205,44.72158432006836,3.4930782318115234,290.0826110839844,7901.0478515625,1.1518524885177612,2395.390625,161.40985107421875,36.24886703491211,24,80,None,16.0,0.0014095306396484375,0.001165628433227539,0
Concrete,poly_sketch,5,0.5,gaussian,True,False,False,False,False,False,277.7559509277344,1.4142135381698608,164.55014038085938,7.324857711791992,44.72158432006836,3.4930782318115234,290.0826110839844,20505.619140625,2.9894070625305176,1328.012939453125,113.73812866210938,35.383544921875,24,80,None,16.0,0.0013580322265625,0.0011992454528808594,0
Concrete,poly_sketch,5,0.5,rademacher,False,False,False,False,False,False,277.7559509277344,1.4142135381698608,194.01361083984375,8.216286659240723,44.72158432006836,3.4930782318115234,290.0826110839844,10249.76171875,1.494259238243103,1667.714599609375,136.01065063476562,34.9742431640625,24,80,None,16.0,0.0013763904571533203,0.0012216567993164062,0
