dataset,method,degree,bias,proj,comp,comp_real,craft,full_cov,ahle,tree,kernel_var,kernel_len,test_error,test_mnll,test_error_ref,test_mnll_ref,test_label_var,k_frob_error,k_rel_frob_error,test_kl,test_mean_mse,test_var_mse,D,E,feature_dist,noise_var,feature_time,pred_time,seed
Energy,srf,5,0.5,gaussian,False,False,False,False,False,False,97.77330017089844,1.4142135381698608,20.999191284179688,5.920658111572266,14.742340087890625,5.531705856323242,82.1286849975586,1422.870849609375,0.24578574299812317,1139.9832763671875,4.3270158767700195,0.0070078615099191666,8,80,None,16.0,0.0008466243743896484,0.001138925552368164,0
Energy,srf,5,0.5,srht,False,False,False,False,False,False,97.77330017089844,1.4142135381698608,20.165260314941406,5.8656158447265625,14.742340087890625,5.531705856323242,82.1286849975586,1127.369140625,0.19474098086357117,905.3284912109375,3.2486073970794678,0.00764047633856535,8,80,None,16.0,0.0022118091583251953,0.0016601085662841797,0
Energy,srf,5,0.5,srht,True,False,False,False,False,False,97.77330017089844,1.4142135381698608,15.68730640411377,5.590297222137451,14.742340087890625,5.531705856323242,82.1286849975586,605.1036987304688,0.10452520102262497,141.1806182861328,0.5824094414710999,0.0025072721764445305,8,80,None,16.0,0.0015985965728759766,0.0016143321990966797,0
Energy,maclaurin_p,5,0.5,rademacher,False,False,False,False,False,False,97.77330017089844,1.4142135381698608,17.19579315185547,5.685244083404541,14.742340087890625,5.531705856323242,82.1286849975586,4071.301513671875,0.7032738924026489,217.24099731445312,1.2647507190704346,0.00994144007563591,8,80,None,16.0,0.0025377273559570312,0.0016324520111083984,0
Energy,maclaurin,5,0.5,rademacher,False,False,False,False,False,False,97.77330017089844,1.4142135381698608,18.320833206176758,5.754974842071533,14.742340087890625,5.531705856323242,82.1286849975586,3381.17529296875,0.5840619206428528,776.8682861328125,2.62460994720459,0.013035313226282597,8,80,"[2, 5]",16.0,0.0010175704956054688,0.001142740249633789,0
Energy,maclaurin,5,0.5,rademacher,True,False,False,False,False,False,97.77330017089844,1.4142135381698608,17.746538162231445,5.718667507171631,14.742340087890625,5.531705856323242,82.1286849975586,3721.27294921875,0.6428101658821106,712.811279296875,2.2306783199310303,0.006335495039820671,8,80,"[1, 3, 3]",16.0,0.0016109943389892578,0.0011515617370605469,0
Energy,maclaurin,5,0.5,srht,False,False,False,False,False,False,97.77330017089844,1.4142135381698608,19.5886173248291,5.833680629730225,14.742340087890625,5.531705856323242,82.1286849975586,4755.4306640625,0.821449875831604,938.2469482421875,3.336334228515625,0.011413441970944405,8,80,"[2, 5]",16.0,0.0016357898712158203,0.0011410713195800781,0
Energy,maclaurin,5,0.5,srht,True,False,False,False,False,False,97.77330017089844,1.4142135381698608,18.661771774291992,5.775929927825928,14.742340087890625,5.531705856323242,82.1286849975586,1384.346435546875,0.23913106322288513,802.9420166015625,2.725200653076172,0.01199730671942234,8,80,"[1, 3, 3]",16.0,0.0034744739532470703,0.001161336898803711,0
Energy,poly_sketch,5,0.5,gaussian,False,False,False,False,False,False,97.77330017089844,1.4142135381698608,16.77016258239746,5.658688068389893,14.742340087890625,5.531705856323242,82.1286849975586,11897.8603515625,2.0552282333374023,322.3949890136719,1.5914462804794312,0.02511843852698803,8,80,None,16.0,0.0006806850433349609,0.0012331008911132812,0
Energy,poly_sketch,5,0.5,gaussian,True,False,False,False,False,False,97.77330017089844,1.4142135381698608,16.63624382019043,5.65032958984375,14.742340087890625,5.531705856323242,82.1286849975586,4937.97216796875,0.8529819846153259,331.05450439453125,1.2683051824569702,0.01867837645113468,8,80,None,16.0,0.0016002655029296875,0.002126455307006836,0
Energy,poly_sketch,5,0.5,rademacher,False,False,False,False,False,False,97.77330017089844,1.4142135381698608,23.90290069580078,6.101741790771484,14.742340087890625,5.531705856323242,82.1286849975586,4620.458984375,0.798134982585907,1777.740478515625,6.4231672286987305,0.01616002433001995,8,80,None,16.0,0.0013854503631591797,0.0015747547149658203,0
Energy,poly_sketch,5,0.5,rademacher,True,False,False,False,False,False,97.77330017089844,1.4142135381698608,17.28826904296875,5.690149307250977,14.742340087890625,5.531705856323242,82.1286849975586,1829.8685302734375,0.31609025597572327,574.4203491210938,2.0468027591705322,0.014192634262144566,8,80,None,16.0,0.0016663074493408203,0.0015761852264404297,0
Energy,poly_sketch,5,0.5,rademacher,False,False,False,False,True,True,97.77330017089844,1.4142135381698608,15.545831680297852,5.582616329193115,14.742340087890625,5.531705856323242,82.1286849975586,1173.0421142578125,0.20263050496578217,124.56685638427734,0.6425154805183411,0.021685713902115822,8,80,None,16.0,0.0030798912048339844,0.0015766620635986328,0
Energy,poly_sketch,5,0.5,rademacher,True,False,False,False,True,True,97.77330017089844,1.4142135381698608,20.180744171142578,5.87021017074585,14.742340087890625,5.531705856323242,82.1286849975586,4868.59375,0.840997576713562,1145.481201171875,4.159249782562256,0.014752266928553581,8,80,None,16.0,0.0037348270416259766,0.0011415481567382812,0
Energy,poly_sketch,5,0.5,srht,False,False,False,False,False,False,97.77330017089844,1.4142135381698608,21.631643295288086,5.9620184898376465,14.742340087890625,5.531705856323242,82.1286849975586,2274.72900390625,0.3929351568222046,3138.39990234375,11.038444519042969,0.039642222225666046,8,80,None,16.0,0.003439664840698242,0.0021936893463134766,0
Energy,poly_sketch,5,0.5,srht,True,False,False,False,False,False,97.77330017089844,1.4142135381698608,16.935779571533203,5.6680989265441895,14.742340087890625,5.531705856323242,82.1286849975586,3647.2216796875,0.6300185918807983,336.6280517578125,1.252781629562378,0.010129437781870365,8,80,None,16.0,0.003569364547729492,0.0015685558319091797,0
Energy,poly_sketch,5,0.5,srht,False,False,False,False,True,True,97.77330017089844,1.4142135381698608,18.012521743774414,5.734146595001221,14.742340087890625,5.531705856323242,82.1286849975586,3476.885009765625,0.6005947589874268,368.8293151855469,1.6410486698150635,0.008320767432451248,8,80,None,16.0,0.006281137466430664,0.0015854835510253906,0
Energy,poly_sketch,5,0.5,srht,True,False,False,False,True,True,97.77330017089844,1.4142135381698608,15.93066120147705,5.606868743896484,14.742340087890625,5.531705856323242,82.1286849975586,2244.63818359375,0.3877372741699219,92.23036193847656,0.5334259867668152,0.009124139323830605,8,80,None,16.0,0.010119199752807617,0.00113677978515625,0
Energy,poly_sketch,5,0.5,countsketch_scatter,False,False,False,False,False,False,97.77330017089844,1.4142135381698608,19.993885040283203,5.857931137084961,14.742340087890625,5.531705856323242,82.1286849975586,5232.11669921875,0.9037923216819763,1182.671142578125,4.6153717041015625,0.012019575573503971,8,80,None,16.0,0.003940582275390625,0.0016269683837890625,0
Energy,srf,5,0.5,gaussian,False,False,False,False,False,False,97.77330017089844,1.4142135381698608,15.366156578063965,5.570027828216553,14.742340087890625,5.531705856323242,82.1286849975586,891.7240600585938,0.1540358066558838,54.385990142822266,0.23293951153755188,0.0007302707526832819,24,80,None,16.0,0.0011715888977050781,0.0015702247619628906,0
Energy,srf,5,0.5,srht,False,False,False,False,False,False,97.77330017089844,1.4142135381698608,15.362818717956543,5.5695576667785645,14.742340087890625,5.531705856323242,82.1286849975586,597.103515625,0.10314325988292694,31.290082931518555,0.1797645390033722,0.0004750029183924198,24,80,None,16.0,0.0016829967498779297,0.0016391277313232422,0
Energy,srf,5,0.5,srht,True,False,False,False,False,False,97.77330017089844,1.4142135381698608,15.442037582397461,5.575135231018066,14.742340087890625,5.531705856323242,82.1286849975586,743.1363525390625,0.12836886942386627,65.1026840209961,0.24170060455799103,0.000738054804969579,24,80,None,16.0,0.002246856689453125,0.002147197723388672,0
Energy,maclaurin_p,5,0.5,rademacher,False,False,False,False,False,False,97.77330017089844,1.4142135381698608,19.008399963378906,5.795790672302246,14.742340087890625,5.531705856323242,82.1286849975586,3610.897216796875,0.6237439513206482,571.69189453125,2.2606990337371826,0.005861796438694,24,80,None,16.0,0.002581357955932617,0.0011620521545410156,0
Energy,maclaurin,5,0.5,rademacher,False,False,False,False,False,False,97.77330017089844,1.4142135381698608,16.726604461669922,5.6553449630737305,14.742340087890625,5.531705856323242,82.1286849975586,597.8264770507812,0.10326813906431198,400.2606506347656,1.3395544290542603,0.0019478260073810816,24,80,"[3, 8, 12]",16.0,0.0013360977172851562,0.0011701583862304688,0
Energy,maclaurin,5,0.5,rademacher,True,False,False,False,False,False,97.77330017089844,1.4142135381698608,17.059579849243164,5.675996780395508,14.742340087890625,5.531705856323242,82.1286849975586,1036.4765625,0.17904025316238403,380.1395568847656,1.3561369180679321,0.0034495368599891663,24,80,"[3, 9, 11]",16.0,0.001659393310546875,0.001186370849609375,0
Energy,maclaurin,5,0.5,srht,False,False,False,False,False,False,97.77330017089844,1.4142135381698608,17.00583267211914,5.672368049621582,14.742340087890625,5.531705856323242,82.1286849975586,1534.5198974609375,0.26507192850112915,440.1639404296875,1.481302261352539,0.003296694252640009,24,80,"[4, 8, 11]",16.0,0.0026531219482421875,0.0011589527130126953,0
Energy,maclaurin,5,0.5,srht,True,False,False,False,False,False,97.77330017089844,1.4142135381698608,14.629454612731934,5.525195598602295,14.742340087890625,5.531705856323242,82.1286849975586,1136.302490234375,0.19628411531448364,7.2541890144348145,0.031281936913728714,0.0017726593650877476,24,80,"[3, 7, 8, 5]",16.0,0.005283355712890625,0.0011630058288574219,0
Energy,poly_sketch,5,0.5,gaussian,False,False,False,False,False,False,97.77330017089844,1.4142135381698608,17.13313865661621,5.6807708740234375,14.742340087890625,5.531705856323242,82.1286849975586,4673.42724609375,0.8072846531867981,221.38516235351562,0.820745587348938,0.009316873736679554,24,80,None,16.0,0.0014183521270751953,0.0019483566284179688,0
