dataset,method,degree,bias,proj,comp,comp_real,craft,full_cov,ahle,tree,kernel_var,kernel_len,test_error,test_mnll,test_error_ref,test_mnll_ref,test_label_var,k_frob_error,k_rel_frob_error,test_kl,test_mean_mse,test_var_mse,D,E,feature_dist,noise_var,feature_time,pred_time,seed
MNIST,srf,5,0.5,gaussian,False,False,False,False,False,False,9.027410507202148,1.4142135381698608,0.048499997705221176,0.15333563089370728,0.033000051975250244,0,0.09000000357627869,1451.6893310546875,0.15253065526485443,2997.277099609375,1.9451888799667358,2.640048027038574,1024,10240,None,0.001,0.020044803619384766,0.5473904609680176,0
MNIST,srf,5,0.5,srht,False,False,False,False,False,False,9.027410507202148,1.4142135381698608,0.047599997371435165,0.14993542432785034,0.033000051975250244,0,0.09000000357627869,1356.5419921875,0.14253340661525726,2913.818359375,1.8904191255569458,2.627917528152466,1024,10240,None,0.001,0.026804685592651367,0.5474576950073242,0
MNIST,srf,5,0.5,srht,True,False,False,False,False,False,9.027410507202148,1.4142135381698608,0.03720000013709068,0.11967851221561432,0.033000051975250244,0,0.09000000357627869,1474.1094970703125,0.1548863649368286,2010.7080078125,1.0703721046447754,2.627261161804199,1024,10240,None,0.001,0.03354167938232422,0.5781002044677734,0
MNIST,maclaurin_p,5,0.5,rademacher,False,False,False,False,False,False,9.027410507202148,1.4142135381698608,0.051899999380111694,0.1644660383462906,0.033000051975250244,0,0.09000000357627869,2462.72021484375,0.25876080989837646,4063.48095703125,1.9750391244888306,3.982753276824951,1024,10240,None,0.001,0.05178952217102051,0.5483765602111816,0
MNIST,maclaurin,5,0.5,rademacher,False,False,False,False,False,False,9.027410507202148,1.4142135381698608,0.0405999980866909,0.1278880387544632,0.033000051975250244,0,0.09000000357627869,1548.3773193359375,0.16268977522850037,2973.254638671875,1.4847596883773804,3.2906863689422607,1024,10240,"[158, 392, 473]",0.001,0.046712398529052734,0.548978328704834,0
MNIST,maclaurin,5,0.5,rademacher,True,False,False,False,False,False,9.027410507202148,1.4142135381698608,0.03399999812245369,0.10823405534029007,0.033000051975250244,0,0.09000000357627869,1485.07177734375,0.15603817999362946,2240.891845703125,0.838776707649231,3.2716941833496094,1024,10240,"[174, 403, 446]",0.001,0.13904881477355957,0.5798904895782471,0
MNIST,maclaurin,5,0.5,srht,False,False,False,False,False,False,9.027410507202148,1.4142135381698608,0.04259999841451645,0.13418720662593842,0.033000051975250244,0,0.09000000357627869,1594.1590576171875,0.1675001084804535,2903.71875,1.4402810335159302,3.2672204971313477,1024,10240,"[158, 392, 473]",0.001,0.04392194747924805,0.549752950668335,0
MNIST,maclaurin,5,0.5,srht,True,False,False,False,False,False,9.027410507202148,1.4142135381698608,0.03619999811053276,0.11075889319181442,0.033000051975250244,0,0.09000000357627869,1390.6905517578125,0.14612144231796265,2279.254150390625,0.8749409317970276,3.25693678855896,1024,10240,"[174, 403, 446]",0.001,0.10238027572631836,0.5835235118865967,0
MNIST,poly_sketch,5,0.5,gaussian,False,False,False,False,False,False,9.027410507202148,1.4142135381698608,0.055399999022483826,0.18175570666790009,0.033000051975250244,0,0.09000000357627869,4994.22802734375,0.524749219417572,4338.9970703125,2.3501834869384766,3.8330962657928467,1024,10240,None,0.001,0.07811641693115234,0.5516440868377686,0
MNIST,poly_sketch,5,0.5,gaussian,True,False,False,False,False,False,9.027410507202148,1.4142135381698608,0.03869999945163727,0.12298762053251266,0.033000051975250244,0,0.09000000357627869,6524.31591796875,0.6855173110961914,2670.123779296875,1.163989543914795,3.419553279876709,1024,10240,None,0.001,0.2660036087036133,0.5826690196990967,0
MNIST,poly_sketch,5,0.5,rademacher,False,False,False,False,False,False,9.027410507202148,1.4142135381698608,0.053599998354911804,0.16744056344032288,0.033000051975250244,0,0.09000000357627869,3096.619873046875,0.3253653645515442,3700.916015625,2.0176007747650146,3.460049867630005,1024,10240,None,0.001,0.07388830184936523,0.5495929718017578,0
MNIST,poly_sketch,5,0.5,rademacher,True,False,False,False,False,False,9.027410507202148,1.4142135381698608,0.03819999843835831,0.11932104080915451,0.033000051975250244,0,0.09000000357627869,2253.45654296875,0.23677325248718262,2305.130126953125,1.0345739126205444,3.0655860900878906,1024,10240,None,0.001,0.25615453720092773,0.5867025852203369,0
MNIST,poly_sketch,5,0.5,rademacher,False,False,False,False,True,True,9.027410507202148,1.4142135381698608,0.04559999704360962,0.14960746467113495,0.033000051975250244,0,0.09000000357627869,2812.7421875,0.2955380380153656,3922.05322265625,2.0776686668395996,3.7568929195404053,1024,10240,None,0.001,0.18277525901794434,0.547555685043335,0
MNIST,poly_sketch,5,0.5,rademacher,True,False,False,False,True,True,9.027410507202148,1.4142135381698608,0.03889999911189079,0.1201561838388443,0.033000051975250244,0,0.09000000357627869,2653.73681640625,0.2788311541080475,2984.99951171875,1.2336539030075073,3.738996744155884,1024,10240,None,0.001,0.6214120388031006,0.5827236175537109,0
MNIST,poly_sketch,5,0.5,srht,False,False,False,False,False,False,9.027410507202148,1.4142135381698608,0.05069999769330025,0.16233353316783905,0.033000051975250244,0,0.09000000357627869,3234.885986328125,0.3398931622505188,3587.337646484375,1.9680721759796143,3.375927209854126,1024,10240,None,0.001,0.039276123046875,0.5508356094360352,0
MNIST,poly_sketch,5,0.5,srht,True,False,False,False,False,False,9.027410507202148,1.4142135381698608,0.03539999946951866,0.11423730105161667,0.033000051975250244,0,0.09000000357627869,2240.31298828125,0.2353922426700592,2303.535888671875,1.0224682092666626,3.0765931606292725,1024,10240,None,0.001,0.08925843238830566,0.585059404373169,0
MNIST,poly_sketch,5,0.5,srht,False,False,False,False,True,True,9.027410507202148,1.4142135381698608,0.044599998742341995,0.14649851620197296,0.033000051975250244,0,0.09000000357627869,2268.263427734375,0.23832902312278748,2982.80859375,1.7742712497711182,2.950392723083496,1024,10240,None,0.001,0.09013962745666504,0.5475258827209473,0
MNIST,poly_sketch,5,0.5,srht,True,False,False,False,True,True,9.027410507202148,1.4142135381698608,0.03669999912381172,0.11600368469953537,0.033000051975250244,0,0.09000000357627869,1798.0023193359375,0.18891815841197968,2070.597412109375,0.963013231754303,2.8509392738342285,1024,10240,None,0.001,0.21245479583740234,0.5834300518035889,0
MNIST,poly_sketch,5,0.5,countsketch_scatter,False,False,False,False,False,False,9.027410507202148,1.4142135381698608,0.04339999705553055,0.14410236477851868,0.033000051975250244,0,0.09000000357627869,2657.94970703125,0.2792738080024719,3240.740966796875,1.8300148248672485,3.151153326034546,1024,10240,None,0.001,0.0465540885925293,0.5488057136535645,0
MNIST,srf,5,0.5,gaussian,False,False,False,False,False,False,9.027410507202148,1.4142135381698608,0.02850000001490116,0.09378243237733841,0.033000051975250244,0,0.09000000357627869,1028.5535888671875,0.10807129740715027,924.8406372070312,0.7742730379104614,0.49731507897377014,3072,10240,None,0.001,0.045873403549194336,4.583760023117065,0
