D,alpha,bias,comp,dataset,degree,dist_est_time,dummy_error,dummy_mnll,est_len,feature_dist,hier,k_mean_error,k_mean_rel_error,k_mse,k_rel_frob_error,k_rel_frob_error_comp,kernel_len,kernel_var,method,pred_time,proj,seed,test_error,test_kl,test_label_var,test_mean_mse,test_mnll,test_var_mse
16.0,0.1,0.875,0.0,Magic,7.0,1.1920928955078125e-06,0.36330175399780273,0.6556615829467773,2.82842712474619,None,0.0,0.441791296005249,0.4545348882675171,0.29287582635879517,0.41482892632484436,0.0,2.8284270763397217,2.679077625274658,maclaurin_p,0.0984489917755127,rademacher,0.0,0.22292321920394897,19594.96484375,0.25,0.5300225019454956,0.4789303243160248,0.0012569599784910679
16.0,0.1,0.875,0.0,Magic,7.0,9.5367431640625e-07,0.36330175399780273,0.6556615829467773,2.82842712474619,None,0.0,0.39763110876083374,0.4480566680431366,0.27525535225868225,0.4021565318107605,0.0,2.8284270763397217,2.679077625274658,maclaurin_p,0.07350492477416992,srht,0.0,0.22029441595077515,17938.435546875,0.25,0.5263862013816833,0.47896215319633484,0.0012645833194255829
16.0,0.1,0.875,0.0,Magic,7.0,9.5367431640625e-07,0.36330175399780273,0.6556615829467773,2.82842712474619,None,0.0,0.3380531072616577,0.36951038241386414,0.18688204884529114,0.3313683569431305,0.0,2.8284270763397217,2.679077625274658,srf,0.04967904090881348,gaussian,0.0,0.2108306884765625,15756.478515625,0.25,0.49184325337409973,0.4581010341644287,0.0012502006720751524
16.0,0.1,0.875,1.0,Magic,7.0,1.1920928955078125e-06,0.36330175399780273,0.6556615829467773,2.82842712474619,None,0.0,0.24255356192588806,0.26452013850212097,0.09562411904335022,0.23703418672084808,0.33672431111335754,2.8284270763397217,2.679077625274658,srf,0.06728935241699219,gaussian,0.0,0.1855940967798233,12177.7724609375,0.25,0.3613089621067047,0.43117329478263855,0.0012534880079329014
16.0,0.1,0.875,0.0,Magic,7.0,1.1920928955078125e-06,0.36330175399780273,0.6556615829467773,2.82842712474619,None,0.0,0.3257688581943512,0.3967440128326416,0.18253959715366364,0.32749587297439575,0.0,2.8284270763397217,2.679077625274658,srf,0.05646967887878418,srht,0.0,0.2024184912443161,15265.732421875,0.25,0.46410778164863586,0.45911258459091187,0.0012465337058529258
16.0,0.1,0.875,1.0,Magic,7.0,1.1920928955078125e-06,0.36330175399780273,0.6556615829467773,2.82842712474619,None,0.0,0.15030547976493835,0.18943487107753754,0.04676385968923569,0.16576102375984192,0.43542641401290894,2.8284270763397217,2.679077625274658,srf,0.1094369888305664,srht,0.0,0.19085171818733215,13458.4208984375,0.25,0.43098148703575134,0.43729379773139954,0.0012543376069515944
16.0,0.1,0.875,0.0,Magic,7.0,0.16750311851501465,0.36330175399780273,0.6556615829467773,2.82842712474619,"[10, 5]",0.0,0.3702865242958069,0.39569252729415894,0.2291971743106842,0.36697113513946533,0.0,2.8284270763397217,2.679077625274658,maclaurin,0.10363340377807617,rademacher,0.0,0.2003154456615448,15826.328125,0.25,0.44204437732696533,0.4531279504299164,0.001274082693271339
16.0,0.1,0.875,1.0,Magic,7.0,0.16599345207214355,0.36330175399780273,0.6556615829467773,2.82842712474619,"[10, 5]",0.0,0.17867696285247803,0.1938035488128662,0.051821574568748474,0.17449483275413513,0.24493007361888885,2.8284270763397217,2.679077625274658,maclaurin,0.15041184425354004,rademacher,0.0,0.1876971572637558,11910.7490234375,0.25,0.33579158782958984,0.4174506664276123,0.0012428724439814687
16.0,0.1,0.875,0.0,Magic,7.0,0.20330071449279785,0.36330175399780273,0.6556615829467773,2.82842712474619,"[10, 5]",0.0,0.27287954092025757,0.3164539337158203,0.13878898322582245,0.2855648398399353,0.0,2.8284270763397217,2.679077625274658,maclaurin,0.10944461822509766,srht,0.0,0.18611986935138702,15437.001953125,0.25,0.42836299538612366,0.44859635829925537,0.0012554842978715897
16.0,0.1,0.875,1.0,Magic,7.0,0.18915557861328125,0.36330175399780273,0.6556615829467773,2.82842712474619,"[10, 5]",0.0,0.19142384827136993,0.176561638712883,0.05863874778151512,0.18561778962612152,0.21208497881889343,2.8284270763397217,2.679077625274658,maclaurin,0.15659427642822266,srht,0.0,0.18506833910942078,13873.1416015625,0.25,0.3688993453979492,0.4294918477535248,0.0012486682971939445
