dataset,method,degree,bias,proj,comp,comp_real,craft,full_cov,ahle,tree,kernel_var,kernel_len,test_error,test_mnll,test_error_ref,test_mnll_ref,test_label_var,k_frob_error,k_rel_frob_error,test_kl,test_mean_mse,test_var_mse,D,E,feature_dist,noise_var,feature_time,pred_time,seed
Adult,srf,7,0.5,gaussian,False,False,False,False,False,False,0.2556588053703308,1.4142135381698608,0.2131318747997284,0.5850008726119995,0.22039997577667236,0,0.25,7.8882670402526855,0.006213571410626173,50.39747619628906,2.3034594050841406e-05,3.192621989001054e-08,128,1280,None,1.0,0.038716793060302734,0.5852410793304443,0
Adult,srf,7,0.5,srht,False,False,False,False,False,False,0.2556588053703308,1.4142135381698608,0.21264049410820007,0.5842288136482239,0.22039997577667236,0,0.25,4.455495357513428,0.0035095843486487865,40.05887222290039,2.776051769615151e-05,2.2639843777483293e-08,128,1280,None,1.0,0.16456818580627441,0.5602297782897949,0
Adult,maclaurin_p,7,0.5,rademacher,False,False,False,False,False,False,0.2556588053703308,1.4142135381698608,0.2125176638364792,0.5841770768165588,0.22039997577667236,0,0.25,173.1226806640625,0.13636837899684906,107.05415344238281,5.3328549256548285e-05,5.465227914669413e-08,128,1280,None,1.0,0.0608220100402832,0.551959753036499,0
Adult,maclaurin,7,0.5,rademacher,False,False,False,False,False,False,0.2556588053703308,1.4142135381698608,0.2130090296268463,0.5849207043647766,0.22039997577667236,0,0.25,21.741600036621094,0.0171258132904768,50.951148986816406,3.9399932575179264e-05,7.124086209842062e-08,128,1280,"[5, 18, 34, 37, 24, 8, 1]",1.0,0.08802413940429688,0.5505630970001221,0
Adult,maclaurin,7,0.5,rademacher,True,False,False,False,False,False,0.2556588053703308,1.4142135381698608,0.21325471997261047,0.5849727392196655,0.22039997577667236,0,0.25,8.596302032470703,0.006771289277821779,9.026334762573242,6.491774456662824e-06,1.557908824167953e-08,128,1280,"[5, 18, 34, 37, 24, 8, 1]",1.0,0.6464428901672363,0.574146032333374,0
Adult,maclaurin,7,0.5,srht,False,False,False,False,False,False,0.2556588053703308,1.4142135381698608,0.21386893093585968,0.5854684114456177,0.22039997577667236,0,0.25,16.873817443847656,0.01329147070646286,58.7525634765625,3.896664202329703e-05,1.0847271525449287e-08,128,1280,"[5, 18, 34, 37, 24, 8, 1]",1.0,1.2105379104614258,0.5606532096862793,0
Adult,maclaurin,7,0.5,srht,True,False,False,False,False,False,0.2556588053703308,1.4142135381698608,0.21325471997261047,0.5849209427833557,0.22039997577667236,0,0.25,4.8202996253967285,0.0037969399709254503,5.31833028793335,7.930018000479322e-06,8.756568803391929e-09,128,1280,"[5, 18, 34, 37, 24, 8, 1]",1.0,2.4016287326812744,0.5635900497436523,0
Adult,poly_sketch,7,0.5,gaussian,False,False,False,False,False,False,0.2556588053703308,1.4142135381698608,0.21534304320812225,0.5863087773323059,0.22039997577667236,0,0.25,1063.297607421875,0.837557315826416,405.258544921875,0.001205063657835126,4.533868832368171e-06,128,1280,None,1.0,0.0544581413269043,0.5752918720245361,0
Adult,poly_sketch,7,0.5,rademacher,False,False,False,False,True,True,0.2556588053703308,1.4142135381698608,0.2134389728307724,0.5849620699882507,0.22039997577667236,0,0.25,924.0602416992188,0.7278802990913391,28.264583587646484,1.377110766043188e-05,5.7834920852428695e-08,128,1280,None,1.0,0.10347700119018555,0.5842940807342529,0
Adult,poly_sketch,7,0.5,srht,False,False,False,False,False,False,0.2556588053703308,1.4142135381698608,0.22320495545864105,0.5215064883232117,0.22039997577667236,0,0.25,1269.458984375,0.9999501705169678,2744226.5,0.1326746642589569,3.684490081923286e-07,128,1280,None,1.0,0.2839479446411133,0.5857679843902588,0
Adult,poly_sketch,7,0.5,srht,False,False,False,False,True,True,0.2556588053703308,1.4142135381698608,0.21350039541721344,0.5853165984153748,0.22039997577667236,0,0.25,369.13580322265625,0.29076749086380005,44.375648498535156,1.7992433640756644e-05,5.031681027389823e-08,128,1280,None,1.0,0.5592281818389893,0.5743229389190674,0
Adult,poly_sketch,7,0.5,countsketch_scatter,False,False,False,False,False,False,0.2556588053703308,1.4142135381698608,0.2133161425590515,0.5846980214118958,0.22039997577667236,0,0.25,292.84197998046875,0.2306710183620453,300.01068115234375,0.00011250354145886377,4.952043397565831e-08,128,1280,None,1.0,0.13729619979858398,0.568382978439331,0
Adult,srf,7,0.5,gaussian,False,False,False,False,False,False,0.2556588053703308,1.4142135381698608,0.21264049410820007,0.5841565728187561,0.22039997577667236,0,0.25,7.887051582336426,0.006212614011019468,49.5361328125,2.7963491447735578e-05,2.643470153884664e-08,384,1280,None,1.0,0.0566401481628418,0.9720041751861572,0
Adult,srf,7,0.5,srht,False,False,False,False,False,False,0.2556588053703308,1.4142135381698608,0.2127019166946411,0.5843088626861572,0.22039997577667236,0,0.25,12.282588958740234,0.00967497006058693,37.4011344909668,1.4959190593799576e-05,1.5240953388229173e-08,384,1280,None,1.0,0.28422999382019043,0.9718329906463623,0
Adult,srf,7,0.5,srht,True,False,False,False,False,False,0.2556588053703308,1.4142135381698608,0.21264049410820007,0.5841272473335266,0.22039997577667236,0,0.25,7.62492561340332,0.0060061379335820675,31.41036605834961,1.2856608918809798e-05,1.0756002311040902e-08,384,1280,None,1.0,0.4559319019317627,0.977625846862793,0
Adult,maclaurin_p,7,0.5,rademacher,False,False,False,False,False,False,0.2556588053703308,1.4142135381698608,0.21202628314495087,0.5836690068244934,0.22039997577667236,0,0.25,239.64508056640625,0.1887679249048233,107.21111297607422,4.333368633524515e-05,7.498047693843546e-08,384,1280,None,1.0,0.13849115371704102,0.9688918590545654,0
