dataset,method,degree,bias,proj,comp,comp_real,craft,full_cov,ahle,tree,kernel_var,kernel_len,test_error,test_mnll,test_error_ref,test_mnll_ref,test_label_var,k_frob_error,k_rel_frob_error,test_kl,test_mean_mse,test_var_mse,D,E,feature_dist,noise_var,feature_time,pred_time,seed
Adult,srf,7,0.5,gaussian,False,False,False,False,False,False,22.43292808532715,1.4142135381698608,0.21712425351142883,0.5608062744140625,0.1794000267982483,0,0.25,10011.404296875,1.4990687370300293,21082.2578125,11.794842720031738,39.97397994995117,128,1280,None,0.001,0.03705883026123047,0.5598740577697754,0
Adult,srf,7,0.5,srht,False,False,False,False,False,False,22.43292808532715,1.4142135381698608,0.20324304699897766,0.5159462690353394,0.1794000267982483,0,0.25,9870.8017578125,1.4780155420303345,19090.33984375,10.547865867614746,39.969966888427734,128,1280,None,0.001,0.12726187705993652,0.5505890846252441,0
Adult,srf,7,0.5,srht,True,False,False,False,False,False,22.43292808532715,1.4142135381698608,0.1889318823814392,0.46368208527565,0.1794000267982483,0,0.25,9916.083984375,1.4847959280014038,17816.16796875,9.563748359680176,39.971588134765625,128,1280,None,0.001,0.1678011417388916,0.5520799160003662,0
Adult,maclaurin_p,7,0.5,rademacher,False,False,False,False,False,False,22.43292808532715,1.4142135381698608,0.16012530028820038,0.39369961619377136,0.1794000267982483,0,0.25,22990.833984375,3.4425582885742188,14825.3310546875,6.936153888702393,39.93906021118164,128,1280,None,0.001,0.06582975387573242,0.5556960105895996,0
Adult,maclaurin,7,0.5,rademacher,False,False,False,False,False,False,22.43292808532715,1.4142135381698608,0.16915422677993774,0.43550905585289,0.1794000267982483,0,0.25,4932.22607421875,0.7385323643684387,15392.94921875,7.759977340698242,39.910213470458984,128,1280,"[31, 96]",0.001,0.03390622138977051,0.5656201839447021,0
Adult,maclaurin,7,0.5,rademacher,True,False,False,False,False,False,22.43292808532715,1.4142135381698608,0.1639334261417389,0.4079953134059906,0.1794000267982483,0,0.25,4834.5927734375,0.7239131331443787,14670.896484375,7.264826774597168,39.91176986694336,128,1280,"[31, 96]",0.001,0.10788202285766602,0.581916093826294,0
Adult,maclaurin,7,0.5,srht,False,False,False,False,False,False,22.43292808532715,1.4142135381698608,0.1759105771780014,0.4427896738052368,0.1794000267982483,0,0.25,4861.7294921875,0.7279765009880066,15369.64453125,7.595215797424316,39.90657043457031,128,1280,"[31, 96]",0.001,0.14733195304870605,0.5724411010742188,0
Adult,maclaurin,7,0.5,srht,True,False,False,False,False,False,22.43292808532715,1.4142135381698608,0.16344204545021057,0.4064072370529175,0.1794000267982483,0,0.25,4823.58251953125,0.7222645282745361,14490.66015625,7.219532012939453,39.91407012939453,128,1280,"[31, 96]",0.001,0.2832331657409668,0.5724070072174072,0
Adult,poly_sketch,7,0.5,gaussian,False,False,False,False,False,False,22.43292808532715,1.4142135381698608,0.26288312673568726,0.6398186087608337,0.1794000267982483,0,0.25,31823.498046875,4.765127182006836,30795.1484375,13.352215766906738,39.92921829223633,128,1280,None,0.001,0.04732108116149902,0.5556910037994385,0
Adult,poly_sketch,7,0.5,gaussian,True,False,False,False,False,False,22.43292808532715,1.4142135381698608,0.22271358966827393,0.5148035287857056,0.1794000267982483,0,0.25,16336.353515625,2.4461421966552734,24365.875,10.720162391662598,39.92928695678711,128,1280,None,0.001,0.28722500801086426,0.5607969760894775,0
Adult,poly_sketch,7,0.5,rademacher,False,False,False,False,False,False,22.43292808532715,1.4142135381698608,0.23014557361602783,0.5801673531532288,0.1794000267982483,0,0.25,17970.392578125,2.690816879272461,25801.46875,12.234514236450195,39.84047317504883,128,1280,None,0.001,0.06462311744689941,0.5696840286254883,0
Adult,poly_sketch,7,0.5,rademacher,True,False,False,False,False,False,22.43292808532715,1.4142135381698608,0.19292426109313965,0.4563588500022888,0.1794000267982483,0,0.25,12365.029296875,1.8514914512634277,19324.58203125,9.72977066040039,39.91794204711914,128,1280,None,0.001,0.3436777591705322,0.5612280368804932,0
Adult,poly_sketch,7,0.5,rademacher,False,False,False,False,True,True,22.43292808532715,1.4142135381698608,0.2488790601491928,0.626251757144928,0.1794000267982483,0,0.25,15234.322265625,2.281128168106079,25254.8125,11.611221313476562,39.96467971801758,128,1280,None,0.001,0.10857415199279785,0.549185037612915,0
Adult,poly_sketch,7,0.5,rademacher,True,False,False,False,True,True,22.43292808532715,1.4142135381698608,0.20428720116615295,0.48465391993522644,0.1794000267982483,0,0.25,15326.572265625,2.2949414253234863,21524.88671875,10.13292407989502,39.99394607543945,128,1280,None,0.001,0.4801352024078369,0.5819950103759766,0
Adult,poly_sketch,7,0.5,srht,False,False,False,False,False,False,22.43292808532715,1.4142135381698608,0.22369633615016937,0.5364782214164734,0.1794000267982483,0,0.25,17315.6953125,2.592784881591797,25263.240234375,12.1199369430542,39.80477523803711,128,1280,None,0.001,0.28584885597229004,0.5792770385742188,0
Adult,poly_sketch,7,0.5,srht,True,False,False,False,False,False,22.43292808532715,1.4142135381698608,0.20250599086284637,0.4781140983104706,0.1794000267982483,0,0.25,11109.93359375,1.6635582447052002,19611.953125,9.859951972961426,39.91827392578125,128,1280,None,0.001,0.7247600555419922,0.5656487941741943,0
Adult,poly_sketch,7,0.5,srht,False,False,False,False,True,True,22.43292808532715,1.4142135381698608,0.23260241746902466,0.5956250429153442,0.1794000267982483,0,0.25,11065.115234375,1.656847357749939,24711.3515625,11.658498764038086,39.9484977722168,128,1280,None,0.001,0.6204509735107422,0.555809736251831,0
Adult,poly_sketch,7,0.5,srht,True,False,False,False,True,True,22.43292808532715,1.4142135381698608,0.19796080887317657,0.4770936667919159,0.1794000267982483,0,0.25,10210.1181640625,1.5288233757019043,19568.26953125,9.703470230102539,39.972389221191406,128,1280,None,0.001,1.4545042514801025,0.5691089630126953,0
