dataset,method,degree,bias,proj,comp,comp_real,craft,full_cov,ahle,tree,kernel_var,kernel_len,test_error,test_mnll,test_error_ref,test_mnll_ref,test_label_var,k_frob_error,k_rel_frob_error,test_kl,test_mean_mse,test_var_mse,D,E,feature_dist,noise_var,feature_time,pred_time,seed
Covertype,srf,7,0.5,gaussian,False,False,False,False,False,False,9.553133964538574,1.4142135381698608,0.38873016834259033,1.071914553642273,0.23739999532699585,0,0.12244897335767746,6101.6103515625,1.1675481796264648,28667.18359375,5.77011775970459,0.8961297869682312,64,640,None,0.001,0.02636265754699707,0.08235383033752441,0
Covertype,srf,7,0.5,srht,False,False,False,False,False,False,9.553133964538574,1.4142135381698608,0.3948056995868683,1.100941777229309,0.23739999532699585,0,0.12244897335767746,5871.22900390625,1.123464584350586,28173.73046875,5.524714469909668,0.8949748873710632,64,640,None,0.001,0.057335853576660156,0.07687783241271973,0
Covertype,srf,7,0.5,srht,True,False,False,False,False,False,9.553133964538574,1.4142135381698608,0.3513992726802826,0.9107663631439209,0.23739999532699585,0,0.12244897335767746,5978.8056640625,1.1440494060516357,21001.677734375,4.10747766494751,0.8939359188079834,64,640,None,0.001,0.058661699295043945,0.07756805419921875,0
Covertype,maclaurin_p,7,0.5,rademacher,False,False,False,False,False,False,9.553133964538574,1.4142135381698608,0.3185260593891144,0.8736815452575684,0.23739999532699585,0,0.12244897335767746,10547.6396484375,2.0182995796203613,19135.076171875,3.9607393741607666,0.905126690864563,64,640,None,0.001,0.16179943084716797,0.07403850555419922,0
Covertype,maclaurin,7,0.5,rademacher,False,False,False,False,False,False,9.553133964538574,1.4142135381698608,0.3465285301208496,0.9110275506973267,0.23739999532699585,0,0.12244897335767746,3781.658935546875,0.7236235737800598,21734.005859375,4.72858190536499,0.8956101536750793,64,640,"[6, 21, 36]",0.001,0.0805208683013916,0.07626104354858398,0
Covertype,maclaurin,7,0.5,rademacher,True,False,False,False,False,False,9.553133964538574,1.4142135381698608,0.3360641896724701,0.8494037389755249,0.23739999532699585,0,0.12244897335767746,3655.5234375,0.6994874477386475,18818.34375,3.9725871086120605,0.8933473229408264,64,640,"[7, 21, 35]",0.001,0.09209227561950684,0.07518172264099121,0
Covertype,maclaurin,7,0.5,srht,False,False,False,False,False,False,9.553133964538574,1.4142135381698608,0.3557020425796509,0.9405604600906372,0.23739999532699585,0,0.12244897335767746,3802.898681640625,0.7276878356933594,21648.5390625,4.765156269073486,0.8948248028755188,64,640,"[7, 20, 36]",0.001,0.14686894416809082,0.07460713386535645,0
Covertype,maclaurin,7,0.5,srht,True,False,False,False,False,False,9.553133964538574,1.4142135381698608,0.332019567489624,0.8431715369224548,0.23739999532699585,0,0.12244897335767746,3631.066162109375,0.6948075294494629,19065.69140625,3.984393835067749,0.8933188319206238,64,640,"[7, 21, 35]",0.001,0.22086858749389648,0.07470703125,0
Covertype,poly_sketch,7,0.5,gaussian,False,False,False,False,False,False,9.553133964538574,1.4142135381698608,0.4192110598087311,1.2368578910827637,0.23739999532699585,0,0.12244897335767746,7349.9921875,1.4064271450042725,43216.21875,7.040206432342529,0.9049603939056396,64,640,None,0.001,0.04347705841064453,0.07900857925415039,0
Covertype,poly_sketch,7,0.5,gaussian,True,False,False,False,False,False,9.553133964538574,1.4142135381698608,0.3842036724090576,1.0095559358596802,0.23739999532699585,0,0.12244897335767746,8242.3486328125,1.57718026638031,27692.6953125,4.5884504318237305,0.8975697755813599,64,640,None,0.001,0.05164647102355957,0.08031702041625977,0
Covertype,poly_sketch,7,0.5,rademacher,False,False,False,False,False,False,9.553133964538574,1.4142135381698608,0.4282296895980835,1.1431692838668823,0.23739999532699585,0,0.12244897335767746,16762.05078125,3.207432270050049,42667.17578125,6.799524307250977,0.8884214162826538,64,640,None,0.001,0.04197096824645996,0.08014655113220215,0
Covertype,poly_sketch,7,0.5,rademacher,True,False,False,False,False,False,9.553133964538574,1.4142135381698608,0.3697807490825653,0.9697161316871643,0.23739999532699585,0,0.12244897335767746,6979.65234375,1.3355622291564941,25754.380859375,4.4715399742126465,0.8920103907585144,64,640,None,0.001,0.05173468589782715,0.08104729652404785,0
Covertype,poly_sketch,7,0.5,rademacher,False,False,False,False,True,True,9.553133964538574,1.4142135381698608,0.4035489559173584,1.109166145324707,0.23739999532699585,0,0.12244897335767746,12512.62109375,2.3943004608154297,34025.85546875,6.296957492828369,0.9066474437713623,64,640,None,0.001,0.10408425331115723,0.07345128059387207,0
Covertype,poly_sketch,7,0.5,rademacher,True,False,False,False,True,True,9.553133964538574,1.4142135381698608,0.35549551248550415,0.9154964685440063,0.23739999532699585,0,0.12244897335767746,7933.208984375,1.5180261135101318,22852.177734375,4.021856307983398,0.9052861332893372,64,640,None,0.001,0.11104917526245117,0.07550907135009766,0
Covertype,poly_sketch,7,0.5,srht,False,False,False,False,False,False,9.553133964538574,1.4142135381698608,0.42134523391723633,1.1306869983673096,0.23739999532699585,0,0.12244897335767746,10455.111328125,2.000594139099121,39557.78125,6.782180309295654,0.8899068832397461,64,640,None,0.001,0.13103723526000977,0.07469701766967773,0
Covertype,poly_sketch,7,0.5,srht,True,False,False,False,False,False,9.553133964538574,1.4142135381698608,0.3558913767337799,0.9112094044685364,0.23739999532699585,0,0.12244897335767746,8084.25439453125,1.5469287633895874,23541.033203125,4.138715744018555,0.8926622271537781,64,640,None,0.001,0.20188450813293457,0.07523274421691895,0
Covertype,poly_sketch,7,0.5,srht,False,False,False,False,True,True,9.553133964538574,1.4142135381698608,0.41220614314079285,1.1184133291244507,0.23739999532699585,0,0.12244897335767746,7189.18115234375,1.3756557703018188,29358.31640625,5.314424514770508,0.8963210582733154,64,640,None,0.001,0.2743406295776367,0.07316470146179199,0
Covertype,poly_sketch,7,0.5,srht,True,False,False,False,True,True,9.553133964538574,1.4142135381698608,0.35713058710098267,0.9419299364089966,0.23739999532699585,0,0.12244897335767746,6410.998046875,1.2267497777938843,22484.04296875,3.9358410835266113,0.894676685333252,64,640,None,0.001,0.3978745937347412,0.07489132881164551,0
Covertype,poly_sketch,7,0.5,countsketch_scatter,False,False,False,False,False,False,9.553133964538574,1.4142135381698608,0.3857182264328003,1.095096468925476,0.23739999532699585,0,0.12244897335767746,6692.96533203125,1.2807044982910156,30729.08984375,5.697834014892578,0.8968670964241028,64,640,None,0.001,0.10650348663330078,0.07641124725341797,0
Covertype,srf,7,0.5,gaussian,False,False,False,False,False,False,9.553133964538574,1.4142135381698608,0.30129772424697876,0.8052154183387756,0.23739999532699585,0,0.12244897335767746,3563.259521484375,0.6818326711654663,11991.9443359375,2.7021677494049072,0.6643926501274109,192,640,None,0.001,0.033318519592285156,0.2552471160888672,0
Covertype,srf,7,0.5,srht,False,False,False,False,False,False,9.553133964538574,1.4142135381698608,0.3182162642478943,0.8286412358283997,0.23739999532699585,0,0.12244897335767746,3308.24560546875,0.6330355405807495,13499.322265625,3.0974135398864746,0.6616564393043518,192,640,None,0.001,0.06077408790588379,0.25417304039001465,0
Covertype,srf,7,0.5,srht,True,False,False,False,False,False,9.553133964538574,1.4142135381698608,0.29221025109291077,0.7588742971420288,0.23739999532699585,0,0.12244897335767746,3394.744384765625,0.6495871543884277,10959.91015625,2.4121451377868652,0.6638147234916687,192,640,None,0.001,0.07724404335021973,0.2806680202484131,0
Covertype,maclaurin_p,7,0.5,rademacher,False,False,False,False,False,False,9.553133964538574,1.4142135381698608,0.28088533878326416,0.7681954503059387,0.23739999532699585,0,0.12244897335767746,6343.6513671875,1.2138630151748657,11959.50390625,2.4114694595336914,0.8022268414497375,192,640,None,0.001,0.20740056037902832,0.25482821464538574,0
Covertype,maclaurin,7,0.5,rademacher,False,False,False,False,False,False,9.553133964538574,1.4142135381698608,0.27921587228775024,0.7565780282020569,0.23739999532699585,0,0.12244897335767746,2779.589111328125,0.5318766832351685,10224.41015625,2.187807321548462,0.6982973217964172,192,640,"[20, 62, 109]",0.001,0.08026289939880371,0.2574920654296875,0
Covertype,maclaurin,7,0.5,rademacher,True,False,False,False,False,False,9.553133964538574,1.4142135381698608,0.2703177332878113,0.727686882019043,0.23739999532699585,0,0.12244897335767746,2827.222412109375,0.5409913659095764,9209.65234375,1.9241786003112793,0.69977867603302,192,640,"[20, 63, 108]",0.001,0.10099601745605469,0.29302191734313965,0
Covertype,maclaurin,7,0.5,srht,False,False,False,False,False,False,9.553133964538574,1.4142135381698608,0.2796633541584015,0.7628829479217529,0.23739999532699585,0,0.12244897335767746,2759.979248046875,0.5281243324279785,10295.0703125,2.208625078201294,0.693933367729187,192,640,"[20, 63, 108]",0.001,0.1628720760345459,0.25469970703125,0
Covertype,maclaurin,7,0.5,srht,True,False,False,False,False,False,9.553133964538574,1.4142135381698608,0.2683212459087372,0.7223700881004333,0.23739999532699585,0,0.12244897335767746,2727.573486328125,0.5219234228134155,9114.6298828125,1.8878240585327148,0.6965394020080566,192,640,"[21, 64, 106]",0.001,0.22172307968139648,0.2806696891784668,0
Covertype,poly_sketch,7,0.5,gaussian,False,False,False,False,False,False,9.553133964538574,1.4142135381698608,0.3360986113548279,0.9049879312515259,0.23739999532699585,0,0.12244897335767746,11202.7119140625,2.143648147583008,20316.771484375,4.032764911651611,0.7374868392944336,192,640,None,0.001,0.05820131301879883,0.2566697597503662,0
