dataset,method,degree,bias,proj,comp,comp_real,craft,full_cov,ahle,tree,kernel_var,kernel_len,test_error,test_mnll,test_error_ref,test_mnll_ref,test_label_var,k_frob_error,k_rel_frob_error,test_kl,test_mean_mse,test_var_mse,D,E,feature_dist,noise_var,feature_time,pred_time,seed
Drive,srf,7,0.5,gaussian,False,False,False,False,False,False,8.292262077331543,1.4142135381698608,0.6978294253349304,2.0703792572021484,0.7129999995231628,0,0.08264461904764175,2152.6728515625,0.07089092582464218,42468.48046875,0.5838966369628906,0.007563414052128792,64,640,None,0.001,0.0038132667541503906,0.017081260681152344,0
Drive,srf,7,0.5,srht,False,False,False,False,False,False,8.292262077331543,1.4142135381698608,0.6769782900810242,1.982430338859558,0.7129999995231628,0,0.08264461904764175,3120.7255859375,0.10277043282985687,36687.18359375,0.5245189666748047,0.008556818589568138,64,640,None,0.001,0.007580995559692383,0.014345169067382812,0
Drive,srf,7,0.5,srht,True,False,False,False,False,False,8.292262077331543,1.4142135381698608,0.6704836487770081,1.9684271812438965,0.7129999995231628,0,0.08264461904764175,3209.416748046875,0.10569117218255997,24984.82421875,0.3311477303504944,0.010359127074480057,64,640,None,0.001,0.009212255477905273,0.014341115951538086,0
Drive,maclaurin_p,7,0.5,rademacher,False,False,False,False,False,False,8.292262077331543,1.4142135381698608,0.7256878614425659,2.161944627761841,0.7129999995231628,0,0.08264461904764175,8357.63671875,0.27523019909858704,104268.7265625,0.9260491132736206,0.014717185869812965,64,640,None,0.001,0.019417762756347656,0.014416694641113281,0
Drive,maclaurin,7,0.5,rademacher,False,False,False,False,False,False,8.292262077331543,1.4142135381698608,0.7323533892631531,2.168851852416992,0.7129999995231628,0,0.08264461904764175,3893.546875,0.12822066247463226,87456.53125,0.8042680025100708,0.013152474537491798,64,640,"[3, 16, 44]",0.001,0.010154962539672852,0.014423131942749023,0
Drive,maclaurin,7,0.5,rademacher,True,False,False,False,False,False,8.292262077331543,1.4142135381698608,0.6790292263031006,2.0097532272338867,0.7129999995231628,0,0.08264461904764175,7069.8779296875,0.2328222692012787,48830.54296875,0.4565737247467041,0.009937033988535404,64,640,"[2, 9, 22, 30]",0.001,0.014616012573242188,0.01454019546508789,0
Drive,maclaurin,7,0.5,srht,False,False,False,False,False,False,8.292262077331543,1.4142135381698608,0.7202187180519104,2.1447255611419678,0.7129999995231628,0,0.08264461904764175,9343.51171875,0.3076966404914856,92824.9765625,0.8197070956230164,0.01354494970291853,64,640,"[3, 16, 44]",0.001,0.018585920333862305,0.014434814453125,0
Drive,maclaurin,7,0.5,srht,True,False,False,False,False,False,8.292262077331543,1.4142135381698608,0.684840202331543,2.0135300159454346,0.7129999995231628,0,0.08264461904764175,8381.5810546875,0.27601873874664307,57047.72265625,0.49594372510910034,0.011080369353294373,64,640,"[2, 9, 22, 30]",0.001,0.0353238582611084,0.01432180404663086,0
Drive,poly_sketch,7,0.5,gaussian,False,False,False,False,False,False,8.292262077331543,1.4142135381698608,0.8443000912666321,2.3865342140197754,0.7129999995231628,0,0.08264461904764175,20028.9765625,0.6595858931541443,143990.0,1.2253609895706177,0.017876526340842247,64,640,None,0.001,0.005640983581542969,0.014294862747192383,0
Drive,poly_sketch,7,0.5,gaussian,True,False,False,False,False,False,8.292262077331543,1.4142135381698608,0.7687574625015259,2.2344813346862793,0.7129999995231628,0,0.08264461904764175,8855.0009765625,0.2916091978549957,101750.9375,0.8355420827865601,0.013400555588304996,64,640,None,0.001,0.007866144180297852,0.014374256134033203,0
Drive,poly_sketch,7,0.5,rademacher,False,False,False,False,False,False,8.292262077331543,1.4142135381698608,0.8653221130371094,2.41241717338562,0.7129999995231628,0,0.08264461904764175,30876.7109375,1.0168190002441406,157233.84375,1.471419095993042,0.1158846840262413,64,640,None,0.001,0.008140802383422852,0.014429807662963867,0
Drive,poly_sketch,7,0.5,rademacher,True,False,False,False,False,False,8.292262077331543,1.4142135381698608,0.7867031097412109,2.236060380935669,0.7129999995231628,0,0.08264461904764175,16724.541015625,0.5507656335830688,93834.2265625,0.7787759900093079,0.0029688342474400997,64,640,None,0.001,0.00788569450378418,0.014353513717651367,0
Drive,poly_sketch,7,0.5,rademacher,False,False,False,False,True,True,8.292262077331543,1.4142135381698608,0.7923431396484375,2.341974973678589,0.7129999995231628,0,0.08264461904764175,7682.033203125,0.2529815137386322,106519.390625,1.0269391536712646,0.006842856295406818,64,640,None,0.001,0.016510963439941406,0.014087438583374023,0
Drive,poly_sketch,7,0.5,rademacher,True,False,False,False,True,True,8.292262077331543,1.4142135381698608,0.7649974226951599,2.226672887802124,0.7129999995231628,0,0.08264461904764175,11388.681640625,0.37504732608795166,75966.5390625,0.6896356344223022,0.019482512027025223,64,640,None,0.001,0.016514301300048828,0.014298677444458008,0
Drive,poly_sketch,7,0.5,srht,False,False,False,False,False,False,8.292262077331543,1.4142135381698608,0.8420782685279846,2.407867431640625,0.7129999995231628,0,0.08264461904764175,20948.2890625,0.6898603439331055,144855.65625,1.2634212970733643,0.028040487319231033,64,640,None,0.001,0.017544984817504883,0.0144805908203125,0
Drive,poly_sketch,7,0.5,srht,True,False,False,False,False,False,8.292262077331543,1.4142135381698608,0.7776448130607605,2.2369580268859863,0.7129999995231628,0,0.08264461904764175,14132.138671875,0.46539369225502014,101010.5234375,0.8891353607177734,0.004141132812947035,64,640,None,0.001,0.02337956428527832,0.01430368423461914,0
Drive,poly_sketch,7,0.5,srht,False,False,False,False,True,True,8.292262077331543,1.4142135381698608,0.7308152318000793,2.2015082836151123,0.7129999995231628,0,0.08264461904764175,18063.326171875,0.594853937625885,74415.3046875,0.7708279490470886,0.0067944941110908985,64,640,None,0.001,0.029781341552734375,0.014164209365844727,0
