dataset,method,degree,bias,proj,comp,comp_real,craft,full_cov,ahle,tree,kernel_var,kernel_len,test_error,test_mnll,test_error_ref,test_mnll_ref,test_label_var,k_frob_error,k_rel_frob_error,test_kl,test_mean_mse,test_var_mse,D,E,feature_dist,noise_var,feature_time,pred_time,seed
EEG,srf,7,0.5,gaussian,False,False,False,False,False,False,24.985248565673828,1.4142135381698608,0.40120160579681396,0.6651723980903625,0.3851802349090576,0,0.25,437.2316589355469,0.01169230043888092,9021.673828125,0.04587240144610405,0.043404415249824524,16,160,None,0.001,0.0020399093627929688,0.03965592384338379,0
EEG,srf,7,0.5,srht,False,False,False,False,False,False,24.985248565673828,1.4142135381698608,0.3898531496524811,0.6701264381408691,0.3851802349090576,0,0.25,78.52317810058594,0.0020998402033001184,8839.8330078125,0.3852703273296356,0.07528812438249588,16,160,None,0.001,0.031497955322265625,0.039697885513305664,0
EEG,srf,7,0.5,srht,True,False,False,False,False,False,24.985248565673828,1.4142135381698608,0.37249666452407837,0.6564859747886658,0.3851802349090576,0,0.25,273.3819580078125,0.007310687564313412,389.97674560546875,0.07399532943964005,0.050639305263757706,16,160,None,0.001,0.0341031551361084,0.03846287727355957,0
EEG,maclaurin_p,7,0.5,rademacher,False,False,False,False,False,False,24.985248565673828,1.4142135381698608,0.4385847747325897,0.6738622784614563,0.3851802349090576,0,0.25,24744.373046875,0.6617056131362915,23323.353515625,0.59449702501297,0.11573947221040726,16,160,None,0.001,0.007898807525634766,0.042112112045288086,0
EEG,maclaurin,7,0.5,rademacher,False,False,False,False,False,False,24.985248565673828,1.4142135381698608,0.3965286910533905,0.6688516139984131,0.3851802349090576,0,0.25,30078.462890625,0.8043480515480042,11685.208984375,0.03176652640104294,0.20943185687065125,16,160,"[1, 4, 10]",0.001,0.0047419071197509766,0.03952288627624512,0
EEG,maclaurin,7,0.5,rademacher,True,False,False,False,False,False,24.985248565673828,1.4142135381698608,0.4078771770000458,0.6603153944015503,0.3851802349090576,0,0.25,6894.78515625,0.1843779981136322,11141.0517578125,0.03274157643318176,0.16000942885875702,16,160,"[1, 2, 5, 7]",0.001,0.013697147369384766,0.04000520706176758,0
EEG,maclaurin,7,0.5,srht,False,False,False,False,False,False,24.985248565673828,1.4142135381698608,0.386515349149704,0.6661162376403809,0.3851802349090576,0,0.25,19460.830078125,0.5204148888587952,20067.8203125,0.2371460646390915,0.2085774540901184,16,160,"[1, 4, 10]",0.001,0.052043914794921875,0.03925299644470215,0
EEG,maclaurin,7,0.5,srht,True,False,False,False,False,False,24.985248565673828,1.4142135381698608,0.40120160579681396,0.661522388458252,0.3851802349090576,0,0.25,7188.09033203125,0.19222146272659302,3472.1142578125,0.1496439278125763,0.1083202064037323,16,160,"[1, 2, 5, 7]",0.001,0.16835498809814453,0.038845062255859375,0
EEG,poly_sketch,7,0.5,gaussian,False,False,False,False,False,False,24.985248565673828,1.4142135381698608,0.45927903056144714,0.6865976452827454,0.3851802349090576,0,0.25,37054.2109375,0.9908910989761353,46793.51953125,0.13148143887519836,0.37688156962394714,16,160,None,0.001,0.0019359588623046875,0.03912210464477539,0
EEG,poly_sketch,7,0.5,gaussian,True,False,False,False,False,False,24.985248565673828,1.4142135381698608,0.4252336323261261,0.6762840151786804,0.3851802349090576,0,0.25,17110.021484375,0.45755037665367126,15289.666015625,0.05346454679965973,0.18349513411521912,16,160,None,0.001,0.01188802719116211,0.0388338565826416,0
EEG,poly_sketch,7,0.5,rademacher,False,False,False,False,False,False,24.985248565673828,1.4142135381698608,0.4152202904224396,0.669198751449585,0.3851802349090576,0,0.25,59389.69921875,1.588179111480713,20254.888671875,0.054986875504255295,0.2112118899822235,16,160,None,0.001,0.00203704833984375,0.03961896896362305,0
EEG,poly_sketch,7,0.5,rademacher,True,False,False,False,False,False,24.985248565673828,1.4142135381698608,0.37716954946517944,0.6624946594238281,0.3851802349090576,0,0.25,22818.134765625,0.6101948022842407,7744.212890625,0.047318235039711,0.1650603860616684,16,160,None,0.001,0.011891841888427734,0.039578914642333984,0
EEG,poly_sketch,7,0.5,rademacher,False,False,False,False,True,True,24.985248565673828,1.4142135381698608,0.40186914801597595,0.165677011013031,0.3851802349090576,0,0.25,86245.2578125,2.3063414096832275,9599.57421875,0.13380147516727448,1.7780765295028687,16,160,None,0.001,0.006883144378662109,0.04035305976867676,0
EEG,poly_sketch,7,0.5,rademacher,True,False,False,False,True,True,24.985248565673828,1.4142135381698608,0.4425901174545288,0.6816808581352234,0.3851802349090576,0,0.25,27962.525390625,0.7477643489837646,29530.787109375,0.08345593512058258,0.1931670755147934,16,160,None,0.001,0.020339012145996094,0.038836002349853516,0
EEG,poly_sketch,7,0.5,srht,False,False,False,False,False,False,24.985248565673828,1.4142135381698608,0.4392523467540741,0.6988574266433716,0.3851802349090576,0,0.25,36963.16015625,0.9884562492370605,40656.1015625,0.16660156846046448,0.1730700582265854,16,160,None,0.001,0.05695700645446777,0.040019989013671875,0
EEG,poly_sketch,7,0.5,srht,True,False,False,False,False,False,24.985248565673828,1.4142135381698608,0.4098798334598541,0.6667785048484802,0.3851802349090576,0,0.25,18724.552734375,0.5007256269454956,14506.994140625,0.048392608761787415,0.07207700610160828,16,160,None,0.001,0.11569476127624512,0.038823843002319336,0
