dataset,method,degree,bias,proj,comp,comp_real,craft,full_cov,ahle,tree,kernel_var,kernel_len,test_error,test_mnll,test_error_ref,test_mnll_ref,test_label_var,k_frob_error,k_rel_frob_error,test_kl,test_mean_mse,test_var_mse,D,E,feature_dist,noise_var,feature_time,pred_time,seed
EEG,srf,7,0.5,gaussian,False,False,False,False,False,False,24.985248565673828,1.4142135381698608,0.4025367200374603,0.7613325715065002,0.1388518214225769,0,0.25,8514.912109375,1.2841960191726685,27838.046875,12.218050956726074,0.9634745717048645,16,160,None,0.001,0.0041201114654541016,0.041089773178100586,0
EEG,srf,7,0.5,srht,False,False,False,False,False,False,24.985248565673828,1.4142135381698608,0.38117489218711853,0.6681991815567017,0.1388518214225769,0,0.25,8918.130859375,1.345008373260498,24375.333984375,12.986494064331055,0.9632455706596375,16,160,None,0.001,0.027058124542236328,0.03959393501281738,0
EEG,srf,7,0.5,srht,True,False,False,False,False,False,24.985248565673828,1.4142135381698608,0.4252336323261261,0.6775482296943665,0.1388518214225769,0,0.25,8757.310546875,1.3207539319992065,26473.310546875,11.074342727661133,0.9637249112129211,16,160,None,0.001,0.028820037841796875,0.039279937744140625,0
EEG,maclaurin_p,7,0.5,rademacher,False,False,False,False,False,False,24.985248565673828,1.4142135381698608,0.3971962630748749,0.6709801554679871,0.1388518214225769,0,0.25,7066.28125,1.0657174587249756,23653.734375,12.51693058013916,0.9622737765312195,16,160,None,0.001,0.0031778812408447266,0.039849042892456055,0
EEG,maclaurin,7,0.5,rademacher,False,False,False,False,False,False,24.985248565673828,1.4142135381698608,0.37383177876472473,0.6520890593528748,0.1388518214225769,0,0.25,5417.48583984375,0.817050576210022,23874.93359375,12.584269523620605,0.9624489545822144,16,160,"[3, 12]",0.001,0.003030061721801758,0.03990292549133301,0
EEG,maclaurin,7,0.5,rademacher,True,False,False,False,False,False,24.985248565673828,1.4142135381698608,0.3678237795829773,0.6356081366539001,0.1388518214225769,0,0.25,5362.984375,0.8088307976722717,23462.6328125,12.314370155334473,0.9620410799980164,16,160,"[3, 12]",0.001,0.007242918014526367,0.038108110427856445,0
EEG,maclaurin,7,0.5,srht,False,False,False,False,False,False,24.985248565673828,1.4142135381698608,0.3638184368610382,0.6541942954063416,0.1388518214225769,0,0.25,5104.46142578125,0.7698410749435425,23797.3984375,12.310356140136719,0.9619969129562378,16,160,"[3, 12]",0.001,0.03344011306762695,0.03961658477783203,0
EEG,maclaurin,7,0.5,srht,True,False,False,False,False,False,24.985248565673828,1.4142135381698608,0.36982643604278564,0.6370104551315308,0.1388518214225769,0,0.25,4964.17724609375,0.7486838102340698,23648.79296875,12.406641006469727,0.9622603058815002,16,160,"[3, 12]",0.001,0.0535578727722168,0.04125523567199707,0
EEG,poly_sketch,7,0.5,gaussian,False,False,False,False,False,False,24.985248565673828,1.4142135381698608,0.40921229124069214,0.7406349182128906,0.1388518214225769,0,0.25,10807.404296875,1.6299434900283813,56409.35546875,13.894535064697266,0.9620190858840942,16,160,None,0.001,0.002095937728881836,0.03885483741760254,0
EEG,poly_sketch,7,0.5,gaussian,True,False,False,False,False,False,24.985248565673828,1.4142135381698608,0.3785046637058258,0.6834981441497803,0.1388518214225769,0,0.25,20877.146484375,3.148634910583496,29252.837890625,10.588522911071777,0.9623967409133911,16,160,None,0.001,0.00822305679321289,0.03863787651062012,0
EEG,poly_sketch,7,0.5,rademacher,False,False,False,False,False,False,24.985248565673828,1.4142135381698608,0.4098798334598541,0.6956325769424438,0.1388518214225769,0,0.25,34290.47265625,5.171596527099609,53601.015625,14.068906784057617,0.9625337719917297,16,160,None,0.001,0.0030629634857177734,0.03898787498474121,0
EEG,poly_sketch,7,0.5,rademacher,True,False,False,False,False,False,24.985248565673828,1.4142135381698608,0.36648866534233093,0.6504743695259094,0.1388518214225769,0,0.25,31123.71875,4.693994998931885,27549.42578125,10.670610427856445,0.9627220034599304,16,160,None,0.001,0.010317087173461914,0.03884482383728027,0
EEG,poly_sketch,7,0.5,rademacher,False,False,False,False,True,True,24.985248565673828,1.4142135381698608,0.4285714328289032,0.7538127303123474,0.1388518214225769,0,0.25,10087.958984375,1.521438717842102,46188.03515625,14.343291282653809,0.9622097015380859,16,160,None,0.001,0.01230001449584961,0.03940916061401367,0
EEG,poly_sketch,7,0.5,rademacher,True,False,False,False,True,True,24.985248565673828,1.4142135381698608,0.39519357681274414,0.688653290271759,0.1388518214225769,0,0.25,12781.0380859375,1.92760169506073,30008.12890625,11.326441764831543,0.9632402062416077,16,160,None,0.001,0.02207207679748535,0.03851485252380371,0
EEG,poly_sketch,7,0.5,srht,False,False,False,False,False,False,24.985248565673828,1.4142135381698608,0.45527368783950806,0.7434621453285217,0.1388518214225769,0,0.25,6609.68310546875,0.9968545436859131,45798.8046875,14.29643726348877,0.9609885215759277,16,160,None,0.001,0.058302879333496094,0.038043975830078125,0
EEG,poly_sketch,7,0.5,srht,True,False,False,False,False,False,24.985248565673828,1.4142135381698608,0.39786380529403687,0.6979386210441589,0.1388518214225769,0,0.25,10039.3310546875,1.5141048431396484,31958.5625,11.645947456359863,0.9621824622154236,16,160,None,0.001,0.11911487579345703,0.03911590576171875,0
EEG,poly_sketch,7,0.5,srht,False,False,False,False,True,True,24.985248565673828,1.4142135381698608,0.4145527482032776,0.7428680658340454,0.1388518214225769,0,0.25,11065.30859375,1.668839931488037,36226.625,13.007645606994629,0.9629368185997009,16,160,None,0.001,0.11920928955078125,0.038678884506225586,0
EEG,poly_sketch,7,0.5,srht,True,False,False,False,True,True,24.985248565673828,1.4142135381698608,0.3638184368610382,0.6491119265556335,0.1388518214225769,0,0.25,9414.5849609375,1.4198822975158691,30637.17578125,10.450396537780762,0.9633675813674927,16,160,None,0.001,0.23717617988586426,0.039505958557128906,0
EEG,poly_sketch,7,0.5,countsketch_scatter,False,False,False,False,False,False,24.985248565673828,1.4142135381698608,0.4152202904224396,0.7325312495231628,0.1388518214225769,0,0.25,32795.81640625,4.946176528930664,35035.44140625,12.749896049499512,0.9636128544807434,16,160,None,0.001,0.013147115707397461,0.038681745529174805,0
EEG,srf,7,0.5,gaussian,False,False,False,False,False,False,24.985248565673828,1.4142135381698608,0.31308412551879883,0.6590961813926697,0.1388518214225769,0,0.25,5426.3662109375,0.818389892578125,20523.818359375,10.725844383239746,0.9471312761306763,48,160,None,0.001,0.005697965621948242,0.04753518104553223,0
EEG,srf,7,0.5,srht,False,False,False,False,False,False,24.985248565673828,1.4142135381698608,0.35514017939567566,0.6846833229064941,0.1388518214225769,0,0.25,5782.48876953125,0.8720993399620056,21757.080078125,11.09224796295166,0.948920488357544,48,160,None,0.001,0.05321693420410156,0.047930002212524414,0
EEG,srf,7,0.5,srht,True,False,False,False,False,False,24.985248565673828,1.4142135381698608,0.3491321802139282,0.6523605585098267,0.1388518214225769,0,0.25,5310.8935546875,0.8009746074676514,20641.07421875,10.720561981201172,0.9488660097122192,48,160,None,0.001,0.07729792594909668,0.04680490493774414,0
EEG,maclaurin_p,7,0.5,rademacher,False,False,False,False,False,False,24.985248565673828,1.4142135381698608,0.3417890667915344,0.6392365097999573,0.1388518214225769,0,0.25,11931.306640625,1.7994474172592163,20607.08203125,10.999862670898438,0.949338436126709,48,160,None,0.001,0.006546974182128906,0.04718589782714844,0
EEG,maclaurin,7,0.5,rademacher,False,False,False,False,False,False,24.985248565673828,1.4142135381698608,0.31241655349731445,0.6274825930595398,0.1388518214225769,0,0.25,3642.316162109375,0.5493242740631104,19083.287109375,10.629945755004883,0.9443261027336121,48,160,"[4, 14, 29]",0.001,0.005393028259277344,0.04719400405883789,0
