dataset,method,degree,bias,proj,comp,comp_real,craft,full_cov,ahle,tree,kernel_var,kernel_len,test_error,test_mnll,test_error_ref,test_mnll_ref,test_label_var,k_frob_error,k_rel_frob_error,test_kl,test_mean_mse,test_var_mse,D,E,feature_dist,noise_var,feature_time,pred_time,seed
FashionMNIST,srf,7,0.5,gaussian,False,False,False,False,False,False,3.895010232925415,1.4142135381698608,0.1613999903202057,0.4763656258583069,0,0,0.09000000357627869,637.2528686523438,0.39152291417121887,2363.384521484375,0.9633455872535706,2.1151785850524902,1024,10240,None,0.01,0.019049406051635742,0.5537831783294678,0
FashionMNIST,srf,7,0.5,srht,False,False,False,False,False,False,3.895010232925415,1.4142135381698608,0.15729999542236328,0.4802182614803314,0,0,0.09000000357627869,636.037353515625,0.390776127576828,2371.6865234375,0.9750120639801025,2.1131699085235596,1024,10240,None,0.01,0.026704072952270508,0.5531916618347168,0
FashionMNIST,srf,7,0.5,srht,True,False,False,False,False,False,3.895010232925415,1.4142135381698608,0.1516999900341034,0.4384208023548126,0,0,0.09000000357627869,636.3294677734375,0.3909555971622467,1787.8026123046875,0.5309191942214966,2.1136727333068848,1024,10240,None,0.01,0.03333473205566406,0.5843636989593506,0
FashionMNIST,maclaurin_p,7,0.5,rademacher,False,False,False,False,False,False,3.895010232925415,1.4142135381698608,0.15609999001026154,0.4510767459869385,0,0,0.09000000357627869,1645.4569091796875,1.0109552145004272,3460.38525390625,0.7428627014160156,3.0837411880493164,1024,10240,None,0.01,0.06278395652770996,0.5531775951385498,0
FashionMNIST,maclaurin,7,0.5,rademacher,False,False,False,False,False,False,3.895010232925415,1.4142135381698608,0.15199999511241913,0.43510371446609497,0,0,0.09000000357627869,618.224609375,0.37983211874961853,2746.145751953125,0.6021941304206848,2.756836414337158,1024,10240,"[93, 320, 610]",0.01,0.04895591735839844,0.5498359203338623,0
FashionMNIST,maclaurin,7,0.5,rademacher,True,False,False,False,False,False,3.895010232925415,1.4142135381698608,0.1428000032901764,0.41593503952026367,0,0,0.09000000357627869,598.457763671875,0.36768752336502075,2011.9111328125,0.42492130398750305,2.3732187747955322,1024,10240,"[63, 205, 365, 390]",0.01,0.23329567909240723,0.5813510417938232,0
FashionMNIST,maclaurin,7,0.5,srht,False,False,False,False,False,False,3.895010232925415,1.4142135381698608,0.14819999039173126,0.43512773513793945,0,0,0.09000000357627869,655.5916748046875,0.4027901291847229,2738.365966796875,0.5961661338806152,2.7610421180725098,1024,10240,"[93, 320, 610]",0.01,0.04488801956176758,0.551602840423584,0
FashionMNIST,maclaurin,7,0.5,srht,True,False,False,False,False,False,3.895010232925415,1.4142135381698608,0.14829999208450317,0.4227222502231598,0,0,0.09000000357627869,567.2448120117188,0.3485105335712433,1978.0994873046875,0.41800224781036377,2.351639986038208,1024,10240,"[63, 205, 365, 390]",0.01,0.14968156814575195,0.5811386108398438,0
FashionMNIST,poly_sketch,7,0.5,gaussian,False,False,False,False,False,False,3.895010232925415,1.4142135381698608,0.21169999241828918,0.6437784433364868,0,0,0.09000000357627869,1861.510009765625,1.1436964273452759,4203.26123046875,1.4570122957229614,2.9463610649108887,1024,10240,None,0.01,0.10607647895812988,0.5508260726928711,0
FashionMNIST,poly_sketch,7,0.5,gaussian,True,False,False,False,False,False,3.895010232925415,1.4142135381698608,0.16439999639987946,0.48296648263931274,0,0,0.09000000357627869,1799.985107421875,1.10589599609375,2550.419677734375,0.6559176445007324,2.6171255111694336,1024,10240,None,0.01,0.37607717514038086,0.5801677703857422,0
FashionMNIST,poly_sketch,7,0.5,rademacher,False,False,False,False,False,False,3.895010232925415,1.4142135381698608,0.17829999327659607,0.5349545478820801,0,0,0.09000000357627869,1184.6998291015625,0.7278698086738586,2997.907470703125,1.0876507759094238,2.371307134628296,1024,10240,None,0.01,0.10387992858886719,0.5507378578186035,0
FashionMNIST,poly_sketch,7,0.5,rademacher,True,False,False,False,False,False,3.895010232925415,1.4142135381698608,0.1599999964237213,0.4547106921672821,0,0,0.09000000357627869,764.1018676757812,0.4694578945636749,1992.6121826171875,0.5590329766273499,2.1753454208374023,1024,10240,None,0.01,0.3642158508300781,0.5835907459259033,0
FashionMNIST,poly_sketch,7,0.5,rademacher,False,False,False,False,True,True,3.895010232925415,1.4142135381698608,0.16539999842643738,0.498892217874527,0,0,0.09000000357627869,1019.95703125,0.6266531944274902,3099.407958984375,1.0627232789993286,2.6452181339263916,1024,10240,None,0.01,0.20735478401184082,0.5496079921722412,0
FashionMNIST,poly_sketch,7,0.5,rademacher,True,False,False,False,True,True,3.895010232925415,1.4142135381698608,0.15269999206066132,0.4467690885066986,0,0,0.09000000357627869,879.9061889648438,0.5406070947647095,2511.28173828125,0.6013059020042419,2.67399263381958,1024,10240,None,0.01,0.7238900661468506,0.5834839344024658,0
FashionMNIST,poly_sketch,7,0.5,srht,False,False,False,False,False,False,3.895010232925415,1.4142135381698608,0.18459999561309814,0.5566527247428894,0,0,0.09000000357627869,1393.31884765625,0.8560436367988586,2977.276611328125,1.0715742111206055,2.39621639251709,1024,10240,None,0.01,0.0507354736328125,0.5502748489379883,0
FashionMNIST,poly_sketch,7,0.5,srht,True,False,False,False,False,False,3.895010232925415,1.4142135381698608,0.15359999239444733,0.446309894323349,0,0,0.09000000357627869,804.7096557617188,0.4944069981575012,1972.3984375,0.5413157939910889,2.1843180656433105,1024,10240,None,0.01,0.12153172492980957,0.5811800956726074,0
