dataset,method,degree,bias,proj,comp,comp_real,craft,full_cov,ahle,tree,kernel_var,kernel_len,test_error,test_mnll,test_error_ref,test_mnll_ref,test_label_var,k_frob_error,k_rel_frob_error,test_kl,test_mean_mse,test_var_mse,D,E,feature_dist,noise_var,feature_time,pred_time,seed
MNIST,srf,7,0.5,gaussian,False,False,False,False,False,False,9.027410507202148,1.4142135381698608,0.20109999179840088,0.6361983418464661,0.06040000915527344,0,0.09000000357627869,1572.347900390625,0.4443894326686859,4321.83837890625,5.4645538330078125,41.7838020324707,1024,10240,None,0.001,0.025775432586669922,0.8081438541412354,0
MNIST,srf,7,0.5,srht,False,False,False,False,False,False,9.027410507202148,1.4142135381698608,0.18379999697208405,0.5861999988555908,0.06040000915527344,0,0.09000000357627869,1576.7733154296875,0.4456401765346527,4158.853515625,4.970565319061279,41.78725814819336,1024,10240,None,0.001,0.03826260566711426,0.804265022277832,0
MNIST,srf,7,0.5,srht,True,False,False,False,False,False,9.027410507202148,1.4142135381698608,0.11239999532699585,0.387268602848053,0.06040000915527344,0,0.09000000357627869,1561.8092041015625,0.4414108991622925,3389.97119140625,2.614804983139038,41.82406234741211,1024,10240,None,0.001,0.04765129089355469,0.9132847785949707,0
MNIST,maclaurin_p,7,0.5,rademacher,False,False,False,False,False,False,9.027410507202148,1.4142135381698608,0.10939999669790268,0.36248481273651123,0.06040000915527344,0,0.09000000357627869,3113.32373046875,0.879912257194519,4658.02978515625,3.1052052974700928,47.900360107421875,1024,10240,None,0.001,0.09011244773864746,0.8012733459472656,0
MNIST,maclaurin,7,0.5,rademacher,False,False,False,False,False,False,9.027410507202148,1.4142135381698608,0.14800000190734863,0.4648609757423401,0.06040000915527344,0,0.09000000357627869,1280.403076171875,0.3618776798248291,3997.555419921875,3.552441358566284,43.718658447265625,1024,10240,"[108, 335, 580]",0.001,0.06495285034179688,0.798414945602417,0
MNIST,maclaurin,7,0.5,rademacher,True,False,False,False,False,False,9.027410507202148,1.4142135381698608,0.08079999685287476,0.2732800245285034,0.06040000915527344,0,0.09000000357627869,1288.98193359375,0.36430230736732483,3428.587158203125,1.7640814781188965,43.87281799316406,1024,10240,"[110, 339, 574]",0.001,0.19823765754699707,0.8968396186828613,0
MNIST,maclaurin,7,0.5,srht,False,False,False,False,False,False,9.027410507202148,1.4142135381698608,0.11649999767541885,0.3909687101840973,0.06040000915527344,0,0.09000000357627869,1366.99072265625,0.38634976744651794,3866.504638671875,3.1579864025115967,43.7093620300293,1024,10240,"[108, 335, 580]",0.001,0.06256651878356934,0.7852976322174072,0
MNIST,maclaurin,7,0.5,srht,True,False,False,False,False,False,9.027410507202148,1.4142135381698608,0.07499999552965164,0.25123149156570435,0.06040000915527344,0,0.09000000357627869,1331.57421875,0.3763400614261627,3477.032470703125,1.9139015674591064,43.861507415771484,1024,10240,"[111, 339, 573]",0.001,0.14349079132080078,0.8818674087524414,0
MNIST,poly_sketch,7,0.5,gaussian,False,False,False,False,False,False,9.027410507202148,1.4142135381698608,0.45509999990463257,1.6736018657684326,0.06040000915527344,0,0.09000000357627869,7087.986328125,2.003262996673584,6734.07177734375,9.275680541992188,47.226707458496094,1024,10240,None,0.001,0.13527226448059082,0.7799313068389893,0
MNIST,poly_sketch,7,0.5,gaussian,True,False,False,False,False,False,9.027410507202148,1.4142135381698608,0.1890999972820282,0.6299865245819092,0.06040000915527344,0,0.09000000357627869,4383.43212890625,1.2388803958892822,4250.77490234375,3.6335692405700684,45.02894973754883,1024,10240,None,0.001,0.4871702194213867,0.8982703685760498,0
MNIST,poly_sketch,7,0.5,rademacher,False,False,False,False,False,False,9.027410507202148,1.4142135381698608,0.23639999330043793,0.8076352477073669,0.06040000915527344,0,0.09000000357627869,3864.9541015625,1.0923439264297485,4883.5087890625,6.675717353820801,41.55694580078125,1024,10240,None,0.001,0.1308283805847168,0.7864475250244141,0
MNIST,poly_sketch,7,0.5,rademacher,True,False,False,False,False,False,9.027410507202148,1.4142135381698608,0.14589999616146088,0.4839287996292114,0.06040000915527344,0,0.09000000357627869,2271.8701171875,0.6420939564704895,3530.339111328125,2.8413283824920654,41.98767852783203,1024,10240,None,0.001,0.47100114822387695,0.9053652286529541,0
MNIST,poly_sketch,7,0.5,rademacher,False,False,False,False,True,True,9.027410507202148,1.4142135381698608,0.23420000076293945,0.7464720606803894,0.06040000915527344,0,0.09000000357627869,2217.210205078125,0.6266455054283142,5202.3310546875,6.1315598487854,45.74768829345703,1024,10240,None,0.001,0.25595879554748535,0.7859454154968262,0
MNIST,poly_sketch,7,0.5,rademacher,True,False,False,False,True,True,9.027410507202148,1.4142135381698608,0.12289999425411224,0.4120147228240967,0.06040000915527344,0,0.09000000357627869,2214.602783203125,0.625908613204956,4163.63916015625,3.0519192218780518,45.72983932495117,1024,10240,None,0.001,0.9633152484893799,0.894038200378418,0
