dataset,method,degree,bias,proj,comp,comp_real,craft,full_cov,ahle,tree,kernel_var,kernel_len,test_error,test_mnll,test_error_ref,test_mnll_ref,test_label_var,k_frob_error,k_rel_frob_error,test_kl,test_mean_mse,test_var_mse,D,E,feature_dist,noise_var,feature_time,pred_time,seed
Miniboo,srf,7,0.5,gaussian,False,False,False,False,False,False,23.234228134155273,1.4142135381698608,0.15706928074359894,0.4116937518119812,0.1698000431060791,0,0.25,457.0682067871094,0.0039589195512235165,25233.41015625,0.032832417637109756,1.1341023309796583e-05,64,640,None,0.001,0.00679469108581543,0.006659746170043945,0
Miniboo,srf,7,0.5,srht,False,False,False,False,False,False,23.234228134155273,1.4142135381698608,0.16060583293437958,0.4136798679828644,0.1698000431060791,0,0.25,442.3882751464844,0.0038317686412483454,30547.40234375,0.031478721648454666,4.027187515021069e-06,64,640,None,0.001,0.013628482818603516,0.006834983825683594,0
Miniboo,srf,7,0.5,srht,True,False,False,False,False,False,23.234228134155273,1.4142135381698608,0.156069815158844,0.41139763593673706,0.1698000431060791,0,0.25,425.18701171875,0.0036827789153903723,3478.667236328125,0.007071605417877436,2.8202189241710585e-06,64,640,None,0.001,0.01729106903076172,0.006840705871582031,0
Miniboo,maclaurin_p,7,0.5,rademacher,False,False,False,False,False,False,23.234228134155273,1.4142135381698608,0.16029830276966095,0.42192888259887695,0.1698000431060791,0,0.25,38137.90234375,0.3303333818912506,103086.7578125,0.09783487021923065,6.59628358334885e-06,64,640,None,0.001,0.038376569747924805,0.00669407844543457,0
Miniboo,maclaurin,7,0.5,rademacher,False,False,False,False,False,False,23.234228134155273,1.4142135381698608,0.1592988520860672,0.41029471158981323,0.1698000431060791,0,0.25,18805.69140625,0.16288645565509796,21653.29296875,0.04440952464938164,7.817308869562112e-06,64,640,"[2, 7, 16, 21, 17]",0.001,0.028614282608032227,0.00783991813659668,0
Miniboo,maclaurin,7,0.5,rademacher,True,False,False,False,False,False,23.234228134155273,1.4142135381698608,0.1603751927614212,0.4134468734264374,0.1698000431060791,0,0.25,42387.69140625,0.3671431541442871,26074.43359375,0.022816456854343414,7.457793458343076e-07,64,640,"[2, 7, 16, 19, 14, 5]",0.001,0.04282236099243164,0.00783681869506836,0
Miniboo,maclaurin,7,0.5,srht,False,False,False,False,False,False,23.234228134155273,1.4142135381698608,0.15860691666603088,0.41463354229927063,0.1698000431060791,0,0.25,16269.484375,0.14091897010803223,18232.1171875,0.021300334483385086,5.745926955569303e-06,64,640,"[2, 7, 16, 21, 17]",0.001,0.07040572166442871,0.007835865020751953,0
Miniboo,maclaurin,7,0.5,srht,True,False,False,False,False,False,23.234228134155273,1.4142135381698608,0.15914508700370789,0.41447824239730835,0.1698000431060791,0,0.25,13557.1962890625,0.11742634326219559,9653.298828125,0.010821331292390823,5.11704593009199e-06,64,640,"[2, 7, 16, 19, 14, 5]",0.001,0.14730381965637207,0.007703065872192383,0
Miniboo,poly_sketch,7,0.5,gaussian,False,False,False,False,False,False,23.234228134155273,1.4142135381698608,0.169216588139534,0.4506732225418091,0.1698000431060791,0,0.25,72452.0,0.6275466680526733,339239.6875,0.3632088303565979,4.5380351366475224e-05,64,640,None,0.001,0.01072549819946289,0.006840229034423828,0
Miniboo,poly_sketch,7,0.5,gaussian,True,False,False,False,False,False,23.234228134155273,1.4142135381698608,0.16360421478748322,0.42520812153816223,0.1698000431060791,0,0.25,63309.6171875,0.5483594536781311,131209.859375,0.13424251973628998,1.1943373465328477e-05,64,640,None,0.001,0.013954401016235352,0.006692409515380859,0
Miniboo,poly_sketch,7,0.5,rademacher,False,False,False,False,False,False,23.234228134155273,1.4142135381698608,0.17575152218341827,0.4612383544445038,0.1698000431060791,0,0.25,110769.328125,0.9594341516494751,564970.375,0.5722292065620422,9.396972018294036e-05,64,640,None,0.001,0.009467840194702148,0.006843090057373047,0
Miniboo,poly_sketch,7,0.5,rademacher,True,False,False,False,False,False,23.234228134155273,1.4142135381698608,0.16429615020751953,0.4227294921875,0.1698000431060791,0,0.25,51116.97265625,0.44275227189064026,102609.0390625,0.09889460355043411,2.243264816570445e-06,64,640,None,0.001,0.013979196548461914,0.006674528121948242,0
Miniboo,poly_sketch,7,0.5,rademacher,False,False,False,False,True,True,23.234228134155273,1.4142135381698608,0.157146155834198,0.4151698052883148,0.1698000431060791,0,0.25,324684.78125,2.8122737407684326,65387.03125,0.07123670727014542,4.60592809758964e-06,64,640,None,0.001,0.025412321090698242,0.0051271915435791016,0
Miniboo,poly_sketch,7,0.5,rademacher,True,False,False,False,True,True,23.234228134155273,1.4142135381698608,0.16175906360149384,0.42044854164123535,0.1698000431060791,0,0.25,24651.134765625,0.21351705491542816,88962.171875,0.08991596102714539,7.143165021261666e-06,64,640,None,0.001,0.026217937469482422,0.006690502166748047,0
Miniboo,poly_sketch,7,0.5,srht,False,False,False,False,False,False,23.234228134155273,1.4142135381698608,0.18044130504131317,0.4660693109035492,0.1698000431060791,0,0.25,259705.375,2.2494513988494873,934760.0,0.8226999044418335,5.550073183258064e-05,64,640,None,0.001,0.030440568923950195,0.0064733028411865234,0
Miniboo,poly_sketch,7,0.5,srht,True,False,False,False,False,False,23.234228134155273,1.4142135381698608,0.15937572717666626,0.41373100876808167,0.1698000431060791,0,0.25,13105.521484375,0.11351414024829865,26853.767578125,0.029396895319223404,3.0729988793609664e-06,64,640,None,0.001,0.04496645927429199,0.006694793701171875,0
Miniboo,poly_sketch,7,0.5,srht,False,False,False,False,True,True,23.234228134155273,1.4142135381698608,0.1603751927614212,0.41350677609443665,0.1698000431060791,0,0.25,3180.871337890625,0.027551278471946716,41357.65625,0.04427098110318184,3.847467723971931e-06,64,640,None,0.001,0.06262326240539551,0.005173683166503906,0
Miniboo,poly_sketch,7,0.5,srht,True,False,False,False,True,True,23.234228134155273,1.4142135381698608,0.16029830276966095,0.4123121500015259,0.1698000431060791,0,0.25,7715.8681640625,0.06683138757944107,23101.03515625,0.022309603169560432,6.939101808711712e-07,64,640,None,0.001,0.09215950965881348,0.006693601608276367,0
Miniboo,poly_sketch,7,0.5,countsketch_scatter,False,False,False,False,False,False,23.234228134155273,1.4142135381698608,0.16268163919448853,0.41589680314064026,0.1698000431060791,0,0.25,27981.38671875,0.24236220121383667,82567.6796875,0.0982367992401123,2.2700765839545056e-05,64,640,None,0.001,0.02588963508605957,0.0068395137786865234,0
Miniboo,srf,7,0.5,gaussian,False,False,False,False,False,False,23.234228134155273,1.4142135381698608,0.15630045533180237,0.4077318608760834,0.1698000431060791,0,0.25,407.9026794433594,0.0035330697428435087,8928.3837890625,0.0134677579626441,1.2328398042882327e-05,192,640,None,0.001,0.008044719696044922,0.015013456344604492,0
Miniboo,srf,7,0.5,srht,False,False,False,False,False,False,23.234228134155273,1.4142135381698608,0.156069815158844,0.4090171456336975,0.1698000431060791,0,0.25,85.56400299072266,0.0007411169353872538,2923.796875,0.004828157834708691,8.342551041096158e-07,192,640,None,0.001,0.01702880859375,0.014885663986206055,0
Miniboo,srf,7,0.5,srht,True,False,False,False,False,False,23.234228134155273,1.4142135381698608,0.15545475482940674,0.4043581485748291,0.1698000431060791,0,0.25,831.217529296875,0.007199632935225964,2395.57666015625,0.0050694504752755165,1.064616662915796e-05,192,640,None,0.001,0.018068790435791016,0.01557779312133789,0
Miniboo,maclaurin_p,7,0.5,rademacher,False,False,False,False,False,False,23.234228134155273,1.4142135381698608,0.16083647310733795,0.4190758466720581,0.1698000431060791,0,0.25,40091.5703125,0.3472551703453064,36807.2734375,0.06088375672698021,1.5103884834388737e-05,192,640,None,0.001,0.045659780502319336,0.014875173568725586,0
Miniboo,maclaurin,7,0.5,rademacher,False,False,False,False,False,False,23.234228134155273,1.4142135381698608,0.15914508700370789,0.4144662916660309,0.1698000431060791,0,0.25,2702.449951171875,0.023407407104969025,5537.974609375,0.00861462950706482,9.950050525731058e-07,192,640,"[4, 21, 49, 66, 51]",0.001,0.029545307159423828,0.014928102493286133,0
Miniboo,maclaurin,7,0.5,rademacher,True,False,False,False,False,False,23.234228134155273,1.4142135381698608,0.15653111040592194,0.40869027376174927,0.1698000431060791,0,0.25,1325.2882080078125,0.011479050852358341,4016.2001953125,0.004756762646138668,1.1706594023053185e-06,192,640,"[5, 22, 47, 58, 42, 17]",0.001,0.04423022270202637,0.015201330184936523,0
Miniboo,maclaurin,7,0.5,srht,False,False,False,False,False,False,23.234228134155273,1.4142135381698608,0.15914508700370789,0.4120471477508545,0.1698000431060791,0,0.25,19716.833984375,0.17077836394309998,9899.8876953125,0.009843312203884125,1.3445898048303206e-06,192,640,"[5, 21, 50, 64, 51]",0.001,0.0728905200958252,0.014892339706420898,0
Miniboo,maclaurin,7,0.5,srht,True,False,False,False,False,False,23.234228134155273,1.4142135381698608,0.15576228499412537,0.41076505184173584,0.1698000431060791,0,0.25,4355.1162109375,0.037722062319517136,4934.595703125,0.004712605383247137,2.6189300683654437e-07,192,640,"[5, 22, 47, 58, 42, 17]",0.001,0.14530420303344727,0.015186786651611328,0
Miniboo,poly_sketch,7,0.5,gaussian,False,False,False,False,False,False,23.234228134155273,1.4142135381698608,0.16214346885681152,0.41845807433128357,0.1698000431060791,0,0.25,60775.5546875,0.5264105796813965,131105.03125,0.15787658095359802,1.6119869542308152e-05,192,640,None,0.001,0.014855384826660156,0.015488386154174805,0
Miniboo,poly_sketch,7,0.5,gaussian,True,False,False,False,False,False,23.234228134155273,1.4142135381698608,0.1594526171684265,0.42073267698287964,0.1698000431060791,0,0.25,28076.544921875,0.24318641424179077,22223.662109375,0.027153795585036278,7.961066330608446e-06,192,640,None,0.001,0.0257415771484375,0.01608586311340332,0
Miniboo,poly_sketch,7,0.5,rademacher,False,False,False,False,False,False,23.234228134155273,1.4142135381698608,0.1618359386920929,0.42757758498191833,0.1698000431060791,0,0.25,54214.484375,0.4695815145969391,150648.859375,0.16401457786560059,1.6059088011388667e-05,192,640,None,0.001,0.014948368072509766,0.015228271484375,0
Miniboo,poly_sketch,7,0.5,rademacher,True,False,False,False,False,False,23.234228134155273,1.4142135381698608,0.15883755683898926,0.4160521328449249,0.1698000431060791,0,0.25,53226.94140625,0.4610278606414795,10788.86328125,0.014584883116185665,2.6599429929774487e-06,192,640,None,0.001,0.025625944137573242,0.015930891036987305,0
Miniboo,poly_sketch,7,0.5,rademacher,False,False,False,False,True,True,23.234228134155273,1.4142135381698608,0.15891443192958832,0.4105443060398102,0.1698000431060791,0,0.25,28341.888671875,0.24548470973968506,28709.3828125,0.02944042906165123,5.104162710267701e-07,192,640,None,0.001,0.02807450294494629,0.01657247543334961,0
Miniboo,poly_sketch,7,0.5,rademacher,True,False,False,False,True,True,23.234228134155273,1.4142135381698608,0.15760745108127594,0.40790432691574097,0.1698000431060791,0,0.25,28001.78125,0.24253885447978973,9346.5810546875,0.01016876008361578,6.670114203188859e-07,192,640,None,0.001,0.06183052062988281,0.01695561408996582,0
Miniboo,poly_sketch,7,0.5,srht,False,False,False,False,False,False,23.234228134155273,1.4142135381698608,0.1649112105369568,0.4346848726272583,0.1698000431060791,0,0.25,38123.75390625,0.3302108347415924,105428.5703125,0.10837680101394653,1.194596006826032e-05,192,640,None,0.001,0.030398845672607422,0.015022993087768555,0
Miniboo,poly_sketch,7,0.5,srht,True,False,False,False,False,False,23.234228134155273,1.4142135381698608,0.157146155834198,0.4132406711578369,0.1698000431060791,0,0.25,13175.119140625,0.11411696672439575,6738.6640625,0.008217906579375267,3.1639403914596187e-06,192,640,None,0.001,0.0669095516204834,0.015384435653686523,0
Miniboo,poly_sketch,7,0.5,srht,False,False,False,False,True,True,23.234228134155273,1.4142135381698608,0.15868379175662994,0.4113824665546417,0.1698000431060791,0,0.25,37088.96875,0.32124799489974976,24195.119140625,0.023435603827238083,1.4173898534863838e-06,192,640,None,0.001,0.06891727447509766,0.014870166778564453,0
Miniboo,poly_sketch,7,0.5,srht,True,False,False,False,True,True,23.234228134155273,1.4142135381698608,0.15776121616363525,0.4110051095485687,0.1698000431060791,0,0.25,15168.662109375,0.13138413429260254,11033.5986328125,0.010906347073614597,1.1209208423679229e-06,192,640,None,0.001,0.16595840454101562,0.015360116958618164,0
Miniboo,poly_sketch,7,0.5,countsketch_scatter,False,False,False,False,False,False,23.234228134155273,1.4142135381698608,0.1587606817483902,0.41598615050315857,0.1698000431060791,0,0.25,57322.12109375,0.4964984655380249,17888.763671875,0.018520837649703026,3.875575202982873e-06,192,640,None,0.001,0.026543617248535156,0.014859914779663086,0
Miniboo,srf,7,0.5,gaussian,False,False,False,False,False,False,23.234228134155273,1.4142135381698608,0.7179211378097534,,0.1698000431060791,0,0.25,267.9586181640625,0.0023209371138364077,8213.8505859375,0.007483420427888632,2.7985568067379063e-06,320,640,None,0.001,0.011435508728027344,0.03217577934265137,0
Miniboo,srf,7,0.5,srht,False,False,False,False,False,False,23.234228134155273,1.4142135381698608,0.15453217923641205,0.4106059968471527,0.1698000431060791,0,0.25,247.08084106445312,0.0021401033736765385,3189.717529296875,0.005011193919926882,2.7043688533012755e-06,320,640,None,0.001,0.021776914596557617,0.033101797103881836,0
Miniboo,srf,7,0.5,srht,True,False,False,False,False,False,23.234228134155273,1.4142135381698608,0.7179211378097534,,0.1698000431060791,0,0.25,601.4778442382812,0.005209730938076973,2538.7265625,0.003211252624168992,1.6926597936617327e-06,320,640,None,0.001,0.028078317642211914,0.03444981575012207,0
Miniboo,maclaurin_p,7,0.5,rademacher,False,False,False,False,False,False,23.234228134155273,1.4142135381698608,0.15791498124599457,0.4122832119464874,0.1698000431060791,0,0.25,44214.4765625,0.38296592235565186,22385.97265625,0.02130286581814289,3.586804950828082e-07,320,640,None,0.001,0.048001766204833984,0.03148293495178223,0
Miniboo,maclaurin,7,0.5,rademacher,False,False,False,False,False,False,23.234228134155273,1.4142135381698608,0.15722304582595825,0.4116082489490509,0.1698000431060791,0,0.25,4530.53662109375,0.039241474121809006,6355.8203125,0.008723601698875427,1.962613623618381e-06,320,640,"[7, 32, 74, 98, 76, 32]",0.001,0.04002857208251953,0.031204700469970703,0
Miniboo,maclaurin,7,0.5,rademacher,True,False,False,False,False,False,23.234228134155273,1.4142135381698608,0.7179211378097534,,0.1698000431060791,0,0.25,14601.150390625,0.12646861374378204,7338.62255859375,0.006788596976548433,6.358643531712005e-07,320,640,"[8, 36, 79, 98, 70, 28]",0.001,0.048543691635131836,0.03407859802246094,0
Miniboo,maclaurin,7,0.5,srht,False,False,False,False,False,False,23.234228134155273,1.4142135381698608,0.15745368599891663,0.4104551672935486,0.1698000431060791,0,0.25,2672.274169921875,0.023146038874983788,3800.283935546875,0.0032711441162973642,2.8983978950236633e-07,320,640,"[8, 40, 64, 90, 77, 40]",0.001,0.10512590408325195,0.0322263240814209,0
Miniboo,maclaurin,7,0.5,srht,True,False,False,False,False,False,23.234228134155273,1.4142135381698608,0.7179211378097534,,0.1698000431060791,0,0.25,6624.92626953125,0.05738213658332825,3606.271728515625,0.0036651724949479103,1.5504102748309379e-06,320,640,"[12, 53, 64, 83, 67, 40]",0.001,0.14873790740966797,0.03289175033569336,0
Miniboo,poly_sketch,7,0.5,gaussian,False,False,False,False,False,False,23.234228134155273,1.4142135381698608,0.1659875512123108,0.42665842175483704,0.1698000431060791,0,0.25,98788.1328125,0.8556584119796753,203958.3125,0.19329704344272614,2.3246726414072327e-05,320,640,None,0.001,0.020969867706298828,0.03348255157470703,0
Miniboo,poly_sketch,7,0.5,gaussian,True,False,False,False,False,False,23.234228134155273,1.4142135381698608,0.7179211378097534,,0.1698000431060791,0,0.25,39290.41796875,0.34031596779823303,9485.6865234375,0.010743822902441025,4.292656285542762e-06,320,640,None,0.001,0.0411224365234375,0.03561234474182129,0
