dataset,method,degree,bias,proj,comp,comp_real,craft,full_cov,ahle,tree,kernel_var,kernel_len,test_error,test_mnll,test_error_ref,test_mnll_ref,test_label_var,k_frob_error,k_rel_frob_error,test_kl,test_mean_mse,test_var_mse,D,E,feature_dist,noise_var,feature_time,pred_time,seed
Yacht,srf,7,0.5,gaussian,False,False,False,False,False,False,224.4189453125,1.4142135381698608,297.9712829589844,11.338948249816895,19.624601364135742,2.8746440410614014,277.64483642578125,2622.664306640625,1.6084355115890503,630.0773315429688,238.2852325439453,26.78849220275879,8,80,None,16.0,0.000125885009765625,0.00010204315185546875,0
Yacht,srf,7,0.5,srht,False,False,False,False,False,False,224.4189453125,1.4142135381698608,177.42613220214844,7.686067581176758,19.624601364135742,2.8746440410614014,277.64483642578125,2468.1064453125,1.5136477947235107,394.0714416503906,146.92901611328125,26.737546920776367,8,80,None,16.0,0.0006091594696044922,0.00010275840759277344,0
Yacht,srf,7,0.5,srht,True,False,False,False,False,False,224.4189453125,1.4142135381698608,184.33935546875,7.896921634674072,19.624601364135742,2.8746440410614014,277.64483642578125,2223.59765625,1.3636947870254517,375.3867492675781,138.2225799560547,26.67799949645996,8,80,None,16.0,0.0006079673767089844,0.00010204315185546875,0
Yacht,maclaurin_p,7,0.5,rademacher,False,False,False,False,False,False,224.4189453125,1.4142135381698608,179.84588623046875,7.754523277282715,19.624601364135742,2.8746440410614014,277.64483642578125,2932.7939453125,1.7986327409744263,375.0660400390625,132.07545471191406,26.828811645507812,8,80,None,16.0,0.00030517578125,0.0001049041748046875,0
Yacht,maclaurin,7,0.5,rademacher,False,False,False,False,False,False,224.4189453125,1.4142135381698608,219.74160766601562,9.00676155090332,19.624601364135742,2.8746440410614014,277.64483642578125,1419.0802001953125,0.8702978491783142,492.9861145019531,172.57447814941406,27.3566951751709,8,80,"[2, 5]",16.0,0.00021004676818847656,0.00010609626770019531,0
Yacht,maclaurin,7,0.5,rademacher,True,False,False,False,False,False,224.4189453125,1.4142135381698608,128.09930419921875,6.214807510375977,19.624601364135742,2.8746440410614014,277.64483642578125,1321.734130859375,0.8105971217155457,288.3018493652344,100.79885864257812,26.911582946777344,8,80,"[2, 5]",16.0,0.0002760887145996094,0.0001049041748046875,0
Yacht,maclaurin,7,0.5,srht,False,False,False,False,False,False,224.4189453125,1.4142135381698608,183.8705291748047,7.896727561950684,19.624601364135742,2.8746440410614014,277.64483642578125,1269.567626953125,0.77860426902771,398.6634216308594,138.8530731201172,26.931598663330078,8,80,"[2, 5]",16.0,0.0007319450378417969,0.00013589859008789062,0
Yacht,maclaurin,7,0.5,srht,True,False,False,False,False,False,224.4189453125,1.4142135381698608,172.67034912109375,7.548345565795898,19.624601364135742,2.8746440410614014,277.64483642578125,1336.7919921875,0.8198318481445312,337.61907958984375,126.70484161376953,26.904333114624023,8,80,"[2, 5]",16.0,0.001219034194946289,0.00011801719665527344,0
Yacht,poly_sketch,7,0.5,gaussian,False,False,False,False,False,False,224.4189453125,1.4142135381698608,109.57524871826172,5.671113967895508,19.624601364135742,2.8746440410614014,277.64483642578125,1544.8424072265625,0.9474256634712219,314.8954772949219,95.80940246582031,26.736570358276367,8,80,None,16.0,0.0001468658447265625,0.00011301040649414062,0
Yacht,poly_sketch,7,0.5,gaussian,True,False,False,False,False,False,224.4189453125,1.4142135381698608,193.7865753173828,8.067163467407227,19.624601364135742,2.8746440410614014,277.64483642578125,3727.906494140625,2.286261796951294,380.0567932128906,144.22705078125,26.655799865722656,8,80,None,16.0,0.0002639293670654297,0.00024080276489257812,0
Yacht,poly_sketch,7,0.5,rademacher,False,False,False,False,False,False,224.4189453125,1.4142135381698608,269.395751953125,10.641997337341309,19.624601364135742,2.8746440410614014,277.64483642578125,3359.2998046875,2.060201644897461,576.81494140625,205.87454223632812,28.02532958984375,8,80,None,16.0,0.0001499652862548828,0.00010514259338378906,0
Yacht,poly_sketch,7,0.5,rademacher,True,False,False,False,False,False,224.4189453125,1.4142135381698608,203.5084686279297,8.565451622009277,19.624601364135742,2.8746440410614014,277.64483642578125,1731.529541015625,1.0619176626205444,356.05194091796875,141.03819274902344,26.8426570892334,8,80,None,16.0,0.0002617835998535156,0.00010180473327636719,0
Yacht,poly_sketch,7,0.5,rademacher,False,False,False,False,True,True,224.4189453125,1.4142135381698608,253.0314178466797,10.118746757507324,19.624601364135742,2.8746440410614014,277.64483642578125,2609.18603515625,1.6001695394515991,530.0367431640625,190.23374938964844,28.200679779052734,8,80,None,16.0,0.00037097930908203125,0.0001049041748046875,0
Yacht,poly_sketch,7,0.5,rademacher,True,False,False,False,True,True,224.4189453125,1.4142135381698608,200.41539001464844,8.383532524108887,19.624601364135742,2.8746440410614014,277.64483642578125,4205.328125,2.57905650138855,395.1364440917969,140.68460083007812,26.45138168334961,8,80,None,16.0,0.0005958080291748047,0.00010204315185546875,0
Yacht,poly_sketch,7,0.5,srht,False,False,False,False,False,False,224.4189453125,1.4142135381698608,217.7769317626953,9.046012878417969,19.624601364135742,2.8746440410614014,277.64483642578125,2680.569580078125,1.6439478397369385,472.2150573730469,154.8034210205078,28.835063934326172,8,80,None,16.0,0.0012311935424804688,0.00010633468627929688,0
Yacht,poly_sketch,7,0.5,srht,True,False,False,False,False,False,224.4189453125,1.4142135381698608,172.42361450195312,7.5719075202941895,19.624601364135742,2.8746440410614014,277.64483642578125,2499.1591796875,1.5326919555664062,341.009521484375,128.6139373779297,26.989858627319336,8,80,None,16.0,0.0023009777069091797,0.00010275840759277344,0
