dataset,method,degree,bias,proj,comp,comp_real,craft,full_cov,ahle,tree,kernel_var,kernel_len,test_error,test_mnll,test_error_ref,test_mnll_ref,test_label_var,k_frob_error,k_rel_frob_error,test_kl,test_mean_mse,test_var_mse,D,E,feature_dist,noise_var,feature_time,pred_time,seed
kin8nm,srf,7,0.5,gaussian,False,False,False,False,False,False,0.06994851678609848,1.4142135381698608,0.059851016849279404,0.7532029151916504,0.009077486582100391,-0.8119311928749084,0.06533454358577728,19.941917419433594,3.613591432571411,7290.43359375,0.054371725767850876,1.7778313122107647e-05,8,80,None,0.015625,0.0007736682891845703,0.0010380744934082031,0
kin8nm,srf,7,0.5,srht,False,False,False,False,False,False,0.06994851678609848,1.4142135381698608,0.05734647437930107,0.6731346845626831,0.009077486582100391,-0.8119311928749084,0.06533454358577728,19.936824798583984,3.612668514251709,7084.478515625,0.0522497184574604,1.77785459527513e-05,8,80,None,0.015625,0.010571956634521484,0.001592874526977539,0
kin8nm,srf,7,0.5,srht,True,False,False,False,False,False,0.06994851678609848,1.4142135381698608,0.051223788410425186,0.4774226248264313,0.009077486582100391,-0.8119311928749084,0.06533454358577728,20.005306243896484,3.625077962875366,6449.2021484375,0.04598977789282799,1.7777383618522435e-05,8,80,None,0.015625,0.011195182800292969,0.0015099048614501953,0
kin8nm,maclaurin_p,7,0.5,rademacher,False,False,False,False,False,False,0.06994851678609848,1.4142135381698608,0.05241227149963379,0.5155920386314392,0.009077486582100391,-0.8119311928749084,0.06533454358577728,57.00643539428711,10.3298978805542,6537.5703125,0.04542001709342003,1.7787062461138703e-05,8,80,None,0.015625,0.0013780593872070312,0.0012340545654296875,0
kin8nm,maclaurin,7,0.5,rademacher,False,False,False,False,False,False,0.06994851678609848,1.4142135381698608,0.06472311168909073,0.908903181552887,0.009077486582100391,-0.8119311928749084,0.06533454358577728,5.740540027618408,1.0402191877365112,7831.91845703125,0.05883342772722244,1.7779064364731312e-05,8,80,"[2, 5]",0.015625,0.0016429424285888672,0.0013179779052734375,0
kin8nm,maclaurin,7,0.5,rademacher,True,False,False,False,False,False,0.06994851678609848,1.4142135381698608,0.057152923196554184,0.6670928001403809,0.009077486582100391,-0.8119311928749084,0.06533454358577728,5.932285785675049,1.0749646425247192,7067.255859375,0.0517328605055809,1.7781247152015567e-05,8,80,"[2, 5]",0.015625,0.0030143260955810547,0.0012862682342529297,0
kin8nm,maclaurin,7,0.5,srht,False,False,False,False,False,False,0.06994851678609848,1.4142135381698608,0.05650310963392258,0.646153450012207,0.009077486582100391,-0.8119311928749084,0.06533454358577728,5.934119701385498,1.0752969980239868,7063.779296875,0.0516001395881176,1.7772637875168584e-05,8,80,"[2, 5]",0.015625,0.010073184967041016,0.0013649463653564453,0
kin8nm,maclaurin,7,0.5,srht,True,False,False,False,False,False,0.06994851678609848,1.4142135381698608,0.05313694104552269,0.5385310649871826,0.009077486582100391,-0.8119311928749084,0.06533454358577728,5.675028324127197,1.0283480882644653,6520.85107421875,0.04643915221095085,1.7780357666197233e-05,8,80,"[2, 5]",0.015625,0.021941184997558594,0.0011310577392578125,0
kin8nm,poly_sketch,7,0.5,gaussian,False,False,False,False,False,False,0.06994851678609848,1.4142135381698608,0.06479407846927643,0.9114622473716736,0.009077486582100391,-0.8119311928749084,0.06533454358577728,78.39875793457031,14.206311225891113,8225.470703125,0.05794905871152878,1.7760437913239002e-05,8,80,None,0.015625,0.0011241436004638672,0.0013079643249511719,0
kin8nm,poly_sketch,7,0.5,gaussian,True,False,False,False,False,False,0.06994851678609848,1.4142135381698608,0.06359994411468506,0.8732195496559143,0.009077486582100391,-0.8119311928749084,0.06533454358577728,69.72696685791016,12.634931564331055,7959.7119140625,0.05773000791668892,1.7783246221370064e-05,8,80,None,0.015625,0.006206989288330078,0.0013091564178466797,0
