dataset,method,degree,bias,proj,comp,comp_real,craft,full_cov,ahle,tree,kernel_var,kernel_len,test_error,test_mnll,test_error_ref,test_mnll_ref,test_label_var,k_frob_error,k_rel_frob_error,test_kl,test_mean_mse,test_var_mse,D,E,feature_dist,noise_var,feature_time,pred_time,seed
Protein,srf,7,0.5,gaussian,False,False,False,False,False,False,37.450618743896484,1.4142135381698608,23.57746124267578,751.3949584960938,35.371498107910156,470.4419860839844,37.5266227722168,19164.28125,0.39481616020202637,7717935.0,26.354127883911133,0.04815726727247238,80,80,None,0.015625,0.014613866806030273,0.03385806083679199,0
Protein,srf,7,0.5,gaussian,False,False,False,False,False,False,37.450618743896484,1.4142135381698608,23.55052375793457,375.0841369628906,25.95570945739746,244.9307098388672,37.5266227722168,15795.8134765625,0.3254201412200928,4200425.0,14.60802936553955,0.0794435441493988,80,80,None,0.03125,0.018054962158203125,0.03505277633666992,0
Protein,srf,7,0.5,gaussian,False,False,False,False,False,False,37.450618743896484,1.4142135381698608,24.8247013092041,197.59848022460938,24.598241806030273,124.47332000732422,37.5266227722168,14407.4384765625,0.29681727290153503,2045871.25,14.216561317443848,0.07574953883886337,80,80,None,0.0625,0.01252889633178711,0.035054922103881836,0
Protein,srf,7,0.5,gaussian,False,False,False,False,False,False,37.450618743896484,1.4142135381698608,23.351394653320312,93.0528564453125,23.82805633544922,65.53400421142578,37.5266227722168,15827.3828125,0.32607048749923706,888349.75,11.131112098693848,0.11045098304748535,80,80,None,0.125,0.013839006423950195,0.036398887634277344,0
Protein,srf,7,0.5,gaussian,False,False,False,False,False,False,37.450618743896484,1.4142135381698608,25.38913345336914,50.86740493774414,21.794540405273438,33.62367630004883,37.5266227722168,15193.1630859375,0.3130045235157013,610396.0,10.206379890441895,0.1606174260377884,80,80,None,0.25,0.012993097305297852,0.036128997802734375,0
Protein,srf,7,0.5,gaussian,False,False,False,False,False,False,37.450618743896484,1.4142135381698608,24.451683044433594,24.961925506591797,21.29058074951172,17.910276412963867,37.5266227722168,17759.53125,0.3658759593963623,248900.1875,7.174097537994385,0.21874339878559113,80,80,None,0.5,0.016692161560058594,0.03518176078796387,0
Protein,srf,7,0.5,gaussian,False,False,False,False,False,False,37.450618743896484,1.4142135381698608,24.508644104003906,13.142189979553223,21.14002227783203,9.897400856018066,37.5266227722168,15314.2392578125,0.31549888849258423,127944.765625,7.041049003601074,0.3769623041152954,80,80,None,1.0,0.013669967651367188,0.03538632392883301,0
Protein,srf,7,0.5,gaussian,False,False,False,False,False,False,37.450618743896484,1.4142135381698608,23.667654037475586,7.1684441566467285,20.799541473388672,5.880509376525879,37.5266227722168,16270.3115234375,0.3351955711841583,56684.9453125,4.735733509063721,0.5716239809989929,80,80,None,2.0,0.014840126037597656,0.034757137298583984,0
Protein,srf,7,0.5,gaussian,False,False,False,False,False,False,37.450618743896484,1.4142135381698608,24.128320693969727,4.62139892578125,20.767091751098633,3.9909310340881348,37.5266227722168,14707.7890625,0.3030049800872803,34556.125,4.450578689575195,0.946362316608429,80,80,None,4.0,0.014301061630249023,0.03502011299133301,0
Protein,srf,7,0.5,gaussian,False,False,False,False,False,False,37.450618743896484,1.4142135381698608,24.664064407348633,3.4971563816070557,21.103967666625977,3.209784746170044,37.5266227722168,12796.30859375,0.26362529397010803,21149.37890625,4.1754679679870605,1.3635332584381104,80,80,None,8.0,0.015160083770751953,0.034600257873535156,0
